s,kg/kg,mol/mol,kW
Time,"Y_CO2","X_CO2","Flame detector"
 2.8050192E+000, 5.9658393E-004, 3.8994470E-004, 1.9311165E-005
 2.8380142E+000, 5.9714251E-004, 3.9031054E-004, 1.9228612E-005
 2.8710093E+000, 5.9834645E-004, 3.9109858E-004, 1.9617876E-005
 2.9040843E+000, 5.9725042E-004, 3.9038090E-004, 1.9551400E-005
 2.9371231E+000, 5.9672786E-004, 3.9003895E-004, 1.9543691E-005
 2.9700863E+000, 5.9763130E-004, 3.9063046E-004, 1.9560719E-005
 3.0030076E+000, 5.9788297E-004, 3.9079507E-004, 1.9640551E-005
 3.0360803E+000, 5.9699066E-004, 3.9021090E-004, 1.9574303E-005
 3.0691080E+000, 5.9718209E-004, 3.9033632E-004, 1.9660823E-005
 3.1020081E+000, 5.9761944E-004, 3.9062262E-004, 1.9514601E-005
 3.1350918E+000, 5.9748226E-004, 3.9053275E-004, 1.9651757E-005
 3.1681120E+000, 5.9722509E-004, 3.9036440E-004, 1.9747737E-005
 3.2010745E+000, 5.9747161E-004, 3.9052580E-004, 1.9635476E-005
 3.2340437E+000, 5.9733761E-004, 3.9043808E-004, 1.9587998E-005
 3.2670009E+000, 5.9745256E-004, 3.9051332E-004, 1.9614228E-005
 3.3000154E+000, 5.9740403E-004, 3.9048154E-004, 1.9661294E-005
 3.3330879E+000, 5.9744252E-004, 3.9050673E-004, 1.9672511E-005
 3.3660807E+000, 5.9737635E-004, 3.9046342E-004, 1.9668987E-005
 3.3990588E+000, 5.9761596E-004, 3.9062013E-004, 1.9672320E-005
 3.4320622E+000, 6.0177973E-004, 3.9334227E-004, 1.9689569E-005
 3.4650623E+000, 6.5784289E-004, 4.2999559E-004, 1.9700569E-005
 3.4981014E+000, 1.0758486E-003, 7.0333781E-004, 1.9675331E-005
 3.5310155E+000, 2.8359301E-003, 1.8552523E-003, 1.9684984E-005
 3.5640966E+000, 7.5757809E-003, 4.9646577E-003, 1.9690837E-005
 3.5970820E+000, 1.6968300E-002, 1.1157073E-002, 1.9586094E-005
 3.6300008E+000, 3.1525758E-002, 2.0834973E-002, 1.9427060E-005
 3.6630206E+000, 4.9410923E-002, 3.2859034E-002, 1.9129658E-005
 3.6960908E+000, 6.7145661E-002, 4.4930279E-002, 1.8815925E-005
 3.7290407E+000, 8.2341872E-002, 5.5394356E-002, 1.8187150E-005
 3.7620922E+000, 9.4606566E-002, 6.3923018E-002, 1.7640151E-005
 3.7951064E+000, 1.0443168E-001, 7.0809728E-002, 1.7091869E-005
 3.8280986E+000, 1.1234889E-001, 7.6394827E-002, 1.6728944E-005
 3.8610822E+000, 1.1885988E-001, 8.1011928E-002, 1.6564299E-005
 3.8940181E+000, 1.2428716E-001, 8.4877238E-002, 1.6413327E-005
 3.9270039E+000, 1.2885141E-001, 8.8139749E-002, 1.6336198E-005
 3.9601255E+000, 1.3274100E-001, 9.0928555E-002, 1.6212881E-005
 3.9930452E+000, 1.3607397E-001, 9.3324527E-002, 1.6019338E-005
 4.0261175E+000, 1.3892555E-001, 9.5379137E-002, 1.5644411E-005
 4.0591053E+000, 1.4136808E-001, 9.7142470E-002, 1.5661512E-005
 4.0920134E+000, 1.4346358E-001, 9.8657708E-002, 1.5626874E-005
 4.1251157E+000, 1.4527174E-001, 9.9967039E-002, 1.5500253E-005
 4.1581224E+000, 1.4682829E-001, 1.0109568E-001, 1.5236328E-005
 4.1910436E+000, 1.4815262E-001, 1.0205713E-001, 1.5151043E-005
 4.2240044E+000, 1.4928323E-001, 1.0287878E-001, 1.5141178E-005
 4.2570100E+000, 1.5025925E-001, 1.0358852E-001, 1.4823225E-005
 4.2901047E+000, 1.5109350E-001, 1.0419596E-001, 1.4753282E-005
 4.3231194E+000, 1.5178398E-001, 1.0470035E-001, 1.5011697E-005
 4.3560572E+000, 1.5237555E-001, 1.0513296E-001, 1.4828338E-005
 4.3891224E+000, 1.5291358E-001, 1.0552481E-001, 1.4961767E-005
 4.4220597E+000, 1.5338140E-001, 1.0586620E-001, 1.5220222E-005
 4.4551378E+000, 1.5380662E-001, 1.0617520E-001, 1.5301481E-005
 4.4880751E+000, 1.5418597E-001, 1.0645150E-001, 1.5521340E-005
 4.5210123E+000, 1.5452998E-001, 1.0670253E-001, 1.5105611E-005
 4.5540904E+000, 1.5483925E-001, 1.0692927E-001, 1.4871634E-005
 4.5870277E+000, 1.5513594E-001, 1.0714543E-001, 1.4437748E-005
