s,C,kg/m2/s,m
Time,"temp","MLR","thick"
 3.9501000E+002, 4.6411829E+002, 2.3896283E-002, 1.3568478E-002
 4.0001000E+002, 4.6457127E+002, 2.4054060E-002, 1.3442051E-002
 4.0501000E+002, 4.6341493E+002, 2.4173147E-002, 1.3315470E-002
 4.1001000E+002, 4.6457565E+002, 2.4504751E-002, 1.3187234E-002
 4.1501000E+002, 4.6404707E+002, 2.4490184E-002, 1.3058090E-002
 4.2001000E+002, 4.6397793E+002, 2.4748171E-002, 1.2928766E-002
 4.2501000E+002, 4.6505607E+002, 2.4948625E-002, 1.2797905E-002
 4.3001000E+002, 4.6352467E+002, 2.4826097E-002, 1.2667039E-002
 4.3501000E+002, 4.6454360E+002, 2.5135763E-002, 1.2535457E-002
 4.4001000E+002, 4.6460214E+002, 2.5109104E-002, 1.2402968E-002
 4.4501000E+002, 4.6400105E+002, 2.5218245E-002, 1.2270860E-002
 4.5001000E+002, 4.6514649E+002, 2.5397539E-002, 1.2137555E-002
 4.5501000E+002, 4.6405215E+002, 2.5250946E-002, 1.2004263E-002
 4.6001000E+002, 4.6474473E+002, 2.5492511E-002, 1.1870759E-002
 4.6501000E+002, 4.6517048E+002, 2.5452953E-002, 1.1736443E-002
 4.7001000E+002, 4.6436153E+002, 2.5474098E-002, 1.1602758E-002
 4.7501000E+002, 4.6563452E+002, 2.5604907E-002, 1.1468193E-002
 4.8001000E+002, 4.6491939E+002, 2.5424337E-002, 1.1333873E-002
 4.8501000E+002, 4.6561876E+002, 2.5566658E-002, 1.1199724E-002
 4.9001000E+002, 4.6655082E+002, 2.5439656E-002, 1.1065314E-002
 4.9501000E+002, 4.6601196E+002, 2.5292608E-002, 1.0932039E-002
 5.0001000E+002, 4.6790327E+002, 2.5182994E-002, 1.0799052E-002
 5.0501000E+002, 4.6854514E+002, 2.4725789E-002, 1.0667525E-002
 5.1001000E+002, 4.7051882E+002, 2.4300951E-002, 1.0538584E-002
 5.1501000E+002, 4.7416320E+002, 2.3628051E-002, 1.0412299E-002
 5.2001000E+002, 4.7792657E+002, 2.1899921E-002, 1.0292218E-002
 5.2501000E+002, 4.8562973E+002, 2.0199506E-002, 1.0181100E-002
 5.3001000E+002, 4.9827377E+002, 1.6873646E-002, 1.0082529E-002
 5.3501000E+002, 5.5443996E+002, 7.4579687E-003, 1.0012320E-002
 5.4001000E+002, 6.3418034E+002, 0.0000000E+000, 1.0000000E-002
 5.4501000E+002, 6.4405320E+002, 0.0000000E+000, 1.0000000E-002
 5.5001000E+002, 6.4932350E+002, 0.0000000E+000, 1.0000000E-002
 5.5501000E+002, 6.5244308E+002, 0.0000000E+000, 1.0000000E-002
 5.6001000E+002, 6.5424637E+002, 0.0000000E+000, 1.0000000E-002
 5.6501000E+002, 6.5526645E+002, 0.0000000E+000, 1.0000000E-002
 5.7001000E+002, 6.5583635E+002, 0.0000000E+000, 1.0000000E-002
 5.7501000E+002, 6.5615256E+002, 0.0000000E+000, 1.0000000E-002
 5.8001000E+002, 6.5632722E+002, 0.0000000E+000, 1.0000000E-002
 5.8501000E+002, 6.5642348E+002, 0.0000000E+000, 1.0000000E-002
 5.9001000E+002, 6.5647646E+002, 0.0000000E+000, 1.0000000E-002
 5.9501000E+002, 6.5650558E+002, 0.0000000E+000, 1.0000000E-002
 6.0001000E+002, 6.5652170E+002, 0.0000000E+000, 1.0000000E-002
 6.0501000E+002, 6.5653062E+002, 0.0000000E+000, 1.0000000E-002
 6.1001000E+002, 6.5653537E+002, 0.0000000E+000, 1.0000000E-002
 6.1501000E+002, 6.5653807E+002, 0.0000000E+000, 1.0000000E-002
 6.2001000E+002, 6.5653954E+002, 0.0000000E+000, 1.0000000E-002
 6.2501000E+002, 6.5654043E+002, 0.0000000E+000, 1.0000000E-002
 6.3001000E+002, 6.5654089E+002, 0.0000000E+000, 1.0000000E-002
 6.3501000E+002, 6.5654111E+002, 0.0000000E+000, 1.0000000E-002
 6.4001000E+002, 6.5654116E+002, 0.0000000E+000, 1.0000000E-002
 6.4501000E+002, 6.5654134E+002, 0.0000000E+000, 1.0000000E-002
 6.5001000E+002, 6.5654136E+002, 0.0000000E+000, 1.0000000E-002
 6.5501000E+002, 6.5654140E+002, 0.0000000E+000, 1.0000000E-002
 6.6001000E+002, 6.5654137E+002, 0.0000000E+000, 1.0000000E-002
 6.6501000E+002, 6.5654131E+002, 0.0000000E+000, 1.0000000E-002
 6.7001000E+002, 6.5654131E+002, 0.0000000E+000, 1.0000000E-002
 6.7501000E+002, 6.5654140E+002, 0.0000000E+000, 1.0000000E-002
 6.8001000E+002, 6.5654142E+002, 0.0000000E+000, 1.0000000E-002
 6.8501000E+002, 6.5654135E+002, 0.0000000E+000, 1.0000000E-002
 6.9001000E+002, 6.5654141E+002, 0.0000000E+000, 1.0000000E-002
 6.9501000E+002, 6.5654145E+002, 0.0000000E+000, 1.0000000E-002
 7.0001000E+002, 6.5654140E+002, 0.0000000E+000, 1.0000000E-002
 7.0501000E+002, 6.5654132E+002, 0.0000000E+000, 1.0000000E-002
 7.1001000E+002, 6.5654128E+002, 0.0000000E+000, 1.0000000E-002
 7.1501000E+002, 6.5654137E+002, 0.0000000E+000, 1.0000000E-002
 7.2001000E+002, 6.5654142E+002, 0.0000000E+000, 1.0000000E-002
 7.2501000E+002, 6.5654149E+002, 0.0000000E+000, 1.0000000E-002
 7.3001000E+002, 6.5654138E+002, 0.0000000E+000, 1.0000000E-002
 7.3501000E+002, 6.5654134E+002, 0.0000000E+000, 1.0000000E-002
 7.4001000E+002, 6.5654142E+002, 0.0000000E+000, 1.0000000E-002
 7.4501000E+002, 6.5654131E+002, 0.0000000E+000, 1.0000000E-002
 7.5001000E+002, 6.5654142E+002, 0.0000000E+000, 1.0000000E-002
 7.5501000E+002, 6.5654152E+002, 0.0000000E+000, 1.0000000E-002
 7.6001000E+002, 6.5654157E+002, 0.0000000E+000, 1.0000000E-002
 7.6501000E+002, 6.5654147E+002, 0.0000000E+000, 1.0000000E-002
 7.7001000E+002, 6.5654152E+002, 0.0000000E+000, 1.0000000E-002
 7.7501000E+002, 6.5654149E+002, 0.0000000E+000, 1.0000000E-002
 7.8001000E+002, 6.5654142E+002, 0.0000000E+000, 1.0000000E-002
 7.8501000E+002, 6.5654134E+002, 0.0000000E+000, 1.0000000E-002
 7.9001000E+002, 6.5654124E+002, 0.0000000E+000, 1.0000000E-002
 7.9501000E+002, 6.5654135E+002, 0.0000000E+000, 1.0000000E-002
 8.0000000E+002, 6.5654132E+002, 0.0000000E+000, 1.0000000E-002
