s,kW
Time,"HRR"
 0.000E+000, 0.000E+000
 2.000E+000, 0.000E+000
 4.001E+000, 0.000E+000
 6.009E+000, 0.000E+000
 8.008E+000, 0.000E+000
 1.001E+001, 0.000E+000
 1.201E+001, 0.000E+000
 1.400E+001, 0.000E+000
 1.601E+001, 0.000E+000
 1.800E+001, 0.000E+000
 2.001E+001, 0.000E+000
 2.201E+001, 0.000E+000
 2.400E+001, 0.000E+000
 2.600E+001, 0.000E+000
 2.801E+001, 0.000E+000
 3.001E+001, 0.000E+000
 3.200E+001, 0.000E+000
 3.401E+001, 0.000E+000
 3.600E+001, 0.000E+000
 3.801E+001, 0.000E+000
 4.000E+001, 0.000E+000
 4.200E+001, 0.000E+000
 4.400E+001, 0.000E+000
 4.600E+001, 0.000E+000
 4.801E+001, 0.000E+000
 5.001E+001, 0.000E+000
 5.201E+001, 0.000E+000
 5.401E+001, 0.000E+000
 5.600E+001, 0.000E+000
 5.800E+001, 0.000E+000
 6.001E+001, 0.000E+000
 6.201E+001, 0.000E+000
 6.401E+001, 0.000E+000
 6.601E+001, 0.000E+000
 6.800E+001, 0.000E+000
 7.001E+001, 0.000E+000
 7.200E+001, 0.000E+000
 7.401E+001, 0.000E+000
 7.600E+001, 0.000E+000
 7.800E+001, 5.263E-010
 8.001E+001, 6.854E-009
 8.201E+001, 2.763E-008
 8.400E+001, 8.252E-008
 8.601E+001, 1.967E-007
 8.801E+001, 4.051E-007
 9.001E+001, 7.967E-007
 9.200E+001, 1.476E-006
 9.400E+001, 2.650E-006
 9.600E+001, 4.652E-006
 9.801E+001, 8.001E-006
 1.000E+002, 1.348E-005
 1.020E+002, 2.238E-005
 1.040E+002, 3.667E-005
 1.060E+002, 5.901E-005
 1.080E+002, 9.336E-005
 1.100E+002, 1.469E-004
 1.120E+002, 2.284E-004
 1.140E+002, 3.509E-004
 1.160E+002, 5.332E-004
 1.180E+002, 8.006E-004
 1.200E+002, 1.190E-003
 1.220E+002, 1.752E-003
 1.240E+002, 2.548E-003
 1.260E+002, 3.676E-003
 1.280E+002, 5.257E-003
 1.300E+002, 7.386E-003
 1.320E+002, 1.035E-002
 1.340E+002, 1.443E-002
 1.360E+002, 1.990E-002
 1.380E+002, 2.723E-002
 1.400E+002, 3.706E-002
 1.420E+002, 5.011E-002
 1.440E+002, 6.700E-002
 1.460E+002, 8.890E-002
 1.480E+002, 1.173E-001
 1.500E+002, 1.538E-001
 1.520E+002, 1.994E-001
 1.540E+002, 2.588E-001
 1.560E+002, 3.345E-001
 1.580E+002, 4.292E-001
 1.600E+002, 5.467E-001
 1.620E+002, 6.955E-001
 1.640E+002, 8.789E-001
 1.660E+002, 1.116E+000
 1.680E+002, 1.413E+000
 1.700E+002, 1.777E+000
 1.720E+002, 2.237E+000
 1.740E+002, 2.815E+000
 1.760E+002, 3.546E+000
 1.780E+002, 4.490E+000
 1.800E+002, 5.701E+000
 1.820E+002, 7.343E+000
 1.840E+002, 9.545E+000
 1.860E+002, 1.304E+001
 1.880E+002, 1.911E+001
 1.900E+002, 2.756E+001
 1.920E+002, 3.802E+001
 1.940E+002, 5.012E+001
 1.960E+002, 6.443E+001
 1.980E+002, 7.796E+001
 2.000E+002, 9.376E+001
 2.020E+002, 1.092E+002
 2.040E+002, 1.249E+002
 2.060E+002, 1.443E+002
 2.080E+002, 1.599E+002
 2.100E+002, 1.751E+002
 2.120E+002, 1.867E+002
 2.140E+002, 1.967E+002
 2.160E+002, 2.098E+002
 2.180E+002, 2.153E+002
 2.200E+002, 2.214E+002
 2.220E+002, 2.270E+002
 2.240E+002, 2.242E+002
 2.260E+002, 2.301E+002
 2.280E+002, 2.257E+002
 2.300E+002, 2.311E+002
 2.320E+002, 2.324E+002
 2.340E+002, 2.307E+002
 2.360E+002, 2.343E+002
 2.380E+002, 2.304E+002
 2.400E+002, 2.325E+002
 2.420E+002, 2.299E+002
 2.440E+002, 2.303E+002
 2.460E+002, 2.291E+002
 2.480E+002, 2.273E+002
 2.500E+002, 2.317E+002
 2.520E+002, 2.300E+002
 2.540E+002, 2.310E+002
 2.560E+002, 2.297E+002
 2.580E+002, 2.278E+002
 2.600E+002, 2.266E+002
 2.620E+002, 2.246E+002
 2.640E+002, 2.271E+002
 2.660E+002, 2.251E+002
 2.680E+002, 2.222E+002
 2.700E+002, 2.192E+002
 2.720E+002, 2.204E+002
 2.740E+002, 2.187E+002
 2.760E+002, 2.206E+002
 2.780E+002, 2.195E+002
 2.800E+002, 2.158E+002
 2.820E+002, 2.149E+002
 2.840E+002, 2.118E+002
 2.860E+002, 2.104E+002
 2.880E+002, 2.083E+002
 2.900E+002, 2.042E+002
 2.920E+002, 2.050E+002
 2.940E+002, 2.019E+002
 2.960E+002, 2.012E+002
 2.980E+002, 1.972E+002
 3.000E+002, 1.943E+002
 3.020E+002, 1.917E+002
 3.040E+002, 1.877E+002
 3.060E+002, 1.818E+002
 3.080E+002, 1.709E+002
 3.100E+002, 1.612E+002
 3.120E+002, 1.563E+002
 3.140E+002, 1.519E+002
 3.160E+002, 1.473E+002
 3.180E+002, 1.438E+002
 3.200E+002, 1.377E+002
 3.220E+002, 1.340E+002
 3.240E+002, 1.304E+002
 3.260E+002, 1.262E+002
 3.280E+002, 1.246E+002
 3.300E+002, 1.201E+002
 3.320E+002, 1.173E+002
 3.340E+002, 1.133E+002
 3.360E+002, 1.099E+002
 3.380E+002, 1.077E+002
 3.400E+002, 1.059E+002
 3.420E+002, 1.033E+002
 3.440E+002, 1.023E+002
 3.460E+002, 9.941E+001
 3.480E+002, 9.862E+001
 3.500E+002, 9.574E+001
 3.520E+002, 9.268E+001
 3.540E+002, 9.043E+001
 3.560E+002, 8.766E+001
 3.580E+002, 8.560E+001
 3.600E+002, 8.338E+001
 3.620E+002, 8.186E+001
 3.640E+002, 7.990E+001
 3.660E+002, 7.918E+001
 3.680E+002, 7.764E+001
 3.700E+002, 7.591E+001
 3.720E+002, 7.386E+001
 3.740E+002, 7.243E+001
 3.760E+002, 7.142E+001
 3.780E+002, 6.998E+001
 3.800E+002, 6.859E+001
 3.820E+002, 6.721E+001
 3.840E+002, 6.577E+001
 3.860E+002, 6.420E+001
 3.880E+002, 6.265E+001
 3.900E+002, 6.158E+001
 3.920E+002, 6.086E+001
 3.940E+002, 5.978E+001
 3.960E+002, 5.846E+001
 3.980E+002, 5.728E+001
 4.000E+002, 5.619E+001
 4.020E+002, 5.527E+001
 4.040E+002, 5.452E+001
 4.060E+002, 5.416E+001
 4.080E+002, 5.354E+001
 4.100E+002, 5.297E+001
 4.120E+002, 5.213E+001
 4.140E+002, 5.116E+001
 4.160E+002, 5.031E+001
 4.180E+002, 4.944E+001
 4.200E+002, 4.861E+001
 4.220E+002, 4.775E+001
 4.240E+002, 4.693E+001
 4.260E+002, 4.621E+001
 4.280E+002, 4.563E+001
 4.300E+002, 4.501E+001
 4.320E+002, 4.430E+001
 4.340E+002, 4.355E+001
 4.360E+002, 4.283E+001
 4.380E+002, 4.212E+001
 4.400E+002, 4.145E+001
 4.420E+002, 4.093E+001
 4.440E+002, 4.031E+001
 4.460E+002, 3.968E+001
 4.480E+002, 3.922E+001
 4.500E+002, 3.873E+001
 4.520E+002, 3.841E+001
 4.540E+002, 3.838E+001
 4.560E+002, 3.838E+001
 4.580E+002, 3.806E+001
 4.600E+002, 3.764E+001
 4.620E+002, 3.688E+001
 4.640E+002, 3.611E+001
 4.660E+002, 3.540E+001
 4.680E+002, 3.476E+001
 4.700E+002, 3.428E+001
 4.720E+002, 3.390E+001
 4.740E+002, 3.348E+001
 4.760E+002, 3.312E+001
 4.780E+002, 3.273E+001
 4.800E+002, 3.240E+001
 4.820E+002, 3.217E+001
 4.840E+002, 3.204E+001
 4.860E+002, 3.189E+001
 4.880E+002, 3.154E+001
 4.900E+002, 3.111E+001
 4.920E+002, 3.052E+001
 4.940E+002, 3.005E+001
 4.960E+002, 2.973E+001
 4.980E+002, 2.937E+001
 5.000E+002, 2.901E+001
 5.020E+002, 2.869E+001
 5.040E+002, 2.829E+001
 5.060E+002, 2.790E+001
 5.080E+002, 2.761E+001
 5.100E+002, 2.735E+001
 5.120E+002, 2.701E+001
 5.140E+002, 2.672E+001
 5.160E+002, 2.644E+001
 5.180E+002, 2.616E+001
 5.200E+002, 2.592E+001
 5.220E+002, 2.578E+001
 5.240E+002, 2.550E+001
 5.260E+002, 2.520E+001
 5.280E+002, 2.491E+001
 5.300E+002, 2.463E+001
 5.320E+002, 2.440E+001
 5.340E+002, 2.416E+001
 5.360E+002, 2.384E+001
 5.380E+002, 2.362E+001
 5.400E+002, 2.339E+001
 5.420E+002, 2.320E+001
 5.440E+002, 2.298E+001
 5.460E+002, 2.271E+001
 5.480E+002, 2.246E+001
 5.500E+002, 2.230E+001
 5.520E+002, 2.210E+001
 5.540E+002, 2.186E+001
 5.560E+002, 2.162E+001
 5.580E+002, 2.138E+001
 5.600E+002, 2.118E+001
 5.620E+002, 2.099E+001
 5.640E+002, 2.081E+001
 5.660E+002, 2.061E+001
 5.680E+002, 2.042E+001
 5.700E+002, 2.024E+001
 5.720E+002, 2.004E+001
 5.740E+002, 1.987E+001
 5.760E+002, 1.969E+001
 5.780E+002, 1.952E+001
 5.800E+002, 1.932E+001
 5.820E+002, 1.912E+001
 5.840E+002, 1.891E+001
 5.860E+002, 1.871E+001
 5.880E+002, 1.854E+001
 5.900E+002, 1.836E+001
 5.920E+002, 1.823E+001
 5.940E+002, 1.807E+001
 5.960E+002, 1.788E+001
 5.980E+002, 1.772E+001
 6.000E+002, 1.762E+001
