s,kW,C,kg/m2/s,m,kW/m2
Time,"HRR","temp","MLR","thick","flux"
 0.000E+000, 0.000E+000, 2.000E+001, 0.000E+000, 2.100E-002,-4.653E-011
 2.012E+000, 0.000E+000, 5.129E+001, 2.529E-024, 2.100E-002, 5.004E+001
 4.004E+000, 0.000E+000, 9.710E+001, 1.196E-018, 2.100E-002, 5.024E+001
 6.010E+000, 0.000E+000, 1.314E+002, 7.956E-015, 2.100E-002, 5.038E+001
 8.003E+000, 6.274E-010, 1.597E+002, 5.139E-012, 2.100E-002, 5.046E+001
 1.000E+001, 1.076E-006, 1.839E+002, 8.095E-010, 2.100E-002, 5.050E+001
 1.200E+001, 6.714E-005, 2.057E+002, 5.192E-008, 2.100E-002, 5.068E+001
 1.401E+001, 2.063E-003, 2.248E+002, 1.589E-006, 2.100E-002, 5.064E+001
 1.601E+001, 3.744E-002, 2.421E+002, 2.863E-005, 2.100E-002, 5.069E+001
 1.801E+001, 4.524E-001, 2.585E+002, 3.693E-004, 2.100E-002, 5.113E+001
 2.001E+001, 3.925E+000, 2.744E+002, 3.719E-003, 2.100E-002, 5.338E+001
 2.200E+001, 2.384E+001, 2.941E+002, 3.724E-002, 2.100E-002, 7.108E+001
 2.400E+001, 6.750E+001, 3.073E+002, 6.975E-002, 2.100E-002, 7.602E+001
 2.600E+001, 9.181E+001, 3.389E+002, 5.488E-002, 2.100E-002, 7.699E+001
 2.800E+001, 9.646E+001, 3.613E+002, 5.661E-002, 2.100E-002, 7.577E+001
 3.000E+001, 7.840E+001, 3.977E+002, 4.009E-002, 2.100E-002, 7.988E+001
 3.200E+001, 8.174E+001, 4.189E+002, 6.232E-002, 2.100E-002, 7.898E+001
 3.400E+001, 6.926E+001, 4.378E+002, 2.044E-002, 2.100E-002, 7.913E+001
 3.600E+001, 6.372E+001, 4.615E+002, 5.054E-002, 2.100E-002, 8.046E+001
 3.800E+001, 6.683E+001, 4.743E+002, 4.432E-002, 2.100E-002, 8.193E+001
 4.000E+001, 6.853E+001, 4.895E+002, 1.840E-002, 2.100E-002, 8.287E+001
 4.200E+001, 6.878E+001, 5.009E+002, 4.157E-002, 2.100E-002, 8.256E+001
 4.400E+001, 6.256E+001, 5.078E+002, 4.410E-002, 2.100E-002, 8.416E+001
 4.600E+001, 6.814E+001, 5.132E+002, 2.194E-002, 2.100E-002, 8.518E+001
 4.800E+001, 7.413E+001, 5.188E+002, 2.164E-002, 2.100E-002, 8.484E+001
 5.000E+001, 7.713E+001, 5.210E+002, 3.323E-002, 2.100E-002, 8.257E+001
 5.200E+001, 7.529E+001, 5.251E+002, 3.640E-002, 2.100E-002, 8.437E+001
 5.400E+001, 7.331E+001, 5.290E+002, 3.215E-002, 2.100E-002, 8.446E+001
 5.600E+001, 8.255E+001, 5.315E+002, 1.628E-002, 2.100E-002, 8.347E+001
 5.800E+001, 8.764E+001, 5.373E+002, 2.085E-002, 2.100E-002, 8.541E+001
 6.000E+001, 9.175E+001, 5.402E+002, 2.870E-002, 2.100E-002, 8.363E+001
 6.200E+001, 9.131E+001, 5.427E+002, 3.171E-002, 2.100E-002, 8.234E+001
 6.400E+001, 9.089E+001, 5.482E+002, 3.069E-002, 2.100E-002, 8.298E+001
 6.600E+001, 9.879E+001, 5.517E+002, 2.158E-002, 2.100E-002, 8.393E+001
 6.800E+001, 1.049E+002, 5.588E+002, 1.604E-002, 2.100E-002, 8.528E+001
 7.000E+001, 1.085E+002, 5.631E+002, 2.404E-002, 2.100E-002, 8.497E+001
 7.200E+001, 1.124E+002, 5.640E+002, 2.883E-002, 2.100E-002, 8.256E+001
 7.400E+001, 1.128E+002, 5.681E+002, 3.013E-002, 2.100E-002, 8.426E+001
 7.600E+001, 1.128E+002, 5.733E+002, 2.766E-002, 2.100E-002, 8.517E+001
 7.800E+001, 1.199E+002, 5.714E+002, 1.810E-002, 2.100E-002, 8.229E+001
 8.000E+001, 1.251E+002, 5.748E+002, 1.782E-002, 2.100E-002, 8.251E+001
 8.200E+001, 1.299E+002, 5.796E+002, 2.416E-002, 2.100E-002, 8.381E+001
 8.400E+001, 1.315E+002, 5.805E+002, 2.748E-002, 2.100E-002, 8.209E+001
 8.600E+001, 1.308E+002, 5.860E+002, 2.825E-002, 2.100E-002, 8.406E+001
 8.800E+001, 1.271E+002, 5.878E+002, 2.547E-002, 2.100E-002, 8.294E+001
 9.000E+001, 1.262E+002, 5.936E+002, 1.823E-002, 2.100E-002, 8.472E+001
 9.200E+001, 1.317E+002, 5.937E+002, 1.878E-002, 2.100E-002, 8.381E+001
 9.400E+001, 1.358E+002, 6.009E+002, 2.455E-002, 2.100E-002, 8.715E+001
 9.600E+001, 1.374E+002, 6.037E+002, 2.779E-002, 2.100E-002, 8.526E+001
 9.800E+001, 1.386E+002, 6.004E+002, 2.799E-002, 2.100E-002, 8.237E+001
 1.000E+002, 1.368E+002, 6.052E+002, 2.497E-002, 2.100E-002, 8.529E+001
 1.020E+002, 1.340E+002, 6.120E+002, 1.902E-002, 2.100E-002, 8.656E+001
 1.040E+002, 1.341E+002, 6.111E+002, 2.028E-002, 2.100E-002, 8.470E+001
 1.060E+002, 1.370E+002, 6.141E+002, 2.511E-002, 2.100E-002, 8.567E+001
 1.080E+002, 1.385E+002, 6.212E+002, 2.773E-002, 2.100E-002, 8.808E+001
 1.100E+002, 1.394E+002, 6.199E+002, 2.789E-002, 2.100E-002, 8.492E+001
 1.120E+002, 1.379E+002, 6.226E+002, 2.484E-002, 2.100E-002, 8.679E+001
 1.140E+002, 1.365E+002, 6.250E+002, 1.987E-002, 2.100E-002, 8.573E+001
 1.160E+002, 1.376E+002, 6.268E+002, 2.253E-002, 2.100E-002, 8.651E+001
 1.180E+002, 1.370E+002, 6.293E+002, 2.666E-002, 2.100E-002, 8.563E+001
 1.200E+002, 1.387E+002, 6.262E+002, 2.818E-002, 2.100E-002, 8.363E+001
 1.220E+002, 1.381E+002, 6.290E+002, 2.736E-002, 2.100E-002, 8.505E+001
 1.240E+002, 1.375E+002, 6.296E+002, 2.377E-002, 2.100E-002, 8.344E+001
 1.260E+002, 1.384E+002, 6.339E+002, 2.115E-002, 2.100E-002, 8.615E+001
 1.280E+002, 1.397E+002, 6.371E+002, 2.517E-002, 2.100E-002, 8.574E+001
 1.300E+002, 1.419E+002, 6.451E+002, 2.827E-002, 2.100E-002, 8.986E+001
