s,kW,C,kg/m2/s,m,kW/m2
Time,"HRR","temp","MLR","thick","flux"
 0.000E+000, 0.000E+000, 2.000E+001, 0.000E+000, 2.100E-002,-4.653E-011
 2.012E+000, 0.000E+000, 6.690E+001, 2.377E-020, 2.100E-002, 7.506E+001
 4.010E+000, 0.000E+000, 1.355E+002, 2.458E-013, 2.100E-002, 7.538E+001
 6.010E+000, 7.361E-006, 1.863E+002, 5.620E-009, 2.100E-002, 7.561E+001
 8.006E+000, 8.518E-003, 2.275E+002, 6.325E-006, 2.100E-002, 7.565E+001
 1.000E+001, 1.704E+000, 2.631E+002, 1.335E-003, 2.100E-002, 7.663E+001
 1.200E+001, 5.662E+001, 2.965E+002, 5.380E-002, 2.100E-002, 9.642E+001
 1.400E+001, 1.452E+002, 3.200E+002, 7.260E-002, 2.100E-002, 9.832E+001
 1.600E+001, 1.369E+002, 3.728E+002, 8.874E-002, 2.100E-002, 1.009E+002
 1.800E+001, 1.182E+002, 4.180E+002, 4.313E-002, 2.100E-002, 1.024E+002
 2.000E+001, 1.017E+002, 4.578E+002, 6.930E-002, 2.100E-002, 1.057E+002
 2.200E+001, 1.147E+002, 4.893E+002, 3.773E-002, 2.100E-002, 1.045E+002
 2.400E+001, 1.305E+002, 5.121E+002, 6.955E-002, 2.100E-002, 1.081E+002
 2.600E+001, 1.273E+002, 5.240E+002, 2.140E-002, 2.100E-002, 1.087E+002
 2.800E+001, 1.819E+002, 5.337E+002, 4.266E-002, 2.100E-002, 1.089E+002
 3.000E+001, 1.913E+002, 5.386E+002, 5.333E-002, 2.100E-002, 1.065E+002
 3.200E+001, 2.055E+002, 5.431E+002, 3.323E-002, 2.100E-002, 1.053E+002
 3.400E+001, 2.379E+002, 5.513E+002, 2.022E-002, 2.100E-002, 1.049E+002
 3.600E+001, 2.458E+002, 5.627E+002, 3.848E-002, 2.100E-002, 1.065E+002
 3.800E+001, 2.378E+002, 5.718E+002, 4.534E-002, 2.100E-002, 1.060E+002
 4.000E+001, 2.450E+002, 5.868E+002, 3.598E-002, 2.100E-002, 1.120E+002
 4.200E+001, 2.461E+002, 5.932E+002, 1.902E-002, 2.100E-002, 1.083E+002
 4.400E+001, 2.504E+002, 5.933E+002, 3.435E-002, 2.100E-002, 1.052E+002
 4.600E+001, 2.411E+002, 6.000E+002, 4.159E-002, 2.100E-002, 1.062E+002
 4.800E+001, 2.236E+002, 6.083E+002, 3.864E-002, 2.100E-002, 1.086E+002
 5.000E+001, 2.189E+002, 6.192E+002, 1.906E-002, 2.100E-002, 1.115E+002
 5.200E+001, 2.260E+002, 6.267E+002, 2.772E-002, 2.100E-002, 1.098E+002
 5.400E+001, 2.295E+002, 6.330E+002, 3.816E-002, 2.100E-002, 1.092E+002
 5.600E+001, 2.269E+002, 6.327E+002, 3.972E-002, 2.100E-002, 1.071E+002
 5.800E+001, 2.115E+002, 6.355E+002, 2.801E-002, 2.100E-002, 1.082E+002
 6.000E+001, 1.985E+002, 6.404E+002, 1.889E-002, 2.100E-002, 1.066E+002
 6.200E+001, 2.100E+002, 6.429E+002, 2.985E-002, 2.100E-002, 1.067E+002
 6.400E+001, 2.125E+002, 6.531E+002, 3.582E-002, 2.100E-002, 1.104E+002
 6.600E+001, 2.126E+002, 6.614E+002, 3.609E-002, 2.100E-002, 1.121E+002
 6.800E+001, 2.018E+002, 6.659E+002, 2.457E-002, 2.100E-002, 1.107E+002
 7.000E+001, 1.964E+002, 6.653E+002, 2.088E-002, 2.100E-002, 1.092E+002
 7.200E+001, 2.012E+002, 6.747E+002, 3.088E-002, 2.100E-002, 1.132E+002
 7.400E+001, 2.009E+002, 6.750E+002, 3.540E-002, 2.100E-002, 1.101E+002
 7.600E+001, 1.971E+002, 6.771E+002, 3.405E-002, 2.100E-002, 1.092E+002
 7.800E+001, 1.931E+002, 6.781E+002, 2.290E-002, 2.100E-002, 1.095E+002
 8.000E+001, 1.893E+002, 6.816E+002, 2.108E-002, 2.100E-002, 1.093E+002
 8.200E+001, 1.919E+002, 6.900E+002, 2.974E-002, 2.100E-002, 1.123E+002
 8.400E+001, 1.903E+002, 6.933E+002, 3.387E-002, 2.100E-002, 1.114E+002
 8.600E+001, 1.899E+002, 6.961E+002, 3.318E-002, 2.100E-002, 1.107E+002
 8.800E+001, 1.877E+002, 6.926E+002, 2.409E-002, 2.100E-002, 1.080E+002
 9.000E+001, 1.897E+002, 6.925E+002, 2.154E-002, 2.100E-002, 1.073E+002
 9.200E+001, 1.897E+002, 6.978E+002, 2.906E-002, 2.100E-002, 1.104E+002
 9.400E+001, 1.854E+002, 7.030E+002, 3.274E-002, 2.100E-002, 1.102E+002
 9.600E+001, 1.828E+002, 7.054E+002, 3.225E-002, 2.100E-002, 1.102E+002
 9.800E+001, 1.824E+002, 7.090E+002, 2.535E-002, 2.100E-002, 1.115E+002
 1.000E+002, 1.868E+002, 7.118E+002, 2.278E-002, 2.100E-002, 1.108E+002
 1.020E+002, 1.911E+002, 7.109E+002, 2.993E-002, 2.100E-002, 1.085E+002
 1.040E+002, 1.880E+002, 7.176E+002, 3.324E-002, 2.100E-002, 1.126E+002
 1.060E+002, 1.842E+002, 7.247E+002, 3.278E-002, 2.100E-002, 1.155E+002
 1.080E+002, 1.809E+002, 7.243E+002, 2.648E-002, 2.100E-002, 1.130E+002
 1.100E+002, 1.844E+002, 7.257E+002, 2.573E-002, 2.100E-002, 1.132E+002
 1.120E+002, 1.888E+002, 7.244E+002, 3.203E-002, 2.100E-002, 1.097E+002
 1.140E+002, 1.909E+002, 7.250E+002, 3.430E-002, 2.100E-002, 1.107E+002
 1.160E+002, 1.842E+002, 7.279E+002, 3.250E-002, 2.100E-002, 1.109E+002
 1.180E+002, 1.814E+002, 7.295E+002, 2.667E-002, 2.100E-002, 1.106E+002
 1.200E+002, 1.866E+002, 7.326E+002, 3.009E-002, 2.100E-002, 1.124E+002
 1.220E+002, 1.940E+002, 7.385E+002, 3.486E-002, 2.100E-002, 1.151E+002
 1.240E+002, 1.918E+002, 7.403E+002, 3.577E-002, 2.100E-002, 1.126E+002
 1.260E+002, 1.891E+002, 7.381E+002, 3.205E-002, 2.100E-002, 1.113E+002
 1.280E+002, 1.893E+002, 7.421E+002, 3.047E-002, 2.100E-002, 1.133E+002
 1.300E+002, 1.932E+002, 7.435E+002, 3.597E-002, 2.100E-002, 1.125E+002
