s,kW,C,kg/s,m,kW/m2
Time,"HRR","temp","MLR","thick","flux"
 0.000E+000, 0.000E+000, 2.000E+001, 0.000E+000, 1.900E-002,-4.813E-011
 2.012E+000, 0.000E+000, 4.326E+001, 9.502E-021, 1.900E-002, 5.003E+001
 4.003E+000, 0.000E+000, 7.530E+001, 3.775E-018, 1.900E-002, 5.016E+001
 6.018E+000, 0.000E+000, 9.852E+001, 2.433E-016, 1.900E-002, 5.028E+001
 8.001E+000, 0.000E+000, 1.175E+002, 5.585E-015, 1.900E-002, 5.032E+001
 1.001E+001, 0.000E+000, 1.339E+002, 7.064E-014, 1.900E-002, 5.035E+001
 1.201E+001, 0.000E+000, 1.486E+002, 5.825E-013, 1.900E-002, 5.037E+001
 1.400E+001, 3.260E-008, 1.617E+002, 3.508E-012, 1.900E-002, 5.039E+001
 1.601E+001, 2.773E-007, 1.739E+002, 1.681E-011, 1.900E-002, 5.051E+001
 1.801E+001, 1.211E-006, 1.854E+002, 6.724E-011, 1.900E-002, 5.061E+001
 2.001E+001, 4.293E-006, 1.959E+002, 2.309E-010, 1.900E-002, 5.056E+001
 2.201E+001, 1.329E-005, 2.056E+002, 7.047E-010, 1.900E-002, 5.053E+001
 2.401E+001, 3.706E-005, 2.151E+002, 1.953E-009, 1.900E-002, 5.065E+001
 2.601E+001, 9.472E-005, 2.243E+002, 4.975E-009, 1.900E-002, 5.077E+001
 2.801E+001, 2.259E-004, 2.329E+002, 1.184E-008, 1.900E-002, 5.075E+001
 3.001E+001, 5.071E-004, 2.411E+002, 2.653E-008, 1.900E-002, 5.077E+001
 3.200E+001, 1.078E-003, 2.494E+002, 5.631E-008, 1.900E-002, 5.098E+001
 3.400E+001, 2.195E-003, 2.571E+002, 1.146E-007, 1.900E-002, 5.090E+001
 3.601E+001, 4.309E-003, 2.647E+002, 2.246E-007, 1.900E-002, 5.101E+001
 3.801E+001, 8.141E-003, 2.719E+002, 4.240E-007, 1.900E-002, 5.097E+001
 4.000E+001, 1.491E-002, 2.793E+002, 7.758E-007, 1.900E-002, 5.115E+001
 4.200E+001, 2.658E-002, 2.863E+002, 1.382E-006, 1.900E-002, 5.116E+001
 4.400E+001, 4.613E-002, 2.932E+002, 2.398E-006, 1.900E-002, 5.116E+001
 4.601E+001, 7.834E-002, 3.000E+002, 4.070E-006, 1.900E-002, 5.127E+001
 4.800E+001, 1.302E-001, 3.067E+002, 6.761E-006, 1.900E-002, 5.139E+001
 5.000E+001, 2.120E-001, 3.132E+002, 1.100E-005, 1.900E-002, 5.138E+001
 5.200E+001, 3.390E-001, 3.194E+002, 1.759E-005, 1.900E-002, 5.136E+001
 5.400E+001, 5.345E-001, 3.257E+002, 2.770E-005, 1.900E-002, 5.153E+001
 5.601E+001, 8.300E-001, 3.319E+002, 4.301E-005, 1.900E-002, 5.163E+001
 5.801E+001, 1.274E+000, 3.380E+002, 6.600E-005, 1.900E-002, 5.170E+001
 6.000E+001, 1.933E+000, 3.441E+002, 1.001E-004, 1.900E-002, 5.231E+001
 6.201E+001, 2.911E+000, 3.513E+002, 1.507E-004, 1.900E-002, 5.355E+001
 6.400E+001, 4.354E+000, 3.588E+002, 2.255E-004, 1.900E-002, 5.484E+001
 6.601E+001, 6.512E+000, 3.675E+002, 3.371E-004, 1.900E-002, 5.770E+001
 6.801E+001, 9.780E+000, 3.767E+002, 5.057E-004, 1.900E-002, 5.997E+001
 7.000E+001, 1.483E+001, 3.864E+002, 7.672E-004, 1.900E-002, 6.314E+001
 7.200E+001, 2.338E+001, 4.008E+002, 1.214E-003, 1.900E-002, 7.071E+001
 7.400E+001, 3.897E+001, 4.175E+002, 2.039E-003, 1.900E-002, 8.003E+001
 7.600E+001, 6.737E+001, 4.304E+002, 3.538E-003, 1.900E-002, 8.050E+001
 7.800E+001, 1.147E+002, 4.396E+002, 6.096E-003, 1.900E-002, 8.139E+001
 8.000E+001, 1.870E+002, 4.446E+002, 9.968E-003, 1.900E-002, 7.744E+001
 8.200E+001, 2.877E+002, 4.505E+002, 1.533E-002, 1.900E-002, 7.836E+001
 8.400E+001, 4.113E+002, 4.574E+002, 2.203E-002, 1.900E-002, 7.728E+001
 8.600E+001, 5.452E+002, 4.650E+002, 2.890E-002, 1.900E-002, 7.707E+001
 8.800E+001, 6.663E+002, 4.777E+002, 3.498E-002, 1.900E-002, 7.794E+001
 9.000E+001, 7.489E+002, 5.001E+002, 3.926E-002, 1.900E-002, 7.820E+001
 9.200E+001, 7.624E+002, 5.304E+002, 3.917E-002, 1.900E-002, 7.767E+001
 9.400E+001, 7.264E+002, 5.444E+002, 3.737E-002, 1.900E-002, 7.870E+001
 9.600E+001, 6.992E+002, 5.498E+002, 3.625E-002, 1.900E-002, 7.795E+001
 9.800E+001, 7.369E+002, 5.603E+002, 3.778E-002, 1.900E-002, 7.969E+001
 1.000E+002, 7.297E+002, 5.697E+002, 3.802E-002, 1.900E-002, 7.883E+001
 1.020E+002, 6.971E+002, 5.812E+002, 3.550E-002, 1.900E-002, 7.912E+001
 1.040E+002, 6.464E+002, 5.983E+002, 3.248E-002, 1.900E-002, 7.974E+001
 1.060E+002, 5.822E+002, 6.126E+002, 2.968E-002, 1.901E-002, 7.982E+001
 1.080E+002, 5.902E+002, 6.221E+002, 3.052E-002, 1.901E-002, 8.141E+001
 1.100E+002, 6.312E+002, 6.303E+002, 3.314E-002, 1.901E-002, 8.210E+001
 1.120E+002, 6.625E+002, 6.257E+002, 3.423E-002, 1.901E-002, 7.864E+001
 1.140E+002, 6.630E+002, 6.314E+002, 3.372E-002, 1.901E-002, 8.062E+001
 1.160E+002, 6.433E+002, 6.388E+002, 3.309E-002, 1.901E-002, 8.113E+001
 1.180E+002, 6.228E+002, 6.439E+002, 3.195E-002, 1.901E-002, 8.027E+001
 1.200E+002, 6.028E+002, 6.509E+002, 3.052E-002, 1.901E-002, 8.071E+001
 1.220E+002, 5.915E+002, 6.582E+002, 3.067E-002, 1.901E-002, 8.071E+001
 1.240E+002, 6.218E+002, 6.634E+002, 3.241E-002, 1.901E-002, 8.063E+001
 1.260E+002, 6.557E+002, 6.630E+002, 3.381E-002, 1.901E-002, 7.958E+001
 1.280E+002, 6.683E+002, 6.668E+002, 3.458E-002, 1.901E-002, 8.009E+001
 1.300E+002, 6.739E+002, 6.693E+002, 3.448E-002, 1.901E-002, 8.042E+001
 1.320E+002, 6.552E+002, 6.745E+002, 3.360E-002, 1.901E-002, 8.110E+001
 1.340E+002, 6.373E+002, 6.795E+002, 3.229E-002, 1.901E-002, 8.219E+001
 1.360E+002, 6.133E+002, 6.821E+002, 3.140E-002, 1.901E-002, 8.177E+001
 1.380E+002, 6.092E+002, 6.914E+002, 3.151E-002, 1.901E-002, 8.390E+001
 1.400E+002, 6.249E+002, 6.916E+002, 3.230E-002, 1.901E-002, 8.125E+001
 1.420E+002, 6.392E+002, 7.020E+002, 3.294E-002, 1.901E-002, 8.626E+001
 1.440E+002, 6.468E+002, 7.002E+002, 3.322E-002, 1.901E-002, 8.228E+001
 1.460E+002, 6.330E+002, 6.963E+002, 3.281E-002, 1.901E-002, 8.084E+001
 1.480E+002, 6.249E+002, 6.975E+002, 3.181E-002, 1.901E-002, 8.132E+001
