s,kW,C,kg/s,m,kW/m2
Time,"HRR","temp","MLR","thick","flux"
 0.000E+000, 0.000E+000, 2.000E+001, 0.000E+000, 1.900E-002,-4.759E-011
 2.012E+000, 0.000E+000, 5.194E+001, 2.369E-019, 1.900E-002, 7.003E+001
 4.020E+000, 0.000E+000, 9.734E+001, 4.561E-016, 1.900E-002, 7.020E+001
 6.016E+000, 0.000E+000, 1.306E+002, 6.964E-014, 1.900E-002, 7.034E+001
 8.003E+000, 2.433E-008, 1.579E+002, 2.829E-012, 1.900E-002, 7.043E+001
 1.001E+001, 9.110E-007, 1.813E+002, 5.253E-011, 1.900E-002, 7.048E+001
 1.201E+001, 1.046E-005, 2.025E+002, 5.715E-010, 1.900E-002, 7.066E+001
 1.401E+001, 7.814E-005, 2.213E+002, 4.205E-009, 1.900E-002, 7.063E+001
 1.600E+001, 4.326E-004, 2.383E+002, 2.309E-008, 1.900E-002, 7.064E+001
 1.800E+001, 1.902E-003, 2.543E+002, 1.010E-007, 1.900E-002, 7.084E+001
 2.001E+001, 7.008E-003, 2.695E+002, 3.706E-007, 1.900E-002, 7.100E+001
 2.201E+001, 2.227E-002, 2.832E+002, 1.174E-006, 1.900E-002, 7.097E+001
 2.401E+001, 6.280E-002, 2.960E+002, 3.299E-006, 1.900E-002, 7.102E+001
 2.601E+001, 1.601E-001, 3.085E+002, 8.393E-006, 1.900E-002, 7.126E+001
 2.801E+001, 3.750E-001, 3.203E+002, 1.962E-005, 1.900E-002, 7.133E+001
 3.000E+001, 8.175E-001, 3.316E+002, 4.267E-005, 1.900E-002, 7.151E+001
 3.201E+001, 1.681E+000, 3.423E+002, 8.765E-005, 1.900E-002, 7.164E+001
 3.401E+001, 3.296E+000, 3.532E+002, 1.716E-004, 1.900E-002, 7.179E+001
 3.600E+001, 6.198E+000, 3.643E+002, 3.222E-004, 1.900E-002, 7.310E+001
 3.801E+001, 1.133E+001, 3.769E+002, 5.884E-004, 1.900E-002, 7.729E+001
 4.000E+001, 2.071E+001, 3.934E+002, 1.077E-003, 1.900E-002, 8.777E+001
 4.200E+001, 4.050E+001, 4.142E+002, 2.139E-003, 1.899E-002, 1.000E+002
 4.400E+001, 8.498E+001, 4.288E+002, 4.538E-003, 1.897E-002, 1.001E+002
 4.600E+001, 1.648E+002, 4.357E+002, 8.903E-003, 1.894E-002, 9.975E+001
 4.800E+001, 2.882E+002, 4.405E+002, 1.541E-002, 1.889E-002, 1.004E+002
 5.000E+001, 4.347E+002, 4.448E+002, 2.309E-002, 1.884E-002, 1.031E+002
 5.200E+001, 5.718E+002, 4.428E+002, 3.055E-002, 1.878E-002, 1.023E+002
 5.400E+001, 6.877E+002, 4.434E+002, 3.581E-002, 1.872E-002, 1.008E+002
 5.600E+001, 7.774E+002, 4.465E+002, 4.034E-002, 1.866E-002, 1.026E+002
 5.800E+001, 8.419E+002, 4.479E+002, 4.432E-002, 1.859E-002, 1.008E+002
 6.000E+001, 8.946E+002, 4.496E+002, 4.682E-002, 1.852E-002, 1.020E+002
 6.200E+001, 9.227E+002, 4.456E+002, 4.808E-002, 1.844E-002, 1.027E+002
 6.400E+001, 9.738E+002, 4.488E+002, 5.031E-002, 1.837E-002, 1.044E+002
 6.600E+001, 9.839E+002, 4.501E+002, 5.223E-002, 1.829E-002, 1.026E+002
 6.800E+001, 1.038E+003, 4.516E+002, 5.447E-002, 1.820E-002, 1.035E+002
 7.000E+001, 1.076E+003, 4.478E+002, 5.564E-002, 1.812E-002, 1.035E+002
 7.200E+001, 1.081E+003, 4.503E+002, 5.783E-002, 1.803E-002, 1.036E+002
 7.400E+001, 1.155E+003, 4.532E+002, 6.074E-002, 1.794E-002, 1.058E+002
 7.600E+001, 1.185E+003, 4.508E+002, 6.159E-002, 1.784E-002, 1.032E+002
 7.800E+001, 1.177E+003, 4.506E+002, 6.337E-002, 1.774E-002, 1.031E+002
 8.000E+001, 1.244E+003, 4.529E+002, 6.670E-002, 1.764E-002, 1.033E+002
 8.200E+001, 1.320E+003, 4.538E+002, 7.005E-002, 1.753E-002, 1.070E+002
 8.400E+001, 1.334E+003, 4.527E+002, 7.149E-002, 1.742E-002, 1.051E+002
 8.600E+001, 1.401E+003, 4.548E+002, 7.527E-002, 1.731E-002, 1.041E+002
 8.800E+001, 1.440E+003, 4.530E+002, 7.799E-002, 1.718E-002, 1.042E+002
 9.000E+001, 1.482E+003, 4.545E+002, 8.261E-002, 1.706E-002, 1.046E+002
 9.200E+001, 1.593E+003, 4.554E+002, 8.762E-002, 1.692E-002, 1.051E+002
 9.400E+001, 1.620E+003, 4.547E+002, 9.239E-002, 1.678E-002, 1.046E+002
 9.600E+001, 1.720E+003, 4.564E+002, 9.908E-002, 1.663E-002, 1.047E+002
 9.800E+001, 1.811E+003, 4.555E+002, 1.050E-001, 1.647E-002, 1.046E+002
 1.000E+002, 1.860E+003, 4.568E+002, 1.111E-001, 1.629E-002, 1.044E+002
 1.020E+002, 1.960E+003, 4.571E+002, 1.170E-001, 1.612E-002, 1.051E+002
 1.040E+002, 2.121E+003, 4.578E+002, 1.219E-001, 1.593E-002, 1.056E+002
 1.060E+002, 2.053E+003, 4.599E+002, 1.258E-001, 1.574E-002, 1.055E+002
 1.080E+002, 2.068E+003, 4.609E+002, 1.255E-001, 1.555E-002, 1.052E+002
 1.100E+002, 2.021E+003, 4.669E+002, 1.223E-001, 1.536E-002, 1.057E+002
 1.120E+002, 1.900E+003, 4.768E+002, 1.105E-001, 1.519E-002, 1.046E+002
 1.140E+002, 1.543E+003, 5.045E+002, 7.824E-002, 1.505E-002, 1.055E+002
 1.160E+002, 7.795E+002, 7.764E+002, 3.673E-002, 1.500E-002, 1.072E+002
 1.180E+002, 5.959E+002, 8.093E+002, 2.981E-002, 1.500E-002, 1.077E+002
 1.200E+002, 3.481E+002, 8.105E+002, 1.676E-002, 1.500E-002, 1.059E+002
 1.220E+002, 1.640E+002, 7.379E+002, 8.210E-003, 1.500E-002, 8.423E+001
 1.240E+002, 7.079E+001, 6.945E+002, 3.544E-003, 1.500E-002, 7.468E+001
 1.260E+002, 5.475E+001, 6.799E+002, 2.806E-003, 1.500E-002, 7.319E+001
 1.280E+002, 4.118E+001, 6.810E+002, 2.094E-003, 1.500E-002, 7.337E+001
 1.300E+002, 9.496E+000, 6.745E+002, 4.449E-004, 1.500E-002, 7.242E+001
 1.320E+002, 0.000E+000, 6.860E+002, 0.000E+000, 1.500E-002, 7.320E+001
 1.340E+002, 0.000E+000, 6.863E+002, 0.000E+000, 1.500E-002, 7.322E+001
 1.360E+002, 0.000E+000, 6.876E+002, 0.000E+000, 1.500E-002, 7.329E+001
 1.380E+002, 0.000E+000, 6.877E+002, 0.000E+000, 1.500E-002, 7.331E+001
 1.400E+002, 0.000E+000, 6.890E+002, 0.000E+000, 1.500E-002, 7.339E+001
 1.420E+002, 0.000E+000, 6.870E+002, 0.000E+000, 1.500E-002, 7.326E+001
 1.440E+002, 0.000E+000, 6.852E+002, 0.000E+000, 1.500E-002, 7.314E+001
 1.460E+002, 0.000E+000, 6.890E+002, 0.000E+000, 1.500E-002, 7.338E+001
 1.480E+002, 0.000E+000, 6.867E+002, 0.000E+000, 1.500E-002, 7.325E+001
 1.500E+002, 0.000E+000, 6.871E+002, 0.000E+000, 1.500E-002, 7.329E+001
 1.520E+002, 0.000E+000, 6.831E+002, 0.000E+000, 1.500E-002, 7.303E+001
 1.540E+002, 0.000E+000, 6.848E+002, 0.000E+000, 1.500E-002, 7.314E+001
 1.560E+002, 0.000E+000, 6.859E+002, 0.000E+000, 1.500E-002, 7.320E+001
