s,kW
Time,"HRR"
 0.000E+000, 0.000E+000
 2.000E+000, 0.000E+000
 4.005E+000, 0.000E+000
 6.013E+000, 0.000E+000
 8.011E+000, 0.000E+000
 1.000E+001, 0.000E+000
 1.201E+001, 0.000E+000
 1.401E+001, 0.000E+000
 1.600E+001, 0.000E+000
 1.801E+001, 0.000E+000
 2.000E+001, 0.000E+000
 2.201E+001, 0.000E+000
 2.401E+001, 0.000E+000
 2.600E+001, 0.000E+000
 2.800E+001, 9.836E-009
 3.001E+001, 1.911E-007
 3.200E+001, 1.308E-006
 3.401E+001, 6.565E-006
 3.600E+001, 2.805E-005
 3.801E+001, 1.060E-004
 4.001E+001, 3.640E-004
 4.200E+001, 1.147E-003
 4.400E+001, 3.350E-003
 4.601E+001, 9.164E-003
 4.801E+001, 2.377E-002
 5.001E+001, 5.832E-002
 5.200E+001, 1.361E-001
 5.401E+001, 3.065E-001
 5.600E+001, 6.706E-001
 5.800E+001, 1.444E+000
 6.000E+001, 3.142E+000
 6.200E+001, 7.349E+000
 6.400E+001, 2.182E+001
 6.600E+001, 7.389E+001
 6.800E+001, 1.833E+002
 7.000E+001, 3.149E+002
 7.200E+001, 3.703E+002
 7.400E+001, 3.823E+002
 7.600E+001, 3.693E+002
 7.800E+001, 3.152E+002
 8.000E+001, 3.106E+002
 8.200E+001, 3.263E+002
 8.400E+001, 3.118E+002
 8.600E+001, 3.088E+002
 8.800E+001, 3.162E+002
 9.000E+001, 3.090E+002
 9.200E+001, 3.042E+002
 9.400E+001, 3.315E+002
 9.600E+001, 3.476E+002
 9.800E+001, 3.421E+002
 1.000E+002, 3.297E+002
 1.020E+002, 3.655E+002
 1.040E+002, 3.839E+002
 1.060E+002, 3.752E+002
 1.080E+002, 3.811E+002
 1.100E+002, 4.144E+002
 1.120E+002, 4.296E+002
 1.140E+002, 4.368E+002
 1.160E+002, 4.431E+002
 1.180E+002, 4.534E+002
 1.200E+002, 4.745E+002
 1.220E+002, 4.775E+002
 1.240E+002, 4.839E+002
 1.260E+002, 5.056E+002
 1.280E+002, 5.136E+002
 1.300E+002, 5.123E+002
 1.320E+002, 5.265E+002
 1.340E+002, 5.229E+002
 1.360E+002, 5.068E+002
 1.380E+002, 5.284E+002
 1.400E+002, 5.020E+002
 1.420E+002, 4.670E+002
 1.440E+002, 4.120E+002
 1.460E+002, 3.955E+002
 1.480E+002, 3.947E+002
 1.500E+002, 3.735E+002
 1.520E+002, 3.595E+002
 1.540E+002, 3.518E+002
 1.560E+002, 3.302E+002
 1.580E+002, 3.316E+002
 1.600E+002, 3.198E+002
 1.620E+002, 3.036E+002
 1.640E+002, 2.914E+002
 1.660E+002, 2.811E+002
 1.680E+002, 2.643E+002
 1.700E+002, 2.309E+002
 1.720E+002, 2.011E+002
 1.740E+002, 1.828E+002
 1.760E+002, 1.685E+002
 1.780E+002, 1.532E+002
 1.800E+002, 1.476E+002
 1.820E+002, 1.419E+002
 1.840E+002, 1.341E+002
 1.860E+002, 1.232E+002
 1.880E+002, 1.183E+002
 1.900E+002, 1.132E+002
 1.920E+002, 1.087E+002
 1.940E+002, 1.038E+002
 1.960E+002, 9.922E+001
 1.980E+002, 9.475E+001
 2.000E+002, 9.080E+001
 2.020E+002, 8.673E+001
 2.040E+002, 8.292E+001
 2.060E+002, 7.998E+001
 2.080E+002, 7.652E+001
 2.100E+002, 7.340E+001
 2.120E+002, 7.079E+001
 2.140E+002, 6.799E+001
 2.160E+002, 6.599E+001
 2.180E+002, 6.357E+001
 2.200E+002, 6.173E+001
 2.220E+002, 5.958E+001
 2.240E+002, 5.786E+001
 2.260E+002, 5.627E+001
 2.280E+002, 5.458E+001
 2.300E+002, 5.331E+001
 2.320E+002, 5.200E+001
 2.340E+002, 5.076E+001
 2.360E+002, 4.975E+001
 2.380E+002, 4.854E+001
 2.400E+002, 4.771E+001
 2.420E+002, 4.661E+001
 2.440E+002, 4.573E+001
 2.460E+002, 4.483E+001
 2.480E+002, 4.407E+001
 2.500E+002, 4.337E+001
 2.520E+002, 4.262E+001
 2.540E+002, 4.185E+001
 2.560E+002, 4.122E+001
 2.580E+002, 4.068E+001
 2.600E+002, 4.014E+001
 2.620E+002, 3.964E+001
 2.640E+002, 3.915E+001
 2.660E+002, 3.874E+001
 2.680E+002, 3.829E+001
 2.700E+002, 3.774E+001
 2.720E+002, 3.749E+001
 2.740E+002, 3.697E+001
 2.760E+002, 3.665E+001
 2.780E+002, 3.633E+001
 2.800E+002, 3.604E+001
 2.820E+002, 3.570E+001
 2.840E+002, 3.544E+001
 2.860E+002, 3.515E+001
 2.880E+002, 3.490E+001
 2.900E+002, 3.456E+001
 2.920E+002, 3.438E+001
 2.940E+002, 3.415E+001
 2.960E+002, 3.382E+001
 2.980E+002, 3.349E+001
 3.000E+002, 3.325E+001
 3.020E+002, 3.305E+001
 3.040E+002, 3.290E+001
 3.060E+002, 3.277E+001
 3.080E+002, 3.247E+001
 3.100E+002, 3.224E+001
 3.120E+002, 3.213E+001
 3.140E+002, 3.193E+001
 3.160E+002, 3.174E+001
 3.180E+002, 3.150E+001
 3.200E+002, 3.128E+001
 3.220E+002, 3.117E+001
 3.240E+002, 3.104E+001
 3.260E+002, 3.096E+001
 3.280E+002, 3.085E+001
 3.300E+002, 3.078E+001
 3.320E+002, 3.072E+001
 3.340E+002, 3.052E+001
 3.360E+002, 3.043E+001
 3.380E+002, 3.032E+001
 3.400E+002, 3.026E+001
 3.420E+002, 3.010E+001
 3.440E+002, 3.000E+001
 3.460E+002, 2.986E+001
 3.480E+002, 2.983E+001
 3.500E+002, 2.963E+001
 3.520E+002, 2.956E+001
 3.540E+002, 2.940E+001
 3.560E+002, 2.934E+001
 3.580E+002, 2.928E+001
 3.600E+002, 2.926E+001
 3.620E+002, 2.913E+001
 3.640E+002, 2.904E+001
 3.660E+002, 2.888E+001
 3.680E+002, 2.883E+001
 3.700E+002, 2.871E+001
 3.720E+002, 2.861E+001
 3.740E+002, 2.856E+001
 3.760E+002, 2.849E+001
 3.780E+002, 2.836E+001
 3.800E+002, 2.828E+001
 3.820E+002, 2.813E+001
 3.840E+002, 2.808E+001
 3.860E+002, 2.808E+001
 3.880E+002, 2.801E+001
 3.900E+002, 2.792E+001
 3.920E+002, 2.790E+001
 3.940E+002, 2.785E+001
 3.960E+002, 2.775E+001
 3.980E+002, 2.761E+001
 4.000E+002, 2.754E+001
 4.020E+002, 2.753E+001
 4.040E+002, 2.749E+001
 4.060E+002, 2.740E+001
 4.080E+002, 2.737E+001
 4.100E+002, 2.732E+001
 4.120E+002, 2.719E+001
 4.140E+002, 2.715E+001
 4.160E+002, 2.705E+001
 4.180E+002, 2.699E+001
 4.200E+002, 2.703E+001
 4.220E+002, 2.702E+001
 4.240E+002, 2.684E+001
 4.260E+002, 2.678E+001
 4.280E+002, 2.674E+001
 4.300E+002, 2.675E+001
 4.320E+002, 2.668E+001
 4.340E+002, 2.658E+001
 4.360E+002, 2.646E+001
 4.380E+002, 2.643E+001
 4.400E+002, 2.640E+001
 4.420E+002, 2.637E+001
 4.440E+002, 2.629E+001
 4.460E+002, 2.624E+001
 4.480E+002, 2.617E+001
 4.500E+002, 2.618E+001
 4.520E+002, 2.621E+001
 4.540E+002, 2.615E+001
 4.560E+002, 2.606E+001
 4.580E+002, 2.596E+001
 4.600E+002, 2.588E+001
 4.620E+002, 2.581E+001
 4.640E+002, 2.580E+001
 4.660E+002, 2.579E+001
 4.680E+002, 2.574E+001
 4.700E+002, 2.572E+001
 4.720E+002, 2.578E+001
 4.740E+002, 2.566E+001
 4.760E+002, 2.556E+001
 4.780E+002, 2.548E+001
 4.800E+002, 2.539E+001
 4.820E+002, 2.531E+001
 4.840E+002, 2.537E+001
 4.860E+002, 2.534E+001
 4.880E+002, 2.529E+001
 4.900E+002, 2.521E+001
 4.920E+002, 2.521E+001
 4.940E+002, 2.513E+001
 4.960E+002, 2.506E+001
 4.980E+002, 2.508E+001
 5.000E+002, 2.501E+001
 5.020E+002, 2.493E+001
 5.040E+002, 2.491E+001
 5.060E+002, 2.493E+001
 5.080E+002, 2.491E+001
 5.100E+002, 2.482E+001
 5.120E+002, 2.477E+001
 5.140E+002, 2.474E+001
 5.160E+002, 2.469E+001
 5.180E+002, 2.472E+001
 5.200E+002, 2.465E+001
 5.220E+002, 2.460E+001
 5.240E+002, 2.452E+001
 5.260E+002, 2.454E+001
 5.280E+002, 2.452E+001
 5.300E+002, 2.447E+001
 5.320E+002, 2.440E+001
 5.340E+002, 2.442E+001
 5.360E+002, 2.435E+001
 5.380E+002, 2.431E+001
 5.400E+002, 2.426E+001
 5.420E+002, 2.426E+001
 5.440E+002, 2.422E+001
 5.460E+002, 2.413E+001
 5.480E+002, 2.414E+001
 5.500E+002, 2.406E+001
 5.520E+002, 2.399E+001
 5.540E+002, 2.401E+001
 5.560E+002, 2.396E+001
 5.580E+002, 2.395E+001
 5.600E+002, 2.386E+001
 5.620E+002, 2.386E+001
 5.640E+002, 2.382E+001
 5.660E+002, 2.383E+001
 5.680E+002, 2.381E+001
 5.700E+002, 2.382E+001
 5.720E+002, 2.377E+001
 5.740E+002, 2.381E+001
 5.760E+002, 2.368E+001
 5.780E+002, 2.366E+001
 5.800E+002, 2.363E+001
 5.820E+002, 2.365E+001
 5.840E+002, 2.358E+001
 5.860E+002, 2.348E+001
 5.880E+002, 2.347E+001
 5.900E+002, 2.348E+001
 5.920E+002, 2.346E+001
 5.940E+002, 2.333E+001
 5.960E+002, 2.327E+001
 5.980E+002, 2.325E+001
 6.000E+002, 2.324E+001
