m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,Yp2,Yp4,Yp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,Yp2_rms,Yp4_rms,Yp6_rms
-4.688E-01,-1.030E-01,-3.823E-02,-5.429E-02, 1.919E-01, 1.091E-01, 1.016E-01, 2.133E-03, 5.777E-04, 3.954E-04, 1.020E-01, 8.998E-02, 5.631E-02, 6.990E-02, 7.056E-02, 7.976E-02, 2.835E-03, 4.187E-04, 7.150E-04
-4.062E-01, 6.625E-02,-3.596E-04, 7.558E-02, 2.219E-01, 1.111E-01, 1.167E-01, 1.399E-02, 5.188E-03, 3.173E-03, 2.297E-01, 1.414E-01, 1.176E-01, 1.048E-01, 1.160E-01, 1.212E-01, 1.649E-02, 6.137E-03, 5.621E-03
-3.438E-01, 2.556E-01, 3.253E-01, 1.829E-01, 2.924E-01, 1.291E-01, 1.312E-01, 3.548E-02, 1.761E-02, 9.346E-03, 3.402E-01, 3.140E-01, 3.054E-01, 1.392E-01, 1.521E-01, 1.509E-01, 3.542E-02, 1.973E-02, 1.303E-02
-2.812E-01, 5.004E-01, 6.342E-01, 6.430E-01, 3.949E-01, 1.739E-01, 1.357E-01, 6.810E-02, 3.672E-02, 2.523E-02, 4.042E-01, 3.603E-01, 3.813E-01, 1.736E-01, 1.615E-01, 1.850E-01, 5.852E-02, 3.050E-02, 1.885E-02
-2.188E-01, 8.851E-01, 1.080E+00, 1.283E+00, 4.743E-01, 2.174E-01, 1.290E-01, 1.353E-01, 7.775E-02, 6.355E-02, 5.355E-01, 5.880E-01, 6.118E-01, 1.823E-01, 1.884E-01, 2.206E-01, 9.777E-02, 6.056E-02, 4.793E-02
-1.562E-01, 1.428E+00, 1.868E+00, 2.156E+00, 4.846E-01, 2.410E-01, 1.353E-01, 2.596E-01, 1.659E-01, 1.368E-01, 5.729E-01, 6.903E-01, 8.054E-01, 1.814E-01, 2.360E-01, 2.817E-01, 1.301E-01, 9.294E-02, 8.093E-02
-9.375E-02, 2.134E+00, 2.997E+00, 3.429E+00, 3.934E-01, 2.146E-01, 1.340E-01, 5.010E-01, 3.488E-01, 2.808E-01, 4.747E-01, 7.256E-01, 8.755E-01, 1.985E-01, 2.750E-01, 3.497E-01, 1.577E-01, 1.319E-01, 1.141E-01
-3.125E-02, 2.458E+00, 3.758E+00, 4.394E+00, 1.456E-01, 8.282E-02, 5.494E-02, 7.058E-01, 5.417E-01, 4.330E-01, 4.026E-01, 6.761E-01, 8.206E-01, 2.248E-01, 3.035E-01, 3.752E-01, 1.536E-01, 1.422E-01, 1.211E-01
 3.125E-02, 2.392E+00, 3.607E+00, 4.222E+00,-3.154E-01,-1.808E-01,-1.324E-01, 6.713E-01, 5.118E-01, 4.149E-01, 3.820E-01, 7.161E-01, 9.266E-01, 2.553E-01, 3.229E-01, 3.769E-01, 1.653E-01, 1.556E-01, 1.380E-01
 9.375E-02, 2.024E+00, 2.917E+00, 3.389E+00,-3.961E-01,-2.091E-01,-1.338E-01, 4.789E-01, 3.464E-01, 2.762E-01, 5.520E-01, 7.946E-01, 9.086E-01, 2.273E-01, 2.881E-01, 3.267E-01, 1.923E-01, 1.500E-01, 1.194E-01
 1.562E-01, 1.409E+00, 1.898E+00, 2.180E+00,-4.763E-01,-2.119E-01,-1.160E-01, 2.629E-01, 1.685E-01, 1.344E-01, 6.200E-01, 7.193E-01, 7.861E-01, 2.002E-01, 2.514E-01, 3.005E-01, 1.491E-01, 9.518E-02, 7.747E-02
 2.188E-01, 8.272E-01, 1.034E+00, 1.227E+00,-4.573E-01,-1.864E-01,-1.146E-01, 1.248E-01, 7.257E-02, 6.063E-02, 5.598E-01, 5.560E-01, 6.178E-01, 1.712E-01, 2.242E-01, 2.617E-01, 9.293E-02, 5.162E-02, 4.449E-02
 2.812E-01, 5.106E-01, 6.162E-01, 6.967E-01,-4.056E-01,-1.767E-01,-1.300E-01, 6.485E-02, 3.647E-02, 3.080E-02, 4.163E-01, 3.644E-01, 4.054E-01, 1.668E-01, 2.044E-01, 2.199E-01, 5.664E-02, 3.198E-02, 2.667E-02
 3.438E-01, 2.766E-01, 2.673E-01, 2.637E-01,-3.197E-01,-1.463E-01,-1.275E-01, 3.405E-02, 1.913E-02, 1.408E-02, 3.909E-01, 3.589E-01, 3.194E-01, 1.513E-01, 1.558E-01, 1.631E-01, 4.028E-02, 2.310E-02, 1.467E-02
 4.062E-01, 1.369E-01, 6.221E-02,-1.854E-02,-2.432E-01,-1.121E-01,-1.171E-01, 1.648E-02, 7.747E-03, 3.462E-03, 2.548E-01, 1.793E-01, 1.656E-01, 1.212E-01, 1.187E-01, 1.119E-01, 2.184E-02, 1.065E-02, 4.794E-03
 4.688E-01,-2.851E-02,-3.739E-02, 1.645E-03,-1.927E-01,-1.072E-01,-1.126E-01, 4.679E-03, 1.110E-03, 4.967E-04, 1.262E-01, 6.901E-02, 7.031E-02, 9.900E-02, 7.860E-02, 6.430E-02, 5.257E-03, 1.796E-03, 7.804E-04
