m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,Yp2,Yp4,Yp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,Yp2_rms,Yp4_rms,Yp6_rms
-4.922E-01,-4.318E-02,-2.102E-02, 4.716E-03, 2.072E-01, 1.537E-01, 1.425E-01, 7.558E-06, 1.405E-04, 6.966E-06, 9.682E-02, 1.301E-01, 1.291E-01, 1.217E-01, 1.461E-01, 1.517E-01, 4.633E-05, 7.557E-04, 4.966E-05
-4.766E-01,-4.965E-02,-2.008E-02, 2.615E-03, 2.165E-01, 1.579E-01, 1.480E-01, 2.799E-04, 7.899E-04, 1.686E-04, 1.197E-01, 1.350E-01, 1.509E-01, 1.422E-01, 1.643E-01, 1.656E-01, 1.814E-03, 3.330E-03, 1.183E-03
-4.609E-01,-4.592E-02,-4.726E-03, 1.610E-02, 2.207E-01, 1.605E-01, 1.484E-01, 1.606E-03, 2.865E-03, 1.190E-03, 1.288E-01, 1.479E-01, 1.549E-01, 1.700E-01, 1.861E-01, 1.834E-01, 8.093E-03, 9.774E-03, 7.817E-03
-4.453E-01,-2.605E-02, 3.525E-02, 2.903E-02, 2.311E-01, 1.622E-01, 1.488E-01, 4.668E-03, 7.105E-03, 3.264E-03, 1.603E-01, 1.710E-01, 1.639E-01, 1.948E-01, 2.126E-01, 2.014E-01, 1.847E-02, 2.007E-02, 1.866E-02
-4.297E-01,-4.251E-03, 6.945E-02, 5.214E-02, 2.468E-01, 1.634E-01, 1.509E-01, 1.044E-02, 1.262E-02, 6.536E-03, 1.879E-01, 2.063E-01, 1.889E-01, 2.173E-01, 2.409E-01, 2.144E-01, 2.838E-02, 2.949E-02, 2.792E-02
-4.141E-01, 6.233E-02, 1.223E-01, 9.237E-02, 2.548E-01, 1.582E-01, 1.491E-01, 1.811E-02, 1.782E-02, 1.077E-02, 2.353E-01, 2.474E-01, 2.223E-01, 2.433E-01, 2.668E-01, 2.272E-01, 3.837E-02, 3.648E-02, 3.471E-02
-3.984E-01, 1.195E-01, 1.589E-01, 1.425E-01, 2.557E-01, 1.616E-01, 1.470E-01, 2.872E-02, 2.327E-02, 1.502E-02, 2.810E-01, 3.025E-01, 2.513E-01, 2.770E-01, 2.893E-01, 2.455E-01, 5.306E-02, 4.357E-02, 3.914E-02
-3.828E-01, 1.739E-01, 2.103E-01, 2.176E-01, 2.625E-01, 1.682E-01, 1.512E-01, 3.778E-02, 2.796E-02, 1.943E-02, 3.339E-01, 3.490E-01, 2.477E-01, 2.999E-01, 3.032E-01, 2.591E-01, 6.395E-02, 4.867E-02, 4.568E-02
-3.672E-01, 2.255E-01, 2.584E-01, 2.387E-01, 2.905E-01, 1.759E-01, 1.568E-01, 4.807E-02, 3.095E-02, 2.118E-02, 3.818E-01, 3.688E-01, 2.701E-01, 3.048E-01, 3.020E-01, 2.736E-01, 7.395E-02, 5.066E-02, 4.617E-02
-3.516E-01, 3.469E-01, 3.111E-01, 3.032E-01, 3.229E-01, 1.817E-01, 1.527E-01, 6.091E-02, 3.425E-02, 2.406E-02, 4.243E-01, 3.890E-01, 3.326E-01, 3.104E-01, 3.084E-01, 2.911E-01, 8.949E-02, 5.284E-02, 4.580E-02
-3.359E-01, 4.343E-01, 3.395E-01, 3.701E-01, 3.564E-01, 1.820E-01, 1.504E-01, 7.579E-02, 3.750E-02, 2.761E-02, 4.653E-01, 4.196E-01, 3.677E-01, 3.167E-01, 3.261E-01, 3.046E-01, 1.051E-01, 5.464E-02, 4.648E-02
-3.203E-01, 5.050E-01, 4.160E-01, 4.429E-01, 4.030E-01, 1.902E-01, 1.482E-01, 8.730E-02, 4.279E-02, 3.334E-02, 4.715E-01, 4.529E-01, 4.391E-01, 3.105E-01, 3.530E-01, 3.237E-01, 1.180E-01, 6.151E-02, 5.172E-02
-3.047E-01, 6.012E-01, 4.735E-01, 5.433E-01, 4.482E-01, 1.948E-01, 1.401E-01, 9.703E-02, 4.872E-02, 4.073E-02, 4.883E-01, 4.721E-01, 4.798E-01, 3.063E-01, 3.657E-01, 3.461E-01, 1.218E-01, 7.018E-02, 6.414E-02
-2.891E-01, 6.961E-01, 5.647E-01, 6.672E-01, 4.881E-01, 1.892E-01, 1.404E-01, 1.090E-01, 5.757E-02, 4.758E-02, 5.115E-01, 4.625E-01, 5.054E-01, 3.143E-01, 3.805E-01, 3.676E-01, 1.286E-01, 7.816E-02, 7.147E-02
-2.734E-01, 7.632E-01, 7.271E-01, 7.901E-01, 5.233E-01, 1.935E-01, 1.438E-01, 1.252E-01, 6.991E-02, 5.628E-02, 5.210E-01, 5.130E-01, 5.388E-01, 3.261E-01, 3.996E-01, 3.855E-01, 1.360E-01, 9.022E-02, 8.132E-02
-2.578E-01, 8.388E-01, 8.667E-01, 9.474E-01, 5.399E-01, 1.824E-01, 1.407E-01, 1.444E-01, 8.193E-02, 6.403E-02, 5.781E-01, 5.762E-01, 6.216E-01, 3.446E-01, 4.273E-01, 4.054E-01, 1.473E-01, 1.017E-01, 9.101E-02
-2.422E-01, 9.598E-01, 1.031E+00, 1.109E+00, 5.500E-01, 1.668E-01, 1.210E-01, 1.647E-01, 9.023E-02, 7.392E-02, 6.374E-01, 5.881E-01, 6.757E-01, 3.561E-01, 4.592E-01, 4.290E-01, 1.594E-01, 1.105E-01, 1.009E-01
-2.266E-01, 1.054E+00, 1.167E+00, 1.332E+00, 5.576E-01, 1.713E-01, 9.496E-02, 1.892E-01, 9.892E-02, 8.271E-02, 7.005E-01, 6.496E-01, 6.949E-01, 3.588E-01, 4.606E-01, 4.650E-01, 1.727E-01, 1.199E-01, 1.070E-01
-2.109E-01, 1.122E+00, 1.344E+00, 1.504E+00, 5.621E-01, 1.739E-01, 8.801E-02, 2.148E-01, 1.137E-01, 9.137E-02, 7.493E-01, 7.323E-01, 7.546E-01, 3.627E-01, 4.520E-01, 4.970E-01, 1.909E-01, 1.279E-01, 1.144E-01
-1.953E-01, 1.162E+00, 1.537E+00, 1.707E+00, 5.586E-01, 1.855E-01, 9.891E-02, 2.369E-01, 1.310E-01, 1.043E-01, 7.515E-01, 7.687E-01, 7.860E-01, 3.681E-01, 4.439E-01, 5.069E-01, 1.921E-01, 1.389E-01, 1.269E-01
