m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,Yp2,Yp4,Yp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,Yp2_rms,Yp4_rms,Yp6_rms
-4.844E-01,-5.227E-02,-3.989E-02,-3.764E-02, 1.667E-01, 1.263E-01, 1.090E-01, 4.259E-04, 1.047E-05, 1.057E-05, 1.037E-01, 8.797E-02, 7.812E-02, 9.334E-02, 9.546E-02, 1.004E-01, 1.485E-03, 5.212E-05, 5.543E-05
-4.531E-01,-3.811E-02,-3.616E-02,-3.688E-04, 1.736E-01, 1.300E-01, 1.165E-01, 2.119E-03, 3.094E-04, 1.915E-04, 1.477E-01, 1.015E-01, 1.156E-01, 1.163E-01, 1.176E-01, 1.275E-01, 5.762E-03, 1.689E-03, 8.649E-04
-4.219E-01,-2.521E-02,-1.025E-02,-4.915E-02, 1.918E-01, 1.355E-01, 1.244E-01, 1.005E-02, 1.851E-03, 1.795E-03, 1.777E-01, 1.622E-01, 1.311E-01, 1.497E-01, 1.483E-01, 1.676E-01, 1.781E-02, 7.120E-03, 6.385E-03
-3.906E-01, 1.010E-01, 7.785E-03, 9.516E-02, 2.260E-01, 1.393E-01, 1.329E-01, 2.228E-02, 5.631E-03, 7.621E-03, 2.549E-01, 2.132E-01, 2.584E-01, 1.763E-01, 1.806E-01, 2.150E-01, 3.174E-02, 1.329E-02, 1.792E-02
-3.594E-01, 1.041E-01, 1.180E-01, 1.706E-01, 2.730E-01, 1.520E-01, 1.308E-01, 3.107E-02, 1.439E-02, 1.574E-02, 2.996E-01, 3.155E-01, 3.384E-01, 1.944E-01, 2.125E-01, 2.652E-01, 3.985E-02, 2.516E-02, 3.120E-02
-3.281E-01, 2.676E-01, 2.928E-01, 3.849E-01, 3.431E-01, 1.729E-01, 1.269E-01, 5.131E-02, 2.423E-02, 2.585E-02, 3.748E-01, 3.648E-01, 4.114E-01, 2.147E-01, 2.430E-01, 3.040E-01, 5.585E-02, 3.360E-02, 4.257E-02
-2.969E-01, 5.375E-01, 4.263E-01, 5.497E-01, 4.067E-01, 1.925E-01, 1.216E-01, 8.161E-02, 3.797E-02, 3.843E-02, 3.996E-01, 3.781E-01, 5.298E-01, 2.367E-01, 2.590E-01, 3.210E-01, 7.263E-02, 4.019E-02, 5.336E-02
-2.656E-01, 7.220E-01, 7.917E-01, 9.031E-01, 4.710E-01, 2.114E-01, 1.315E-01, 1.161E-01, 6.461E-02, 5.532E-02, 4.755E-01, 4.270E-01, 5.727E-01, 2.488E-01, 2.597E-01, 3.342E-01, 9.552E-02, 6.054E-02, 6.474E-02
-2.344E-01, 9.781E-01, 1.158E+00, 1.290E+00, 5.276E-01, 2.235E-01, 1.218E-01, 1.642E-01, 9.493E-02, 7.644E-02, 5.463E-01, 5.635E-01, 6.819E-01, 2.688E-01, 2.825E-01, 3.279E-01, 1.214E-01, 8.697E-02, 8.072E-02
-2.031E-01, 1.235E+00, 1.574E+00, 1.779E+00, 5.414E-01, 2.293E-01, 1.001E-01, 2.205E-01, 1.311E-01, 1.065E-01, 5.750E-01, 6.353E-01, 8.211E-01, 2.812E-01, 3.063E-01, 3.288E-01, 1.499E-01, 1.103E-01, 1.061E-01
-1.719E-01, 1.387E+00, 1.968E+00, 2.244E+00, 5.320E-01, 2.304E-01, 1.036E-01, 2.768E-01, 1.786E-01, 1.407E-01, 6.258E-01, 7.278E-01, 9.057E-01, 2.729E-01, 3.194E-01, 3.637E-01, 1.666E-01, 1.355E-01, 1.251E-01
-1.406E-01, 1.516E+00, 2.351E+00, 2.716E+00, 5.434E-01, 2.374E-01, 1.133E-01, 3.433E-01, 2.418E-01, 1.864E-01, 6.811E-01, 8.355E-01, 1.001E+00, 2.584E-01, 3.199E-01, 3.771E-01, 1.803E-01, 1.613E-01, 1.471E-01
-1.094E-01, 1.624E+00, 2.676E+00, 3.225E+00, 5.491E-01, 2.564E-01, 1.251E-01, 4.233E-01, 3.140E-01, 2.465E-01, 7.088E-01, 9.583E-01, 1.091E+00, 2.557E-01, 3.064E-01, 3.887E-01, 1.942E-01, 1.771E-01, 1.615E-01
-7.812E-02, 1.764E+00, 2.998E+00, 3.681E+00, 4.832E-01, 2.629E-01, 1.315E-01, 5.189E-01, 4.010E-01, 3.181E-01, 6.582E-01, 1.008E+00, 1.168E+00, 2.747E-01, 3.117E-01, 4.049E-01, 1.892E-01, 1.848E-01, 1.647E-01
-4.688E-02, 1.838E+00, 3.297E+00, 4.080E+00, 3.027E-01, 1.962E-01, 1.009E-01, 5.852E-01, 4.801E-01, 3.831E-01, 5.700E-01, 8.914E-01, 1.105E+00, 2.904E-01, 3.340E-01, 4.253E-01, 1.703E-01, 1.551E-01, 1.534E-01
-1.562E-02, 1.810E+00, 3.327E+00, 4.223E+00, 8.150E-02, 6.326E-02, 3.846E-02, 5.993E-01, 5.046E-01, 4.168E-01, 4.696E-01, 8.599E-01, 1.122E+00, 2.926E-01, 3.482E-01, 4.291E-01, 1.566E-01, 1.451E-01, 1.490E-01
 1.562E-02, 1.780E+00, 3.301E+00, 4.243E+00,-1.701E-01,-1.021E-01,-3.357E-02, 5.924E-01, 5.009E-01, 4.194E-01, 4.652E-01, 8.454E-01, 1.090E+00, 3.205E-01, 3.527E-01, 4.274E-01, 1.496E-01, 1.428E-01, 1.433E-01
 4.688E-02, 1.851E+00, 3.293E+00, 4.090E+00,-2.611E-01,-1.479E-01,-5.941E-02, 5.995E-01, 4.823E-01, 3.880E-01, 4.931E-01, 8.196E-01, 1.045E+00, 3.083E-01, 3.256E-01, 3.943E-01, 1.482E-01, 1.453E-01, 1.430E-01
 7.812E-02, 1.853E+00, 3.121E+00, 3.795E+00,-4.282E-01,-2.191E-01,-9.868E-02, 5.592E-01, 4.197E-01, 3.280E-01, 5.866E-01, 8.666E-01, 1.044E+00, 3.029E-01, 3.060E-01, 3.908E-01, 1.819E-01, 1.639E-01, 1.504E-01
 1.094E-01, 1.718E+00, 2.639E+00, 3.220E+00,-5.339E-01,-2.526E-01,-1.194E-01, 4.474E-01, 3.067E-01, 2.470E-01, 6.153E-01, 8.672E-01, 1.030E+00, 2.697E-01, 2.888E-01, 3.794E-01, 1.813E-01, 1.598E-01, 1.468E-01
 1.406E-01, 1.482E+00, 2.145E+00, 2.614E+00,-5.605E-01,-2.567E-01,-1.293E-01, 3.237E-01, 2.090E-01, 1.729E-01, 6.364E-01, 8.260E-01, 9.298E-01, 2.464E-01, 2.884E-01, 3.519E-01, 1.583E-01, 1.315E-01, 1.183E-01
 1.719E-01, 1.230E+00, 1.768E+00, 2.055E+00,-5.561E-01,-2.434E-01,-1.283E-01, 2.342E-01, 1.448E-01, 1.181E-01, 6.511E-01, 7.089E-01, 8.130E-01, 2.629E-01, 2.754E-01, 3.255E-01, 1.357E-01, 1.018E-01, 8.739E-02
 2.031E-01, 1.043E+00, 1.361E+00, 1.548E+00,-5.461E-01,-2.342E-01,-1.396E-01, 1.705E-01, 9.730E-02, 8.207E-02, 5.643E-01, 5.755E-01, 6.114E-01, 2.608E-01, 2.643E-01, 3.060E-01, 1.072E-01, 7.223E-02, 6.211E-02
 2.344E-01, 8.290E-01, 9.612E-01, 9.757E-01,-5.051E-01,-2.277E-01,-1.632E-01, 1.242E-01, 6.548E-02, 5.133E-02, 4.962E-01, 4.819E-01, 5.323E-01, 2.585E-01, 2.645E-01, 2.777E-01, 8.465E-02, 5.181E-02, 4.595E-02
