s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m3/s
Time,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115,EXITFLOW
 0.0000000E+000, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 0.0000000E+000
 1.0016014E+001, 1.4999798E+001, 1.4999746E+001, 1.4999675E+001, 1.4999855E+001, 1.4999883E+001, 1.4999861E+001, 1.4999844E+001, 1.5000075E+001, 1.5022471E+001, 1.5005602E+001, 1.5000022E+001, 1.5008509E+001, 1.4999905E+001, 1.4999817E+001, 1.4999763E+001, 1.4999876E+001,-1.9672764E-001
 2.0009543E+001, 1.4999995E+001, 1.5000064E+001, 1.5000211E+001, 1.5000555E+001, 1.5000889E+001, 1.5001242E+001, 1.5006522E+001, 1.5370151E+001, 1.6015151E+001, 1.5648583E+001, 1.5274659E+001, 1.5662046E+001, 1.5001532E+001, 1.5000050E+001, 1.4999998E+001, 1.4999901E+001,-1.6573463E-002
 3.0010471E+001, 1.5000201E+001, 1.5000361E+001, 1.5000728E+001, 1.5101360E+001, 1.5449132E+001, 1.5748770E+001, 1.6404193E+001, 1.7103791E+001, 1.7544692E+001, 1.7395490E+001, 1.7121855E+001, 1.6985924E+001, 1.5989304E+001, 1.5000375E+001, 1.5000174E+001, 1.5000003E+001, 1.0331709E-001
 4.0036666E+001, 1.5435358E+001, 1.5897805E+001, 1.6410055E+001, 1.7120666E+001, 1.7726887E+001, 1.8105272E+001, 1.8327657E+001, 1.8895812E+001, 1.9539091E+001, 1.9012131E+001, 1.8571135E+001, 1.7207064E+001, 1.6857945E+001, 1.5503543E+001, 1.5000612E+001, 1.5000230E+001,-1.7517881E-001
 5.0019466E+001, 1.8069831E+001, 1.8527888E+001, 1.8840385E+001, 1.9157194E+001, 1.9444087E+001, 1.9801507E+001, 1.9980846E+001, 2.0642484E+001, 2.1040696E+001, 2.1117843E+001, 2.0316045E+001, 1.7964480E+001, 1.7303466E+001, 1.6289083E+001, 1.5016396E+001, 1.5000320E+001,-2.8051949E-001
 6.0003830E+001, 1.8976863E+001, 1.9351519E+001, 1.9667317E+001, 1.9964009E+001, 2.0325527E+001, 2.0750061E+001, 2.0886771E+001, 2.1399183E+001, 2.2467526E+001, 2.2382415E+001, 2.2466180E+001, 2.0579167E+001, 1.9096830E+001, 1.7124483E+001, 1.6079083E+001, 1.5044206E+001,-1.8760755E-001
 7.0027849E+001, 1.9569965E+001, 2.0031359E+001, 2.0408557E+001, 2.0607928E+001, 2.0838572E+001, 2.1002529E+001, 2.1028207E+001, 2.0982523E+001, 2.1919213E+001, 2.2045077E+001, 2.2185294E+001, 1.9321606E+001, 1.9063312E+001, 1.7765954E+001, 1.7655698E+001, 1.6706616E+001,-2.5867654E-001
 8.0026560E+001, 2.0101094E+001, 2.0146208E+001, 1.9944343E+001, 1.9941865E+001, 1.9905806E+001, 1.9981666E+001, 2.0187137E+001, 2.0115874E+001, 2.0433450E+001, 2.0492724E+001, 2.0475576E+001, 1.8203646E+001, 1.7679602E+001, 1.7197247E+001, 1.7240989E+001, 1.7608113E+001, 1.6451250E-001
 9.0011194E+001, 1.9814017E+001, 1.9684589E+001, 1.9453487E+001, 1.9363904E+001, 1.9491598E+001, 2.0076337E+001, 2.0238319E+001, 2.0579435E+001, 2.0955362E+001, 2.1170875E+001, 2.1075081E+001, 1.9433959E+001, 1.8450973E+001, 1.6801749E+001, 1.6574285E+001, 1.6454524E+001,-5.0460895E-002
 1.0001290E+002, 2.0116662E+001, 2.0584695E+001, 2.0985779E+001, 2.1443888E+001, 2.1794971E+001, 2.2316317E+001, 2.2499391E+001, 2.2829527E+001, 2.2550799E+001, 2.2082005E+001, 2.2047298E+001, 1.9177940E+001, 1.9508725E+001, 1.7750209E+001, 1.6843110E+001, 1.6393629E+001,-2.2769802E-001
 1.1002795E+002, 2.0494953E+001, 2.0695107E+001, 2.0708831E+001, 2.0697479E+001, 2.0782378E+001, 2.0986909E+001, 2.1209155E+001, 2.1028466E+001, 2.1056614E+001, 2.1256340E+001, 2.1307072E+001, 1.8128193E+001, 1.8338234E+001, 1.7746049E+001, 1.8052169E+001, 1.7240267E+001,-1.8901485E-002
