s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m3/s
Time,"T010","T015","T020","T025","T030","T035","T040","T045","T050","T055","T060","T065","T075","T095","T105","T115","EXITFLOW"
 0.0000000E+000, 1.4999833E+001, 1.4999865E+001, 1.4999828E+001, 1.4999883E+001, 1.4999841E+001, 1.4999886E+001, 1.4999835E+001, 1.4999866E+001, 1.4999820E+001, 1.4999912E+001, 1.4999853E+001, 1.4999784E+001, 1.4999793E+001, 1.4999802E+001, 1.4999806E+001, 1.4999838E+001, 0.0000000E+000
 1.0009506E+001, 1.4998458E+001, 1.4998427E+001, 1.4998245E+001, 1.4998272E+001, 1.4998122E+001, 1.4998356E+001, 1.4998316E+001, 1.4998698E+001, 1.4998863E+001, 1.4999013E+001, 1.4998804E+001, 1.4998803E+001, 1.4998402E+001, 1.4998284E+001, 1.4998524E+001, 1.4998935E+001, 1.5587919E-001
 2.0005838E+001, 1.4999099E+001, 1.4999191E+001, 1.4999277E+001, 1.4999504E+001, 1.4999621E+001, 1.5090383E+001, 1.5393085E+001, 1.5947097E+001, 1.6320548E+001, 1.6273419E+001, 1.5857056E+001, 1.5208919E+001, 1.5000537E+001, 1.4999132E+001, 1.4999206E+001, 1.4999370E+001,-1.3463420E-001
 3.0000460E+001, 1.4999545E+001, 1.4999932E+001, 1.5022048E+001, 1.5456341E+001, 1.6106041E+001, 1.6878548E+001, 1.7533132E+001, 1.8222193E+001, 1.8961807E+001, 1.9360641E+001, 1.8897957E+001, 1.7844155E+001, 1.5675994E+001, 1.4999575E+001, 1.4999517E+001, 1.4999721E+001, 5.4293194E-002
 4.0010790E+001, 1.5115859E+001, 1.5722968E+001, 1.6487843E+001, 1.7213194E+001, 1.7598010E+001, 1.8045199E+001, 1.8556459E+001, 1.9209122E+001, 2.0479840E+001, 2.0973301E+001, 2.1262326E+001, 2.0439273E+001, 1.7768372E+001, 1.5982333E+001, 1.5273138E+001, 1.4999914E+001, 2.2843159E-001
 5.0004697E+001, 1.6864123E+001, 1.7731972E+001, 1.8442912E+001, 1.8915261E+001, 1.9579884E+001, 2.0849326E+001, 2.1654796E+001, 2.3004827E+001, 2.4036183E+001, 2.3685060E+001, 2.2702631E+001, 2.1559849E+001, 1.8978921E+001, 1.7369084E+001, 1.6853768E+001, 1.6428046E+001, 2.3440218E-001
 6.0009552E+001, 2.0284651E+001, 2.1148863E+001, 2.1621809E+001, 2.1920457E+001, 2.2643560E+001, 2.3068510E+001, 2.3661822E+001, 2.4213799E+001, 2.4560776E+001, 2.3869312E+001, 2.2641705E+001, 2.2141856E+001, 2.0396304E+001, 1.9387713E+001, 1.8878192E+001, 1.8197984E+001, 2.8290379E-001
 7.0004038E+001, 2.1702145E+001, 2.2195704E+001, 2.2478968E+001, 2.2406345E+001, 2.2718980E+001, 2.2797387E+001, 2.2904703E+001, 2.3603339E+001, 2.3447239E+001, 2.3368060E+001, 2.2248684E+001, 2.1772256E+001, 2.0309736E+001, 2.0204004E+001, 1.9765077E+001, 1.8882057E+001,-5.2915111E-002
 8.0006918E+001, 2.1486055E+001, 2.1843338E+001, 2.2142440E+001, 2.2276035E+001, 2.2375901E+001, 2.2435168E+001, 2.2684459E+001, 2.3383366E+001, 2.2984166E+001, 2.2980823E+001, 2.2386727E+001, 2.0123370E+001, 1.9485798E+001, 1.9794965E+001, 1.8759482E+001, 1.7598763E+001,-3.2504771E-002
