s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m3/s
Time,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115,EXITFLOW
 0.0000000E+000, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 0.0000000E+000
 1.0016595E+001, 1.4999681E+001, 1.4999700E+001, 1.4999606E+001, 1.4999770E+001, 1.4999777E+001, 1.4999717E+001, 1.4999611E+001, 1.4999659E+001, 1.4999708E+001, 1.4999799E+001, 1.5001372E+001, 1.5187593E+001, 1.4999803E+001, 1.4999790E+001, 1.4999715E+001, 1.4999855E+001, 3.0633379E-001
 2.0051955E+001, 1.4999045E+001, 1.4999302E+001, 1.4999724E+001, 1.4999861E+001, 1.4999865E+001, 1.4999861E+001, 1.4999793E+001, 1.5000174E+001, 1.5096927E+001, 1.5116323E+001, 1.5370461E+001, 1.5907151E+001, 1.5000460E+001, 1.4999917E+001, 1.4999884E+001, 1.4999918E+001, 9.0251563E-002
 3.0022873E+001, 1.4998348E+001, 1.4998690E+001, 1.4999682E+001, 1.4999878E+001, 1.4999863E+001, 1.5022476E+001, 1.5063486E+001, 1.5086595E+001, 1.5169940E+001, 1.5222306E+001, 1.5369260E+001, 1.5330026E+001, 1.5000798E+001, 1.4999950E+001, 1.4999955E+001, 1.4999956E+001,-1.6484499E-001
 4.0012151E+001, 1.4998568E+001, 1.4998649E+001, 1.4999664E+001, 1.4999876E+001, 1.5012817E+001, 1.5129625E+001, 1.5140089E+001, 1.5127446E+001, 1.5202670E+001, 1.5304259E+001, 1.5225240E+001, 1.5293148E+001, 1.5000735E+001, 1.4999948E+001, 1.4999969E+001, 1.4999950E+001,-1.3521363E-001
 5.0008760E+001, 1.4998277E+001, 1.4999783E+001, 1.5009650E+001, 1.5047931E+001, 1.5098762E+001, 1.5173454E+001, 1.5203663E+001, 1.5217656E+001, 1.5250871E+001, 1.5249469E+001, 1.5216659E+001, 1.5147911E+001, 1.5000460E+001, 1.4999964E+001, 1.4999956E+001, 1.4999997E+001,-3.3481064E-001
 6.0005369E+001, 1.5030177E+001, 1.5050239E+001, 1.5057173E+001, 1.5101811E+001, 1.5170642E+001, 1.5188399E+001, 1.5159924E+001, 1.5138733E+001, 1.5185122E+001, 1.5235833E+001, 1.5146809E+001, 1.5037714E+001, 1.5000171E+001, 1.4999864E+001, 1.5000056E+001, 1.5000025E+001,-2.3514439E-001
 7.0001978E+001, 1.5066556E+001, 1.5066483E+001, 1.5081823E+001, 1.5135981E+001, 1.5152333E+001, 1.5124260E+001, 1.5140016E+001, 1.5128942E+001, 1.5210087E+001, 1.5174135E+001, 1.5088263E+001, 1.5009818E+001, 1.5000024E+001, 1.4999991E+001, 1.5000058E+001, 1.5000076E+001,-6.7757919E-002
 8.0069991E+001, 1.5062129E+001, 1.5082986E+001, 1.5104449E+001, 1.5118448E+001, 1.5109950E+001, 1.5148576E+001, 1.5144979E+001, 1.5132634E+001, 1.5306032E+001, 1.5170389E+001, 1.5071552E+001, 1.4993858E+001, 1.4999940E+001, 1.5000114E+001, 1.5000035E+001, 1.5000135E+001,-3.5660806E-002
 9.0048603E+001, 1.5075660E+001, 1.5087425E+001, 1.5099806E+001, 1.5119133E+001, 1.5148817E+001, 1.5201664E+001, 1.5241728E+001, 1.5283590E+001, 1.5202100E+001, 1.5117321E+001, 1.5038123E+001, 1.5004190E+001, 1.4999828E+001, 1.5000092E+001, 1.5000115E+001, 1.5000143E+001,-5.1861238E-001
 1.0004521E+002, 1.5103889E+001, 1.5129743E+001, 1.5137809E+001, 1.5161116E+001, 1.5170986E+001, 1.5164996E+001, 1.5143212E+001, 1.5097597E+001, 1.5209959E+001, 1.5024252E+001, 1.5007662E+001, 1.5000555E+001, 1.4999949E+001, 1.5000184E+001, 1.5000189E+001, 1.5000115E+001,-3.1241959E-001
 1.1004182E+002, 1.5137724E+001, 1.5121009E+001, 1.5121459E+001, 1.5129553E+001, 1.5122865E+001, 1.5114989E+001, 1.5079078E+001, 1.5196153E+001, 1.5244493E+001, 1.5009279E+001, 1.5002425E+001, 1.4999882E+001, 1.4999862E+001, 1.5000254E+001, 1.5000275E+001, 1.5000177E+001,-1.6549970E-002
