s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m3/s
Time,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115,EXITFLOW
 0.0000000E+000, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 0.0000000E+000
 1.0040811E+001, 1.4999729E+001, 1.4999639E+001, 1.4999527E+001, 1.4999732E+001, 1.4999712E+001, 1.4999646E+001, 1.4999518E+001, 1.4999627E+001, 1.4999663E+001, 1.5212162E+001, 1.5007433E+001, 1.4999598E+001, 1.4999682E+001, 1.4999741E+001, 1.4999686E+001, 1.4999835E+001,-8.8646159E-002
 2.0037420E+001, 1.4999834E+001, 1.4999756E+001, 1.4999772E+001, 1.4999856E+001, 1.4999813E+001, 1.4999803E+001, 1.5010451E+001, 1.5146856E+001, 1.5178340E+001, 1.6200649E+001, 1.5729153E+001, 1.5004736E+001, 1.4999809E+001, 1.4999864E+001, 1.4999880E+001, 1.4999930E+001,-1.5513865E-001
 3.0034029E+001, 1.4999844E+001, 1.4999818E+001, 1.4999865E+001, 1.4999866E+001, 1.4999869E+001, 1.5055514E+001, 1.5210000E+001, 1.5343527E+001, 1.5362490E+001, 1.5675280E+001, 1.5357576E+001, 1.5045262E+001, 1.4999875E+001, 1.4999911E+001, 1.4999944E+001, 1.4999924E+001, 1.2523316E-001
 4.0030637E+001, 1.4999861E+001, 1.4999846E+001, 1.4999920E+001, 1.4999869E+001, 1.5000472E+001, 1.5132620E+001, 1.5201930E+001, 1.5228916E+001, 1.5274551E+001, 1.5585110E+001, 1.5193041E+001, 1.5058190E+001, 1.5002307E+001, 1.4999952E+001, 1.5000002E+001, 1.5000009E+001,-1.1083539E-001
 5.0027246E+001, 1.4999883E+001, 1.4999876E+001, 1.4999967E+001, 1.4999873E+001, 1.5026523E+001, 1.5112835E+001, 1.5102997E+001, 1.5208263E+001, 1.5212593E+001, 1.5403019E+001, 1.5191181E+001, 1.5064922E+001, 1.5003237E+001, 1.4999923E+001, 1.4999972E+001, 1.4999818E+001, 5.9742565E-002
 6.0023855E+001, 1.4999895E+001, 1.4999858E+001, 1.4999980E+001, 1.4999905E+001, 1.5040339E+001, 1.5081049E+001, 1.5063007E+001, 1.5157019E+001, 1.5160239E+001, 1.5255999E+001, 1.5157768E+001, 1.5133735E+001, 1.5029433E+001, 1.4999901E+001, 1.4999984E+001, 1.4999896E+001,-1.0413941E-001
 7.0020464E+001, 1.4999899E+001, 1.4999848E+001, 1.4999933E+001, 1.5012801E+001, 1.5027518E+001, 1.5054215E+001, 1.5068144E+001, 1.5106438E+001, 1.5149609E+001, 1.5151213E+001, 1.5124080E+001, 1.5074519E+001, 1.5015886E+001, 1.4999880E+001, 1.4999991E+001, 1.4999812E+001, 2.8798515E-002
 8.0017073E+001, 1.4999902E+001, 1.4999867E+001, 1.4999906E+001, 1.5010452E+001, 1.5023636E+001, 1.5036802E+001, 1.5055247E+001, 1.5080918E+001, 1.5114088E+001, 1.5109615E+001, 1.5084334E+001, 1.5076761E+001, 1.5010966E+001, 1.4999818E+001, 1.4999960E+001, 1.4999767E+001, 2.0573511E-001
 9.0013682E+001, 1.4999947E+001, 1.4999897E+001, 1.4999881E+001, 1.5003583E+001, 1.5029149E+001, 1.5022398E+001, 1.5047894E+001, 1.5071686E+001, 1.5093985E+001, 1.5106808E+001, 1.5073466E+001, 1.5069246E+001, 1.5005845E+001, 1.4999703E+001, 1.4999909E+001, 1.4999978E+001,-1.5686377E-001
 1.0001029E+002, 1.4999675E+001, 1.4999909E+001, 1.4999892E+001, 1.5001150E+001, 1.5025493E+001, 1.5026640E+001, 1.5069059E+001, 1.5138543E+001, 1.5144305E+001, 1.5148665E+001, 1.5083868E+001, 1.5078180E+001, 1.5008587E+001, 1.4999566E+001, 1.4999794E+001, 1.4999987E+001, 3.7068859E-001
 1.1000690E+002, 1.4998878E+001, 1.4999727E+001, 1.4999902E+001, 1.5000296E+001, 1.5011059E+001, 1.5026190E+001, 1.5059185E+001, 1.5194676E+001, 1.5208882E+001, 1.5121914E+001, 1.5138308E+001, 1.5113820E+001, 1.5053725E+001, 1.5003683E+001, 1.4999447E+001, 1.4999844E+001,-5.4044285E-002
