s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m3/s
Time,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115,EXITFLOW
 0.0000000E+000, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 0.0000000E+000
 1.0014438E+001, 1.4999741E+001, 1.4999684E+001, 1.4999565E+001, 1.4999755E+001, 1.4999759E+001, 1.4999675E+001, 1.4999575E+001, 1.5000309E+001, 1.4999700E+001, 1.4999603E+001, 1.4999415E+001, 1.4999425E+001, 1.4999716E+001, 1.4999772E+001, 1.4999694E+001, 1.4999847E+001, 1.3308447E-001
 2.0011047E+001, 1.4999695E+001, 1.4999795E+001, 1.4999771E+001, 1.4999844E+001, 1.4999892E+001, 1.5028459E+001, 1.5095853E+001, 1.5303248E+001, 1.5334570E+001, 1.5064486E+001, 1.4999369E+001, 1.4978032E+001, 1.4999863E+001, 1.4999895E+001, 1.4999839E+001, 1.4999940E+001,-2.4906073E-001
 3.0007656E+001, 1.4999591E+001, 1.4999823E+001, 1.4999818E+001, 1.4999889E+001, 1.5045126E+001, 1.5144650E+001, 1.5216611E+001, 1.5314849E+001, 1.5347812E+001, 1.5060664E+001, 1.4999951E+001, 1.4992540E+001, 1.4999879E+001, 1.4999942E+001, 1.4999922E+001, 1.4999991E+001, 2.1113656E-001
 4.0004265E+001, 1.4999146E+001, 1.4999791E+001, 1.4999825E+001, 1.5004325E+001, 1.5091377E+001, 1.5153843E+001, 1.5109427E+001, 1.5188314E+001, 1.5256318E+001, 1.5249266E+001, 1.5206295E+001, 1.4997880E+001, 1.4999725E+001, 1.4999952E+001, 1.4999916E+001, 1.4999973E+001,-2.1545851E-001
 5.0000873E+001, 1.4998583E+001, 1.5004597E+001, 1.5022686E+001, 1.5053310E+001, 1.5074074E+001, 1.5122826E+001, 1.5169200E+001, 1.5211883E+001, 1.5208866E+001, 1.5168105E+001, 1.5119545E+001, 1.4999100E+001, 1.4999687E+001, 1.4999941E+001, 1.4999935E+001, 1.4999994E+001,-3.0403718E-001
 6.0068887E+001, 1.5018611E+001, 1.5040671E+001, 1.5050651E+001, 1.5071393E+001, 1.5133088E+001, 1.5193628E+001, 1.5178469E+001, 1.5196522E+001, 1.5217366E+001, 1.5466142E+001, 1.5358538E+001, 1.4999143E+001, 1.4999740E+001, 1.4999943E+001, 1.4999985E+001, 1.5000020E+001,-1.8383709E-001
 7.0065496E+001, 1.5040413E+001, 1.5063558E+001, 1.5108597E+001, 1.5142784E+001, 1.5171498E+001, 1.5210690E+001, 1.5229946E+001, 1.5210979E+001, 1.5274950E+001, 1.5365782E+001, 1.5165286E+001, 1.4999126E+001, 1.4999778E+001, 1.4999929E+001, 1.4999994E+001, 1.5000053E+001,-3.1426368E-001
 8.0062104E+001, 1.5054600E+001, 1.5098060E+001, 1.5118330E+001, 1.5134181E+001, 1.5149002E+001, 1.5225774E+001, 1.5217745E+001, 1.5267376E+001, 1.5177628E+001, 1.5123924E+001, 1.5138677E+001, 1.5001998E+001, 1.4999741E+001, 1.4999832E+001, 1.5000036E+001, 1.5000135E+001, 4.0379584E-002
 9.0013153E+001, 1.5067746E+001, 1.5088220E+001, 1.5101021E+001, 1.5138470E+001, 1.5182455E+001, 1.5270922E+001, 1.5318444E+001, 1.5434265E+001, 1.5332072E+001, 1.5204422E+001, 1.5240254E+001, 1.5007939E+001, 1.4999692E+001, 1.4999818E+001, 1.5000139E+001, 1.5000172E+001,-4.2241673E-001
 1.0000185E+002, 1.5062433E+001, 1.5077222E+001, 1.5137028E+001, 1.5167628E+001, 1.5241441E+001, 1.5292515E+001, 1.5392065E+001, 1.5298283E+001, 1.5189525E+001, 1.5127520E+001, 1.5132464E+001, 1.5001691E+001, 1.4999671E+001, 1.5000034E+001, 1.5000213E+001, 1.5000170E+001, 3.4410966E-002
 1.1001177E+002, 1.5041523E+001, 1.5053070E+001, 1.5108808E+001, 1.5149685E+001, 1.5203453E+001, 1.5225160E+001, 1.5266723E+001, 1.5256689E+001, 1.5233279E+001, 1.5189946E+001, 1.5260903E+001, 1.5062021E+001, 1.5015975E+001, 1.4999961E+001, 1.5000224E+001, 1.5000278E+001, 7.6370156E-001
