s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m3/s
Time,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115,EXITFLOW
 0.0000000E+000, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 0.0000000E+000
 1.0006567E+001, 1.4999733E+001, 1.4999680E+001, 1.4999543E+001, 1.4999802E+001, 1.4999813E+001, 1.4999783E+001, 1.4999715E+001, 1.5048598E+001, 1.5076800E+001, 1.5062791E+001, 1.5000058E+001, 1.5000122E+001, 1.4999868E+001, 1.4999774E+001, 1.4999671E+001, 1.4999839E+001, 1.3956558E-001
 2.0021620E+001, 1.4999968E+001, 1.5000079E+001, 1.5000166E+001, 1.5000666E+001, 1.5001957E+001, 1.5098157E+001, 1.5256518E+001, 1.6068352E+001, 1.6409041E+001, 1.6147373E+001, 1.5236753E+001, 1.5004630E+001, 1.5001568E+001, 1.5000079E+001, 1.4999914E+001, 1.4999992E+001,-1.9160264E-001
 3.0014291E+001, 1.5000269E+001, 1.5000700E+001, 1.5202178E+001, 1.5736976E+001, 1.6379386E+001, 1.6726733E+001, 1.6992531E+001, 1.7804706E+001, 1.7924288E+001, 1.7942028E+001, 1.7945142E+001, 1.6885374E+001, 1.5701236E+001, 1.5000375E+001, 1.5000116E+001, 1.5000089E+001, 9.4102966E-002
 4.0011219E+001, 1.5086492E+001, 1.5762518E+001, 1.6317201E+001, 1.6779404E+001, 1.7270973E+001, 1.7680324E+001, 1.7970548E+001, 1.8767859E+001, 1.9604303E+001, 1.9612917E+001, 1.9767905E+001, 1.9237034E+001, 1.8380238E+001, 1.5810646E+001, 1.5129055E+001, 1.5000304E+001, 2.0114581E-001
 5.0027971E+001, 1.6898460E+001, 1.7594495E+001, 1.8507771E+001, 1.9457130E+001, 2.0342863E+001, 2.1056297E+001, 2.1642888E+001, 2.2153591E+001, 2.3583023E+001, 2.3658598E+001, 2.2452930E+001, 2.0975890E+001, 2.0288583E+001, 1.7318995E+001, 1.6757156E+001, 1.6123722E+001, 2.2763356E-001
 6.0031495E+001, 2.0962878E+001, 2.1579626E+001, 2.2214900E+001, 2.2877929E+001, 2.3429928E+001, 2.3846788E+001, 2.4315747E+001, 2.4397917E+001, 2.5344457E+001, 2.4425098E+001, 2.3469192E+001, 2.1152384E+001, 2.0628382E+001, 1.8918474E+001, 1.8803144E+001, 1.8037714E+001, 2.7653091E-001
 7.0001161E+001, 2.1727957E+001, 2.2056990E+001, 2.2481074E+001, 2.2704359E+001, 2.2882488E+001, 2.3320434E+001, 2.3669955E+001, 2.3592845E+001, 2.4153695E+001, 2.3843914E+001, 2.3376666E+001, 2.1839952E+001, 2.1180281E+001, 1.9652336E+001, 1.9299141E+001, 1.8717689E+001,-3.7336431E-002
 8.0016131E+001, 2.1475976E+001, 2.1787881E+001, 2.2177100E+001, 2.2537256E+001, 2.2617708E+001, 2.2842865E+001, 2.3130780E+001, 2.3454491E+001, 2.3234799E+001, 2.3034992E+001, 2.2312196E+001, 2.0285589E+001, 2.0395757E+001, 1.9652627E+001, 1.8527061E+001, 1.7850942E+001,-3.8950472E-002
 9.0007387E+001, 2.1171625E+001, 2.1855705E+001, 2.2779693E+001, 2.3251661E+001, 2.3279300E+001, 2.4599203E+001, 2.6157236E+001, 2.6970932E+001, 2.8724007E+001, 2.8609829E+001, 2.7365124E+001, 2.6751297E+001, 2.4121386E+001, 2.1091437E+001, 1.9670706E+001, 1.8227296E+001, 8.7675477E-002
 1.0001157E+002, 2.5510753E+001, 2.6773715E+001, 2.8082683E+001, 2.8792528E+001, 2.8915739E+001, 2.9635431E+001, 3.0357879E+001, 3.0283218E+001, 3.1455700E+001, 2.9392083E+001, 2.8112555E+001, 2.5270702E+001, 2.4780809E+001, 2.4009834E+001, 2.2932763E+001, 2.1459861E+001,-4.6271531E-002
 1.1002164E+002, 2.6428490E+001, 2.6747082E+001, 2.7273182E+001, 2.6617527E+001, 2.6224636E+001, 2.6400785E+001, 2.6382712E+001, 2.7075386E+001, 2.8082936E+001, 2.7855334E+001, 2.8364927E+001, 2.7001922E+001, 2.5180418E+001, 2.3149305E+001, 2.2887249E+001, 2.1449143E+001, 2.1807304E-001
