s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0458420E-002,-2.2644081E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0458442E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0022696E+001, 0.0000000E+000, 0.0000000E+000,-3.8706376E-004,-3.1555916E-001, 1.6530922E-003,-2.7189484E-018, 0.0000000E+000, 0.0000000E+000, 5.7988142E-004,-3.1429313E-001, 3.9294630E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0012930E+001, 0.0000000E+000, 0.0000000E+000,-3.5964877E-005, 1.1136026E-001,-8.3622459E-004,-8.3192994E-019, 0.0000000E+000, 0.0000000E+000, 1.9829400E-003, 1.1048807E-001, 1.0869205E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0009539E+001, 0.0000000E+000, 0.0000000E+000, 2.5496994E-005, 1.7430301E+000,-2.8630922E-003,-4.1991791E-019, 0.0000000E+000, 0.0000000E+000,-6.8305431E-003, 1.7401925E+000,-1.8337683E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0006145E+001, 0.0000000E+000, 0.0000000E+000, 8.3612320E-005,-1.2949278E-001,-1.4085926E-003,-2.8213569E-019, 0.0000000E+000, 0.0000000E+000,-1.5462069E-003,-1.3081776E-001,-1.6695747E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0002754E+001, 0.0000000E+000, 0.0000000E+000, 1.0669039E-004,-3.9373723E-001,-1.0242272E-003,-2.4915837E-019, 0.0000000E+000, 0.0000000E+000,-8.1895759E-004,-3.9465477E-001,-3.4984046E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0070770E+001, 0.0000000E+000, 0.0000000E+000, 1.0597411E-004,-7.5927391E-001,-5.4504899E-004,-2.6221651E-019, 0.0000000E+000, 0.0000000E+000,-2.9390469E-004,-7.5971298E-001,-2.7412162E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.0067375E+001, 0.0000000E+000, 0.0000000E+000, 3.5926000E-005, 1.1381686E+000,-1.0997178E-003,-4.3188433E-019, 0.0000000E+000, 0.0000000E+000, 3.5013045E-003, 1.1371048E+000,-9.1214993E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0063988E+001, 0.0000000E+000, 0.0000000E+000,-2.5672870E-005, 4.3270839E-001,-1.0630363E-003,-3.6650211E-019, 0.0000000E+000, 0.0000000E+000, 2.6305585E-003, 4.3161968E-001,-2.1416467E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.0060593E+001, 0.0000000E+000, 0.0000000E+000, 9.3249919E-005,-1.0696090E+000,-3.6936818E-004,-4.0111322E-019, 0.0000000E+000, 0.0000000E+000,-6.0582854E-003,-1.0698851E+000,-4.7270613E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
