s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m3/s
Time,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115,EXITFLOW
 0.0000000E+000, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 0.0000000E+000
 1.0065726E+001, 1.4999723E+001, 1.4999662E+001, 1.4999525E+001, 1.4999736E+001, 1.4999738E+001, 1.4999651E+001, 1.4999542E+001, 1.4999733E+001, 1.5037100E+001, 1.5268763E+001, 1.5031355E+001, 1.4999561E+001, 1.4999727E+001, 1.4999761E+001, 1.4999667E+001, 1.4999838E+001, 2.2687462E-001
 2.0062335E+001, 1.4999778E+001, 1.4999729E+001, 1.4999756E+001, 1.4999836E+001, 1.4999876E+001, 1.5000094E+001, 1.5078877E+001, 1.5227163E+001, 1.5695596E+001, 1.6114064E+001, 1.5722321E+001, 1.4861755E+001, 1.4999937E+001, 1.4999866E+001, 1.4999852E+001, 1.4999931E+001,-1.0232977E-001
 3.0058944E+001, 1.4999658E+001, 1.4999822E+001, 1.4999829E+001, 1.5000743E+001, 1.5023612E+001, 1.5122773E+001, 1.5333383E+001, 1.5402941E+001, 1.5700581E+001, 1.5705633E+001, 1.5595464E+001, 1.4944928E+001, 1.4999985E+001, 1.4999904E+001, 1.4999914E+001, 1.4999971E+001,-1.5884205E-001
 4.0055552E+001, 1.4999655E+001, 1.4999834E+001, 1.4999864E+001, 1.5060537E+001, 1.5097693E+001, 1.5109735E+001, 1.5199437E+001, 1.5251142E+001, 1.5481993E+001, 1.5423982E+001, 1.5332507E+001, 1.5016550E+001, 1.4999926E+001, 1.4999952E+001, 1.4999936E+001, 1.5000006E+001, 4.4693618E-002
 5.0052161E+001, 1.4999667E+001, 1.4999802E+001, 1.5004235E+001, 1.5061325E+001, 1.5114774E+001, 1.5066776E+001, 1.5145282E+001, 1.5191878E+001, 1.5357945E+001, 1.5437254E+001, 1.5346361E+001, 1.5265432E+001, 1.4999963E+001, 1.4999946E+001, 1.4999911E+001, 1.4999997E+001,-1.4599075E-001
 6.0048770E+001, 1.4999751E+001, 1.5016319E+001, 1.5029985E+001, 1.5060888E+001, 1.5104422E+001, 1.5114788E+001, 1.5199870E+001, 1.5302122E+001, 1.5328289E+001, 1.5289576E+001, 1.5222770E+001, 1.5106519E+001, 1.4999871E+001, 1.4999933E+001, 1.4999951E+001, 1.5000006E+001,-2.1175711E-001
 7.0045379E+001, 1.5008155E+001, 1.5064160E+001, 1.5060959E+001, 1.5055509E+001, 1.5120969E+001, 1.5219102E+001, 1.5271367E+001, 1.5286864E+001, 1.5164493E+001, 1.5288605E+001, 1.5296058E+001, 1.5174012E+001, 1.4999806E+001, 1.4999891E+001, 1.4999984E+001, 1.4999996E+001, 1.0839790E-001
 8.0041988E+001, 1.5068694E+001, 1.5115901E+001, 1.5083837E+001, 1.5078838E+001, 1.5176472E+001, 1.5228050E+001, 1.5241430E+001, 1.5204720E+001, 1.5204930E+001, 1.5300501E+001, 1.5234650E+001, 1.5184917E+001, 1.4999685E+001, 1.4999854E+001, 1.4999936E+001, 1.4999973E+001,-2.7828925E-001
 9.0038597E+001, 1.5103574E+001, 1.5121071E+001, 1.5074454E+001, 1.5143544E+001, 1.5196868E+001, 1.5197186E+001, 1.5223424E+001, 1.5238712E+001, 1.5187520E+001, 1.5183842E+001, 1.5182745E+001, 1.5090149E+001, 1.4999498E+001, 1.4999801E+001, 1.4999927E+001, 1.4999971E+001, 2.0831497E-001
 1.0003521E+002, 1.5088903E+001, 1.5119179E+001, 1.5081951E+001, 1.5133321E+001, 1.5170076E+001, 1.5162318E+001, 1.5193376E+001, 1.5216284E+001, 1.5204992E+001, 1.5156869E+001, 1.5176046E+001, 1.5173932E+001, 1.5003214E+001, 1.4999679E+001, 1.4999904E+001, 1.4999910E+001, 1.0000211E-001
 1.1000752E+002, 1.5075782E+001, 1.5109090E+001, 1.5104000E+001, 1.5116941E+001, 1.5140671E+001, 1.5130142E+001, 1.5158825E+001, 1.5170361E+001, 1.5188334E+001, 1.5166241E+001, 1.5185933E+001, 1.5150093E+001, 1.5023539E+001, 1.4999361E+001, 1.4999659E+001, 1.4999755E+001, 4.1674091E-001
