s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m3/s
Time,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115,EXITFLOW
 0.0000000E+000, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 0.0000000E+000
 1.0022055E+001, 1.4999839E+001, 1.4999822E+001, 1.4999819E+001, 1.5000263E+001, 1.5000493E+001, 1.5000745E+001, 1.5001081E+001, 1.5002446E+001, 1.5185505E+001, 1.6214127E+001, 1.5224865E+001, 1.5002113E+001, 1.5000854E+001, 1.4999884E+001, 1.4999763E+001, 1.4999889E+001,-1.0650272E-001
 2.0017055E+001, 1.5001045E+001, 1.5031710E+001, 1.5389625E+001, 1.6522440E+001, 1.7223958E+001, 1.8028452E+001, 1.8880614E+001, 2.1281375E+001, 2.1401119E+001, 2.2095878E+001, 2.0776468E+001, 1.8880851E+001, 1.6653286E+001, 1.5001265E+001, 1.5000586E+001, 1.5000388E+001, 2.1750955E-002
 3.0024861E+001, 2.0492273E+001, 2.2068398E+001, 2.3330997E+001, 2.4916051E+001, 2.5708995E+001, 2.6663380E+001, 2.7460669E+001, 2.8530071E+001, 2.9642947E+001, 2.8649562E+001, 2.7707495E+001, 2.5849836E+001, 2.3161469E+001, 1.7880415E+001, 1.6387591E+001, 1.5099967E+001,-4.2170053E-002
 4.0017634E+001, 2.5558826E+001, 2.5949918E+001, 2.6467277E+001, 2.7197502E+001, 2.7576346E+001, 2.8176730E+001, 2.8729804E+001, 2.9184560E+001, 3.0248709E+001, 2.9509811E+001, 2.9452906E+001, 2.8585293E+001, 2.5452969E+001, 2.1863299E+001, 1.9854912E+001, 1.9231756E+001,-1.2152553E-001
 5.0009500E+001, 2.5581785E+001, 2.5476196E+001, 2.5711573E+001, 2.5749441E+001, 2.6244853E+001, 2.6362699E+001, 2.6517000E+001, 2.6477831E+001, 2.6823059E+001, 2.7306961E+001, 2.8146079E+001, 2.6575543E+001, 2.4066493E+001, 2.2022975E+001, 2.0878713E+001, 2.1032355E+001,-1.3727464E-001
 6.0000260E+001, 2.4461416E+001, 2.4801675E+001, 2.4736331E+001, 2.4645631E+001, 2.5052393E+001, 2.6310843E+001, 2.7206975E+001, 2.8230011E+001, 3.0954371E+001, 3.2848917E+001, 3.5351672E+001, 3.0216424E+001, 2.6633523E+001, 2.2873101E+001, 1.9712683E+001, 2.0818501E+001, 8.0869197E-002
 7.0015379E+001, 2.5430008E+001, 2.7629590E+001, 2.9217909E+001, 3.1601676E+001, 3.4205591E+001, 3.6149890E+001, 3.8337539E+001, 4.0663546E+001, 4.6525475E+001, 4.9723339E+001, 5.0888465E+001, 4.8403011E+001, 4.1743157E+001, 3.5159997E+001, 3.2014717E+001, 2.8530575E+001, 3.7239381E-001
 8.0000524E+001, 4.1080343E+001, 4.3637709E+001, 4.5304417E+001, 4.8231517E+001, 5.1907312E+001, 5.3705379E+001, 5.3832205E+001, 5.6331259E+001, 5.8906478E+001, 5.6250237E+001, 5.1826261E+001, 4.8009763E+001, 4.3474230E+001, 3.9783800E+001, 3.8828555E+001, 3.5791952E+001, 2.4938692E-001
 9.0003601E+001, 4.6591443E+001, 4.8804003E+001, 5.0333123E+001, 5.1735057E+001, 5.2802959E+001, 5.3022899E+001, 5.3384840E+001, 5.4552018E+001, 5.7170613E+001, 5.4886057E+001, 5.1683332E+001, 4.6791384E+001, 4.2350311E+001, 3.8048104E+001, 3.5591914E+001, 3.4253904E+001, 2.2226221E-001
 1.0000693E+002, 4.2037827E+001, 4.4452340E+001, 4.5939719E+001, 4.6387422E+001, 4.5349626E+001, 4.7290435E+001, 4.8236608E+001, 4.9974001E+001, 5.2740226E+001, 5.6793378E+001, 5.9736639E+001, 5.8966745E+001, 5.5014733E+001, 4.5014248E+001, 4.2362232E+001, 3.9352456E+001, 4.1849823E-001
 1.1000827E+002, 3.7228244E+001, 3.8794924E+001, 4.0491021E+001, 4.1535199E+001, 4.0958532E+001, 4.2627163E+001, 4.4334137E+001, 4.6959309E+001, 5.0065998E+001, 5.8198713E+001, 6.5604342E+001, 6.6988008E+001, 6.2715592E+001, 4.7725992E+001, 4.4261013E+001, 4.2975247E+001, 2.3133566E+000
