s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m3/s
Time,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115,EXITFLOW
 0.0000000E+000, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 0.0000000E+000
 1.0014959E+001, 1.4999745E+001, 1.4999661E+001, 1.4999565E+001, 1.4999829E+001, 1.4999844E+001, 1.4999840E+001, 1.4999792E+001, 1.5000213E+001, 1.5041286E+001, 1.5749496E+001, 1.5442312E+001, 1.5000078E+001, 1.4999902E+001, 1.4999768E+001, 1.4999694E+001, 1.4999842E+001,-1.0580847E-001
 2.0001061E+001, 1.5000066E+001, 1.5000188E+001, 1.5000410E+001, 1.5001088E+001, 1.5008458E+001, 1.5168704E+001, 1.5373162E+001, 1.5641660E+001, 1.6120066E+001, 1.8036099E+001, 1.6960067E+001, 1.5117014E+001, 1.5003036E+001, 1.5000154E+001, 1.5000020E+001, 1.5000018E+001, 2.4236179E-002
 3.0038581E+001, 1.5224173E+001, 1.5486485E+001, 1.5924361E+001, 1.6899053E+001, 1.7226954E+001, 1.8041616E+001, 1.8116854E+001, 1.9028567E+001, 1.9132177E+001, 1.9671153E+001, 1.9152311E+001, 1.7845119E+001, 1.6241083E+001, 1.5000691E+001, 1.5000288E+001, 1.5000169E+001,-4.3192345E-002
 4.0032201E+001, 1.7200769E+001, 1.7458194E+001, 1.7813278E+001, 1.8505831E+001, 1.8800497E+001, 1.9264290E+001, 1.9466885E+001, 2.0261180E+001, 2.0404094E+001, 2.1031026E+001, 2.0814962E+001, 2.0163493E+001, 1.7946679E+001, 1.6009314E+001, 1.5048623E+001, 1.5000379E+001,-1.1082627E-001
 5.0015087E+001, 1.8401293E+001, 1.8751299E+001, 1.9043228E+001, 1.9389491E+001, 1.9501469E+001, 1.9610402E+001, 1.9736740E+001, 2.0120352E+001, 2.0224969E+001, 2.0940780E+001, 2.0914428E+001, 2.0333207E+001, 1.8402955E+001, 1.7481197E+001, 1.7059382E+001, 1.5653444E+001,-2.2188739E-002
 6.0028306E+001, 1.8822931E+001, 1.9001447E+001, 1.9027421E+001, 1.8994709E+001, 1.9199822E+001, 1.9228612E+001, 1.9198996E+001, 1.9263482E+001, 1.9237570E+001, 1.9523932E+001, 1.9578746E+001, 1.9555069E+001, 1.8372740E+001, 1.7473886E+001, 1.7099874E+001, 1.6911357E+001, 1.7648171E-003
 7.0004761E+001, 1.8514906E+001, 1.8652489E+001, 1.8580505E+001, 1.8549870E+001, 1.8750474E+001, 1.8488774E+001, 1.8358154E+001, 1.8519453E+001, 1.8727319E+001, 1.8613924E+001, 1.8720440E+001, 1.8480995E+001, 1.7897988E+001, 1.7153319E+001, 1.6841478E+001, 1.6432392E+001, 6.5893621E-002
 8.0018776E+001, 1.8124329E+001, 1.8260293E+001, 1.8320855E+001, 1.8179500E+001, 1.8427087E+001, 1.8033742E+001, 1.8013353E+001, 1.8157226E+001, 1.8789389E+001, 1.8730886E+001, 1.8351056E+001, 1.7640803E+001, 1.7122597E+001, 1.6843424E+001, 1.6959351E+001, 1.6255920E+001, 1.8156604E-002
 9.0015502E+001, 1.7886231E+001, 1.7781693E+001, 1.8134024E+001, 1.8331286E+001, 1.8760499E+001, 1.9114964E+001, 1.9691147E+001, 2.0408744E+001, 2.1915544E+001, 2.2697885E+001, 2.1792631E+001, 2.0301547E+001, 1.8663566E+001, 1.6923074E+001, 1.6595254E+001, 1.6188360E+001, 3.3887311E-002
 1.0001913E+002, 1.8090089E+001, 1.8756129E+001, 1.9593985E+001, 2.0222384E+001, 2.0416223E+001, 2.0836646E+001, 2.1825012E+001, 2.2537371E+001, 2.4284201E+001, 2.6034300E+001, 2.6114046E+001, 2.5419714E+001, 2.3685304E+001, 2.0025071E+001, 1.8631782E+001, 1.7231861E+001, 1.1058261E-001
 1.1001073E+002, 2.0329820E+001, 2.0790757E+001, 2.1192725E+001, 2.1631204E+001, 2.2063140E+001, 2.2520476E+001, 2.3168681E+001, 2.3522810E+001, 2.4249693E+001, 2.4942398E+001, 2.5369105E+001, 2.4924216E+001, 2.2806137E+001, 2.1518820E+001, 2.1270806E+001, 2.0231262E+001, 6.0073645E-002
