s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m3/s
Time,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115,EXITFLOW
 0.0000000E+000, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 0.0000000E+000
 1.0039698E+001, 1.4999778E+001, 1.4999716E+001, 1.4999627E+001, 1.4999779E+001, 1.4999776E+001, 1.4999713E+001, 1.4999626E+001, 1.4999667E+001, 1.4999688E+001, 1.4999686E+001, 1.4999551E+001, 1.4999562E+001, 1.4999738E+001, 1.4999791E+001, 1.4999743E+001, 1.4999867E+001,-2.0673547E-001
 2.0036307E+001, 1.4999848E+001, 1.4999858E+001, 1.4999836E+001, 1.4999852E+001, 1.4999846E+001, 1.4999839E+001, 1.4999470E+001, 1.5031527E+001, 1.5242343E+001, 1.5172406E+001, 1.5289533E+001, 1.4999741E+001, 1.4999874E+001, 1.4999898E+001, 1.4999914E+001, 1.4999851E+001,-2.8171117E-001
 3.0032916E+001, 1.4999869E+001, 1.4999888E+001, 1.4999885E+001, 1.4999894E+001, 1.4999851E+001, 1.4999908E+001, 1.4996027E+001, 1.5149558E+001, 1.5303522E+001, 1.5266431E+001, 1.5220078E+001, 1.5115627E+001, 1.4999860E+001, 1.4999985E+001, 1.5000016E+001, 1.4999893E+001, 2.2940734E-001
 4.0029525E+001, 1.4999937E+001, 1.4999903E+001, 1.4999908E+001, 1.4999895E+001, 1.4999890E+001, 1.4999903E+001, 1.4998245E+001, 1.5138296E+001, 1.5163939E+001, 1.5140059E+001, 1.5303042E+001, 1.5239528E+001, 1.5000048E+001, 1.4999938E+001, 1.4999990E+001, 1.4999540E+001,-2.7427049E-002
 5.0026134E+001, 1.4999724E+001, 1.4999934E+001, 1.4999923E+001, 1.4999914E+001, 1.4999915E+001, 1.4999885E+001, 1.4999365E+001, 1.5091336E+001, 1.5158463E+001, 1.5099434E+001, 1.5239082E+001, 1.5112061E+001, 1.5000385E+001, 1.4999870E+001, 1.4999998E+001, 1.4999185E+001, 1.6466669E-001
 6.0022743E+001, 1.4998537E+001, 1.4998942E+001, 1.4999597E+001, 1.4999938E+001, 1.4999916E+001, 1.4999897E+001, 1.4999732E+001, 1.5033362E+001, 1.5085238E+001, 1.5089439E+001, 1.5134138E+001, 1.5085437E+001, 1.5011066E+001, 1.4999823E+001, 1.4999958E+001, 1.4999631E+001, 3.6356192E-001
 7.0019352E+001, 1.4998727E+001, 1.4998290E+001, 1.4998195E+001, 1.4999269E+001, 1.4999957E+001, 1.4999922E+001, 1.4999868E+001, 1.5026490E+001, 1.5147370E+001, 1.5064107E+001, 1.5060912E+001, 1.5041481E+001, 1.5051065E+001, 1.5002695E+001, 1.4999835E+001, 1.4999876E+001, 3.0410318E-002
 8.0015960E+001, 1.4999038E+001, 1.4998474E+001, 1.4998055E+001, 1.4998039E+001, 1.4999229E+001, 1.4999771E+001, 1.4999904E+001, 1.5267185E+001, 1.5454661E+001, 1.5303420E+001, 1.5243753E+001, 1.5039947E+001, 1.5063267E+001, 1.5007490E+001, 1.5001177E+001, 1.4999789E+001, 3.1129701E-001
 9.0020851E+001, 1.4999473E+001, 1.4999229E+001, 1.4998816E+001, 1.4998350E+001, 1.4998257E+001, 1.4998343E+001, 1.4998662E+001, 1.5081576E+001, 1.5157264E+001, 1.5188391E+001, 1.5213417E+001, 1.5046724E+001, 1.5084671E+001, 1.5011121E+001, 1.5011859E+001, 1.5007140E+001, 4.4276695E-001
 1.0001746E+002, 1.4999425E+001, 1.4999431E+001, 1.4999354E+001, 1.4999095E+001, 1.4998772E+001, 1.4998368E+001, 1.4998149E+001, 1.5020625E+001, 1.5128938E+001, 1.5196934E+001, 1.5117217E+001, 1.5046780E+001, 1.5081488E+001, 1.5016813E+001, 1.5013467E+001, 1.5026356E+001, 1.0263972E-002
 1.1001407E+002, 1.4999459E+001, 1.4999364E+001, 1.4999313E+001, 1.4999104E+001, 1.4999060E+001, 1.4998744E+001, 1.4998352E+001, 1.5005140E+001, 1.5120202E+001, 1.5304913E+001, 1.5341265E+001, 1.5147680E+001, 1.5047235E+001, 1.5030835E+001, 1.5017615E+001, 1.5030555E+001, 2.1485444E-001
