s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m3/s
Time,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115,EXITFLOW
 0.0000000E+000, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 0.0000000E+000
 1.0051712E+001, 1.4999740E+001, 1.4999667E+001, 1.4999560E+001, 1.4999744E+001, 1.4999743E+001, 1.4999672E+001, 1.4999555E+001, 1.4999675E+001, 1.5057233E+001, 1.5534658E+001, 1.5010610E+001, 1.4999554E+001, 1.4999705E+001, 1.4999771E+001, 1.4999711E+001, 1.4999849E+001,-1.7670319E-001
 2.0023619E+001, 1.4999810E+001, 1.4999788E+001, 1.4999767E+001, 1.4999850E+001, 1.4999878E+001, 1.4999844E+001, 1.4999824E+001, 1.5256106E+001, 1.5471632E+001, 1.5865622E+001, 1.5306617E+001, 1.5228806E+001, 1.5009997E+001, 1.4999883E+001, 1.4999918E+001, 1.4999940E+001, 1.5026734E-001
 3.0042078E+001, 1.4999867E+001, 1.4999866E+001, 1.4999879E+001, 1.4999991E+001, 1.5000026E+001, 1.5001217E+001, 1.5125860E+001, 1.5410198E+001, 1.5564305E+001, 1.5477684E+001, 1.5636109E+001, 1.5400826E+001, 1.5036160E+001, 1.4999950E+001, 1.5000000E+001, 1.4999964E+001,-1.5144318E-001
 4.0039988E+001, 1.4999833E+001, 1.4999952E+001, 1.5000019E+001, 1.5000199E+001, 1.5052233E+001, 1.5297296E+001, 1.5556978E+001, 1.5836819E+001, 1.6036689E+001, 1.5906946E+001, 1.5692758E+001, 1.5609751E+001, 1.5011519E+001, 1.5000018E+001, 1.5000043E+001, 1.4999929E+001,-9.3322025E-002
 5.0055686E+001, 1.4999850E+001, 1.4999996E+001, 1.5000139E+001, 1.5000463E+001, 1.5415265E+001, 1.5566503E+001, 1.5922538E+001, 1.6071512E+001, 1.6342041E+001, 1.6281670E+001, 1.6002299E+001, 1.5750307E+001, 1.5144673E+001, 1.5000103E+001, 1.5000091E+001, 1.4999930E+001, 1.9257362E-001
 6.0048124E+001, 1.4998993E+001, 1.4999973E+001, 1.5000133E+001, 1.5037328E+001, 1.5552792E+001, 1.5924703E+001, 1.6098978E+001, 1.6130906E+001, 1.6362298E+001, 1.6315095E+001, 1.6332760E+001, 1.6338370E+001, 1.5996773E+001, 1.5218023E+001, 1.5000208E+001, 1.5000053E+001, 4.1426316E-002
 7.0000995E+001, 1.4998439E+001, 1.5144704E+001, 1.5441872E+001, 1.5862726E+001, 1.6347429E+001, 1.6513239E+001, 1.6693581E+001, 1.6842418E+001, 1.7051628E+001, 1.6528505E+001, 1.6498349E+001, 1.6196555E+001, 1.5893414E+001, 1.5916016E+001, 1.5004280E+001, 1.5000124E+001,-3.2819500E-002
 8.0047997E+001, 1.5161010E+001, 1.5973742E+001, 1.6421611E+001, 1.6607101E+001, 1.6736355E+001, 1.6702189E+001, 1.6967470E+001, 1.6638302E+001, 1.6834081E+001, 1.7142425E+001, 1.7225468E+001, 1.6743538E+001, 1.6283309E+001, 1.5726706E+001, 1.5459312E+001, 1.5229823E+001, 2.8427550E-001
 9.0013547E+001, 1.6099203E+001, 1.6375936E+001, 1.6441393E+001, 1.6492808E+001, 1.6531795E+001, 1.6539379E+001, 1.6565952E+001, 1.6396125E+001, 1.6425550E+001, 1.6957270E+001, 1.7102876E+001, 1.6734965E+001, 1.6521324E+001, 1.6200356E+001, 1.5760920E+001, 1.5607861E+001, 4.0956967E-001
 1.0002488E+002, 1.6257197E+001, 1.6295529E+001, 1.6239410E+001, 1.6152519E+001, 1.6309557E+001, 1.6327904E+001, 1.6532069E+001, 1.6492928E+001, 1.6485445E+001, 1.6945059E+001, 1.6964450E+001, 1.6786391E+001, 1.6353891E+001, 1.5740030E+001, 1.5922256E+001, 1.6122332E+001, 3.7201093E-001
 1.1002470E+002, 1.6222809E+001, 1.6216658E+001, 1.5964322E+001, 1.6034129E+001, 1.6308105E+001, 1.6319436E+001, 1.6310479E+001, 1.6196078E+001, 1.5925782E+001, 1.6221749E+001, 1.6618990E+001, 1.6531830E+001, 1.6433455E+001, 1.5575426E+001, 1.5808722E+001, 1.5988473E+001, 4.3811983E-001
