s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m3/s
Time,T010,T015,T020,T025,T030,T035,T040,T045,T050,T055,T060,T065,T075,T095,T105,T115,EXITFLOW
 0.0000000E+000, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 1.5000000E+001, 0.0000000E+000
 1.0034876E+001, 1.4999694E+001, 1.4999703E+001, 1.4999602E+001, 1.4999771E+001, 1.4999779E+001, 1.4999717E+001, 1.4999617E+001, 1.4999687E+001, 1.5020150E+001, 1.5236266E+001, 1.5255990E+001, 1.5181916E+001, 1.4999793E+001, 1.4999780E+001, 1.4999717E+001, 1.4999857E+001, 2.2644642E-001
 2.0031485E+001, 1.4998822E+001, 1.4999407E+001, 1.4999747E+001, 1.4999835E+001, 1.4999878E+001, 1.4999858E+001, 1.4999815E+001, 1.4999788E+001, 1.5214830E+001, 1.5704087E+001, 1.5936187E+001, 1.5467884E+001, 1.5000275E+001, 1.4999862E+001, 1.4999899E+001, 1.4999930E+001, 2.5479102E-001
 3.0028093E+001, 1.4998421E+001, 1.4998651E+001, 1.4999297E+001, 1.4999854E+001, 1.4999880E+001, 1.5004063E+001, 1.5061796E+001, 1.5354916E+001, 1.5405135E+001, 1.5417396E+001, 1.5466547E+001, 1.5218154E+001, 1.5000729E+001, 1.4999940E+001, 1.4999961E+001, 1.4999924E+001,-2.0501151E-001
 4.0024702E+001, 1.4998456E+001, 1.4998557E+001, 1.4999255E+001, 1.4999840E+001, 1.5034828E+001, 1.5077393E+001, 1.5163855E+001, 1.5421687E+001, 1.5412611E+001, 1.5292534E+001, 1.5227552E+001, 1.5074328E+001, 1.5005867E+001, 1.4999971E+001, 1.4999984E+001, 1.4999928E+001,-1.3611606E-001
 5.0021311E+001, 1.4998630E+001, 1.4998557E+001, 1.4999037E+001, 1.4999788E+001, 1.5091549E+001, 1.5039346E+001, 1.5194590E+001, 1.5252259E+001, 1.5253868E+001, 1.5139496E+001, 1.5109690E+001, 1.5023810E+001, 1.5008029E+001, 1.5000001E+001, 1.4999960E+001, 1.5000019E+001, 2.0147310E-001
 6.0017920E+001, 1.4998818E+001, 1.4998641E+001, 1.4998660E+001, 1.4998772E+001, 1.5054357E+001, 1.5059236E+001, 1.5121354E+001, 1.5168705E+001, 1.5164193E+001, 1.5128640E+001, 1.5114121E+001, 1.5053777E+001, 1.5022751E+001, 1.4999980E+001, 1.4999955E+001, 1.4999951E+001, 1.7956835E-001
 7.0014529E+001, 1.4998204E+001, 1.4997898E+001, 1.4998816E+001, 1.4998188E+001, 1.5019519E+001, 1.5080340E+001, 1.5112330E+001, 1.5389483E+001, 1.5500245E+001, 1.5126205E+001, 1.5130567E+001, 1.5096350E+001, 1.5112994E+001, 1.4999940E+001, 1.4999951E+001, 1.4999953E+001,-1.2711855E-001
 8.0011138E+001, 1.4997740E+001, 1.4997446E+001, 1.4998251E+001, 1.4997956E+001, 1.5024799E+001, 1.5061370E+001, 1.5190970E+001, 1.5397366E+001, 1.5430172E+001, 1.5179935E+001, 1.5155094E+001, 1.5104062E+001, 1.5161602E+001, 1.5000194E+001, 1.4999990E+001, 1.4999906E+001, 1.7971090E-001
 9.0007747E+001, 1.4998510E+001, 1.4997823E+001, 1.4997806E+001, 1.4997858E+001, 1.5010470E+001, 1.5063951E+001, 1.5163609E+001, 1.5319360E+001, 1.5314993E+001, 1.5220690E+001, 1.5186044E+001, 1.5122161E+001, 1.5140768E+001, 1.5013390E+001, 1.5001165E+001, 1.4999903E+001, 3.4359269E-001
 1.0000436E+002, 1.4999070E+001, 1.4998599E+001, 1.4998494E+001, 1.4998285E+001, 1.5001027E+001, 1.5018547E+001, 1.5065048E+001, 1.5166048E+001, 1.5202708E+001, 1.5208463E+001, 1.5205138E+001, 1.5105715E+001, 1.5132872E+001, 1.5034782E+001, 1.5019659E+001, 1.5009718E+001, 3.9288976E-001
 1.1000096E+002, 1.4999303E+001, 1.4998787E+001, 1.4998600E+001, 1.4998810E+001, 1.4999492E+001, 1.5004153E+001, 1.5017922E+001, 1.5059209E+001, 1.5260982E+001, 1.5469746E+001, 1.5185336E+001, 1.5095851E+001, 1.5119588E+001, 1.5037699E+001, 1.5034161E+001, 1.5030842E+001,-6.7507382E-002
