s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.0458419E-002,-2.2644064E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0458442E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0006667E+001, 8.0223815E+000,-2.9305907E+000, 3.0869072E-001,-4.0890630E-001,-1.1160977E-003, 0.0000000E+000, 0.0000000E+000, 4.8236849E+000, 4.9904591E+000,-1.5036608E-001, 1.8683915E-004,-3.1618633E-087
 2.0006285E+001, 1.6172530E+001,-6.0915263E+000, 2.2488202E-001,-1.7617110E+000,-2.2103333E-003, 0.0000000E+000, 0.0000000E+000, 8.6034068E+000, 8.5419640E+000, 1.5348628E-002, 3.7178707E-004,-7.8759437E-038
 3.0018482E+001, 1.4781137E+001,-5.6999816E+000,-4.9623769E-001,-2.3887298E+000,-2.0206867E-003, 0.0000000E+000, 0.0000000E+000, 6.2869337E+000, 6.1941667E+000,-8.9312829E-002, 3.3950354E-004,-4.0732358E-004
 4.0015774E+001, 8.8643686E+000,-3.5178753E+000,-3.6653581E+000,-2.1801078E+000,-1.2083211E-003, 0.0000000E+000, 0.0000000E+000,-4.5874103E-001,-5.0018091E-001,-1.3282444E-001, 2.0133658E-004,-8.6266778E-004
 5.0001606E+001, 1.4544240E+001,-5.6698019E+000,-3.3536710E+000,-2.0518991E+000,-2.0079499E-003, 0.0000000E+000, 0.0000000E+000, 3.4455877E+000, 3.4668596E+000,-1.9321874E-001, 3.3841316E-004,-9.7926805E-004
 6.0003971E+001, 4.0081069E+001,-1.5563511E+001,-2.3762190E+000,-4.5514974E+000,-5.3544401E-003, 0.0000000E+000, 0.0000000E+000, 1.7562839E+001, 1.7584487E+001, 3.1237000E-002, 9.2690486E-004,-2.5222201E-004
 7.0009621E+001, 5.5051984E+001,-2.1755121E+001,-1.4045402E+001,-8.0144572E+000,-7.2032919E-003, 0.0000000E+000, 0.0000000E+000, 1.1221254E+001, 1.1229800E+001, 3.6562574E-001, 1.2633572E-003,-7.6310370E-005
 8.0007782E+001, 5.0972869E+001,-2.0472344E+001,-1.5116339E+001,-8.8950111E+000,-6.3293984E-003, 0.0000000E+000, 0.0000000E+000, 6.4825068E+000, 6.4828453E+000, 2.2901551E-001, 1.1678796E-003,-6.1428360E-004
 9.0006737E+001, 4.9219982E+001,-1.9930494E+001,-1.2310168E+001,-8.2528912E+000,-6.0963891E-003, 0.0000000E+000, 0.0000000E+000, 8.6883976E+000, 8.7203321E+000, 1.9860525E-001, 1.1304225E-003,-6.4685747E-004
 1.0000659E+002, 4.7694341E+001,-1.9531156E+001,-2.3821688E+001,-8.6570870E+000,-6.1579911E-003, 0.0000000E+000, 0.0000000E+000,-4.3172554E+000,-4.3217482E+000, 4.4194128E-001, 1.0933021E-003,-2.4782949E-004
 1.1000389E+002, 1.5209534E+002,-6.2526720E+001,-5.0196055E+001,-1.2518207E+001,-1.9102670E-002, 0.0000000E+000, 0.0000000E+000, 2.6609712E+001, 2.6835257E+001, 2.5437675E+000, 3.5363446E-003,-4.4954920E-005
 1.2000069E+002, 2.4365827E+002,-1.0303399E+002,-1.4826837E+002,-1.3882945E+001,-2.9326850E-002, 0.0000000E+000, 0.0000000E+000,-2.1530369E+001,-2.1556369E+001, 5.8028672E+000, 5.5911314E-003,-3.1088941E-007
 1.3000084E+002, 2.0176548E+002,-8.9191431E+001,-1.1334612E+002,-9.4919187E+000,-2.4330094E-002, 0.0000000E+000, 0.0000000E+000,-1.0287983E+001,-1.0288321E+001, 7.0674324E+000, 4.6342837E-003,-1.0876076E-010
 1.4000580E+002, 1.6251923E+002,-7.3559546E+001,-8.8663569E+001,-7.1554438E+000,-1.9709280E-002, 0.0000000E+000, 0.0000000E+000,-6.8783659E+000,-6.8790425E+000, 6.8085523E+000, 3.6954864E-003,-4.3345242E-019
 1.5000108E+002, 1.4785245E+002,-6.4245214E+001,-7.7951427E+001,-6.5710193E+000,-1.8544840E-002, 0.0000000E+000, 0.0000000E+000,-9.2360060E-001,-9.3375652E-001, 6.5648421E+000, 3.4186240E-003,-5.7981055E-027
 1.6000314E+002, 1.5255814E+002,-6.7875485E+001,-8.0562792E+001,-6.0518820E+000,-1.8910042E-002, 0.0000000E+000, 0.0000000E+000,-1.9290698E+000,-1.9509312E+000, 6.7475905E+000, 3.5112473E-003,-3.8630043E-034
 1.7000455E+002, 1.5407254E+002,-6.8505703E+001,-7.9918150E+001,-5.7345008E+000,-1.8954771E-002, 0.0000000E+000, 0.0000000E+000,-1.0605441E-001,-1.0477199E-001, 7.1131717E+000, 3.5401570E-003,-9.6426617E-043
 1.8000691E+002, 1.5619175E+002,-6.9358295E+001,-7.5785497E+001,-5.2262822E+000,-1.9088712E-002, 0.0000000E+000, 0.0000000E+000, 5.8050664E+000, 5.8025895E+000, 6.7625980E+000, 3.5398397E-003,-3.6013698E-052
 1.9000122E+002, 1.5244489E+002,-6.5115300E+001,-8.0646329E+001,-5.7423753E+000,-1.8936893E-002, 0.0000000E+000, 0.0000000E+000, 9.1829956E-001, 9.2195268E-001, 6.2754471E+000, 3.5091446E-003,-2.3229850E-059
 2.0000356E+002, 1.6209851E+002,-7.0732178E+001,-8.6211208E+001,-5.3361905E+000,-2.0007472E-002, 0.0000000E+000, 0.0000000E+000,-1.7716185E-001,-2.0107048E-001, 6.6257045E+000, 3.7352772E-003,-2.5247384E-066
 2.1000197E+002, 1.6481935E+002,-7.2634525E+001,-8.8583045E+001,-5.0555310E+000,-2.0188815E-002, 0.0000000E+000, 0.0000000E+000,-1.4961134E+000,-1.4739378E+000, 6.8542499E+000, 3.7751148E-003,-5.6443295E-073
 2.2000136E+002, 1.5966040E+002,-7.2062076E+001,-8.4873507E+001,-4.5209368E+000,-1.9686010E-002, 0.0000000E+000, 0.0000000E+000,-1.8132891E+000,-1.8158097E+000, 7.0217201E+000, 3.6892270E-003,-9.4997769E-082
 2.3000381E+002, 1.6946203E+002,-7.5241459E+001,-8.5295791E+001,-4.2433926E+000,-2.0613120E-002, 0.0000000E+000, 0.0000000E+000, 4.6870838E+000, 4.6607777E+000, 7.0218224E+000, 3.8672245E-003,-1.2997457E-088
 2.4000247E+002, 1.6853313E+002,-7.2506143E+001,-9.0630086E+001,-4.1576716E+000,-2.0615363E-002, 0.0000000E+000, 0.0000000E+000, 1.1923010E+000, 1.2186160E+000, 6.6714669E+000, 3.8369818E-003,-2.3136053E-094
 2.5000633E+002, 1.5328679E+002,-6.4293908E+001,-8.9737434E+001,-3.5960403E+000,-1.9037383E-002, 0.0000000E+000, 0.0000000E+000,-4.3618259E+000,-4.3596276E+000, 6.5496135E+000, 3.5145483E-003,-1.3332665E-101
 2.6000278E+002, 1.0007382E+002,-3.9243296E+001,-7.8081343E+001,-1.0964706E+000,-1.2757762E-002, 0.0000000E+000, 0.0000000E+000,-1.8341340E+001,-1.8360044E+001, 6.6257741E+000, 2.2794250E-003,-2.4589272E-101
 2.7000381E+002, 4.3339101E+001,-1.4648939E+001,-4.2698509E+001, 2.9219662E+000,-5.7942079E-003, 0.0000000E+000, 0.0000000E+000,-1.1095285E+001,-1.1092175E+001, 6.4582167E+000, 9.9116381E-004,-3.6177217E-097
 2.8000491E+002, 5.1378519E+001,-1.7960361E+001,-3.1903735E+001, 2.7439581E+000,-6.8872176E-003, 0.0000000E+000, 0.0000000E+000, 4.2499208E+000, 4.2514936E+000, 6.7477427E+000, 1.1848806E-003,-1.6448557E-099
 2.9000507E+002, 9.2594941E+001,-3.5404386E+001,-4.4087286E+001, 4.7389836E-001,-1.2024829E-002, 0.0000000E+000, 0.0000000E+000, 1.3536817E+001, 1.3565142E+001, 6.9455215E+000, 2.1329592E-003,-1.1181776E-105
 3.0000363E+002, 1.5453182E+002,-6.4852484E+001,-7.0865570E+001,-2.6340331E+000,-1.9384859E-002, 0.0000000E+000, 0.0000000E+000, 1.6157671E+001, 1.6160345E+001, 6.7324157E+000, 3.5885728E-003,-7.8611419E-107
 3.1000690E+002, 2.2833837E+002,-1.0570370E+002,-1.0117705E+002,-5.6906620E+000,-2.7529912E-002, 0.0000000E+000, 0.0000000E+000, 1.5668826E+001, 1.5739430E+001, 6.8085382E+000, 5.4258543E-003,-5.1844356E-110
 3.2000385E+002, 3.1826227E+002,-1.4563321E+002,-1.4688070E+002,-7.4884532E+000,-3.6281196E-002, 0.0000000E+000, 0.0000000E+000, 1.8232231E+001, 1.8223628E+001, 6.8999744E+000, 7.5434190E-003,-1.6945467E-102
 3.3000143E+002, 4.2376427E+002,-1.9149419E+002,-2.0095649E+002,-9.1546819E+000,-4.4542851E-002, 0.0000000E+000, 0.0000000E+000, 2.2010473E+001, 2.2114359E+001, 6.6715137E+000, 9.6181821E-003,-1.9727557E-106
 3.4000107E+002, 4.5966711E+002,-2.0655014E+002,-2.4315238E+002,-9.9943738E+000,-4.8385346E-002, 0.0000000E+000, 0.0000000E+000, 1.9393237E-003,-7.8164753E-002, 6.5190723E+000, 1.0729280E-002,-1.1556496E-103
 3.5000510E+002, 5.0207428E+002,-2.2829650E+002,-2.5620701E+002,-8.6670797E+000,-5.0757493E-002, 0.0000000E+000, 0.0000000E+000, 8.8549248E+000, 8.8529302E+000, 6.7780729E+000, 1.1541064E-002,-1.8579359E-104
 3.6000034E+002, 5.3417335E+002,-2.3941526E+002,-2.6883577E+002,-8.3792745E+000,-5.1504768E-002, 0.0000000E+000, 0.0000000E+000, 1.7581649E+001, 1.7491545E+001, 6.7171648E+000, 1.2888371E-002,-4.9916077E-109
 3.7000354E+002, 6.0753528E+002,-2.6600496E+002,-3.2132020E+002,-9.0278440E+000,-5.4556264E-002, 0.0000000E+000, 0.0000000E+000, 1.1107389E+001, 1.1127718E+001, 6.6257520E+000, 1.4138763E-002,-2.9120871E-111
 3.8000601E+002, 6.5898695E+002,-2.9134089E+002,-3.5138445E+002,-8.2127766E+000,-5.7318562E-002, 0.0000000E+000, 0.0000000E+000, 7.9053088E+000, 7.9915234E+000, 6.5038632E+000, 1.5272931E-002,-1.2029653E-109
 3.9000214E+002, 7.0321559E+002,-3.1332534E+002,-3.7091159E+002,-1.0302661E+001,-6.0478569E-002, 0.0000000E+000, 0.0000000E+000, 8.7279626E+000, 8.6155165E+000, 6.0164087E+000, 1.5804282E-002,-3.3313136E-111
 4.0000150E+002, 6.9763234E+002,-3.0510413E+002,-3.9984292E+002,-5.9927429E+000,-6.2034276E-002, 0.0000000E+000, 0.0000000E+000,-1.3580313E+001,-1.3369497E+001, 6.1534686E+000, 1.6912868E-002,-1.3855638E-108
 4.1000104E+002, 7.8605382E+002,-3.4114167E+002,-4.0956706E+002,-4.8583573E+000,-6.0924372E-002, 0.0000000E+000, 0.0000000E+000, 3.0293011E+001, 3.0425809E+001, 6.2603274E+000, 1.8128096E-002,-3.8108913E-104
 4.2000330E+002, 8.2702286E+002,-3.7008850E+002,-4.3107237E+002,-9.3234393E+000,-6.6044506E-002, 0.0000000E+000, 0.0000000E+000, 1.6297329E+001, 1.6472499E+001, 5.4529880E+000, 1.7441226E-002,-1.4746950E-105
 4.3000122E+002, 7.0613316E+002,-3.1217092E+002,-4.0320374E+002,-5.1151414E+000,-6.4191344E-002, 0.0000000E+000, 0.0000000E+000,-1.4658162E+001,-1.4420834E+001, 5.2549276E+000, 1.6654634E-002,-1.4263081E-103
 4.4000702E+002, 7.3284009E+002,-3.2680936E+002,-3.9209748E+002,-4.2436049E+000,-6.5906204E-002, 0.0000000E+000, 0.0000000E+000, 9.3658132E+000, 9.6237362E+000, 5.1786346E+000, 1.7305325E-002,-1.1635021E-104
 4.5000186E+002, 8.1901552E+002,-3.6444445E+002,-4.3102108E+002,-6.4012153E+000,-6.6405690E-002, 0.0000000E+000, 0.0000000E+000, 1.6924626E+001, 1.7082369E+001, 5.0874776E+000, 1.8264975E-002,-4.4607740E-102
 4.6000290E+002, 8.4482126E+002,-3.7691488E+002,-4.4911016E+002,-4.3491500E+000,-6.9545538E-002, 0.0000000E+000, 0.0000000E+000, 1.3992065E+001, 1.4377531E+001, 5.0721547E+000, 1.9387825E-002,-1.0181797E-098
 4.7000006E+002, 8.5272952E+002,-3.8188235E+002,-4.7531974E+002,-4.3218244E+000,-7.1763907E-002, 0.0000000E+000, 0.0000000E+000,-9.0572073E+000,-8.8661494E+000, 4.9197998E+000, 2.0689682E-002,-8.1392220E-102
 4.8000024E+002, 9.3000531E+002,-4.1981835E+002,-4.7191934E+002,-6.5486052E+000,-6.9559987E-002, 0.0000000E+000, 0.0000000E+000, 3.1257289E+001, 3.1649449E+001, 4.7067636E+000, 2.1395180E-002,-1.9398639E-106
 4.9000137E+002, 9.1554490E+002,-4.1727110E+002,-5.0575655E+002,-4.1402224E+000,-7.0821896E-002, 0.0000000E+000, 0.0000000E+000,-1.2173130E+001,-1.1693789E+001, 4.5998670E+000, 2.1459052E-002,-3.6850605E-110
 5.0000320E+002, 8.6113708E+002,-3.7848884E+002,-4.9177519E+002, 2.0043400E+000,-6.4147423E-002, 0.0000000E+000, 0.0000000E+000,-7.6876467E+000,-7.1867581E+000, 4.7370562E+000, 1.9010868E-002,-1.7368586E-111
 5.1000217E+002, 8.1731116E+002,-3.5439894E+002,-4.6392170E+002, 4.3826540E+000,-6.6603081E-002, 0.0000000E+000, 0.0000000E+000, 3.1221202E+000, 3.3065698E+000, 4.7370309E+000, 1.8988663E-002,-2.0201849E-105
 5.2000476E+002, 8.9826332E+002,-3.9618595E+002,-4.9776832E+002, 4.1324518E+000,-6.5509883E-002, 0.0000000E+000, 0.0000000E+000, 7.7757508E+000, 8.3759982E+000, 4.7370245E+000, 2.1160928E-002,-1.4172258E-105
 5.3000262E+002, 9.7725900E+002,-4.4228383E+002,-5.1794851E+002,-8.5923699E-002,-7.0928251E-002, 0.0000000E+000, 0.0000000E+000, 1.6219727E+001, 1.6869813E+001, 4.5390049E+000, 2.0923123E-002,-3.3878410E-108
 5.4000281E+002, 8.8973221E+002,-4.0665212E+002,-4.8596044E+002, 2.1757095E-001,-7.4670567E-002, 0.0000000E+000, 0.0000000E+000,-3.2481033E+000,-2.7374595E+000, 4.2039358E+000, 2.1982775E-002,-1.2466716E-107
 5.5000543E+002, 9.7716917E+002,-4.4248245E+002,-5.1603692E+002, 4.7380208E-001,-6.8166797E-002, 0.0000000E+000, 0.0000000E+000, 1.8723907E+001, 1.9055426E+001, 4.2344497E+000, 2.0364194E-002,-3.1523623E-103
 5.6000543E+002, 6.6792651E+002,-2.9595590E+002,-4.6155674E+002, 1.4339190E+001,-6.0932973E-002, 0.0000000E+000, 0.0000000E+000,-7.5719854E+001,-7.5307869E+001, 4.7524286E+000, 1.4962329E-002,-1.1648575E-104
 5.7000067E+002, 5.1644052E+002,-2.1312245E+002,-3.3624906E+002, 2.3034784E+001,-5.3130492E-002, 0.0000000E+000, 0.0000000E+000,-1.0045103E+001,-9.9493373E+000, 4.6304051E+000, 1.1689668E-002,-1.2711486E-109
 5.8000006E+002, 4.5565705E+002,-1.8764962E+002,-2.9308977E+002, 2.1671402E+001,-4.8363274E-002, 0.0000000E+000, 0.0000000E+000,-3.5421083E+000,-3.4592994E+000, 4.1887419E+000, 1.0454502E-002,-9.6489151E-104
 5.9000110E+002, 4.1960539E+002,-1.6624869E+002,-2.9025054E+002, 2.2423931E+001,-4.6882095E-002, 0.0000000E+000, 0.0000000E+000,-1.4740778E+001,-1.4516793E+001, 4.1582322E+000, 9.6042057E-003,-9.5429740E-104
 6.0000519E+002, 4.0305598E+002,-1.6186294E+002,-2.7740397E+002, 2.3706099E+001,-4.5257026E-002, 0.0000000E+000, 0.0000000E+000,-1.2568001E+001,-1.2550087E+001, 4.4171605E+000, 9.1891186E-003,-1.4142667E-107
 6.1000372E+002, 4.1285021E+002,-1.6249943E+002,-2.7724111E+002, 2.5125919E+001,-4.6421425E-002, 0.0000000E+000, 0.0000000E+000,-1.9409133E+000,-1.8108330E+000, 4.8132273E+000, 9.5040602E-003,-4.0293738E-111
 6.2000525E+002, 4.1143328E+002,-1.6697867E+002,-2.6157648E+002, 2.3521882E+001,-4.5100261E-002, 0.0000000E+000, 0.0000000E+000, 6.2522143E+000, 6.3549119E+000, 4.6455812E+000, 9.4363595E-003,-3.0785587E-102
 6.3000525E+002, 4.0674613E+002,-1.6611095E+002,-2.5356380E+002, 2.0250970E+001,-4.6272728E-002, 0.0000000E+000, 0.0000000E+000, 7.1274322E+000, 7.2760707E+000, 4.0972148E+000, 9.5354695E-003,-6.0777253E-099
