m,kW/m2,m,kW/m2
r,HF_radi,z,HF_vert
 5.2392748E-002, 8.3311109E+000, 0.0000000E+000, 1.5282548E+000
 6.1669954E-002, 7.0736225E+000, 1.0059172E-002, 1.6017107E+000
 7.0947373E-002, 7.0736225E+000, 2.0118343E-002, 1.6727730E+000
 8.0224930E-002, 6.1354875E+000, 3.0177515E-002, 1.7429963E+000
 8.9502582E-002, 5.0989022E+000, 4.0236686E-002, 1.8130859E+000
 9.8780302E-002, 4.5395414E+000, 5.0295858E-002, 1.8797553E+000
 1.0805807E-001, 4.0713559E+000, 6.0355030E-002, 1.9407624E+000
 1.1733588E-001, 3.6732968E+000, 7.0414201E-002, 1.9971061E+000
 1.2661372E-001, 3.0947388E+000, 8.0473373E-002, 2.0505635E+000
 1.3589159E-001, 2.8343553E+000, 9.0532544E-002, 2.1016571E+000
 1.4516947E-001, 2.6041173E+000, 1.0059172E-001, 2.1494557E+000
 1.5444737E-001, 2.3993339E+000, 1.1065089E-001, 2.1930055E+000
 1.6372528E-001, 2.3993339E+000, 1.2071006E-001, 2.2327091E+000
 1.7300321E-001, 2.1059843E+000, 1.3076923E-001, 2.2704187E+000
 1.8228114E-001, 1.9559598E+000, 1.4082840E-001, 2.3076695E+000
 1.9155908E-001, 1.8198810E+000, 1.5088757E-001, 2.3445814E+000
 2.0083703E-001, 1.6961086E+000, 1.6094675E-001, 2.3799864E+000
 2.1011499E-001, 1.5201503E+000, 1.7100592E-001, 2.4121817E+000
 2.1939294E-001, 1.4229482E+000, 1.8106509E-001, 2.4394413E+000
 2.2867091E-001, 1.3336891E+000, 1.9112426E-001, 2.4605494E+000
 2.3794888E-001, 1.2515764E+000, 2.0118343E-001, 2.4752553E+000
 2.4722685E-001, 1.1759034E+000, 2.1124260E-001, 2.4843529E+000
 2.5650482E-001, 1.1339228E+000, 2.2130178E-001, 2.4893200E+000
 2.6578280E-001, 1.0670705E+000, 2.3136095E-001, 2.4921845E+000
 2.7506078E-001, 1.0051731E+000, 2.4142012E-001, 2.4944330E+000
 2.8433877E-001, 9.4778922E-001, 2.5147929E-001, 2.4966781E+000
 2.9361675E-001, 8.6651166E-001, 2.6153846E-001, 2.4985123E+000
 3.0289474E-001, 8.1870082E-001, 2.7159763E-001, 2.4978447E+000
 3.1217273E-001, 7.7417239E-001, 2.8165680E-001, 2.4925061E+000
 3.2145072E-001, 7.3266580E-001, 2.9171598E-001, 2.4808961E+000
 3.3072871E-001, 6.9394432E-001, 3.0177515E-001, 2.4615584E+000
 3.4000670E-001, 6.7582860E-001, 3.1183432E-001, 2.4346070E+000
 3.4928469E-001, 6.4067798E-001, 3.2189349E-001, 2.4012315E+000
 3.5856269E-001, 6.0778569E-001, 3.3195266E-001, 2.3624337E+000
 3.6784069E-001, 5.7698338E-001, 3.4201183E-001, 2.3197137E+000
 3.7711868E-001, 5.3691431E-001, 3.5207101E-001, 2.2746712E+000
 3.8639668E-001, 5.1047676E-001, 3.6213018E-001, 2.2286274E+000
 3.9567468E-001, 4.8562083E-001, 3.7218935E-001, 2.1825648E+000
 4.0495268E-001, 4.6223465E-001, 3.8224852E-001, 2.1361440E+000
 4.1423068E-001, 4.4021567E-001, 3.9230769E-001, 2.0881876E+000
 4.2350868E-001, 4.1334855E-001, 4.0236686E-001, 2.0382154E+000
 4.3278669E-001, 3.9417437E-001, 4.1242604E-001, 1.9860924E+000
 4.4206469E-001, 3.9417437E-001, 4.2248521E-001, 1.9321496E+000
 4.5134269E-001, 3.7605695E-001, 4.3254438E-001, 1.8767819E+000
 4.6062069E-001, 3.5530513E-001, 4.4260355E-001, 1.8203914E+000
 4.6989870E-001, 3.3944623E-001, 4.5266272E-001, 1.7631774E+000
 4.7917670E-001, 3.2441752E-001, 4.6272189E-001, 1.7051549E+000
 4.8845471E-001, 3.1016871E-001, 4.7278107E-001, 1.6464698E+000
 4.9773271E-001, 2.9476047E-001, 4.8284024E-001, 1.5871385E+000
 5.0701072E-001, 2.8222776E-001, 4.9289941E-001, 1.5273537E+000
 5.1628873E-001, 2.7031736E-001, 5.0295858E-001, 1.4676634E+000
 5.2556673E-001, 2.5899302E-001, 5.1301775E-001, 1.4089758E+000
 5.3484474E-001, 2.5899302E-001, 5.2307692E-001, 1.3522379E+000
 5.4412275E-001, 2.4724556E-001, 5.3313609E-001, 1.2982208E+000
 5.5340075E-001, 2.3725441E-001, 5.4319527E-001, 1.2471332E+000
 5.6267876E-001, 2.2773493E-001, 5.5325444E-001, 1.1983399E+000
 5.7195677E-001, 2.1865990E-001, 5.6331361E-001, 1.1511195E+000
 5.8123478E-001, 2.0942678E-001, 5.7337278E-001, 1.1053482E+000
 5.9051279E-001, 2.0139987E-001, 5.8343195E-001, 1.0611782E+000
 5.9979080E-001, 1.9373331E-001, 5.9349112E-001, 1.0185998E+000
NaN,NaN, 6.0355030E-001, 9.7759207E-001
NaN,NaN, 6.1360947E-001, 9.3813529E-001
NaN,NaN, 6.2366864E-001, 9.0004626E-001
NaN,NaN, 6.3372781E-001, 8.6304251E-001
NaN,NaN, 6.4378698E-001, 8.2700347E-001
NaN,NaN, 6.5384615E-001, 7.9198626E-001
NaN,NaN, 6.6390533E-001, 7.5810592E-001
NaN,NaN, 6.7396450E-001, 7.2543725E-001
NaN,NaN, 6.8402367E-001, 6.9400254E-001
NaN,NaN, 6.9408284E-001, 6.6384538E-001
NaN,NaN, 7.0414201E-001, 6.3503863E-001
NaN,NaN, 7.1420118E-001, 6.0763209E-001
NaN,NaN, 7.2426036E-001, 5.8161225E-001
NaN,NaN, 7.3431953E-001, 5.5691504E-001
NaN,NaN, 7.4437870E-001, 5.3346776E-001
NaN,NaN, 7.5443787E-001, 5.1120555E-001
NaN,NaN, 7.6449704E-001, 4.9005550E-001
NaN,NaN, 7.7455621E-001, 4.6993734E-001
NaN,NaN, 7.8461538E-001, 4.5077789E-001
NaN,NaN, 7.9467456E-001, 4.3251576E-001
NaN,NaN, 8.0473373E-001, 4.1509986E-001
NaN,NaN, 8.1479290E-001, 3.9848358E-001
NaN,NaN, 8.2485207E-001, 3.8262377E-001
NaN,NaN, 8.3491124E-001, 3.6748035E-001
NaN,NaN, 8.4497041E-001, 3.5301654E-001
NaN,NaN, 8.5502959E-001, 3.3920156E-001
NaN,NaN, 8.6508876E-001, 3.2600908E-001
NaN,NaN, 8.7514793E-001, 3.1341995E-001
NaN,NaN, 8.8520710E-001, 3.0141647E-001
NaN,NaN, 8.9526627E-001, 2.8997812E-001
NaN,NaN, 9.0532544E-001, 2.7908241E-001
NaN,NaN, 9.1538462E-001, 2.6870676E-001
NaN,NaN, 9.2544379E-001, 2.5883094E-001
NaN,NaN, 9.3550296E-001, 2.4943306E-001
NaN,NaN, 9.4556213E-001, 2.4048804E-001
NaN,NaN, 9.5562130E-001, 2.3196799E-001
NaN,NaN, 9.6568047E-001, 2.2384812E-001
NaN,NaN, 9.7573964E-001, 2.1610647E-001
NaN,NaN, 9.8579882E-001, 2.0872440E-001
NaN,NaN, 9.9585799E-001, 2.0168755E-001
NaN,NaN, 1.0059172E+000, 1.9498345E-001
NaN,NaN, 1.0159763E+000, 1.8859948E-001
