m,kW/m2,m,kW/m2
r,HF_radi,z,HF_vert
 2.0396078E-001, 2.0429041E+000, 0.0000000E+000, 8.8982894E-001
 2.3037644E-001, 1.6365549E+000, 3.7373737E-002, 9.2005319E-001
 2.5679212E-001, 1.1208760E+000, 7.4747475E-002, 9.4992495E-001
 2.8320781E-001, 9.3770807E-001, 1.1212121E-001, 9.2949364E-001
 3.0962352E-001, 7.9277031E-001, 1.4949495E-001, 9.1098593E-001
 3.3603923E-001, 6.7646858E-001, 1.8686869E-001, 8.8233304E-001
 3.6245495E-001, 5.8200791E-001, 2.2424242E-001, 8.6681696E-001
 3.8887068E-001, 4.6024919E-001, 2.6161616E-001, 8.2695226E-001
 4.1528642E-001, 4.0317471E-001, 2.9898990E-001, 8.0326144E-001
 4.4170215E-001, 3.5512762E-001, 3.3636364E-001, 7.5091422E-001
 4.6811789E-001, 3.1441456E-001, 3.7373737E-001, 7.2254965E-001
 4.9453363E-001, 2.7970780E-001, 4.1111111E-001, 6.6301510E-001
 5.2094938E-001, 2.3510028E-001, 4.4848485E-001, 6.3304179E-001
 5.4736512E-001, 2.1105615E-001, 4.8585859E-001, 5.7465274E-001
 5.7378087E-001, 1.9015006E-001, 5.2323232E-001, 5.4679167E-001
 6.0019662E-001, 1.7190108E-001, 5.6060606E-001, 4.9415425E-001
 6.2661237E-001, 1.5591252E-001, 5.9797980E-001, 4.6922171E-001
 6.5302812E-001, 1.3620365E-001, 6.3535354E-001, 4.2212217E-001
 6.7944388E-001, 1.2421576E-001, 6.7272727E-001, 4.0009413E-001
 7.0585963E-001, 1.1356349E-001, 7.1010101E-001, 3.5919779E-001
 7.3227538E-001, 1.0407242E-001, 7.4747475E-001, 3.4030620E-001
 7.5869114E-001, 9.5594062E-002, 7.8484848E-001, 3.0556215E-001
 7.8510689E-001, 8.5971289E-002, 8.2222222E-001, 2.8961505E-001
 8.1152265E-001, 7.9280981E-002, 8.5959596E-001, 2.6029118E-001
 8.3793841E-001, 7.3235893E-002, 8.9696970E-001, 2.4684227E-001
 8.6435416E-001, 6.7762975E-002, 9.3434343E-001, 2.2231502E-001
 8.9076992E-001, 6.2798416E-002, 9.7171717E-001, 2.1115830E-001
 9.1718568E-001, 5.7735409E-002, 1.0090909E+000, 1.9084573E-001
 9.4360144E-001, 4.9983281E-002, 1.0464646E+000, 1.8161891E-001
 9.7001720E-001, 4.6584496E-002, 1.0838384E+000, 1.6479666E-001
 9.9643296E-001, 4.3462395E-002, 1.1212121E+000, 1.5712028E-001
 1.0228487E+000, 4.0590853E-002, 1.1585859E+000, 1.4309167E-001
 1.0492645E+000, 3.8028857E-002, 1.1959596E+000, 1.3668702E-001
 1.0756802E+000, 3.5626727E-002, 1.2333333E+000, 1.2495030E-001
 1.1020960E+000, 3.3399619E-002, 1.2707071E+000, 1.1957191E-001
 1.1285118E+000, 3.1332329E-002, 1.3080808E+000, 1.0970122E-001
 1.1549275E+000, 2.9411605E-002, 1.3454545E+000, 1.0516695E-001
 1.1813433E+000, 2.7906700E-002, 1.3828283E+000, 9.6794857E-002
 1.2077590E+000, 2.6283416E-002, 1.4202020E+000, 9.2926639E-002
