m,kW/m2,m,kW/m2
r,HF_radi,z,HF_vert
 2.0396078E-001, 1.3757477E+000, 0.0000000E+000, 1.1971843E+000
 2.3037644E-001, 1.1186363E+000, 3.7373737E-002, 1.2502761E+000
 2.5679212E-001, 7.9873340E-001, 7.4747475E-002, 1.2690424E+000
 2.8320781E-001, 6.7759325E-001, 1.1212121E-001, 1.2591580E+000
 3.0962352E-001, 5.8081648E-001, 1.4949495E-001, 1.2531008E+000
 3.3603923E-001, 5.0223976E-001, 1.8686869E-001, 1.2318036E+000
 3.6245495E-001, 4.3757819E-001, 2.2424242E-001, 1.2130882E+000
 3.8887068E-001, 3.5060968E-001, 2.6161616E-001, 1.1602120E+000
 4.1528642E-001, 3.1060188E-001, 2.9898990E-001, 1.1271220E+000
 4.4170215E-001, 2.7645257E-001, 3.3636364E-001, 1.0480333E+000
 4.6811789E-001, 2.4712046E-001, 3.7373737E-001, 1.0018311E+000
 4.9453363E-001, 2.2178573E-001, 4.1111111E-001, 9.0286957E-001
 5.2094938E-001, 1.8795222E-001, 4.4848485E-001, 8.5196760E-001
 5.4736512E-001, 1.7001361E-001, 4.8585859E-001, 7.5559884E-001
 5.7378087E-001, 1.5424321E-001, 5.2323232E-001, 7.0984233E-001
 6.0019662E-001, 1.4033287E-001, 5.6060606E-001, 6.2146650E-001
 6.2661237E-001, 1.2802493E-001, 5.9797980E-001, 5.7982105E-001
 6.5302812E-001, 1.1199875E-001, 6.3535354E-001, 5.0330482E-001
 6.7944388E-001, 1.0262878E-001, 6.7272727E-001, 4.6836017E-001
 7.0585963E-001, 9.4236759E-002, 7.1010101E-001, 4.0482881E-001
 7.3227538E-001, 8.6703971E-002, 7.4747475E-001, 3.7611044E-001
 7.5869114E-001, 7.9928138E-002, 7.8484848E-001, 3.2477409E-001
 7.8510689E-001, 7.1668283E-002, 8.2222222E-001, 3.0211292E-001
 8.1152265E-001, 6.6269378E-002, 8.5959596E-001, 2.6215207E-001
 8.3793841E-001, 6.1367033E-002, 8.9696970E-001, 2.4451882E-001
 8.6435416E-001, 5.6908757E-002, 9.3434343E-001, 2.1321395E-001
 8.9076992E-001, 5.2848128E-002, 9.7171717E-001, 1.9934149E-001
 9.1718568E-001, 4.8371057E-002, 1.0090909E+000, 1.7477714E-001
 9.4360144E-001, 4.1995321E-002, 1.0464646E+000, 1.6394011E-001
 9.7001720E-001, 3.9190613E-002, 1.0838384E+000, 1.4472837E-001
 9.9643296E-001, 3.6609618E-002, 1.1212121E+000, 1.3622496E-001
 1.0228487E+000, 3.4231999E-002, 1.1585859E+000, 1.2110687E-001
 1.0492645E+000, 3.1947295E-002, 1.1959596E+000, 1.1436925E-001
 1.0756802E+000, 2.9956013E-002, 1.2333333E+000, 1.0227364E-001
 1.1020960E+000, 2.8108806E-002, 1.2707071E+000, 9.6853463E-002
 1.1285118E+000, 2.6393459E-002, 1.3080808E+000, 8.7133987E-002
 1.1549275E+000, 2.4799220E-002, 1.3454545E+000, 8.2787492E-002
 1.1813433E+000, 2.3481585E-002, 1.3828283E+000, 7.4992047E-002
 1.2077590E+000, 2.2131930E-002, 1.4202020E+000, 7.1495540E-002
 1.2341748E+000, 2.0869813E-002, 1.4575758E+000, 6.5192461E-002
 1.2605906E+000, 1.9688360E-002, 1.4949495E+000, 6.2349234E-002
 1.2870063E+000, 1.8581099E-002, 1.5323232E+000, 5.7199350E-002
 1.3134221E+000, 1.7784261E-002, 1.5696970E+000, 5.4863430E-002
 1.3398378E+000, 1.6840280E-002, 1.6070707E+000, 5.0611299E-002
 1.3662536E+000, 1.5950756E-002, 1.6444444E+000, 4.8681225E-002
 1.3926694E+000, 1.5111618E-002, 1.6818182E+000, 4.5121201E-002
 1.4190851E+000, 1.4319410E-002, 1.7191919E+000, 4.3464177E-002
 1.4455009E+000, 1.3807368E-002, 1.7565657E+000, 4.0388059E-002
 1.4719166E+000, 1.3128623E-002, 1.7939394E+000, 3.8967407E-002
 1.4983324E+000, 1.2484559E-002, 1.8313131E+000, 3.6322089E-002
NaN,NaN, 1.8686869E+000, 3.5080445E-002
NaN,NaN, 1.9060606E+000, 3.2746102E-002
NaN,NaN, 1.9434343E+000, 3.1642470E-002
NaN,NaN, 1.9808081E+000, 2.9533131E-002
NaN,NaN, 2.0181818E+000, 2.8533775E-002
NaN,NaN, 2.0555556E+000, 2.6652235E-002
NaN,NaN, 2.0929293E+000, 2.5778354E-002
NaN,NaN, 2.1303030E+000, 2.4108751E-002
NaN,NaN, 2.1676768E+000, 2.3294455E-002
NaN,NaN, 2.2050505E+000, 2.1734232E-002
NaN,NaN, 2.2424242E+000, 2.0997053E-002
NaN,NaN, 2.2797980E+000, 1.9614054E-002
NaN,NaN, 2.3171717E+000, 1.8958118E-002
NaN,NaN, 2.3545455E+000, 1.7698181E-002
NaN,NaN, 2.3919192E+000, 1.7104771E-002
NaN,NaN, 2.4292929E+000, 1.5969143E-002
NaN,NaN, 2.4666667E+000, 1.5433681E-002
NaN,NaN, 2.5040404E+000, 1.4430756E-002
NaN,NaN, 2.5414141E+000, 1.3967072E-002
NaN,NaN, 2.5787879E+000, 1.3093808E-002
NaN,NaN, 2.6161616E+000, 1.2672311E-002
NaN,NaN, 2.6535354E+000, 1.1875130E-002
NaN,NaN, 2.6909091E+000, 1.1507196E-002
NaN,NaN, 2.7282828E+000, 1.0818287E-002
NaN,NaN, 2.7656566E+000, 1.0498056E-002
NaN,NaN, 2.8030303E+000, 9.8985733E-003
NaN,NaN, 2.8404040E+000, 9.6141359E-003
