m,kW/m2,m,kW/m2
r,HF_radi,z,HF_vert
 2.0396078E-001, 7.3961686E+000, 0.0000000E+000, 1.3914441E+000
 2.3077672E-001, 6.3183474E+000, 7.5510204E-002, 1.5454024E+000
 2.5759274E-001, 5.1448221E+000, 1.5102041E-001, 1.6399645E+000
 2.8440883E-001, 4.5673616E+000, 2.2653061E-001, 1.7124926E+000
 3.1122496E-001, 4.0933315E+000, 3.0204082E-001, 1.8016912E+000
 3.3804113E-001, 3.6969273E+000, 3.7755102E-001, 1.8732425E+000
 3.6485732E-001, 3.3602459E+000, 4.5306122E-001, 1.9233058E+000
 3.9167354E-001, 2.8964256E+000, 5.2857143E-001, 1.9638282E+000
 4.1848978E-001, 2.6703119E+000, 6.0408163E-001, 1.9952347E+000
 4.4530603E-001, 2.4703167E+000, 6.7959184E-001, 2.0108468E+000
 4.7212229E-001, 2.2921847E+000, 7.5510204E-001, 2.0137028E+000
 4.9893857E-001, 2.1325562E+000, 8.3061224E-001, 1.9954985E+000
 5.2575485E-001, 1.9072935E+000, 9.0612245E-001, 1.9399846E+000
 5.5257114E-001, 1.7860099E+000, 9.8163265E-001, 1.8698608E+000
 5.7938743E-001, 1.6753738E+000, 1.0571429E+000, 1.8071247E+000
 6.0620373E-001, 1.5741061E+000, 1.1326531E+000, 1.7350665E+000
 6.3302004E-001, 1.4811299E+000, 1.2081633E+000, 1.6418764E+000
 6.5983635E-001, 1.3459972E+000, 1.2836735E+000, 1.5319866E+000
 6.8665266E-001, 1.2706296E+000, 1.3591837E+000, 1.4170726E+000
 7.1346898E-001, 1.1360017E+000, 1.4346939E+000, 1.3044563E+000
 7.4028530E-001, 1.0757596E+000, 1.5102041E+000, 1.1971265E+000
 7.6710162E-001, 1.0196747E+000, 1.5857143E+000, 1.1007107E+000
 7.9391795E-001, 9.3685853E-001, 1.6612245E+000, 1.0059337E+000
 8.2073427E-001, 8.8952087E-001, 1.7367347E+000, 9.1161091E-001
 8.4755060E-001, 8.4524313E-001, 1.8122449E+000, 8.2410019E-001
 8.7436693E-001, 8.0378932E-001, 1.8877551E+000, 7.4431501E-001
 9.0118327E-001, 7.6494593E-001, 1.9632653E+000, 6.7222179E-001
 9.2799960E-001, 7.0882493E-001, 2.0387755E+000, 6.0625174E-001
 9.5481593E-001, 6.7530238E-001, 2.1142857E+000, 5.4703146E-001
 9.8163227E-001, 6.4378456E-001, 2.1897959E+000, 4.9461024E-001
 1.0084486E+000, 6.1413198E-001, 2.2653061E+000, 4.4776582E-001
 1.0352649E+000, 5.8621633E-001, 2.3408163E+000, 4.0533367E-001
 1.0620813E+000, 5.4809581E-001, 2.4163265E+000, 3.6733067E-001
 1.0888976E+000, 5.2362324E-001, 2.4918367E+000, 3.3357957E-001
 1.1157140E+000, 5.0050645E-001, 2.5673469E+000, 3.0337302E-001
 1.1425303E+000, 4.7865787E-001, 2.6428571E+000, 2.7605490E-001
 1.1693467E+000, 4.5799639E-001, 2.7183673E+000, 2.5135393E-001
 1.1961630E+000, 4.3210698E-001, 2.7938776E+000, 2.2910972E-001
 1.2229793E+000, 3.9634331E-001, 2.8693878E+000, 2.0903154E-001
 1.2497957E+000, 3.7981596E-001, 2.9448980E+000, 1.9097052E-001
 1.2766120E+000, 3.6412206E-001, 3.0204082E+000, 1.7484895E-001
 1.3034284E+000, 3.4921337E-001, 3.0959184E+000, 1.6044225E-001
 1.3302447E+000, 3.3231431E-001, 3.1714286E+000, 1.4752948E-001
 1.3570611E+000, 3.1891452E-001, 3.2469388E+000, 1.3596749E-001
 1.3838774E+000, 3.0614957E-001, 3.3224490E+000, 1.2555729E-001
 1.4106938E+000, 2.9398612E-001, 3.3979592E+000, 1.1618401E-001
 1.4375101E+000, 2.8239352E-001, 3.4734694E+000, 1.0777080E-001
 1.4643265E+000, 2.7066880E-001, 3.5489796E+000, 1.0022190E-001
 1.4911428E+000, 2.6018386E-001, 3.6244898E+000, 9.3517708E-002
 1.5179592E+000, 2.5016336E-001, 3.7000000E+000, 8.5640788E-002
