m,kW/m2,m,kW/m2
r,HF_radi,z,HF_vert
 5.0477718E-001, 1.6647630E+000,-1.9000000E-001, 4.5073807E-001
 5.7236304E-001, 1.1989353E+000,-1.3510204E-001, 6.4451421E-001
 6.3994892E-001, 9.0807657E-001,-8.0204082E-002, 9.4652724E-001
 7.0753483E-001, 7.9076091E-001,-2.5306122E-002, 1.4426824E+000
 7.7512076E-001, 6.3070431E-001, 2.9591837E-002, 3.0708483E+000
 8.4270669E-001, 4.6058738E-001, 8.4489796E-002, 3.4467016E+000
 9.1029264E-001, 3.8448823E-001, 1.3938776E-001, 3.6502134E+000
 9.7787859E-001, 3.4833714E-001, 1.9428571E-001, 3.7410543E+000
 1.0454645E+000, 2.9603705E-001, 2.4918367E-001, 3.7725464E+000
 1.1130505E+000, 2.5369474E-001, 3.0408163E-001, 3.7019509E+000
 1.1806365E+000, 2.1899003E-001, 3.5897959E-001, 3.6087413E+000
 1.2482224E+000, 2.0210628E-001, 4.1387755E-001, 3.4879890E+000
 1.3158084E+000, 1.7630864E-001, 4.6877551E-001, 3.3486463E+000
 1.3833944E+000, 1.4392231E-001, 5.2367347E-001, 3.1982527E+000
 1.4509804E+000, 1.2726505E-001, 5.7857143E-001, 3.0426374E+000
 1.5185664E+000, 1.1888955E-001, 6.3346939E-001, 2.8856688E+000
 1.5861523E+000, 1.0588882E-001, 6.8836735E-001, 2.7299095E+000
 1.6537383E+000, 9.4696851E-002, 7.4326531E-001, 2.5776419E+000
 1.7213243E+000, 8.5023071E-002, 7.9816327E-001, 2.4307663E+000
 1.7889103E+000, 8.0050647E-002, 8.5306122E-001, 2.1541820E+000
NaN,NaN, 9.0795918E-001, 2.0255988E+000
NaN,NaN, 9.6285714E-001, 1.9038007E+000
NaN,NaN, 1.0177551E+000, 1.7881538E+000
NaN,NaN, 1.0726531E+000, 1.6784451E+000
NaN,NaN, 1.1275510E+000, 1.5745361E+000
NaN,NaN, 1.1824490E+000, 1.4762989E+000
NaN,NaN, 1.2373469E+000, 1.3836548E+000
NaN,NaN, 1.2922449E+000, 1.2965811E+000
NaN,NaN, 1.3471429E+000, 1.2149801E+000
NaN,NaN, 1.4020408E+000, 1.0677374E+000
NaN,NaN, 1.4569388E+000, 1.0016024E+000
NaN,NaN, 1.5118367E+000, 9.4010957E-001
NaN,NaN, 1.5667347E+000, 8.8277681E-001
NaN,NaN, 1.6216327E+000, 8.2926475E-001
NaN,NaN, 1.6765306E+000, 7.7929607E-001
NaN,NaN, 1.7314286E+000, 7.3250540E-001
NaN,NaN, 1.7863265E+000, 6.8865214E-001
NaN,NaN, 1.8412245E+000, 6.4752233E-001
NaN,NaN, 1.8961224E+000, 6.0897782E-001
NaN,NaN, 1.9510204E+000, 5.3917418E-001
NaN,NaN, 2.0059184E+000, 5.0774840E-001
NaN,NaN, 2.0608163E+000, 4.7849148E-001
NaN,NaN, 2.1157143E+000, 4.5122626E-001
NaN,NaN, 2.1706122E+000, 4.2573395E-001
NaN,NaN, 2.2255102E+000, 4.0187327E-001
NaN,NaN, 2.2804082E+000, 3.7955251E-001
NaN,NaN, 2.3353061E+000, 3.5860155E-001
NaN,NaN, 2.3902041E+000, 3.3892159E-001
NaN,NaN, 2.4451020E+000, 3.2041571E-001
NaN,NaN, 2.5000000E+000, 2.8663310E-001
