m,kW/m2,m,kW/m2
r,HF_radi,z,HF_vert
 2.0396078E-001, 1.2063650E+001, 0.0000000E+000, 3.4275120E+000
 2.3245767E-001, 9.8432833E+000, 7.5510204E-002, 3.8041991E+000
 2.6095458E-001, 7.3836844E+000, 1.5102041E-001, 3.7765930E+000
 2.8945151E-001, 6.3377499E+000, 2.2653061E-001, 3.8534048E+000
 3.1794844E-001, 5.5049693E+000, 3.0204082E-001, 3.8498971E+000
 3.4644539E-001, 4.8287325E+000, 3.7755102E-001, 3.7671478E+000
 3.7494234E-001, 4.2705775E+000, 4.5306122E-001, 3.6715833E+000
 4.0343930E-001, 3.5244516E+000, 5.2857143E-001, 3.5487124E+000
 4.3193626E-001, 3.1723499E+000, 6.0408163E-001, 3.3738849E+000
 4.6043322E-001, 2.6058265E+000, 6.7959184E-001, 3.1446984E+000
 4.8893019E-001, 2.3757438E+000, 7.5510204E-001, 2.8981073E+000
 5.1742716E-001, 2.0501271E+000, 8.3061224E-001, 2.6496397E+000
 5.4592413E-001, 1.8840954E+000, 9.0612245E-001, 2.4115561E+000
 5.7442110E-001, 1.7360811E+000, 9.8163265E-001, 2.1825026E+000
 6.0291807E-001, 1.6036039E+000, 1.0571429E+000, 1.9510307E+000
 6.3141505E-001, 1.4846029E+000, 1.1326531E+000, 1.7223951E+000
 6.5991203E-001, 1.3135959E+000, 1.2081633E+000, 1.5185368E+000
 6.8840900E-001, 1.1372483E+000, 1.2836735E+000, 1.3356630E+000
 7.1690598E-001, 1.0607979E+000, 1.3591837E+000, 1.1721185E+000
 7.4540296E-001, 9.9103617E-001, 1.4346939E+000, 1.0256806E+000
 7.7389994E-001, 8.9590565E-001, 1.5102041E+000, 8.9791852E-001
 8.0239692E-001, 8.3911548E-001, 1.5857143E+000, 7.8719935E-001
 8.3089390E-001, 7.8690140E-001, 1.6612245E+000, 6.9086348E-001
 8.5939088E-001, 7.3882735E-001, 1.7367347E+000, 6.0702015E-001
 8.8788786E-001, 6.9450600E-001, 1.8122449E+000, 5.3351875E-001
 9.1638484E-001, 6.4003911E-001, 1.8877551E+000, 4.6953214E-001
 9.4488183E-001, 5.6831247E-001, 1.9632653E+000, 4.1410983E-001
 9.7337881E-001, 5.3624299E-001, 2.0387755E+000, 3.6623139E-001
 1.0018758E+000, 5.0642093E-001, 2.1142857E+000, 3.2518473E-001
 1.0303728E+000, 4.7866143E-001, 2.1897959E+000, 2.8985850E-001
 1.0588698E+000, 4.4876432E-001, 2.2653061E+000, 2.5924292E-001
 1.0873667E+000, 4.2482237E-001, 2.3408163E+000, 2.3285548E-001
 1.1158637E+000, 4.0240413E-001, 2.4163265E+000, 2.1024955E-001
 1.1443607E+000, 3.8139594E-001, 2.4918367E+000, 1.9087783E-001
 1.1728577E+000, 3.4343405E-001, 2.5673469E+000, 1.7425581E-001
 1.2013547E+000, 3.2620257E-001, 2.6428571E+000, 1.5996482E-001
 1.2298517E+000, 3.0995790E-001, 2.7183673E+000, 1.4758253E-001
 1.2583486E+000, 2.9463457E-001, 2.7938776E+000, 1.3669027E-001
 1.2868456E+000, 2.8017296E-001, 2.8693878E+000, 1.2689337E-001
 1.3153426E+000, 2.6852163E-001, 2.9448980E+000, 1.1804707E-001
 1.3438396E+000, 2.5578169E-001, 3.0204082E+000, 1.0997411E-001
 1.3723366E+000, 2.4370324E-001, 3.0959184E+000, 1.0242119E-001
 1.4008336E+000, 2.3224618E-001, 3.1714286E+000, 9.5238341E-002
 1.4293306E+000, 2.1360693E-001, 3.2469388E+000, 8.8317413E-002
 1.4578275E+000, 2.0400272E-001, 3.3224490E+000, 8.1610273E-002
 1.4863245E+000, 1.9485194E-001, 3.3979592E+000, 7.5100484E-002
 1.5148215E+000, 1.8613095E-001, 3.4734694E+000, 6.8783142E-002
NaN,NaN, 3.5489796E+000, 6.2676495E-002
NaN,NaN, 3.6244898E+000, 5.6739194E-002
NaN,NaN, 3.7000000E+000, 4.9143744E-002
