m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Height,Left 29,Left 16,Left 3,Right 3,Right 16,Right 29
 1.0000000E-002, 3.6143418E+000, 1.8616468E+001, 2.7349335E+001, 2.7115569E+001, 1.9355019E+001, 3.6191711E+000
 3.0000000E-002, 3.7988099E+000, 2.3156779E+001, 3.8127799E+001, 3.7932593E+001, 2.3475589E+001, 3.7915397E+000
 5.0000000E-002, 3.8279857E+000, 2.2095486E+001, 4.4905466E+001, 4.4736657E+001, 2.2033041E+001, 3.8212666E+000
 7.0000000E-002, 3.8138712E+000, 1.9555489E+001, 4.8761785E+001, 4.8631180E+001, 1.9409763E+001, 3.8078979E+000
 9.0000000E-002, 3.7206010E+000, 1.6976488E+001, 5.0431443E+001, 5.0371816E+001, 1.6839065E+001, 3.7152205E+000
 1.1000000E-001, 3.5723761E+000, 1.4778170E+001, 5.0702573E+001, 5.0682514E+001, 1.4681301E+001, 3.5675575E+000
 1.3000000E-001, 3.4056559E+000, 1.3012271E+001, 5.0095203E+001, 5.0112686E+001, 1.2956406E+001, 3.4042065E+000
 1.5000000E-001, 3.2437087E+000, 1.1616397E+001, 4.8965508E+001, 4.9025707E+001, 1.1583968E+001, 3.2457939E+000
 1.7000000E-001, 3.0972045E+000, 1.0518953E+001, 4.7554434E+001, 4.7639645E+001, 1.0486698E+001, 3.1017557E+000
 1.9000000E-001, 2.9680890E+000, 9.6475717E+000, 4.6013864E+001, 4.6112354E+001, 9.5942912E+000, 2.9732388E+000
 2.1000000E-001, 2.8516466E+000, 8.9405154E+000, 4.4445196E+001, 4.4550924E+001, 8.8543496E+000, 2.8560286E+000
 2.3000000E-001, 2.7436165E+000, 8.3561796E+000, 4.2909039E+001, 4.3022737E+001, 8.2363956E+000, 2.7482432E+000
 2.5000000E-001, 2.6409788E+000, 7.8643371E+000, 4.1446901E+001, 4.1562142E+001, 7.7158955E+000, 2.6461899E+000
 2.7000000E-001, 2.5419876E+000, 7.4484493E+000, 4.0079777E+001, 4.0191557E+001, 7.2704550E+000, 2.5483406E+000
 2.9000000E-001, 2.4491542E+000, 7.0976510E+000, 3.8817663E+001, 3.8925221E+001, 6.8901298E+000, 2.4556772E+000
 3.1000000E-001, 2.3642526E+000, 6.8008638E+000, 3.7663432E+001, 3.7766243E+001, 6.5688057E+000, 2.3666944E+000
 3.3000000E-001, 2.2861126E+000, 6.5545651E+000, 3.6611803E+001, 3.6705435E+001, 6.2972392E+000, 2.2836920E+000
 3.5000000E-001, 2.2135619E+000, 6.3507443E+000, 3.5653110E+001, 3.5740759E+001, 6.0669134E+000, 2.2093495E+000
 3.7000000E-001, 2.1470363E+000, 6.1817944E+000, 3.4783031E+001, 3.4865923E+001, 5.8735234E+000, 2.1412637E+000
 3.9000000E-001, 2.0848016E+000, 6.0417332E+000, 3.3995700E+001, 3.4074830E+001, 5.7115505E+000, 2.0764301E+000
 4.1000000E-001, 2.0300380E+000, 5.9254427E+000, 3.3284077E+001, 3.3353288E+001, 5.5784722E+000, 2.0204115E+000
 4.3000000E-001, 1.9830044E+000, 5.8330834E+000, 3.2638476E+001, 3.2695713E+001, 5.4735777E+000, 1.9704984E+000
 4.5000000E-001, 1.9401366E+000, 5.7618346E+000, 3.2054836E+001, 3.2096117E+001, 5.3894003E+000, 1.9258403E+000
 4.7000000E-001, 1.9015124E+000, 5.7148095E+000, 3.1521139E+001, 3.1548571E+001, 5.3202152E+000, 1.8861891E+000
 4.9000000E-001, 1.8693728E+000, 5.6826720E+000, 3.1020746E+001, 3.1041558E+001, 5.2621632E+000, 1.8518015E+000
 5.1000000E-001, 1.8421247E+000, 5.6560717E+000, 3.0553426E+001, 3.0573739E+001, 5.2185312E+000, 1.8211243E+000
 5.3000000E-001, 1.8200724E+000, 5.6375505E+000, 3.0109663E+001, 3.0130463E+001, 5.1876879E+000, 1.7948033E+000
 5.5000000E-001, 1.8010264E+000, 5.6285489E+000, 2.9677230E+001, 2.9705570E+001, 5.1663323E+000, 1.7707894E+000
 5.7000000E-001, 1.7842585E+000, 5.6269339E+000, 2.9243903E+001, 2.9289627E+001, 5.1546756E+000, 1.7485419E+000
 5.9000000E-001, 1.7690816E+000, 5.6315379E+000, 2.8810000E+001, 2.8877399E+001, 5.1477511E+000, 1.7275508E+000
 6.1000000E-001, 1.7566747E+000, 5.6370971E+000, 2.8371838E+001, 2.8460943E+001, 5.1371715E+000, 1.7073614E+000
 6.3000000E-001, 1.7474429E+000, 5.6323551E+000, 2.7932704E+001, 2.8043537E+001, 5.1232610E+000, 1.6837340E+000
 6.5000000E-001, 1.7444522E+000, 5.6094094E+000, 2.7480861E+001, 2.7620153E+001, 5.1187890E+000, 1.6519563E+000
 6.7000000E-001, 1.7428461E+000, 5.5683083E+000, 2.7019808E+001, 2.7195350E+001, 5.1144573E+000, 1.6267665E+000
 6.9000000E-001, 1.7417734E+000, 5.5129874E+000, 2.6552756E+001, 2.6761562E+001, 5.1048083E+000, 1.6047736E+000
 7.1000000E-001, 1.7400867E+000, 5.4488627E+000, 2.6082973E+001, 2.6315552E+001, 5.0894773E+000, 1.5842344E+000
 7.3000000E-001, 1.7357460E+000, 5.3776876E+000, 2.5601197E+001, 2.5854072E+001, 5.0690917E+000, 1.5675262E+000
 7.5000000E-001, 1.7277620E+000, 5.3036441E+000, 2.5111284E+001, 2.5383524E+001, 5.0466878E+000, 1.5555253E+000
 7.7000000E-001, 1.7227693E+000, 5.2231068E+000, 2.4606334E+001, 2.4894633E+001, 5.0178066E+000, 1.5486828E+000
 7.9000000E-001, 1.7207954E+000, 5.1393874E+000, 2.4084136E+001, 2.4384978E+001, 4.9829540E+000, 1.5409570E+000
 8.1000000E-001, 1.7186692E+000, 5.0599238E+000, 2.3549923E+001, 2.3849055E+001, 4.9468348E+000, 1.5319318E+000
 8.3000000E-001, 1.7117080E+000, 4.9897480E+000, 2.3003641E+001, 2.3287102E+001, 4.9153548E+000, 1.5200079E+000
 8.5000000E-001, 1.6972917E+000, 4.9222899E+000, 2.2439242E+001, 2.2695550E+001, 4.8874020E+000, 1.5045233E+000
 8.7000000E-001, 1.6774849E+000, 4.8566871E+000, 2.1857340E+001, 2.2086049E+001, 4.8559066E+000, 1.4879758E+000
 8.9000000E-001, 1.6589344E+000, 4.7881825E+000, 2.1250719E+001, 2.1449699E+001, 4.8166133E+000, 1.4750331E+000
 9.1000000E-001, 1.6378982E+000, 4.7145951E+000, 2.0630240E+001, 2.0813888E+001, 4.7678022E+000, 1.4668065E+000
 9.3000000E-001, 1.6117533E+000, 4.6333985E+000, 1.9988486E+001, 2.0169079E+001, 4.7078793E+000, 1.4578782E+000
 9.5000000E-001, 1.5774977E+000, 4.5414430E+000, 1.9346530E+001, 1.9526595E+001, 4.6358216E+000, 1.4428871E+000
 9.7000000E-001, 1.5390039E+000, 4.4390056E+000, 1.8697939E+001, 1.8870625E+001, 4.5552734E+000, 1.4258838E+000
 9.9000000E-001, 1.5003665E+000, 4.3331099E+000, 1.8053665E+001, 1.8216771E+001, 4.4644820E+000, 1.4053677E+000
 1.0100000E+000, 1.4639330E+000, 4.2292815E+000, 1.7411675E+001, 1.7560658E+001, 4.3588755E+000, 1.3831027E+000
 1.0300000E+000, 1.4298247E+000, 4.1261995E+000, 1.6777277E+001, 1.6906098E+001, 4.2444370E+000, 1.3597954E+000
 1.0500000E+000, 1.4005557E+000, 4.0231889E+000, 1.6148182E+001, 1.6250847E+001, 4.1262243E+000, 1.3381033E+000
 1.0700000E+000, 1.3743565E+000, 3.9197032E+000, 1.5527844E+001, 1.5604200E+001, 4.0107605E+000, 1.3178796E+000
 1.0900000E+000, 1.3459385E+000, 3.8152103E+000, 1.4913442E+001, 1.4972870E+001, 3.8987625E+000, 1.2994973E+000
 1.1100000E+000, 1.3187807E+000, 3.7106502E+000, 1.4313406E+001, 1.4362936E+001, 3.7883161E+000, 1.2817534E+000
 1.1300000E+000, 1.2951947E+000, 3.6070287E+000, 1.3729050E+001, 1.3767236E+001, 3.6796309E+000, 1.2631394E+000
 1.1500000E+000, 1.2739830E+000, 3.5032453E+000, 1.3163614E+001, 1.3187779E+001, 3.5742489E+000, 1.2419605E+000
 1.1700000E+000, 1.2546554E+000, 3.3985329E+000, 1.2617305E+001, 1.2627795E+001, 3.4743299E+000, 1.2183456E+000
 1.1900000E+000, 1.2358400E+000, 3.2939486E+000, 1.2088206E+001, 1.2088268E+001, 3.3817149E+000, 1.1929306E+000
 1.2100000E+000, 1.2176437E+000, 3.1899543E+000, 1.1572206E+001, 1.1567174E+001, 3.2950180E+000, 1.1668385E+000
 1.2300000E+000, 1.1962208E+000, 3.0901498E+000, 1.1067343E+001, 1.1064593E+001, 3.2142948E+000, 1.1409631E+000
 1.2500000E+000, 1.1767742E+000, 2.9954205E+000, 1.0578974E+001, 1.0579062E+001, 3.1395649E+000, 1.1176778E+000
 1.2700000E+000, 1.1569593E+000, 2.9062133E+000, 1.0107746E+001, 1.0114195E+001, 3.0703744E+000, 1.0962597E+000
 1.2900000E+000, 1.1352588E+000, 2.8208215E+000, 9.6506077E+000, 9.6638134E+000, 3.0039983E+000, 1.0763948E+000
 1.3100000E+000, 1.1117943E+000, 2.7382362E+000, 9.2106177E+000, 9.2314522E+000, 2.9380272E+000, 1.0566417E+000
 1.3300000E+000, 1.0881521E+000, 2.6583416E+000, 8.7896187E+000, 8.8130815E+000, 2.8707862E+000, 1.0381905E+000
 1.3500000E+000, 1.0655951E+000, 2.5806573E+000, 8.3832386E+000, 8.4134162E+000, 2.8025704E+000, 1.0208618E+000
 1.3700000E+000, 1.0439430E+000, 2.5038011E+000, 7.9895318E+000, 8.0284155E+000, 2.7346498E+000, 1.0066304E+000
