m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Height,Left 29,Left 16,Left 3,Right 3,Right 16,Right 29
 1.0000000E-002, 4.6788728E+000, 2.1250845E+001, 2.8858359E+001, 2.9041209E+001, 2.0865853E+001, 4.6172920E+000
 3.0000000E-002, 5.0092100E+000, 2.6275459E+001, 3.4504756E+001, 3.4452205E+001, 2.5919474E+001, 4.9501220E+000
 5.0000000E-002, 5.1058407E+000, 2.8340788E+001, 3.8362451E+001, 3.8278881E+001, 2.7793089E+001, 5.0516759E+000
 7.0000000E-002, 5.0902561E+000, 2.7364575E+001, 4.0813695E+001, 4.0761191E+001, 2.6704584E+001, 5.0441576E+000
 9.0000000E-002, 5.0015101E+000, 2.5003117E+001, 4.2253398E+001, 4.2247937E+001, 2.4335474E+001, 4.9655279E+000
 1.1000000E-001, 4.8701907E+000, 2.2382014E+001, 4.2989887E+001, 4.3000731E+001, 2.1756658E+001, 4.8456072E+000
 1.3000000E-001, 4.7250694E+000, 2.0065414E+001, 4.3240685E+001, 4.3248271E+001, 1.9452350E+001, 4.7142501E+000
 1.5000000E-001, 4.5892620E+000, 1.8134713E+001, 4.3141868E+001, 4.3143015E+001, 1.7626483E+001, 4.5945145E+000
 1.7000000E-001, 4.4752767E+000, 1.6588991E+001, 4.2818070E+001, 4.2795907E+001, 1.6223279E+001, 4.4924004E+000
 1.9000000E-001, 4.3829492E+000, 1.5392540E+001, 4.2345257E+001, 4.2286934E+001, 1.5163932E+001, 4.4040349E+000
 2.1000000E-001, 4.3119080E+000, 1.4476732E+001, 4.1774461E+001, 4.1680054E+001, 1.4361043E+001, 4.3333201E+000
 2.3000000E-001, 4.2604455E+000, 1.3771003E+001, 4.1151666E+001, 4.1032657E+001, 1.3750720E+001, 4.2786016E+000
 2.5000000E-001, 4.2276921E+000, 1.3227439E+001, 4.0504656E+001, 4.0383533E+001, 1.3280549E+001, 4.2389999E+000
 2.7000000E-001, 4.2062741E+000, 1.2803975E+001, 3.9866402E+001, 3.9752749E+001, 1.2938366E+001, 4.2119686E+000
 2.9000000E-001, 4.1939716E+000, 1.2486856E+001, 3.9252732E+001, 3.9161244E+001, 1.2715694E+001, 4.2008899E+000
 3.1000000E-001, 4.1873506E+000, 1.2253654E+001, 3.8672241E+001, 3.8620337E+001, 1.2601694E+001, 4.2117007E+000
 3.3000000E-001, 4.1943276E+000, 1.2092587E+001, 3.8143733E+001, 3.8118944E+001, 1.2575773E+001, 4.2444105E+000
 3.5000000E-001, 4.2209022E+000, 1.1987166E+001, 3.7663042E+001, 3.7660510E+001, 1.2605940E+001, 4.2923532E+000
 3.7000000E-001, 4.2694244E+000, 1.1937566E+001, 3.7231776E+001, 3.7246767E+001, 1.2674650E+001, 4.3518329E+000
 3.9000000E-001, 4.3353947E+000, 1.1952384E+001, 3.6856792E+001, 3.6881014E+001, 1.2772605E+001, 4.4256838E+000
 4.1000000E-001, 4.4210473E+000, 1.2028923E+001, 3.6531978E+001, 3.6559884E+001, 1.2904912E+001, 4.5203002E+000
 4.3000000E-001, 4.5239679E+000, 1.2138939E+001, 3.6253846E+001, 3.6283540E+001, 1.3057425E+001, 4.6315825E+000
 4.5000000E-001, 4.6379904E+000, 1.2300087E+001, 3.6015494E+001, 3.6038710E+001, 1.3203403E+001, 4.7520258E+000
 4.7000000E-001, 4.7557617E+000, 1.2503109E+001, 3.5813268E+001, 3.5840621E+001, 1.3345784E+001, 4.8584214E+000
