m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Height,Left 29,Left 16,Left 3,Right 3,Right 16,Right 29
 1.0000000E-002, 4.2879694E+000, 2.0940448E+001, 3.2124662E+001, 3.2433765E+001, 2.0817594E+001, 4.2488323E+000
 3.0000000E-002, 4.5240958E+000, 2.5239575E+001, 3.8149041E+001, 3.8268659E+001, 2.5270102E+001, 4.4896044E+000
 5.0000000E-002, 4.5819425E+000, 2.6212618E+001, 4.2210849E+001, 4.2173353E+001, 2.6178305E+001, 4.5481178E+000
 7.0000000E-002, 4.5479511E+000, 2.4398884E+001, 4.4534501E+001, 4.4466389E+001, 2.4415429E+001, 4.5169244E+000
 9.0000000E-002, 4.4405201E+000, 2.1614716E+001, 4.5590844E+001, 4.5542750E+001, 2.1686357E+001, 4.4115765E+000
 1.1000000E-001, 4.2960914E+000, 1.8935759E+001, 4.5797036E+001, 4.5775747E+001, 1.9028103E+001, 4.2638888E+000
 1.3000000E-001, 4.1422183E+000, 1.6735175E+001, 4.5466706E+001, 4.5454100E+001, 1.6789955E+001, 4.1024005E+000
 1.5000000E-001, 3.9924747E+000, 1.5004273E+001, 4.4766527E+001, 4.4777407E+001, 1.5018847E+001, 3.9452892E+000
 1.7000000E-001, 3.8546412E+000, 1.3660543E+001, 4.3834855E+001, 4.3872278E+001, 1.3641897E+001, 3.8036423E+000
 1.9000000E-001, 3.7349208E+000, 1.2619687E+001, 4.2778835E+001, 4.2850434E+001, 1.2573863E+001, 3.6816751E+000
 2.1000000E-001, 3.6321430E+000, 1.1814127E+001, 4.1689427E+001, 4.1789320E+001, 1.1746607E+001, 3.5772048E+000
 2.3000000E-001, 3.5422579E+000, 1.1184944E+001, 4.0617159E+001, 4.0745007E+001, 1.1103325E+001, 3.4877787E+000
 2.5000000E-001, 3.4639738E+000, 1.0699979E+001, 3.9601901E+001, 3.9742454E+001, 1.0601419E+001, 3.4061929E+000
 2.7000000E-001, 3.3987099E+000, 1.0336061E+001, 3.8668231E+001, 3.8799184E+001, 1.0204875E+001, 3.3365353E+000
 2.9000000E-001, 3.3436572E+000, 1.0062348E+001, 3.7808431E+001, 3.7920197E+001, 9.8947736E+000, 3.2780419E+000
 3.1000000E-001, 3.2969750E+000, 9.8648732E+000, 3.7014991E+001, 3.7109387E+001, 9.6644965E+000, 3.2309671E+000
 3.3000000E-001, 3.2605106E+000, 9.7308864E+000, 3.6289319E+001, 3.6358751E+001, 9.5126447E+000, 3.1944708E+000
 3.5000000E-001, 3.2352516E+000, 9.6407861E+000, 3.5616360E+001, 3.5666903E+001, 9.4250721E+000, 3.1671939E+000
 3.7000000E-001, 3.2258577E+000, 9.5843348E+000, 3.5004018E+001, 3.5029883E+001, 9.3830649E+000, 3.1507697E+000
 3.9000000E-001, 3.2237292E+000, 9.5660195E+000, 3.4441181E+001, 3.4444318E+001, 9.3862242E+000, 3.1477549E+000
 4.1000000E-001, 3.2275537E+000, 9.5895057E+000, 3.3924487E+001, 3.3905317E+001, 9.4232966E+000, 3.1582669E+000
 4.3000000E-001, 3.2363977E+000, 9.6388792E+000, 3.3445930E+001, 3.3405951E+001, 9.4758529E+000, 3.1824639E+000
 4.5000000E-001, 3.2586191E+000, 9.6897743E+000, 3.3004122E+001, 3.2950028E+001, 9.5456861E+000, 3.2078725E+000
 4.7000000E-001, 3.2857881E+000, 9.7306593E+000, 3.2593879E+001, 3.2533696E+001, 9.6398056E+000, 3.2233995E+000
 4.9000000E-001, 3.3180481E+000, 9.7693014E+000, 3.2200369E+001, 3.2139835E+001, 9.7675887E+000, 3.2450101E+000
 5.1000000E-001, 3.3574206E+000, 9.8085774E+000, 3.1821426E+001, 3.1764156E+001, 9.9085922E+000, 3.2761139E+000
 5.3000000E-001, 3.4038338E+000, 9.8449727E+000, 3.1454544E+001, 3.1406014E+001, 1.0041804E+001, 3.3115119E+000
 5.5000000E-001, 3.4535868E+000, 9.8947443E+000, 3.1096874E+001, 3.1063047E+001, 1.0152458E+001, 3.3476195E+000
 5.7000000E-001, 3.5112247E+000, 9.9533746E+000, 3.0754651E+001, 3.0736134E+001, 1.0248128E+001, 3.3923047E+000
 5.9000000E-001, 3.5743183E+000, 1.0016894E+001, 3.0430316E+001, 3.0417456E+001, 1.0331619E+001, 3.4486255E+000
 6.1000000E-001, 3.6396202E+000, 1.0083994E+001, 3.0109732E+001, 3.0100353E+001, 1.0405278E+001, 3.5064130E+000
 6.3000000E-001, 3.6962283E+000, 1.0141850E+001, 2.9782758E+001, 2.9783633E+001, 1.0460297E+001, 3.5683813E+000
 6.5000000E-001, 3.7469912E+000, 1.0180832E+001, 2.9445557E+001, 2.9457787E+001, 1.0504161E+001, 3.6278841E+000
 6.7000000E-001, 3.7850806E+000, 1.0198643E+001, 2.9096168E+001, 2.9117567E+001, 1.0536075E+001, 3.6799444E+000
 6.9000000E-001, 3.8077690E+000, 1.0191029E+001, 2.8727961E+001, 2.8761209E+001, 1.0569175E+001, 3.7179151E+000
 7.1000000E-001, 3.8214291E+000, 1.0180102E+001, 2.8332665E+001, 2.8387460E+001, 1.0599419E+001, 3.7361606E+000
 7.3000000E-001, 3.8369978E+000, 1.0167917E+001, 2.7920045E+001, 2.8002677E+001, 1.0622687E+001, 3.7405054E+000
 7.5000000E-001, 3.8540340E+000, 1.0161525E+001, 2.7494877E+001, 2.7598368E+001, 1.0635899E+001, 3.7502445E+000
 7.7000000E-001, 3.8736809E+000, 1.0154775E+001, 2.7065695E+001, 2.7166174E+001, 1.0629288E+001, 3.7764052E+000
 7.9000000E-001, 3.9086516E+000, 1.0136387E+001, 2.6636028E+001, 2.6711664E+001, 1.0611852E+001, 3.8183784E+000
 8.1000000E-001, 3.9536128E+000, 1.0105484E+001, 2.6198473E+001, 2.6238644E+001, 1.0585690E+001, 3.8620858E+000
 8.3000000E-001, 4.0097035E+000, 1.0047986E+001, 2.5748576E+001, 2.5754467E+001, 1.0553567E+001, 3.8966075E+000
 8.5000000E-001, 4.0726699E+000, 9.9603947E+000, 2.5282026E+001, 2.5263806E+001, 1.0511652E+001, 3.9233290E+000
 8.7000000E-001, 4.1342281E+000, 9.8592609E+000, 2.4809078E+001, 2.4764937E+001, 1.0450800E+001, 3.9420107E+000
 8.9000000E-001, 4.1715783E+000, 9.7667988E+000, 2.4309909E+001, 2.4252567E+001, 1.0372196E+001, 3.9444319E+000
 9.1000000E-001, 4.1724319E+000, 9.6824185E+000, 2.3785533E+001, 2.3715105E+001, 1.0284929E+001, 3.9257569E+000
 9.3000000E-001, 4.1616089E+000, 9.6008302E+000, 2.3242724E+001, 2.3155312E+001, 1.0195263E+001, 3.9098002E+000
 9.5000000E-001, 4.1338757E+000, 9.5187986E+000, 2.2682029E+001, 2.2583225E+001, 1.0095947E+001, 3.8909010E+000
 9.7000000E-001, 4.0833637E+000, 9.4180082E+000, 2.2107183E+001, 2.2005961E+001, 9.9940584E+000, 3.8814299E+000
 9.9000000E-001, 4.0130665E+000, 9.2846012E+000, 2.1519787E+001, 2.1422780E+001, 9.8792096E+000, 3.8792438E+000
 1.0100000E+000, 3.9426454E+000, 9.1349161E+000, 2.0926668E+001, 2.0833650E+001, 9.7513795E+000, 3.8637912E+000
 1.0300000E+000, 3.8750992E+000, 8.9793454E+000, 2.0328787E+001, 2.0241747E+001, 9.6279602E+000, 3.8265381E+000
 1.0500000E+000, 3.8093813E+000, 8.8150475E+000, 1.9725017E+001, 1.9650102E+001, 9.5072152E+000, 3.7803517E+000
 1.0700000E+000, 3.7495875E+000, 8.6326283E+000, 1.9121636E+001, 1.9055810E+001, 9.3735257E+000, 3.7332136E+000
 1.0900000E+000, 3.6923428E+000, 8.4308534E+000, 1.8528529E+001, 1.8467692E+001, 9.2223687E+000, 3.6864612E+000
 1.1100000E+000, 3.6384960E+000, 8.2167535E+000, 1.7950485E+001, 1.7881772E+001, 9.0478366E+000, 3.6303795E+000
 1.1300000E+000, 3.5790898E+000, 8.0109741E+000, 1.7390244E+001, 1.7305547E+001, 8.8537160E+000, 3.5890220E+000
 1.1500000E+000, 3.5217855E+000, 7.8240823E+000, 1.6840349E+001, 1.6742914E+001, 8.6480230E+000, 3.5494173E+000
 1.1700000E+000, 3.4765529E+000, 7.6496989E+000, 1.6292753E+001, 1.6197707E+001, 8.4383680E+000, 3.5016693E+000
 1.1900000E+000, 3.4337190E+000, 7.4792531E+000, 1.5743664E+001, 1.5663018E+001, 8.2303661E+000, 3.4497060E+000
 1.2100000E+000, 3.3855825E+000, 7.3089896E+000, 1.5194503E+001, 1.5136602E+001, 8.0210919E+000, 3.3949537E+000
 1.2300000E+000, 3.3372356E+000, 7.1338168E+000, 1.4648351E+001, 1.4614326E+001, 7.8141508E+000, 3.3260482E+000
 1.2500000E+000, 3.2898573E+000, 6.9540774E+000, 1.4117464E+001, 1.4093912E+001, 7.6050191E+000, 3.2440243E+000
