m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,YPFp2,YPFp4,YPFp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,YPFp2_rms,YPFp4_rms,YPFp6_rms
-4.688E-01,-1.853E-01,-1.378E-02, 1.275E-01, 3.047E-01, 2.610E-01, 1.932E-01, 8.347E-03, 6.462E-03, 5.959E-03, 1.176E-02, 9.102E-03, 8.391E-03, 5.290E-02, 6.211E-02, 1.090E-01, 5.335E-02, 7.539E-02, 9.269E-02, 1.471E-03, 2.570E-03, 3.346E-03, 2.076E-03, 3.627E-03, 4.723E-03
-4.062E-01, 4.752E-02, 2.006E-01, 3.386E-01, 3.329E-01, 2.534E-01, 1.863E-01, 2.221E-02, 1.515E-02, 1.250E-02, 3.134E-02, 2.136E-02, 1.763E-02, 7.326E-02, 1.185E-01, 1.786E-01, 5.354E-02, 7.575E-02, 9.420E-02, 3.652E-03, 5.364E-03, 5.819E-03, 5.160E-03, 7.579E-03, 8.221E-03
-3.438E-01, 3.208E-01, 4.379E-01, 5.665E-01, 3.660E-01, 2.450E-01, 1.789E-01, 3.847E-02, 2.475E-02, 1.956E-02, 5.431E-02, 3.493E-02, 2.760E-02, 1.582E-01, 2.210E-01, 2.934E-01, 5.959E-02, 8.188E-02, 1.002E-01, 6.694E-03, 8.961E-03, 9.011E-03, 9.461E-03, 1.267E-02, 1.274E-02
-2.812E-01, 6.101E-01, 7.090E-01, 8.487E-01, 3.812E-01, 2.320E-01, 1.682E-01, 5.836E-02, 3.804E-02, 2.989E-02, 8.242E-02, 5.370E-02, 4.219E-02, 2.264E-01, 2.961E-01, 3.729E-01, 6.793E-02, 8.998E-02, 1.073E-01, 9.431E-03, 1.186E-02, 1.145E-02, 1.333E-02, 1.677E-02, 1.619E-02
-2.188E-01, 8.705E-01, 1.050E+00, 1.268E+00, 3.368E-01, 2.073E-01, 1.485E-01, 8.408E-02, 6.065E-02, 4.881E-02, 1.188E-01, 8.567E-02, 6.895E-02, 1.827E-01, 2.423E-01, 3.015E-01, 7.194E-02, 9.160E-02, 1.086E-01, 9.034E-03, 1.114E-02, 1.072E-02, 1.277E-02, 1.575E-02, 1.516E-02
-1.562E-01, 1.199E+00, 1.476E+00, 1.777E+00, 2.809E-01, 1.763E-01, 1.246E-01, 1.165E-01, 8.891E-02, 7.180E-02, 1.646E-01, 1.256E-01, 1.015E-01, 1.290E-01, 1.745E-01, 2.185E-01, 8.289E-02, 9.837E-02, 1.139E-01, 8.759E-03, 1.051E-02, 1.061E-02, 1.239E-02, 1.486E-02, 1.501E-02
-9.375E-02, 1.576E+00, 1.963E+00, 2.338E+00, 2.032E-01, 1.326E-01, 9.250E-02, 1.538E-01, 1.211E-01, 9.716E-02, 2.173E-01, 1.712E-01, 1.373E-01, 8.420E-02, 1.164E-01, 1.624E-01, 1.008E-01, 1.108E-01, 1.235E-01, 9.067E-03, 1.067E-02, 1.182E-02, 1.283E-02, 1.509E-02, 1.672E-02
-3.125E-02, 1.572E+00, 1.958E+00, 2.335E+00, 7.077E-02, 4.867E-02, 3.534E-02, 1.533E-01, 1.209E-01, 9.714E-02, 2.167E-01, 1.709E-01, 1.373E-01, 5.733E-02, 7.540E-02, 1.054E-01, 9.976E-02, 1.085E-01, 1.203E-01, 5.780E-03, 7.285E-03, 8.572E-03, 8.176E-03, 1.031E-02, 1.213E-02
 3.125E-02, 1.568E+00, 1.954E+00, 2.332E+00,-6.126E-02,-3.512E-02,-2.181E-02, 1.529E-01, 1.206E-01, 9.712E-02, 2.161E-01, 1.705E-01, 1.373E-01, 6.267E-02, 8.166E-02, 1.107E-01, 1.005E-01, 1.093E-01, 1.212E-01, 6.546E-03, 8.040E-03, 9.018E-03, 9.260E-03, 1.137E-02, 1.276E-02
