m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,Yp2,Yp4,Yp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,Yp2_rms,Yp4_rms,Yp6_rms
-4.688E-01,-1.030E-01,-3.822E-02,-5.423E-02, 1.919E-01, 1.091E-01, 1.015E-01, 2.136E-03, 5.760E-04, 3.956E-04, 1.020E-01, 8.998E-02, 5.632E-02, 6.996E-02, 7.054E-02, 7.974E-02, 2.839E-03, 4.141E-04, 7.164E-04
-4.062E-01, 6.618E-02,-4.439E-04, 7.551E-02, 2.219E-01, 1.112E-01, 1.166E-01, 1.400E-02, 5.181E-03, 3.174E-03, 2.297E-01, 1.413E-01, 1.177E-01, 1.049E-01, 1.159E-01, 1.212E-01, 1.649E-02, 6.118E-03, 5.623E-03
-3.438E-01, 2.555E-01, 3.253E-01, 1.832E-01, 2.924E-01, 1.291E-01, 1.311E-01, 3.548E-02, 1.761E-02, 9.350E-03, 3.401E-01, 3.141E-01, 3.051E-01, 1.393E-01, 1.519E-01, 1.508E-01, 3.543E-02, 1.975E-02, 1.303E-02
-2.812E-01, 5.005E-01, 6.343E-01, 6.434E-01, 3.948E-01, 1.739E-01, 1.357E-01, 6.812E-02, 3.673E-02, 2.525E-02, 4.045E-01, 3.610E-01, 3.824E-01, 1.736E-01, 1.615E-01, 1.850E-01, 5.861E-02, 3.059E-02, 1.888E-02
-2.188E-01, 8.849E-01, 1.080E+00, 1.283E+00, 4.744E-01, 2.175E-01, 1.289E-01, 1.353E-01, 7.773E-02, 6.355E-02, 5.355E-01, 5.882E-01, 6.125E-01, 1.824E-01, 1.883E-01, 2.208E-01, 9.782E-02, 6.061E-02, 4.796E-02
-1.562E-01, 1.428E+00, 1.867E+00, 2.156E+00, 4.847E-01, 2.411E-01, 1.352E-01, 2.596E-01, 1.659E-01, 1.368E-01, 5.729E-01, 6.903E-01, 8.055E-01, 1.813E-01, 2.360E-01, 2.815E-01, 1.301E-01, 9.298E-02, 8.092E-02
-9.375E-02, 2.133E+00, 2.997E+00, 3.429E+00, 3.934E-01, 2.147E-01, 1.337E-01, 5.010E-01, 3.488E-01, 2.808E-01, 4.747E-01, 7.256E-01, 8.759E-01, 1.983E-01, 2.747E-01, 3.494E-01, 1.577E-01, 1.319E-01, 1.141E-01
-3.125E-02, 2.458E+00, 3.759E+00, 4.394E+00, 1.456E-01, 8.276E-02, 5.473E-02, 7.060E-01, 5.419E-01, 4.332E-01, 4.026E-01, 6.759E-01, 8.204E-01, 2.245E-01, 3.030E-01, 3.752E-01, 1.536E-01, 1.422E-01, 1.211E-01
 3.125E-02, 2.392E+00, 3.607E+00, 4.222E+00,-3.153E-01,-1.808E-01,-1.324E-01, 6.713E-01, 5.117E-01, 4.148E-01, 3.814E-01, 7.153E-01, 9.258E-01, 2.552E-01, 3.230E-01, 3.766E-01, 1.651E-01, 1.556E-01, 1.379E-01
 9.375E-02, 2.024E+00, 2.917E+00, 3.388E+00,-3.960E-01,-2.090E-01,-1.337E-01, 4.788E-01, 3.463E-01, 2.761E-01, 5.521E-01, 7.945E-01, 9.087E-01, 2.273E-01, 2.882E-01, 3.265E-01, 1.922E-01, 1.500E-01, 1.195E-01
 1.562E-01, 1.409E+00, 1.898E+00, 2.181E+00,-4.762E-01,-2.119E-01,-1.160E-01, 2.629E-01, 1.685E-01, 1.344E-01, 6.199E-01, 7.194E-01, 7.860E-01, 2.002E-01, 2.514E-01, 3.005E-01, 1.491E-01, 9.521E-02, 7.749E-02
 2.188E-01, 8.270E-01, 1.034E+00, 1.227E+00,-4.573E-01,-1.866E-01,-1.149E-01, 1.248E-01, 7.256E-02, 6.065E-02, 5.598E-01, 5.557E-01, 6.179E-01, 1.711E-01, 2.242E-01, 2.617E-01, 9.292E-02, 5.161E-02, 4.450E-02
 2.812E-01, 5.108E-01, 6.162E-01, 6.956E-01,-4.056E-01,-1.768E-01,-1.303E-01, 6.487E-02, 3.647E-02, 3.079E-02, 4.161E-01, 3.643E-01, 4.060E-01, 1.668E-01, 2.044E-01, 2.200E-01, 5.664E-02, 3.198E-02, 2.667E-02
 3.438E-01, 2.766E-01, 2.670E-01, 2.634E-01,-3.198E-01,-1.463E-01,-1.277E-01, 3.406E-02, 1.913E-02, 1.408E-02, 3.909E-01, 3.590E-01, 3.193E-01, 1.513E-01, 1.557E-01, 1.632E-01, 4.029E-02, 2.311E-02, 1.466E-02
 4.062E-01, 1.371E-01, 6.220E-02,-1.869E-02,-2.433E-01,-1.121E-01,-1.171E-01, 1.650E-02, 7.744E-03, 3.459E-03, 2.551E-01, 1.798E-01, 1.655E-01, 1.212E-01, 1.186E-01, 1.120E-01, 2.186E-02, 1.066E-02, 4.791E-03
 4.688E-01,-2.834E-02,-3.734E-02, 1.555E-03,-1.927E-01,-1.072E-01,-1.126E-01, 4.691E-03, 1.110E-03, 4.942E-04, 1.262E-01, 6.907E-02, 7.038E-02, 9.901E-02, 7.867E-02, 6.432E-02, 5.279E-03, 1.804E-03, 7.767E-04
