m,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,m/s,m/s,m/s,m/s,m/s,m/s,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg
x,Wp2,Wp4,Wp6,Up2,Up4,Up6,YHEp2,YHEp4,YHEp6,YPFp2,YPFp4,YPFp6,Wp2_rms,Wp4_rms,Wp6_rms,Up2_rms,Up4_rms,Up6_rms,YHEp2_rms,YHEp4_rms,YHEp6_rms,YPFp2_rms,YPFp4_rms,YPFp6_rms
-4.922E-01,-1.565E-02, 1.153E-02, 5.843E-02, 2.306E-01, 1.743E-01, 1.620E-01, 9.934E-07, 1.034E-04, 3.293E-04, 8.402E-07, 1.452E-04, 4.610E-04, 1.137E-01, 1.345E-01, 1.435E-01, 1.223E-01, 1.485E-01, 1.699E-01, 7.386E-06, 8.259E-04, 2.314E-03, 6.577E-06, 1.172E-03, 3.270E-03
-4.766E-01,-3.072E-02, 1.973E-02, 6.472E-02, 2.374E-01, 1.745E-01, 1.652E-01, 5.483E-05, 5.221E-04, 1.081E-03, 7.214E-05, 7.561E-04, 1.548E-03, 1.213E-01, 1.519E-01, 1.387E-01, 1.424E-01, 1.702E-01, 1.947E-01, 4.613E-04, 4.437E-03, 8.123E-03, 6.325E-04, 6.516E-03, 1.170E-02
-4.609E-01,-3.267E-02, 1.880E-02, 9.160E-02, 2.449E-01, 1.724E-01, 1.628E-01, 6.334E-04, 1.400E-03, 1.807E-03, 9.098E-04, 2.009E-03, 2.577E-03, 1.502E-01, 1.812E-01, 1.841E-01, 1.687E-01, 1.965E-01, 2.196E-01, 5.775E-03, 1.048E-02, 1.354E-02, 8.539E-03, 1.523E-02, 1.942E-02
-4.453E-01,-2.923E-02, 4.097E-02, 9.781E-02, 2.558E-01, 1.726E-01, 1.688E-01, 1.942E-03, 2.730E-03, 2.539E-03, 2.766E-03, 3.878E-03, 3.608E-03, 1.769E-01, 2.273E-01, 2.239E-01, 1.959E-01, 2.258E-01, 2.394E-01, 1.410E-02, 1.709E-02, 1.706E-02, 2.066E-02, 2.461E-02, 2.438E-02
-4.297E-01,-4.653E-03, 6.797E-02, 1.164E-01, 2.676E-01, 1.698E-01, 1.724E-01, 4.506E-03, 5.057E-03, 3.379E-03, 6.379E-03, 7.144E-03, 4.801E-03, 1.938E-01, 2.770E-01, 2.272E-01, 2.279E-01, 2.596E-01, 2.529E-01, 1.688E-02, 2.189E-02, 1.814E-02, 2.438E-02, 3.127E-02, 2.583E-02
-4.141E-01, 2.027E-02, 1.169E-01, 1.429E-01, 2.920E-01, 1.759E-01, 1.725E-01, 9.424E-03, 9.560E-03, 4.485E-03, 1.345E-02, 1.363E-02, 6.365E-03, 1.964E-01, 3.121E-01, 2.640E-01, 2.574E-01, 2.914E-01, 2.622E-01, 2.605E-02, 2.900E-02, 1.976E-02, 3.753E-02, 4.154E-02, 2.816E-02
-3.984E-01, 8.782E-02, 1.958E-01, 1.648E-01, 3.198E-01, 1.822E-01, 1.765E-01, 1.507E-02, 1.498E-02, 6.230E-03, 2.141E-02, 2.138E-02, 8.821E-03, 2.418E-01, 3.327E-01, 2.879E-01, 2.877E-01, 3.231E-01, 2.760E-01, 3.983E-02, 3.644E-02, 2.222E-02, 5.701E-02, 5.220E-02, 3.160E-02
-3.828E-01, 1.460E-01, 2.595E-01, 2.257E-01, 3.382E-01, 1.807E-01, 1.796E-01, 2.129E-02, 1.984E-02, 9.104E-03, 3.021E-02, 2.829E-02, 1.294E-02, 3.241E-01, 3.557E-01, 3.455E-01, 3.211E-01, 3.514E-01, 2.985E-01, 5.112E-02, 4.088E-02, 2.761E-02, 7.284E-02, 5.850E-02, 3.932E-02
-3.672E-01, 2.387E-01, 3.123E-01, 2.941E-01, 3.632E-01, 1.861E-01, 1.762E-01, 2.900E-02, 2.516E-02, 1.224E-02, 4.112E-02, 3.588E-02, 1.740E-02, 3.909E-01, 3.676E-01, 3.823E-01, 3.486E-01, 3.770E-01, 3.247E-01, 6.459E-02, 4.595E-02, 3.345E-02, 9.192E-02, 6.570E-02, 4.764E-02
-3.516E-01, 3.024E-01, 3.854E-01, 3.627E-01, 3.937E-01, 1.891E-01, 1.705E-01, 3.560E-02, 2.975E-02, 1.581E-02, 5.037E-02, 4.236E-02, 2.248E-02, 4.240E-01, 3.452E-01, 3.924E-01, 3.726E-01, 4.063E-01, 3.511E-01, 7.527E-02, 5.007E-02, 3.727E-02, 1.070E-01, 7.146E-02, 5.300E-02
-3.359E-01, 3.522E-01, 4.465E-01, 4.317E-01, 4.192E-01, 1.881E-01, 1.799E-01, 4.062E-02, 3.275E-02, 1.922E-02, 5.732E-02, 4.656E-02, 2.729E-02, 4.242E-01, 3.535E-01, 4.259E-01, 3.840E-01, 4.433E-01, 3.738E-01, 7.821E-02, 5.103E-02, 4.115E-02, 1.110E-01, 7.268E-02, 5.841E-02
-3.203E-01, 4.604E-01, 5.252E-01, 4.961E-01, 4.510E-01, 1.927E-01, 1.956E-01, 4.524E-02, 3.540E-02, 2.232E-02, 6.373E-02, 5.024E-02, 3.164E-02, 4.369E-01, 3.843E-01, 4.626E-01, 3.896E-01, 4.699E-01, 3.870E-01, 8.220E-02, 5.333E-02, 4.443E-02, 1.165E-01, 7.579E-02, 6.297E-02
-3.047E-01, 5.394E-01, 5.785E-01, 5.704E-01, 4.860E-01, 2.154E-01, 2.023E-01, 5.144E-02, 3.768E-02, 2.548E-02, 7.249E-02, 5.340E-02, 3.609E-02, 4.763E-01, 4.309E-01, 5.091E-01, 3.879E-01, 4.677E-01, 3.961E-01, 8.923E-02, 6.094E-02, 5.007E-02, 1.265E-01, 8.648E-02, 7.092E-02
-2.891E-01, 6.291E-01, 6.576E-01, 6.786E-01, 5.120E-01, 2.396E-01, 2.077E-01, 5.935E-02, 4.040E-02, 2.871E-02, 8.370E-02, 5.716E-02, 4.064E-02, 5.075E-01, 5.164E-01, 5.658E-01, 3.772E-01, 4.704E-01, 4.260E-01, 1.004E-01, 6.781E-02, 5.756E-02, 1.425E-01, 9.608E-02, 8.148E-02
-2.734E-01, 7.325E-01, 7.994E-01, 8.164E-01, 5.420E-01, 2.377E-01, 2.067E-01, 6.799E-02, 4.364E-02, 3.239E-02, 9.587E-02, 6.167E-02, 4.585E-02, 5.378E-01, 5.330E-01, 5.918E-01, 3.705E-01, 4.856E-01, 4.603E-01, 1.110E-01, 7.129E-02, 6.509E-02, 1.574E-01, 1.009E-01, 9.211E-02
-2.578E-01, 8.247E-01, 9.613E-01, 9.559E-01, 5.703E-01, 2.413E-01, 1.957E-01, 7.677E-02, 4.778E-02, 3.664E-02, 1.082E-01, 6.754E-02, 5.186E-02, 5.732E-01, 5.664E-01, 6.300E-01, 3.547E-01, 5.055E-01, 4.951E-01, 1.159E-01, 7.541E-02, 7.179E-02, 1.643E-01, 1.067E-01, 1.015E-01
-2.422E-01, 9.189E-01, 1.094E+00, 1.110E+00, 5.981E-01, 2.555E-01, 1.859E-01, 8.796E-02, 5.134E-02, 4.059E-02, 1.240E-01, 7.254E-02, 5.738E-02, 6.000E-01, 6.405E-01, 6.705E-01, 3.470E-01, 5.197E-01, 5.154E-01, 1.222E-01, 7.905E-02, 7.587E-02, 1.731E-01, 1.118E-01, 1.073E-01
