m,C,m,kW/m2,kW/m2,m,kW
z_TC,TC,z_HF,HF_wide,HF_narrow,z,HRR
 1.0000000E-001, 7.8318449E+002, 3.0000000E-001, 1.5197816E-001, 8.4400368E+000, 5.0000000E-002, 6.9108181E+002
 2.0000000E-001, 7.3240072E+002, 1.0000000E+000, 4.9030713E-001, 2.9790993E+000, 1.5000000E-001, 2.4594416E+002
 3.0000000E-001, 6.8194659E+002, 1.5000000E+000, 2.9503772E-001, 1.6324265E+000, 2.5000000E-001, 8.8310739E+001
 4.0000000E-001, 6.3558742E+002, 2.0000000E+000, 4.2295512E-001, 9.2906535E-001, 3.5000000E-001, 3.7394354E+001
 5.0000000E-001, 5.9281665E+002, 2.4990000E+000, 4.6873111E-001, 6.3671227E-001, 4.5000000E-001, 1.9061306E+001
 7.5000000E-001, 5.1839273E+002, 3.0000000E+000, 4.1049832E-001, 4.7109086E-001, 5.5000000E-001, 1.1245721E+001
 1.0000000E+000, 4.3624910E+002, 3.5000000E+000, 4.2047978E-001, 4.4284797E-001, 6.5000000E-001, 7.3373389E+000
 1.5000000E+000, 3.4318967E+002, 4.0000000E+000, 4.3756134E-001, 4.3522859E-001, 7.5000000E-001, 5.1137275E+000
 2.0000000E+000, 2.8026466E+002,NaN,NaN,NaN, 8.5000000E-001, 3.7373961E+000
 2.4990000E+000, 2.4057316E+002,NaN,NaN,NaN, 9.5000000E-001, 2.8292894E+000
 3.0000000E+000, 1.9684424E+002,NaN,NaN,NaN, 1.0500000E+000, 2.1972230E+000
 3.5000000E+000, 1.7314807E+002,NaN,NaN,NaN, 1.1500000E+000, 1.7420867E+000
 4.0000000E+000, 1.5292227E+002,NaN,NaN,NaN, 1.2500000E+000, 1.4002307E+000
 4.5000000E+000, 1.3720737E+002,NaN,NaN,NaN, 1.3500000E+000, 1.1368821E+000
 4.9990000E+000, 1.2621882E+002,NaN,NaN,NaN, 1.4500000E+000, 9.3146230E-001
 5.5000000E+000, 1.1297559E+002,NaN,NaN,NaN, 1.5500000E+000, 7.6738139E-001
 6.0000000E+000, 1.0099559E+002,NaN,NaN,NaN, 1.6500000E+000, 6.3573526E-001
 6.5000000E+000, 9.2686689E+001,NaN,NaN,NaN, 1.7500000E+000, 5.2883783E-001
 7.0000000E+000, 8.2881400E+001,NaN,NaN,NaN, 1.8500000E+000, 4.4086659E-001
 7.4990000E+000, 7.7474786E+001,NaN,NaN,NaN, 1.9500000E+000, 3.6828456E-001
NaN,NaN,NaN,NaN,NaN, 2.0500000E+000, 3.0924651E-001
NaN,NaN,NaN,NaN,NaN, 2.1500000E+000, 2.5944450E-001
NaN,NaN,NaN,NaN,NaN, 2.2500000E+000, 2.1776687E-001
NaN,NaN,NaN,NaN,NaN, 2.3500000E+000, 1.8238346E-001
NaN,NaN,NaN,NaN,NaN, 2.4500000E+000, 1.5257657E-001
NaN,NaN,NaN,NaN,NaN, 2.5500000E+000, 1.2755493E-001
NaN,NaN,NaN,NaN,NaN, 2.6500000E+000, 1.0631943E-001
NaN,NaN,NaN,NaN,NaN, 2.7500000E+000, 8.8412687E-002
NaN,NaN,NaN,NaN,NaN, 2.8500000E+000, 7.3507913E-002
NaN,NaN,NaN,NaN,NaN, 2.9500000E+000, 6.1117739E-002
NaN,NaN,NaN,NaN,NaN, 3.0500000E+000, 5.0857570E-002
NaN,NaN,NaN,NaN,NaN, 3.1500000E+000, 4.2412546E-002
NaN,NaN,NaN,NaN,NaN, 3.2500000E+000, 3.5453934E-002
NaN,NaN,NaN,NaN,NaN, 3.3500000E+000, 2.9598490E-002
NaN,NaN,NaN,NaN,NaN, 3.4500000E+000, 2.4613101E-002
