m,C,m,kW/m2,kW/m2,m,kW
z_TC,TC,z_HF,HF_wide,HF_narrow,z,HRR
 1.0000000E-001, 8.3832935E+002, 3.0000000E-001, 1.6536839E-001, 9.6541576E+000, 5.0000000E-002, 7.2729738E+002
 2.0000000E-001, 7.9118113E+002, 1.0000000E+000, 5.2830343E-001, 3.4988438E+000, 1.5000000E-001, 2.6310629E+002
 3.0000000E-001, 7.4132110E+002, 1.5000000E+000, 3.1681765E-001, 1.9557260E+000, 2.5000000E-001, 9.5281943E+001
 4.0000000E-001, 6.9189837E+002, 2.0000000E+000, 4.4886555E-001, 1.1429022E+000, 3.5000000E-001, 4.0444163E+001
 5.0000000E-001, 6.4654926E+002, 2.4990000E+000, 4.9838019E-001, 7.9636921E-001, 4.5000000E-001, 2.0754338E+001
 7.5000000E-001, 5.7094332E+002, 3.0000000E+000, 4.3631155E-001, 5.5850711E-001, 5.5000000E-001, 1.2362042E+001
 1.0000000E+000, 4.8459373E+002, 3.5000000E+000, 4.4540199E-001, 5.0538838E-001, 6.5000000E-001, 8.1381828E+000
 1.5000000E+000, 3.8431678E+002, 4.0000000E+000, 4.6360932E-001, 4.9197941E-001, 7.5000000E-001, 5.7253175E+000
 2.0000000E+000, 3.2047347E+002,NaN,NaN,NaN, 8.5000000E-001, 4.2186681E+000
 2.4990000E+000, 2.8018461E+002,NaN,NaN,NaN, 9.5000000E-001, 3.2133490E+000
 3.0000000E+000, 2.2865913E+002,NaN,NaN,NaN, 1.0500000E+000, 2.5084935E+000
 3.5000000E+000, 1.9622103E+002,NaN,NaN,NaN, 1.1500000E+000, 1.9949548E+000
 4.0000000E+000, 1.6954138E+002,NaN,NaN,NaN, 1.2500000E+000, 1.6101336E+000
 4.5000000E+000, 1.5018644E+002,NaN,NaN,NaN, 1.3500000E+000, 1.3116476E+000
 4.9990000E+000, 1.3608835E+002,NaN,NaN,NaN, 1.4500000E+000, 1.0761577E+000
 5.5000000E+000, 1.2033758E+002,NaN,NaN,NaN, 1.5500000E+000, 8.8894846E-001
 6.0000000E+000, 1.0921503E+002,NaN,NaN,NaN, 1.6500000E+000, 7.3696853E-001
 6.5000000E+000, 1.0305989E+002,NaN,NaN,NaN, 1.7500000E+000, 6.1164274E-001
 7.0000000E+000, 9.7434261E+001,NaN,NaN,NaN, 1.8500000E+000, 5.0894117E-001
 7.4990000E+000, 9.3589169E+001,NaN,NaN,NaN, 1.9500000E+000, 4.2478366E-001
NaN,NaN,NaN,NaN,NaN, 2.0500000E+000, 3.5504171E-001
NaN,NaN,NaN,NaN,NaN, 2.1500000E+000, 2.9594959E-001
NaN,NaN,NaN,NaN,NaN, 2.2500000E+000, 2.4614149E-001
NaN,NaN,NaN,NaN,NaN, 2.3500000E+000, 2.0493704E-001
NaN,NaN,NaN,NaN,NaN, 2.4500000E+000, 1.7101263E-001
NaN,NaN,NaN,NaN,NaN, 2.5500000E+000, 1.4268710E-001
NaN,NaN,NaN,NaN,NaN, 2.6500000E+000, 1.1892214E-001
NaN,NaN,NaN,NaN,NaN, 2.7500000E+000, 9.9013930E-002
NaN,NaN,NaN,NaN,NaN, 2.8500000E+000, 8.2450109E-002
NaN,NaN,NaN,NaN,NaN, 2.9500000E+000, 6.8800701E-002
NaN,NaN,NaN,NaN,NaN, 3.0500000E+000, 5.7391332E-002
NaN,NaN,NaN,NaN,NaN, 3.1500000E+000, 4.7885514E-002
NaN,NaN,NaN,NaN,NaN, 3.2500000E+000, 3.9897754E-002
NaN,NaN,NaN,NaN,NaN, 3.3500000E+000, 3.3273165E-002
NaN,NaN,NaN,NaN,NaN, 3.4500000E+000, 2.7697725E-002
NaN,NaN,NaN,NaN,NaN, 3.5500000E+000, 2.2980173E-002
NaN,NaN,NaN,NaN,NaN, 3.6500000E+000, 1.9011186E-002
NaN,NaN,NaN,NaN,NaN, 3.7500000E+000, 1.5715869E-002
NaN,NaN,NaN,NaN,NaN, 3.8500000E+000, 1.3026478E-002
NaN,NaN,NaN,NaN,NaN, 3.9500000E+000, 1.0793462E-002
