m,C,m,kW/m2,kW/m2,m,kW
z_TC,TC,z_HF,HF_wide,HF_narrow,z,HRR
 1.0000000E-001, 9.0698377E+002, 3.0000000E-001, 1.2315868E+000, 5.7674073E+001, 5.0000000E-002, 1.2686947E+003
 2.0000000E-001, 9.3224667E+002, 1.0000000E+000, 2.0956451E+000, 3.8506917E+001, 1.5000000E-001, 8.0175762E+002
 3.0000000E-001, 9.4128984E+002, 1.5000000E+000, 1.6592961E+000, 3.2609076E+001, 2.5000000E-001, 3.8285159E+002
 4.0000000E-001, 9.4316792E+002, 2.0000000E+000, 1.8297420E+000, 2.7919442E+001, 3.5000000E-001, 2.2932162E+002
 5.0000000E-001, 9.3974612E+002, 2.4990000E+000, 1.9442732E+000, 2.4914494E+001, 4.5000000E-001, 1.6406667E+002
 7.5000000E-001, 9.2204042E+002, 3.0000000E+000, 1.8150961E+000, 2.0441049E+001, 5.5000000E-001, 1.3172802E+002
 1.0000000E+000, 8.8509624E+002, 3.5000000E+000, 1.7765106E+000, 1.6624461E+001, 6.5000000E-001, 1.1318425E+002
 1.5000000E+000, 8.1995119E+002, 4.0000000E+000, 1.7715327E+000, 1.3504157E+001, 7.5000000E-001, 1.0153574E+002
 2.0000000E+000, 7.5731276E+002,NaN,NaN,NaN, 8.5000000E-001, 9.3308660E+001
 2.4990000E+000, 7.0657195E+002,NaN,NaN,NaN, 9.5000000E-001, 8.7109185E+001
 3.0000000E+000, 6.2973785E+002,NaN,NaN,NaN, 1.0500000E+000, 8.2371827E+001
 3.5000000E+000, 5.7408283E+002,NaN,NaN,NaN, 1.1500000E+000, 7.8877622E+001
 4.0000000E+000, 5.0880630E+002,NaN,NaN,NaN, 1.2500000E+000, 7.6188879E+001
 4.5000000E+000, 4.4632182E+002,NaN,NaN,NaN, 1.3500000E+000, 7.3785205E+001
 4.9990000E+000, 3.9423319E+002,NaN,NaN,NaN, 1.4500000E+000, 7.1520759E+001
 5.5000000E+000, 3.3892105E+002,NaN,NaN,NaN, 1.5500000E+000, 6.9617931E+001
 6.0000000E+000, 3.0210147E+002,NaN,NaN,NaN, 1.6500000E+000, 6.7999756E+001
