m,C,m,kW/m2,kW/m2,m,kW
z_TC,TC,z_HF,HF_wide,HF_narrow,z,HRR
 1.0000000E-001, 9.5735402E+002, 3.0000000E-001, 7.1201817E-001, 3.9457670E+001, 5.0000000E-002, 1.2400997E+003
 2.0000000E-001, 9.5741844E+002, 1.0000000E+000, 1.4531677E+000, 2.2138753E+001, 1.5000000E-001, 6.4260205E+002
 3.0000000E-001, 9.5281555E+002, 1.5000000E+000, 1.0461949E+000, 1.6822557E+001, 2.5000000E-001, 2.9052907E+002
 4.0000000E-001, 9.4322915E+002, 2.0000000E+000, 1.2133786E+000, 1.3269146E+001, 3.5000000E-001, 1.6513666E+002
 5.0000000E-001, 9.3053111E+002, 2.4990000E+000, 1.3076920E+000, 1.1053957E+001, 4.5000000E-001, 1.1339568E+002
 7.5000000E-001, 9.0320513E+002, 3.0000000E+000, 1.1861712E+000, 8.1459150E+000, 5.5000000E-001, 8.7382110E+001
 1.0000000E+000, 8.4801020E+002, 3.5000000E+000, 1.1615135E+000, 5.9478141E+000, 6.5000000E-001, 7.2343390E+001
 1.5000000E+000, 7.5752649E+002, 4.0000000E+000, 1.1658084E+000, 4.0840423E+000, 7.5000000E-001, 6.2975003E+001
 2.0000000E+000, 6.7282778E+002,NaN,NaN,NaN, 8.5000000E-001, 5.6854110E+001
 2.4990000E+000, 6.1480517E+002,NaN,NaN,NaN, 9.5000000E-001, 5.2279792E+001
 3.0000000E+000, 5.3034955E+002,NaN,NaN,NaN, 1.0500000E+000, 4.8652706E+001
 3.5000000E+000, 4.6638539E+002,NaN,NaN,NaN, 1.1500000E+000, 4.5693261E+001
 4.0000000E+000, 4.1853987E+002,NaN,NaN,NaN, 1.2500000E+000, 4.3428810E+001
 4.5000000E+000, 3.5993981E+002,NaN,NaN,NaN, 1.3500000E+000, 4.1624075E+001
 4.9990000E+000, 3.1329920E+002,NaN,NaN,NaN, 1.4500000E+000, 4.0062668E+001
 5.5000000E+000, 2.6632294E+002,NaN,NaN,NaN, 1.5500000E+000, 3.8538455E+001
 6.0000000E+000, 2.3244156E+002,NaN,NaN,NaN, 1.6500000E+000, 3.6947770E+001
