m,C,m,kW/m2,kW/m2,m,kW
z_TC,TC,z_HF,HF_wide,HF_narrow,z,HRR
 1.0000000E-001, 8.3877414E+002, 3.0000000E-001, 2.0386132E+000, 7.6998901E+001, 5.0000000E-002, 1.1726858E+003
 2.0000000E-001, 8.7000013E+002, 1.0000000E+000, 2.9387410E+000, 5.6382230E+001, 1.5000000E-001, 9.0982305E+002
 3.0000000E-001, 8.9171604E+002, 1.5000000E+000, 2.5702227E+000, 4.9489958E+001, 2.5000000E-001, 4.6314202E+002
 4.0000000E-001, 9.0780487E+002, 2.0000000E+000, 2.7346155E+000, 4.4564169E+001, 3.5000000E-001, 2.9396348E+002
 5.0000000E-001, 9.1812571E+002, 2.4990000E+000, 2.8639539E+000, 4.1457335E+001, 4.5000000E-001, 2.2151231E+002
 7.5000000E-001, 9.2689149E+002, 3.0000000E+000, 2.7822280E+000, 3.8039650E+001, 5.5000000E-001, 1.8394982E+002
 1.0000000E+000, 9.0936818E+002, 3.5000000E+000, 2.7513000E+000, 3.3972811E+001, 6.5000000E-001, 1.6177838E+002
 1.5000000E+000, 8.7409885E+002, 4.0000000E+000, 2.7431363E+000, 3.0311814E+001, 7.5000000E-001, 1.4695506E+002
 2.0000000E+000, 8.3568891E+002,NaN,NaN,NaN, 8.5000000E-001, 1.3625235E+002
 2.4990000E+000, 7.9962474E+002,NaN,NaN,NaN, 9.5000000E-001, 1.2839949E+002
 3.0000000E+000, 7.4852029E+002,NaN,NaN,NaN, 1.0500000E+000, 1.2158812E+002
 3.5000000E+000, 7.1206169E+002,NaN,NaN,NaN, 1.1500000E+000, 1.1650260E+002
 4.0000000E+000, 6.5874171E+002,NaN,NaN,NaN, 1.2500000E+000, 1.1235344E+002
 4.5000000E+000, 5.9444824E+002,NaN,NaN,NaN, 1.3500000E+000, 1.0926347E+002
 4.9990000E+000, 5.5542558E+002,NaN,NaN,NaN, 1.4500000E+000, 1.0698632E+002
 5.5000000E+000, 4.8013480E+002,NaN,NaN,NaN, 1.5500000E+000, 1.0538092E+002
 6.0000000E+000, 4.2532314E+002,NaN,NaN,NaN, 1.6500000E+000, 1.0412830E+002
 6.5000000E+000, 3.8414101E+002,NaN,NaN,NaN, 1.7500000E+000, 1.0310028E+002
 7.0000000E+000, 3.3332322E+002,NaN,NaN,NaN, 1.8500000E+000, 1.0231148E+002
