m,C,m,kW/m2,kW/m2,m,kW
z_TC,TC,z_HF,HF_wide,HF_narrow,z,HRR
 1.0000000E-001, 8.4015635E+002, 3.0000000E-001, 1.9998058E+000, 7.3157873E+001, 5.0000000E-002, 1.1653988E+003
 2.0000000E-001, 8.6758139E+002, 1.0000000E+000, 2.9048970E+000, 5.7087011E+001, 1.5000000E-001, 9.0921204E+002
 3.0000000E-001, 8.8780698E+002, 1.5000000E+000, 2.5219829E+000, 5.1209631E+001, 2.5000000E-001, 4.6196744E+002
 4.0000000E-001, 9.0063029E+002, 2.0000000E+000, 2.6888829E+000, 4.5338072E+001, 3.5000000E-001, 2.9099139E+002
 5.0000000E-001, 9.1024634E+002, 2.4990000E+000, 2.8237316E+000, 4.2001018E+001, 4.5000000E-001, 2.1731520E+002
 7.5000000E-001, 9.1512292E+002, 3.0000000E+000, 2.7307575E+000, 3.8032495E+001, 5.5000000E-001, 1.8034703E+002
 1.0000000E+000, 9.0658137E+002, 3.5000000E+000, 2.6923585E+000, 3.3484935E+001, 6.5000000E-001, 1.5914518E+002
 1.5000000E+000, 8.6857780E+002, 4.0000000E+000, 2.6822546E+000, 2.8791330E+001, 7.5000000E-001, 1.4450921E+002
 2.0000000E+000, 8.1969707E+002,NaN,NaN,NaN, 8.5000000E-001, 1.3447229E+002
 2.4990000E+000, 7.7811362E+002,NaN,NaN,NaN, 9.5000000E-001, 1.2647022E+002
 3.0000000E+000, 7.2941185E+002,NaN,NaN,NaN, 1.0500000E+000, 1.2068390E+002
 3.5000000E+000, 6.8886944E+002,NaN,NaN,NaN, 1.1500000E+000, 1.1635106E+002
 4.0000000E+000, 6.4302409E+002,NaN,NaN,NaN, 1.2500000E+000, 1.1275667E+002
 4.5000000E+000, 5.9337795E+002,NaN,NaN,NaN, 1.3500000E+000, 1.0982204E+002
 4.9990000E+000, 5.5607720E+002,NaN,NaN,NaN, 1.4500000E+000, 1.0765323E+002
 5.5000000E+000, 4.9489967E+002,NaN,NaN,NaN, 1.5500000E+000, 1.0609886E+002
 6.0000000E+000, 4.5158162E+002,NaN,NaN,NaN, 1.6500000E+000, 1.0473956E+002
 6.5000000E+000, 4.0737499E+002,NaN,NaN,NaN, 1.7500000E+000, 1.0358475E+002
 7.0000000E+000, 3.6037489E+002,NaN,NaN,NaN, 1.8500000E+000, 1.0251874E+002
 7.4990000E+000, 3.2405040E+002,NaN,NaN,NaN, 1.9500000E+000, 1.0177476E+002
NaN,NaN,NaN,NaN,NaN, 2.0500000E+000, 1.0127269E+002
NaN,NaN,NaN,NaN,NaN, 2.1500000E+000, 1.0081837E+002
NaN,NaN,NaN,NaN,NaN, 2.2500000E+000, 1.0030653E+002
NaN,NaN,NaN,NaN,NaN, 2.3500000E+000, 9.9827891E+001
NaN,NaN,NaN,NaN,NaN, 2.4500000E+000, 9.9132235E+001
NaN,NaN,NaN,NaN,NaN, 2.5500000E+000, 9.8525173E+001
NaN,NaN,NaN,NaN,NaN, 2.6500000E+000, 9.8163203E+001
NaN,NaN,NaN,NaN,NaN, 2.7500000E+000, 9.7768041E+001
NaN,NaN,NaN,NaN,NaN, 2.8500000E+000, 9.7408216E+001
NaN,NaN,NaN,NaN,NaN, 2.9500000E+000, 9.7056952E+001
NaN,NaN,NaN,NaN,NaN, 3.0500000E+000, 9.7142514E+001
NaN,NaN,NaN,NaN,NaN, 3.1500000E+000, 9.7150760E+001
NaN,NaN,NaN,NaN,NaN, 3.2500000E+000, 9.6740182E+001
NaN,NaN,NaN,NaN,NaN, 3.3500000E+000, 9.5877887E+001
NaN,NaN,NaN,NaN,NaN, 3.4500000E+000, 9.4331904E+001
NaN,NaN,NaN,NaN,NaN, 3.5500000E+000, 9.2552765E+001
NaN,NaN,NaN,NaN,NaN, 3.6500000E+000, 9.0694184E+001
NaN,NaN,NaN,NaN,NaN, 3.7500000E+000, 8.8735517E+001
NaN,NaN,NaN,NaN,NaN, 3.8500000E+000, 8.6471000E+001
NaN,NaN,NaN,NaN,NaN, 3.9500000E+000, 8.4002737E+001
NaN,NaN,NaN,NaN,NaN, 4.0500000E+000, 8.1477484E+001
NaN,NaN,NaN,NaN,NaN, 4.1500000E+000, 7.9038790E+001
NaN,NaN,NaN,NaN,NaN, 4.2500000E+000, 7.6493557E+001
NaN,NaN,NaN,NaN,NaN, 4.3500000E+000, 7.3793731E+001
NaN,NaN,NaN,NaN,NaN, 4.4500000E+000, 7.1021481E+001
NaN,NaN,NaN,NaN,NaN, 4.5500000E+000, 6.8203147E+001
NaN,NaN,NaN,NaN,NaN, 4.6500000E+000, 6.5112644E+001
NaN,NaN,NaN,NaN,NaN, 4.7500000E+000, 6.2114753E+001
NaN,NaN,NaN,NaN,NaN, 4.8500000E+000, 5.9116861E+001
NaN,NaN,NaN,NaN,NaN, 4.9500000E+000, 5.6506734E+001
NaN,NaN,NaN,NaN,NaN, 5.0500000E+000, 5.4073357E+001
NaN,NaN,NaN,NaN,NaN, 5.1500000E+000, 5.1544959E+001
NaN,NaN,NaN,NaN,NaN, 5.2500000E+000, 4.8990668E+001
