m,C,m,kW/m2,kW/m2,m,kW/m
z_TC,TC,z_HF,HF_wide,HF_narrow,z_HRRPUL,HRRPUL
NaN,NaN,NaN,NaN,NaN, 6.8500000E+000, 1.1148692E-002
NaN,NaN,NaN,NaN,NaN, 6.9500000E+000, 9.1011528E-003
NaN,NaN,NaN,NaN,NaN, 7.0500000E+000, 7.4263518E-003
NaN,NaN,NaN,NaN,NaN, 7.1500000E+000, 6.0568012E-003
NaN,NaN,NaN,NaN,NaN, 7.2500000E+000, 4.9567950E-003
NaN,NaN,NaN,NaN,NaN, 7.3500000E+000, 4.0792758E-003
NaN,NaN,NaN,NaN,NaN, 7.4500000E+000, 3.3748185E-003
NaN,NaN,NaN,NaN,NaN, 7.5500000E+000, 2.7896151E-003
NaN,NaN,NaN,NaN,NaN, 7.6500000E+000, 2.3093235E-003
NaN,NaN,NaN,NaN,NaN, 7.7500000E+000, 1.9119568E-003
NaN,NaN,NaN,NaN,NaN, 7.8500000E+000, 1.5918184E-003
NaN,NaN,NaN,NaN,NaN, 7.9500000E+000, 1.3262471E-003
NaN,NaN,NaN,NaN,NaN, 8.0500000E+000, 1.0972228E-003
NaN,NaN,NaN,NaN,NaN, 8.1500000E+000, 9.0533768E-004
NaN,NaN,NaN,NaN,NaN, 8.2500000E+000, 7.4959986E-004
NaN,NaN,NaN,NaN,NaN, 8.3500000E+000, 6.2149313E-004
NaN,NaN,NaN,NaN,NaN, 8.4500000E+000, 5.1352973E-004
NaN,NaN,NaN,NaN,NaN, 8.5500000E+000, 4.2342660E-004
NaN,NaN,NaN,NaN,NaN, 8.6500000E+000, 3.4836931E-004
NaN,NaN,NaN,NaN,NaN, 8.7500000E+000, 2.8540935E-004
NaN,NaN,NaN,NaN,NaN, 8.8500000E+000, 2.3455229E-004
NaN,NaN,NaN,NaN,NaN, 8.9500000E+000, 1.9436047E-004
NaN,NaN,NaN,NaN,NaN, 9.0500000E+000, 1.6020847E-004
NaN,NaN,NaN,NaN,NaN, 9.1500000E+000, 1.3366265E-004
NaN,NaN,NaN,NaN,NaN, 9.2500000E+000, 1.0963353E-004
NaN,NaN,NaN,NaN,NaN, 9.3500000E+000, 9.0686380E-005
NaN,NaN,NaN,NaN,NaN, 9.4500000E+000, 7.4438709E-005
NaN,NaN,NaN,NaN,NaN, 9.5500000E+000, 6.0808583E-005
NaN,NaN,NaN,NaN,NaN, 9.6500000E+000, 5.0424823E-005
NaN,NaN,NaN,NaN,NaN, 9.7500000E+000, 4.1292715E-005
NaN,NaN,NaN,NaN,NaN, 9.8500000E+000, 3.4310183E-005
NaN,NaN,NaN,NaN,NaN, 9.9500000E+000, 2.1055257E-005
