m,C,m,kW/m2,kW/m2,m,kW
z_TC,TC,z_HF,HF_wide,HF_narrow,z,HRR
 1.0000000E-001, 9.5718069E+002, 3.0000000E-001, 6.3851724E-001, 3.7059913E+001, 5.0000000E-002, 1.2674152E+003
 2.0000000E-001, 9.6568496E+002, 1.0000000E+000, 1.3778036E+000, 2.0511188E+001, 1.5000000E-001, 6.2159497E+002
 3.0000000E-001, 9.6247536E+002, 1.5000000E+000, 9.6197444E-001, 1.5323427E+001, 2.5000000E-001, 2.7346131E+002
 4.0000000E-001, 9.5010802E+002, 2.0000000E+000, 1.1367700E+000, 1.1665699E+001, 3.5000000E-001, 1.5024115E+002
 5.0000000E-001, 9.3506800E+002, 2.4990000E+000, 1.2301980E+000, 9.5369884E+000, 4.5000000E-001, 1.0049622E+002
 7.5000000E-001, 9.0323914E+002, 3.0000000E+000, 1.1068407E+000, 7.0289698E+000, 5.5000000E-001, 7.6813785E+001
 1.0000000E+000, 8.5012427E+002, 3.5000000E+000, 1.0841796E+000, 4.9982761E+000, 6.5000000E-001, 6.3645387E+001
 1.5000000E+000, 7.5046750E+002, 4.0000000E+000, 1.0910696E+000, 3.3780020E+000, 7.5000000E-001, 5.5438522E+001
 2.0000000E+000, 6.6063013E+002,NaN,NaN,NaN, 8.5000000E-001, 4.9841455E+001
 2.4990000E+000, 5.9327983E+002,NaN,NaN,NaN, 9.5000000E-001, 4.5861344E+001
 3.0000000E+000, 4.9863377E+002,NaN,NaN,NaN, 1.0500000E+000, 4.2712607E+001
 3.5000000E+000, 4.2283037E+002,NaN,NaN,NaN, 1.1500000E+000, 4.0043209E+001
 4.0000000E+000, 3.5896424E+002,NaN,NaN,NaN, 1.2500000E+000, 3.7644326E+001
 4.5000000E+000, 3.1290611E+002,NaN,NaN,NaN, 1.3500000E+000, 3.5475636E+001
 4.9990000E+000, 2.7789841E+002,NaN,NaN,NaN, 1.4500000E+000, 3.3676706E+001
 5.5000000E+000, 2.3745846E+002,NaN,NaN,NaN, 1.5500000E+000, 3.2040008E+001
 6.0000000E+000, 2.1374917E+002,NaN,NaN,NaN, 1.6500000E+000, 3.0401040E+001
 6.5000000E+000, 1.9274600E+002,NaN,NaN,NaN, 1.7500000E+000, 2.8854709E+001
 7.0000000E+000, 1.7181572E+002,NaN,NaN,NaN, 1.8500000E+000, 2.7405733E+001
 7.4990000E+000, 1.5598241E+002,NaN,NaN,NaN, 1.9500000E+000, 2.6027823E+001
NaN,NaN,NaN,NaN,NaN, 2.0500000E+000, 2.4640639E+001
NaN,NaN,NaN,NaN,NaN, 2.1500000E+000, 2.3315980E+001
NaN,NaN,NaN,NaN,NaN, 2.2500000E+000, 2.1969114E+001
NaN,NaN,NaN,NaN,NaN, 2.3500000E+000, 2.0705774E+001
NaN,NaN,NaN,NaN,NaN, 2.4500000E+000, 1.9499221E+001
NaN,NaN,NaN,NaN,NaN, 2.5500000E+000, 1.8314879E+001
NaN,NaN,NaN,NaN,NaN, 2.6500000E+000, 1.7163677E+001
NaN,NaN,NaN,NaN,NaN, 2.7500000E+000, 1.6112875E+001
NaN,NaN,NaN,NaN,NaN, 2.8500000E+000, 1.5159086E+001
NaN,NaN,NaN,NaN,NaN, 2.9500000E+000, 1.4278967E+001
NaN,NaN,NaN,NaN,NaN, 3.0500000E+000, 1.3455821E+001
NaN,NaN,NaN,NaN,NaN, 3.1500000E+000, 1.2693345E+001
NaN,NaN,NaN,NaN,NaN, 3.2500000E+000, 1.2010858E+001
NaN,NaN,NaN,NaN,NaN, 3.3500000E+000, 1.1302569E+001
