m,C,m,kW/m2,kW/m2,m,kW
z_TC,TC,z_HF,HF_wide,HF_narrow,z,HRR
 1.0000000E-001, 9.5954015E+002, 3.0000000E-001, 4.7350327E-001, 2.9650481E+001, 5.0000000E-002, 1.2028411E+003
 2.0000000E-001, 9.5557302E+002, 1.0000000E+000, 1.1401997E+000, 1.4064253E+001, 1.5000000E-001, 5.4172938E+002
 3.0000000E-001, 9.4320491E+002, 1.5000000E+000, 7.5671438E-001, 9.4676054E+000, 2.5000000E-001, 2.3014442E+002
 4.0000000E-001, 9.2811116E+002, 2.0000000E+000, 9.2776316E-001, 6.5581357E+000, 3.5000000E-001, 1.2053821E+002
 5.0000000E-001, 9.1046948E+002, 2.4990000E+000, 1.0118752E+000, 4.9394920E+000, 4.5000000E-001, 7.7336053E+001
 7.5000000E-001, 8.6423223E+002, 3.0000000E+000, 8.9914268E-001, 3.0969616E+000, 5.5000000E-001, 5.7030686E+001
 1.0000000E+000, 7.9244502E+002, 3.5000000E+000, 8.8535270E-001, 2.0368352E+000, 6.5000000E-001, 4.5848718E+001
 1.5000000E+000, 6.7371783E+002, 4.0000000E+000, 8.9686916E-001, 1.3060459E+000, 7.5000000E-001, 3.8876542E+001
 2.0000000E+000, 5.6274541E+002,NaN,NaN,NaN, 8.5000000E-001, 3.4082401E+001
 2.4990000E+000, 4.8010663E+002,NaN,NaN,NaN, 9.5000000E-001, 3.0480018E+001
 3.0000000E+000, 3.9495708E+002,NaN,NaN,NaN, 1.0500000E+000, 2.7622287E+001
 3.5000000E+000, 3.3814658E+002,NaN,NaN,NaN, 1.1500000E+000, 2.5278961E+001
 4.0000000E+000, 2.8603874E+002,NaN,NaN,NaN, 1.2500000E+000, 2.3297705E+001
 4.5000000E+000, 2.4591518E+002,NaN,NaN,NaN, 1.3500000E+000, 2.1608812E+001
 4.9990000E+000, 2.2060597E+002,NaN,NaN,NaN, 1.4500000E+000, 2.0101642E+001
 5.5000000E+000, 1.8840263E+002,NaN,NaN,NaN, 1.5500000E+000, 1.8633812E+001
 6.0000000E+000, 1.6525336E+002,NaN,NaN,NaN, 1.6500000E+000, 1.7265854E+001
 6.5000000E+000, 1.4869335E+002,NaN,NaN,NaN, 1.7500000E+000, 1.5923527E+001
 7.0000000E+000, 1.3959686E+002,NaN,NaN,NaN, 1.8500000E+000, 1.4667162E+001
 7.4990000E+000, 1.3231307E+002,NaN,NaN,NaN, 1.9500000E+000, 1.3515298E+001
NaN,NaN,NaN,NaN,NaN, 2.0500000E+000, 1.2510364E+001
NaN,NaN,NaN,NaN,NaN, 2.1500000E+000, 1.1542771E+001
NaN,NaN,NaN,NaN,NaN, 2.2500000E+000, 1.0670721E+001
NaN,NaN,NaN,NaN,NaN, 2.3500000E+000, 9.8363239E+000
NaN,NaN,NaN,NaN,NaN, 2.4500000E+000, 9.0279854E+000
NaN,NaN,NaN,NaN,NaN, 2.5500000E+000, 8.2622573E+000
NaN,NaN,NaN,NaN,NaN, 2.6500000E+000, 7.5554344E+000
NaN,NaN,NaN,NaN,NaN, 2.7500000E+000, 6.9258587E+000
NaN,NaN,NaN,NaN,NaN, 2.8500000E+000, 6.3463022E+000
NaN,NaN,NaN,NaN,NaN, 2.9500000E+000, 5.8130708E+000
NaN,NaN,NaN,NaN,NaN, 3.0500000E+000, 5.2857189E+000
NaN,NaN,NaN,NaN,NaN, 3.1500000E+000, 4.7671718E+000
NaN,NaN,NaN,NaN,NaN, 3.2500000E+000, 4.2680039E+000
NaN,NaN,NaN,NaN,NaN, 3.3500000E+000, 3.7835147E+000
NaN,NaN,NaN,NaN,NaN, 3.4500000E+000, 3.3345334E+000
NaN,NaN,NaN,NaN,NaN, 3.5500000E+000, 2.9325896E+000
NaN,NaN,NaN,NaN,NaN, 3.6500000E+000, 2.5502622E+000
NaN,NaN,NaN,NaN,NaN, 3.7500000E+000, 2.1891129E+000
