m,C,m,kW/m2,kW/m2,m,kW
z_TC,TC,z_HF,HF_wide,HF_narrow,z,HRR
 1.0000000E-001, 9.4509161E+002, 3.0000000E-001, 2.8201802E-001, 1.6542666E+001, 5.0000000E-002, 1.0217507E+003
 2.0000000E-001, 9.1752736E+002, 1.0000000E+000, 8.1581808E-001, 6.4331984E+000, 1.5000000E-001, 4.1108332E+002
 3.0000000E-001, 8.8228712E+002, 1.5000000E+000, 5.0094149E-001, 3.9329139E+000, 2.5000000E-001, 1.6142244E+002
 4.0000000E-001, 8.4414960E+002, 2.0000000E+000, 6.6350958E-001, 2.5426512E+000, 3.5000000E-001, 7.7061745E+001
 5.0000000E-001, 8.0608923E+002, 2.4990000E+000, 7.3233027E-001, 1.8064437E+000, 4.5000000E-001, 4.5224638E+001
 7.5000000E-001, 7.3652666E+002, 3.0000000E+000, 6.4013277E-001, 1.0763586E+000, 5.5000000E-001, 3.0800765E+001
 1.0000000E+000, 6.4825346E+002, 3.5000000E+000, 6.3933415E-001, 7.5098556E-001, 6.5000000E-001, 2.3041735E+001
 1.5000000E+000, 5.2645748E+002, 4.0000000E+000, 6.5666684E-001, 5.9009365E-001, 7.5000000E-001, 1.8256095E+001
 2.0000000E+000, 4.2758483E+002,NaN,NaN,NaN, 8.5000000E-001, 1.5032703E+001
 2.4990000E+000, 3.6056731E+002,NaN,NaN,NaN, 9.5000000E-001, 1.2655084E+001
 3.0000000E+000, 2.9050414E+002,NaN,NaN,NaN, 1.0500000E+000, 1.0819075E+001
 3.5000000E+000, 2.4955343E+002,NaN,NaN,NaN, 1.1500000E+000, 9.3254359E+000
 4.0000000E+000, 2.1913502E+002,NaN,NaN,NaN, 1.2500000E+000, 8.0637677E+000
 4.5000000E+000, 1.9413453E+002,NaN,NaN,NaN, 1.3500000E+000, 7.0077337E+000
 4.9990000E+000, 1.7715971E+002,NaN,NaN,NaN, 1.4500000E+000, 6.0987742E+000
 5.5000000E+000, 1.4848755E+002,NaN,NaN,NaN, 1.5500000E+000, 5.2929110E+000
 6.0000000E+000, 1.3100516E+002,NaN,NaN,NaN, 1.6500000E+000, 4.5758722E+000
 6.5000000E+000, 1.1844585E+002,NaN,NaN,NaN, 1.7500000E+000, 3.9764617E+000
 7.0000000E+000, 1.0798275E+002,NaN,NaN,NaN, 1.8500000E+000, 3.4664098E+000
 7.4990000E+000, 1.0227821E+002,NaN,NaN,NaN, 1.9500000E+000, 3.0029194E+000
NaN,NaN,NaN,NaN,NaN, 2.0500000E+000, 2.5889523E+000
NaN,NaN,NaN,NaN,NaN, 2.1500000E+000, 2.2250669E+000
NaN,NaN,NaN,NaN,NaN, 2.2500000E+000, 1.9101262E+000
NaN,NaN,NaN,NaN,NaN, 2.3500000E+000, 1.6320455E+000
NaN,NaN,NaN,NaN,NaN, 2.4500000E+000, 1.3847969E+000
NaN,NaN,NaN,NaN,NaN, 2.5500000E+000, 1.1725056E+000
NaN,NaN,NaN,NaN,NaN, 2.6500000E+000, 9.9315244E-001
NaN,NaN,NaN,NaN,NaN, 2.7500000E+000, 8.3516550E-001
NaN,NaN,NaN,NaN,NaN, 2.8500000E+000, 6.9892370E-001
NaN,NaN,NaN,NaN,NaN, 2.9500000E+000, 5.8173826E-001
NaN,NaN,NaN,NaN,NaN, 3.0500000E+000, 4.8369667E-001
NaN,NaN,NaN,NaN,NaN, 3.1500000E+000, 4.0182830E-001
NaN,NaN,NaN,NaN,NaN, 3.2500000E+000, 3.3368682E-001
NaN,NaN,NaN,NaN,NaN, 3.3500000E+000, 2.7775340E-001
NaN,NaN,NaN,NaN,NaN, 3.4500000E+000, 2.2948184E-001
NaN,NaN,NaN,NaN,NaN, 3.5500000E+000, 1.8964119E-001
NaN,NaN,NaN,NaN,NaN, 3.6500000E+000, 1.5675760E-001
NaN,NaN,NaN,NaN,NaN, 3.7500000E+000, 1.2913690E-001
NaN,NaN,NaN,NaN,NaN, 3.8500000E+000, 1.0629073E-001
NaN,NaN,NaN,NaN,NaN, 3.9500000E+000, 8.7161522E-002
NaN,NaN,NaN,NaN,NaN, 4.0500000E+000, 7.1395052E-002
NaN,NaN,NaN,NaN,NaN, 4.1500000E+000, 5.8488100E-002
NaN,NaN,NaN,NaN,NaN, 4.2500000E+000, 4.7856999E-002
NaN,NaN,NaN,NaN,NaN, 4.3500000E+000, 3.9156967E-002
NaN,NaN,NaN,NaN,NaN, 4.4500000E+000, 3.2154586E-002
NaN,NaN,NaN,NaN,NaN, 4.5500000E+000, 2.6431498E-002
NaN,NaN,NaN,NaN,NaN, 4.6500000E+000, 2.1681858E-002
NaN,NaN,NaN,NaN,NaN, 4.7500000E+000, 1.7743043E-002
NaN,NaN,NaN,NaN,NaN, 4.8500000E+000, 1.4546244E-002
NaN,NaN,NaN,NaN,NaN, 4.9500000E+000, 1.1937221E-002
NaN,NaN,NaN,NaN,NaN, 5.0500000E+000, 9.8059907E-003
NaN,NaN,NaN,NaN,NaN, 5.1500000E+000, 8.0472244E-003
NaN,NaN,NaN,NaN,NaN, 5.2500000E+000, 6.6321848E-003
NaN,NaN,NaN,NaN,NaN, 5.3500000E+000, 5.4963873E-003
NaN,NaN,NaN,NaN,NaN, 5.4500000E+000, 4.5438771E-003
NaN,NaN,NaN,NaN,NaN, 5.5500000E+000, 3.7520169E-003
NaN,NaN,NaN,NaN,NaN, 5.6500000E+000, 3.0829750E-003
NaN,NaN,NaN,NaN,NaN, 5.7500000E+000, 2.5336080E-003
NaN,NaN,NaN,NaN,NaN, 5.8500000E+000, 2.0849734E-003
NaN,NaN,NaN,NaN,NaN, 5.9500000E+000, 1.7148278E-003
NaN,NaN,NaN,NaN,NaN, 6.0500000E+000, 1.4104815E-003
NaN,NaN,NaN,NaN,NaN, 6.1500000E+000, 1.1575507E-003
NaN,NaN,NaN,NaN,NaN, 6.2500000E+000, 9.4733738E-004
NaN,NaN,NaN,NaN,NaN, 6.3500000E+000, 7.7634670E-004
NaN,NaN,NaN,NaN,NaN, 6.4500000E+000, 6.3587874E-004
NaN,NaN,NaN,NaN,NaN, 6.5500000E+000, 5.2145880E-004
NaN,NaN,NaN,NaN,NaN, 6.6500000E+000, 4.2749182E-004
NaN,NaN,NaN,NaN,NaN, 6.7500000E+000, 3.5190869E-004
NaN,NaN,NaN,NaN,NaN, 6.8500000E+000, 2.8868418E-004
NaN,NaN,NaN,NaN,NaN, 6.9500000E+000, 2.3571381E-004
NaN,NaN,NaN,NaN,NaN, 7.0500000E+000, 1.9254211E-004
NaN,NaN,NaN,NaN,NaN, 7.1500000E+000, 1.5803225E-004
NaN,NaN,NaN,NaN,NaN, 7.2500000E+000, 1.2975593E-004
NaN,NaN,NaN,NaN,NaN, 7.3500000E+000, 1.0608896E-004
NaN,NaN,NaN,NaN,NaN, 7.4500000E+000, 8.6594629E-005
NaN,NaN,NaN,NaN,NaN, 7.5500000E+000, 7.0545049E-005
NaN,NaN,NaN,NaN,NaN, 7.6500000E+000, 5.7358736E-005
NaN,NaN,NaN,NaN,NaN, 7.7500000E+000, 4.6518488E-005
NaN,NaN,NaN,NaN,NaN, 7.8500000E+000, 3.7848965E-005
NaN,NaN,NaN,NaN,NaN, 7.9500000E+000, 3.0876489E-005
NaN,NaN,NaN,NaN,NaN, 8.0500000E+000, 2.5110255E-005
NaN,NaN,NaN,NaN,NaN, 8.1500000E+000, 2.0386456E-005
NaN,NaN,NaN,NaN,NaN, 8.2500000E+000, 1.6428892E-005
NaN,NaN,NaN,NaN,NaN, 8.3500000E+000, 1.3223613E-005
NaN,NaN,NaN,NaN,NaN, 8.4500000E+000, 1.0576947E-005
NaN,NaN,NaN,NaN,NaN, 8.5500000E+000, 8.4584998E-006
NaN,NaN,NaN,NaN,NaN, 8.6500000E+000, 6.6938977E-006
NaN,NaN,NaN,NaN,NaN, 8.7500000E+000, 5.2923622E-006
NaN,NaN,NaN,NaN,NaN, 8.8500000E+000, 4.1562534E-006
NaN,NaN,NaN,NaN,NaN, 8.9500000E+000, 3.2268076E-006
NaN,NaN,NaN,NaN,NaN, 9.0500000E+000, 2.4839090E-006
NaN,NaN,NaN,NaN,NaN, 9.1500000E+000, 1.9011034E-006
NaN,NaN,NaN,NaN,NaN, 9.2500000E+000, 1.4453109E-006
NaN,NaN,NaN,NaN,NaN, 9.3500000E+000, 1.0997979E-006
NaN,NaN,NaN,NaN,NaN, 9.4500000E+000, 8.2172073E-007
NaN,NaN,NaN,NaN,NaN, 9.5500000E+000, 6.1147977E-007
NaN,NaN,NaN,NaN,NaN, 9.6500000E+000, 4.6001179E-007
NaN,NaN,NaN,NaN,NaN, 9.7500000E+000, 3.3241191E-007
NaN,NaN,NaN,NaN,NaN, 9.8500000E+000, 2.4144673E-007
NaN,NaN,NaN,NaN,NaN, 9.9500000E+000, 1.1748986E-007
