m,C,m,kW/m2,kW/m2,m,kW
z_TC,TC,z_HF,HF_wide,HF_narrow,z,HRR
 1.0000000E-001, 6.1985363E+002, 3.0000000E-001, 1.0981439E-001, 6.6528577E+000, 5.0000000E-002, 4.9373045E+002
 2.0000000E-001, 5.8784470E+002, 1.0000000E+000, 3.4797263E-001, 2.3535789E+000, 1.5000000E-001, 1.6549082E+002
 3.0000000E-001, 5.5011420E+002, 1.5000000E+000, 2.1848938E-001, 1.2061404E+000, 2.5000000E-001, 5.6501903E+001
 4.0000000E-001, 5.1570593E+002, 2.0000000E+000, 3.2010580E-001, 6.8032993E-001, 3.5000000E-001, 2.2718623E+001
 5.0000000E-001, 4.8381561E+002, 2.4990000E+000, 3.5424290E-001, 5.3566906E-001, 4.5000000E-001, 1.1206927E+001
 7.5000000E-001, 4.2877485E+002, 3.0000000E+000, 3.1394472E-001, 4.8312170E-001, 5.5000000E-001, 6.4604887E+000
 1.0000000E+000, 3.6488754E+002, 3.5000000E+000, 3.2578538E-001, 4.7491255E-001, 6.5000000E-001, 4.1418285E+000
 1.5000000E+000, 2.8656602E+002, 4.0000000E+000, 3.4059496E-001, 4.7123792E-001, 7.5000000E-001, 2.8489534E+000
 2.0000000E+000, 2.3537884E+002,NaN,NaN,NaN, 8.5000000E-001, 2.0562751E+000
 2.4990000E+000, 2.0431403E+002,NaN,NaN,NaN, 9.5000000E-001, 1.5364855E+000
 3.0000000E+000, 1.7466990E+002,NaN,NaN,NaN, 1.0500000E+000, 1.1776104E+000
 3.5000000E+000, 1.5917301E+002,NaN,NaN,NaN, 1.1500000E+000, 9.1910690E-001
 4.0000000E+000, 1.4729077E+002,NaN,NaN,NaN, 1.2500000E+000, 7.2817921E-001
 4.5000000E+000, 1.3624260E+002,NaN,NaN,NaN, 1.3500000E+000, 5.8400075E-001
 4.9990000E+000, 1.2628928E+002,NaN,NaN,NaN, 1.4500000E+000, 4.7242843E-001
 5.5000000E+000, 1.0980051E+002,NaN,NaN,NaN, 1.5500000E+000, 3.8474457E-001
 6.0000000E+000, 9.9573204E+001,NaN,NaN,NaN, 1.6500000E+000, 3.1509904E-001
