m,C,m,kW/m2,kW/m2,m,kW
z_TC,TC,z_HF,HF_wide,HF_narrow,z,HRR
 1.0000000E-001, 8.1245001E+002, 3.0000000E-001, 2.4192150E+000, 8.0186332E+001, 5.0000000E-002, 1.1194559E+003
 2.0000000E-001, 8.4563889E+002, 1.0000000E+000, 3.3161359E+000, 6.2389937E+001, 1.5000000E-001, 9.4091254E+002
 3.0000000E-001, 8.6747985E+002, 1.5000000E+000, 2.9997962E+000, 5.6097710E+001, 2.5000000E-001, 4.9136426E+002
 4.0000000E-001, 8.8486039E+002, 2.0000000E+000, 3.1709148E+000, 5.1417069E+001, 3.5000000E-001, 3.1221979E+002
 5.0000000E-001, 8.9726297E+002, 2.4990000E+000, 3.3110460E+000, 4.9073596E+001, 4.5000000E-001, 2.3602804E+002
 7.5000000E-001, 9.0462530E+002, 3.0000000E+000, 3.2478802E+000, 4.7259281E+001, 5.5000000E-001, 1.9787612E+002
 1.0000000E+000, 8.9285219E+002, 3.5000000E+000, 3.2283544E+000, 4.4710227E+001, 6.5000000E-001, 1.7619569E+002
 1.5000000E+000, 8.6450160E+002, 4.0000000E+000, 3.2223192E+000, 4.0947555E+001, 7.5000000E-001, 1.6264640E+002
 2.0000000E+000, 8.3579219E+002,NaN,NaN,NaN, 8.5000000E-001, 1.5279235E+002
 2.4990000E+000, 8.0589742E+002,NaN,NaN,NaN, 9.5000000E-001, 1.4505889E+002
 3.0000000E+000, 7.4235776E+002,NaN,NaN,NaN, 1.0500000E+000, 1.3880005E+002
 3.5000000E+000, 7.0168000E+002,NaN,NaN,NaN, 1.1500000E+000, 1.3324897E+002
 4.0000000E+000, 6.6147950E+002,NaN,NaN,NaN, 1.2500000E+000, 1.2907471E+002
 4.5000000E+000, 6.1984898E+002,NaN,NaN,NaN, 1.3500000E+000, 1.2599503E+002
 4.9990000E+000, 5.7386752E+002,NaN,NaN,NaN, 1.4500000E+000, 1.2290326E+002
 5.5000000E+000, 5.1215464E+002,NaN,NaN,NaN, 1.5500000E+000, 1.2016620E+002
 6.0000000E+000, 4.7061343E+002,NaN,NaN,NaN, 1.6500000E+000, 1.1832553E+002
 6.5000000E+000, 4.3520861E+002,NaN,NaN,NaN, 1.7500000E+000, 1.1728438E+002
 7.0000000E+000, 3.8740760E+002,NaN,NaN,NaN, 1.8500000E+000, 1.1665547E+002
 7.4990000E+000, 3.5605175E+002,NaN,NaN,NaN, 1.9500000E+000, 1.1605701E+002
NaN,NaN,NaN,NaN,NaN, 2.0500000E+000, 1.1565347E+002
NaN,NaN,NaN,NaN,NaN, 2.1500000E+000, 1.1521062E+002
NaN,NaN,NaN,NaN,NaN, 2.2500000E+000, 1.1490847E+002
NaN,NaN,NaN,NaN,NaN, 2.3500000E+000, 1.1491207E+002
NaN,NaN,NaN,NaN,NaN, 2.4500000E+000, 1.1528182E+002
NaN,NaN,NaN,NaN,NaN, 2.5500000E+000, 1.1573142E+002
NaN,NaN,NaN,NaN,NaN, 2.6500000E+000, 1.1627484E+002
NaN,NaN,NaN,NaN,NaN, 2.7500000E+000, 1.1676090E+002
NaN,NaN,NaN,NaN,NaN, 2.8500000E+000, 1.1668377E+002
NaN,NaN,NaN,NaN,NaN, 2.9500000E+000, 1.1665734E+002
NaN,NaN,NaN,NaN,NaN, 3.0500000E+000, 1.1644470E+002
NaN,NaN,NaN,NaN,NaN, 3.1500000E+000, 1.1609469E+002
NaN,NaN,NaN,NaN,NaN, 3.2500000E+000, 1.1577374E+002
NaN,NaN,NaN,NaN,NaN, 3.3500000E+000, 1.1528279E+002
NaN,NaN,NaN,NaN,NaN, 3.4500000E+000, 1.1493776E+002
NaN,NaN,NaN,NaN,NaN, 3.5500000E+000, 1.1450364E+002
NaN,NaN,NaN,NaN,NaN, 3.6500000E+000, 1.1351297E+002
NaN,NaN,NaN,NaN,NaN, 3.7500000E+000, 1.1247655E+002
NaN,NaN,NaN,NaN,NaN, 3.8500000E+000, 1.1179823E+002
NaN,NaN,NaN,NaN,NaN, 3.9500000E+000, 1.1117682E+002
NaN,NaN,NaN,NaN,NaN, 4.0500000E+000, 1.1042251E+002
NaN,NaN,NaN,NaN,NaN, 4.1500000E+000, 1.0912098E+002
NaN,NaN,NaN,NaN,NaN, 4.2500000E+000, 1.0760363E+002
NaN,NaN,NaN,NaN,NaN, 4.3500000E+000, 1.0615711E+002
NaN,NaN,NaN,NaN,NaN, 4.4500000E+000, 1.0440552E+002
NaN,NaN,NaN,NaN,NaN, 4.5500000E+000, 1.0252864E+002
NaN,NaN,NaN,NaN,NaN, 4.6500000E+000, 1.0008272E+002
NaN,NaN,NaN,NaN,NaN, 4.7500000E+000, 9.7670264E+001
NaN,NaN,NaN,NaN,NaN, 4.8500000E+000, 9.4824194E+001
NaN,NaN,NaN,NaN,NaN, 4.9500000E+000, 9.1866781E+001
NaN,NaN,NaN,NaN,NaN, 5.0500000E+000, 8.8600183E+001
NaN,NaN,NaN,NaN,NaN, 5.1500000E+000, 8.4699870E+001
NaN,NaN,NaN,NaN,NaN, 5.2500000E+000, 8.0947398E+001
NaN,NaN,NaN,NaN,NaN, 5.3500000E+000, 7.7406270E+001
NaN,NaN,NaN,NaN,NaN, 5.4500000E+000, 7.4152628E+001
NaN,NaN,NaN,NaN,NaN, 5.5500000E+000, 7.1107167E+001
NaN,NaN,NaN,NaN,NaN, 5.6500000E+000, 6.8059722E+001
