m,C,m,kW/m2,kW/m2,m,kW
z_TC,TC,z_HF,HF_wide,HF_narrow,z,HRR
 1.0000000E-001, 9.6035213E+002, 3.0000000E-001, 4.6239774E-001, 2.8513305E+001, 5.0000000E-002, 1.2035178E+003
 2.0000000E-001, 9.5103770E+002, 1.0000000E+000, 1.1248585E+000, 1.3728222E+001, 1.5000000E-001, 5.4128020E+002
 3.0000000E-001, 9.3500666E+002, 1.5000000E+000, 7.4272524E-001, 9.2141366E+000, 2.5000000E-001, 2.2901098E+002
 4.0000000E-001, 9.1442890E+002, 2.0000000E+000, 9.1612683E-001, 6.3957155E+000, 3.5000000E-001, 1.2004451E+002
 5.0000000E-001, 8.8970765E+002, 2.4990000E+000, 9.9928669E-001, 4.8280812E+000, 4.5000000E-001, 7.7387654E+001
 7.5000000E-001, 8.3375812E+002, 3.0000000E+000, 8.8568029E-001, 3.0371871E+000, 5.5000000E-001, 5.7335003E+001
 1.0000000E+000, 7.5754820E+002, 3.5000000E+000, 8.7265673E-001, 2.0420676E+000, 6.5000000E-001, 4.6350109E+001
 1.5000000E+000, 6.4316152E+002, 4.0000000E+000, 8.8430668E-001, 1.3793397E+000, 7.5000000E-001, 3.9603487E+001
 2.0000000E+000, 5.4744056E+002,NaN,NaN,NaN, 8.5000000E-001, 3.4843200E+001
 2.4990000E+000, 4.8462102E+002,NaN,NaN,NaN, 9.5000000E-001, 3.1063705E+001
 3.0000000E+000, 3.9490583E+002,NaN,NaN,NaN, 1.0500000E+000, 2.8219532E+001
 3.5000000E+000, 3.3039855E+002,NaN,NaN,NaN, 1.1500000E+000, 2.5857690E+001
 4.0000000E+000, 2.7742642E+002,NaN,NaN,NaN, 1.2500000E+000, 2.3819036E+001
 4.5000000E+000, 2.3972552E+002,NaN,NaN,NaN, 1.3500000E+000, 2.2012748E+001
 4.9990000E+000, 2.1389445E+002,NaN,NaN,NaN, 1.4500000E+000, 2.0412656E+001
 5.5000000E+000, 1.8655453E+002,NaN,NaN,NaN, 1.5500000E+000, 1.8962012E+001
 6.0000000E+000, 1.6708339E+002,NaN,NaN,NaN, 1.6500000E+000, 1.7611623E+001
 6.5000000E+000, 1.4860749E+002,NaN,NaN,NaN, 1.7500000E+000, 1.6307680E+001
 7.0000000E+000, 1.3787987E+002,NaN,NaN,NaN, 1.8500000E+000, 1.5005519E+001
 7.4990000E+000, 1.3031180E+002,NaN,NaN,NaN, 1.9500000E+000, 1.3786253E+001
NaN,NaN,NaN,NaN,NaN, 2.0500000E+000, 1.2648685E+001
NaN,NaN,NaN,NaN,NaN, 2.1500000E+000, 1.1600244E+001
NaN,NaN,NaN,NaN,NaN, 2.2500000E+000, 1.0648372E+001
NaN,NaN,NaN,NaN,NaN, 2.3500000E+000, 9.8631735E+000
NaN,NaN,NaN,NaN,NaN, 2.4500000E+000, 9.0703956E+000
NaN,NaN,NaN,NaN,NaN, 2.5500000E+000, 8.3423893E+000
NaN,NaN,NaN,NaN,NaN, 2.6500000E+000, 7.6345829E+000
NaN,NaN,NaN,NaN,NaN, 2.7500000E+000, 6.9272222E+000
NaN,NaN,NaN,NaN,NaN, 2.8500000E+000, 6.2228352E+000
NaN,NaN,NaN,NaN,NaN, 2.9500000E+000, 5.5870210E+000
NaN,NaN,NaN,NaN,NaN, 3.0500000E+000, 4.9700443E+000
NaN,NaN,NaN,NaN,NaN, 3.1500000E+000, 4.4163091E+000
NaN,NaN,NaN,NaN,NaN, 3.2500000E+000, 3.9024600E+000
NaN,NaN,NaN,NaN,NaN, 3.3500000E+000, 3.4184448E+000
NaN,NaN,NaN,NaN,NaN, 3.4500000E+000, 3.0074743E+000
NaN,NaN,NaN,NaN,NaN, 3.5500000E+000, 2.6344298E+000
NaN,NaN,NaN,NaN,NaN, 3.6500000E+000, 2.3000145E+000
NaN,NaN,NaN,NaN,NaN, 3.7500000E+000, 1.9989518E+000
NaN,NaN,NaN,NaN,NaN, 3.8500000E+000, 1.7207994E+000
NaN,NaN,NaN,NaN,NaN, 3.9500000E+000, 1.4848177E+000
NaN,NaN,NaN,NaN,NaN, 4.0500000E+000, 1.2821817E+000
NaN,NaN,NaN,NaN,NaN, 4.1500000E+000, 1.1140672E+000
NaN,NaN,NaN,NaN,NaN, 4.2500000E+000, 9.5693369E-001
NaN,NaN,NaN,NaN,NaN, 4.3500000E+000, 8.1036085E-001
NaN,NaN,NaN,NaN,NaN, 4.4500000E+000, 6.7713674E-001
NaN,NaN,NaN,NaN,NaN, 4.5500000E+000, 5.6027077E-001
NaN,NaN,NaN,NaN,NaN, 4.6500000E+000, 4.6633625E-001
NaN,NaN,NaN,NaN,NaN, 4.7500000E+000, 3.8980102E-001
NaN,NaN,NaN,NaN,NaN, 4.8500000E+000, 3.2587157E-001
NaN,NaN,NaN,NaN,NaN, 4.9500000E+000, 2.7366358E-001
NaN,NaN,NaN,NaN,NaN, 5.0500000E+000, 2.2918671E-001
NaN,NaN,NaN,NaN,NaN, 5.1500000E+000, 1.9188369E-001
NaN,NaN,NaN,NaN,NaN, 5.2500000E+000, 1.6141960E-001
NaN,NaN,NaN,NaN,NaN, 5.3500000E+000, 1.3496748E-001
NaN,NaN,NaN,NaN,NaN, 5.4500000E+000, 1.1435913E-001
NaN,NaN,NaN,NaN,NaN, 5.5500000E+000, 9.6004401E-002
NaN,NaN,NaN,NaN,NaN, 5.6500000E+000, 7.9901032E-002
NaN,NaN,NaN,NaN,NaN, 5.7500000E+000, 6.5909984E-002
NaN,NaN,NaN,NaN,NaN, 5.8500000E+000, 5.3883845E-002
NaN,NaN,NaN,NaN,NaN, 5.9500000E+000, 4.4296217E-002
NaN,NaN,NaN,NaN,NaN, 6.0500000E+000, 3.6581481E-002
NaN,NaN,NaN,NaN,NaN, 6.1500000E+000, 3.0585713E-002
NaN,NaN,NaN,NaN,NaN, 6.2500000E+000, 2.5507169E-002
NaN,NaN,NaN,NaN,NaN, 6.3500000E+000, 2.1241672E-002
NaN,NaN,NaN,NaN,NaN, 6.4500000E+000, 1.7500585E-002
NaN,NaN,NaN,NaN,NaN, 6.5500000E+000, 1.4407770E-002
NaN,NaN,NaN,NaN,NaN, 6.6500000E+000, 1.1815117E-002
NaN,NaN,NaN,NaN,NaN, 6.7500000E+000, 9.7136284E-003
NaN,NaN,NaN,NaN,NaN, 6.8500000E+000, 7.9556309E-003
NaN,NaN,NaN,NaN,NaN, 6.9500000E+000, 6.5587142E-003
NaN,NaN,NaN,NaN,NaN, 7.0500000E+000, 5.4010186E-003
NaN,NaN,NaN,NaN,NaN, 7.1500000E+000, 4.4793575E-003
NaN,NaN,NaN,NaN,NaN, 7.2500000E+000, 3.7088572E-003
NaN,NaN,NaN,NaN,NaN, 7.3500000E+000, 3.0926935E-003
NaN,NaN,NaN,NaN,NaN, 7.4500000E+000, 2.5659464E-003
NaN,NaN,NaN,NaN,NaN, 7.5500000E+000, 4.6996766E-003
NaN,NaN,NaN,NaN,NaN, 7.6500000E+000, 1.7739607E-003
NaN,NaN,NaN,NaN,NaN, 7.7500000E+000, 1.4752049E-003
NaN,NaN,NaN,NaN,NaN, 7.8500000E+000, 1.2437579E-003
NaN,NaN,NaN,NaN,NaN, 7.9500000E+000, 1.0541833E-003
NaN,NaN,NaN,NaN,NaN, 8.0500000E+000, 8.8647929E-004
NaN,NaN,NaN,NaN,NaN, 8.1500000E+000, 7.5381427E-004
NaN,NaN,NaN,NaN,NaN, 8.2500000E+000, 6.3437139E-004
NaN,NaN,NaN,NaN,NaN, 8.3500000E+000, 5.3672076E-004
NaN,NaN,NaN,NaN,NaN, 8.4500000E+000, 4.5864308E-004
NaN,NaN,NaN,NaN,NaN, 8.5500000E+000, 3.8582998E-004
NaN,NaN,NaN,NaN,NaN, 8.6500000E+000, 3.2419683E-004
NaN,NaN,NaN,NaN,NaN, 8.7500000E+000, 2.7321646E-004
NaN,NaN,NaN,NaN,NaN, 8.8500000E+000, 2.2858664E-004
NaN,NaN,NaN,NaN,NaN, 8.9500000E+000, 1.9236609E-004
NaN,NaN,NaN,NaN,NaN, 9.0500000E+000, 1.6206070E-004
NaN,NaN,NaN,NaN,NaN, 9.1500000E+000, 1.3683092E-004
NaN,NaN,NaN,NaN,NaN, 9.2500000E+000, 1.1485586E-004
NaN,NaN,NaN,NaN,NaN, 9.3500000E+000, 9.5008780E-005
NaN,NaN,NaN,NaN,NaN, 9.4500000E+000, 7.9605242E-005
NaN,NaN,NaN,NaN,NaN, 9.5500000E+000, 6.5738134E-005
NaN,NaN,NaN,NaN,NaN, 9.6500000E+000, 5.5316231E-005
NaN,NaN,NaN,NaN,NaN, 9.7500000E+000, 4.6095511E-005
NaN,NaN,NaN,NaN,NaN, 9.8500000E+000, 3.8773962E-005
NaN,NaN,NaN,NaN,NaN, 9.9500000E+000, 2.4049388E-005
