m,C,m,kW/m2,kW/m2,m,kW
z_TC,TC,z_HF,HF_wide,HF_narrow,z,HRR
 1.0000000E-001, 9.6521939E+002, 3.0000000E-001, 3.8666460E-001, 2.4027800E+001, 5.0000000E-002, 1.1396531E+003
 2.0000000E-001, 9.5031228E+002, 1.0000000E+000, 1.0007336E+000, 1.1221145E+001, 1.5000000E-001, 4.8891354E+002
 3.0000000E-001, 9.2911609E+002, 1.5000000E+000, 6.4356772E-001, 7.5747163E+000, 2.5000000E-001, 2.0074577E+002
 4.0000000E-001, 9.0742045E+002, 2.0000000E+000, 8.1223065E-001, 5.3397648E+000, 3.5000000E-001, 1.0204060E+002
 5.0000000E-001, 8.8308838E+002, 2.4990000E+000, 8.9058298E-001, 4.0351871E+000, 4.5000000E-001, 6.3976723E+001
 7.5000000E-001, 8.2953493E+002, 3.0000000E+000, 7.8526094E-001, 2.2922699E+000, 5.5000000E-001, 4.6286259E+001
 1.0000000E+000, 7.5740925E+002, 3.5000000E+000, 7.7658920E-001, 1.3426996E+000, 6.5000000E-001, 3.6504372E+001
 1.5000000E+000, 6.3500542E+002, 4.0000000E+000, 7.9047525E-001, 8.4100711E-001, 7.5000000E-001, 3.0339081E+001
 2.0000000E+000, 5.3199301E+002,NaN,NaN,NaN, 8.5000000E-001, 2.5982297E+001
 2.4990000E+000, 4.5960547E+002,NaN,NaN,NaN, 9.5000000E-001, 2.2741124E+001
 3.0000000E+000, 3.6821649E+002,NaN,NaN,NaN, 1.0500000E+000, 2.0225886E+001
 3.5000000E+000, 3.1154222E+002,NaN,NaN,NaN, 1.1500000E+000, 1.8166484E+001
 4.0000000E+000, 2.6734294E+002,NaN,NaN,NaN, 1.2500000E+000, 1.6436387E+001
 4.5000000E+000, 2.2737156E+002,NaN,NaN,NaN, 1.3500000E+000, 1.4951155E+001
 4.9990000E+000, 2.0362781E+002,NaN,NaN,NaN, 1.4500000E+000, 1.3582417E+001
 5.5000000E+000, 1.7723732E+002,NaN,NaN,NaN, 1.5500000E+000, 1.2326368E+001
 6.0000000E+000, 1.5323321E+002,NaN,NaN,NaN, 1.6500000E+000, 1.1192892E+001
 6.5000000E+000, 1.3931163E+002,NaN,NaN,NaN, 1.7500000E+000, 1.0164283E+001
 7.0000000E+000, 1.2840342E+002,NaN,NaN,NaN, 1.8500000E+000, 9.2253920E+000
 7.4990000E+000, 1.2044540E+002,NaN,NaN,NaN, 1.9500000E+000, 8.3354713E+000
NaN,NaN,NaN,NaN,NaN, 2.0500000E+000, 7.5056048E+000
NaN,NaN,NaN,NaN,NaN, 2.1500000E+000, 6.7736767E+000
NaN,NaN,NaN,NaN,NaN, 2.2500000E+000, 6.1126905E+000
NaN,NaN,NaN,NaN,NaN, 2.3500000E+000, 5.4931778E+000
NaN,NaN,NaN,NaN,NaN, 2.4500000E+000, 4.9141648E+000
NaN,NaN,NaN,NaN,NaN, 2.5500000E+000, 4.3936874E+000
NaN,NaN,NaN,NaN,NaN, 2.6500000E+000, 3.9284076E+000
NaN,NaN,NaN,NaN,NaN, 2.7500000E+000, 3.5064689E+000
NaN,NaN,NaN,NaN,NaN, 2.8500000E+000, 3.1063503E+000
NaN,NaN,NaN,NaN,NaN, 2.9500000E+000, 2.7344786E+000
NaN,NaN,NaN,NaN,NaN, 3.0500000E+000, 2.3763571E+000
NaN,NaN,NaN,NaN,NaN, 3.1500000E+000, 2.0492812E+000
NaN,NaN,NaN,NaN,NaN, 3.2500000E+000, 1.7530561E+000
NaN,NaN,NaN,NaN,NaN, 3.3500000E+000, 1.4974619E+000
NaN,NaN,NaN,NaN,NaN, 3.4500000E+000, 1.2785281E+000
NaN,NaN,NaN,NaN,NaN, 3.5500000E+000, 1.0834860E+000
NaN,NaN,NaN,NaN,NaN, 3.6500000E+000, 9.1280153E-001
NaN,NaN,NaN,NaN,NaN, 3.7500000E+000, 7.7174866E-001
NaN,NaN,NaN,NaN,NaN, 3.8500000E+000, 6.4960561E-001
NaN,NaN,NaN,NaN,NaN, 3.9500000E+000, 5.4422983E-001
NaN,NaN,NaN,NaN,NaN, 4.0500000E+000, 4.5321917E-001
NaN,NaN,NaN,NaN,NaN, 4.1500000E+000, 3.7848060E-001
NaN,NaN,NaN,NaN,NaN, 4.2500000E+000, 3.1526902E-001
NaN,NaN,NaN,NaN,NaN, 4.3500000E+000, 2.6086747E-001
NaN,NaN,NaN,NaN,NaN, 4.4500000E+000, 2.1289774E-001
NaN,NaN,NaN,NaN,NaN, 4.5500000E+000, 1.7212329E-001
NaN,NaN,NaN,NaN,NaN, 4.6500000E+000, 1.3943535E-001
NaN,NaN,NaN,NaN,NaN, 4.7500000E+000, 1.1294169E-001
NaN,NaN,NaN,NaN,NaN, 4.8500000E+000, 9.1530303E-002
NaN,NaN,NaN,NaN,NaN, 4.9500000E+000, 7.4376714E-002
NaN,NaN,NaN,NaN,NaN, 5.0500000E+000, 6.0439726E-002
NaN,NaN,NaN,NaN,NaN, 5.1500000E+000, 4.8869823E-002
NaN,NaN,NaN,NaN,NaN, 5.2500000E+000, 3.9424359E-002
NaN,NaN,NaN,NaN,NaN, 5.3500000E+000, 3.1696611E-002
NaN,NaN,NaN,NaN,NaN, 5.4500000E+000, 2.5443113E-002
NaN,NaN,NaN,NaN,NaN, 5.5500000E+000, 2.0507024E-002
NaN,NaN,NaN,NaN,NaN, 5.6500000E+000, 1.6557485E-002
NaN,NaN,NaN,NaN,NaN, 5.7500000E+000, 1.3372243E-002
NaN,NaN,NaN,NaN,NaN, 5.8500000E+000, 1.0830504E-002
NaN,NaN,NaN,NaN,NaN, 5.9500000E+000, 8.7731956E-003
NaN,NaN,NaN,NaN,NaN, 6.0500000E+000, 7.1151431E-003
NaN,NaN,NaN,NaN,NaN, 6.1500000E+000, 5.7943519E-003
NaN,NaN,NaN,NaN,NaN, 6.2500000E+000, 4.7120198E-003
NaN,NaN,NaN,NaN,NaN, 6.3500000E+000, 3.8315522E-003
NaN,NaN,NaN,NaN,NaN, 6.4500000E+000, 3.1329703E-003
NaN,NaN,NaN,NaN,NaN, 6.5500000E+000, 2.5673170E-003
NaN,NaN,NaN,NaN,NaN, 6.6500000E+000, 2.1190754E-003
NaN,NaN,NaN,NaN,NaN, 6.7500000E+000, 1.7495569E-003
NaN,NaN,NaN,NaN,NaN, 6.8500000E+000, 1.4414446E-003
NaN,NaN,NaN,NaN,NaN, 6.9500000E+000, 1.1852667E-003
NaN,NaN,NaN,NaN,NaN, 7.0500000E+000, 9.7034301E-004
NaN,NaN,NaN,NaN,NaN, 7.1500000E+000, 7.9400337E-004
NaN,NaN,NaN,NaN,NaN, 7.2500000E+000, 6.5074900E-004
NaN,NaN,NaN,NaN,NaN, 7.3500000E+000, 5.3426074E-004
NaN,NaN,NaN,NaN,NaN, 7.4500000E+000, 4.3957790E-004
NaN,NaN,NaN,NaN,NaN, 7.5500000E+000, 3.6077009E-004
NaN,NaN,NaN,NaN,NaN, 7.6500000E+000, 2.9568852E-004
NaN,NaN,NaN,NaN,NaN, 7.7500000E+000, 2.4243582E-004
NaN,NaN,NaN,NaN,NaN, 7.8500000E+000, 1.9809977E-004
NaN,NaN,NaN,NaN,NaN, 7.9500000E+000, 1.6290359E-004
NaN,NaN,NaN,NaN,NaN, 8.0500000E+000, 1.3400371E-004
NaN,NaN,NaN,NaN,NaN, 8.1500000E+000, 1.1065803E-004
NaN,NaN,NaN,NaN,NaN, 8.2500000E+000, 9.1182035E-005
NaN,NaN,NaN,NaN,NaN, 8.3500000E+000, 7.5201841E-005
NaN,NaN,NaN,NaN,NaN, 8.4500000E+000, 6.1664154E-005
NaN,NaN,NaN,NaN,NaN, 8.5500000E+000, 5.0408251E-005
NaN,NaN,NaN,NaN,NaN, 8.6500000E+000, 4.1173151E-005
NaN,NaN,NaN,NaN,NaN, 8.7500000E+000, 3.3713213E-005
NaN,NaN,NaN,NaN,NaN, 8.8500000E+000, 2.7526179E-005
NaN,NaN,NaN,NaN,NaN, 8.9500000E+000, 2.2440221E-005
NaN,NaN,NaN,NaN,NaN, 9.0500000E+000, 1.8135066E-005
NaN,NaN,NaN,NaN,NaN, 9.1500000E+000, 1.4665756E-005
NaN,NaN,NaN,NaN,NaN, 9.2500000E+000, 1.1837574E-005
NaN,NaN,NaN,NaN,NaN, 9.3500000E+000, 9.5262181E-006
NaN,NaN,NaN,NaN,NaN, 9.4500000E+000, 7.6834486E-006
NaN,NaN,NaN,NaN,NaN, 9.5500000E+000, 6.1979224E-006
NaN,NaN,NaN,NaN,NaN, 9.6500000E+000, 4.9765137E-006
NaN,NaN,NaN,NaN,NaN, 9.7500000E+000, 3.9669546E-006
NaN,NaN,NaN,NaN,NaN, 9.8500000E+000, 3.1991334E-006
NaN,NaN,NaN,NaN,NaN, 9.9500000E+000, 1.8583847E-006
