s,[K],[W/g]
Time,"Temperature","HRR"
 0.0000000E+000, 3.0015000E+002, 0.0000000E+000
 1.1000000E+000, 3.0046553E+002, 7.2689694E-010
 2.0000000E+000, 3.0131639E+002, 8.6389707E-010
 3.0000000E+000, 3.0224462E+002, 1.0555376E-009
 4.0000000E+000, 3.0324095E+002, 1.3073902E-009
 5.1000000E+000, 3.0429020E+002, 1.6377871E-009
 6.1000000E+000, 3.0534031E+002, 2.0455465E-009
 7.1000000E+000, 3.0634082E+002, 2.5271607E-009
 8.1000000E+000, 3.0733853E+002, 3.1162772E-009
 9.1000000E+000, 3.0834104E+002, 3.8384554E-009
 1.0100000E+001, 3.0933952E+002, 4.7215193E-009
 1.1100000E+001, 3.1034089E+002, 5.7981581E-009
 1.2100000E+001, 3.1134030E+002, 7.1149599E-009
 1.3100000E+001, 3.1234030E+002, 8.7135849E-009
 1.4100000E+001, 3.1334082E+002, 1.0664901E-008
 1.5100000E+001, 3.1433853E+002, 1.3029999E-008
 1.6100000E+001, 3.1534104E+002, 1.5903133E-008
 1.7100000E+001, 3.1633952E+002, 1.9384941E-008
 1.8100000E+001, 3.1734089E+002, 2.3592452E-008
 1.9000000E+001, 3.1829111E+002, 2.8405185E-008
 2.0000000E+001, 3.1923853E+002, 3.4169767E-008
 2.1000000E+001, 3.2024104E+002, 4.1452159E-008
 2.2000000E+001, 3.2123952E+002, 5.0225100E-008
 2.3000000E+001, 3.2224089E+002, 6.0764483E-008
 2.4000000E+001, 3.2324030E+002, 7.3467659E-008
 2.5000000E+001, 3.2424030E+002, 8.8667854E-008
 2.6000000E+001, 3.2524082E+002, 1.0695714E-007
 2.7000000E+001, 3.2623853E+002, 1.2881169E-007
 2.8000000E+001, 3.2724104E+002, 1.5498951E-007
 2.9000000E+001, 3.2823952E+002, 1.8627351E-007
 3.0000000E+001, 3.2924089E+002, 2.2355952E-007
 3.1000000E+001, 3.3024030E+002, 2.6814825E-007
 3.2000000E+001, 3.3124030E+002, 3.2108745E-007
 3.3000000E+001, 3.3224082E+002, 3.8429509E-007
 3.4000000E+001, 3.3323853E+002, 4.5924811E-007
 3.5000000E+001, 3.3424104E+002, 5.4835007E-007
 3.6000000E+001, 3.3523952E+002, 6.5403462E-007
 3.7000000E+001, 3.3624089E+002, 7.7906151E-007
 3.8000000E+001, 3.3724030E+002, 9.2747630E-007
 3.9000000E+001, 3.3824030E+002, 1.1024023E-006
 4.0000000E+001, 3.3924082E+002, 1.3097498E-006
 4.1000000E+001, 3.4023853E+002, 1.5538665E-006
 4.2000000E+001, 3.4124104E+002, 1.8420072E-006
 4.3000000E+001, 3.4223952E+002, 2.1813698E-006
 4.4000000E+001, 3.4324089E+002, 2.5800474E-006
 4.5000000E+001, 3.4424030E+002, 3.0500337E-006
 4.6000000E+001, 3.4524030E+002, 3.6001828E-006
 4.7000000E+001, 3.4624082E+002, 4.2478730E-006
 4.8000000E+001, 3.4723853E+002, 5.0052878E-006
 4.9000000E+001, 3.4824104E+002, 5.8933344E-006
 5.0000000E+001, 3.4923952E+002, 6.9323322E-006
 5.1000000E+001, 3.5024089E+002, 8.1449384E-006
 5.2000000E+001, 3.5124030E+002, 9.5651487E-006
 5.3000000E+001, 3.5224030E+002, 1.1216894E-005
 5.4000000E+001, 3.5324082E+002, 1.3149078E-005
 5.5000000E+001, 3.5423853E+002, 1.5394283E-005
 5.6000000E+001, 3.5524104E+002, 1.8010204E-005
 5.7000000E+001, 3.5623952E+002, 2.1051736E-005
 5.8000000E+001, 3.5724089E+002, 2.4579604E-005
 5.9000000E+001, 3.5824030E+002, 2.8686185E-005
 6.0000000E+001, 3.5924030E+002, 3.3433303E-005
 6.1000000E+001, 3.6024082E+002, 3.8953003E-005
 6.2000000E+001, 3.6123853E+002, 4.5328655E-005
 6.3000000E+001, 3.6224104E+002, 5.2713100E-005
 6.4000000E+001, 3.6323952E+002, 6.1248643E-005
 6.5000000E+001, 3.6424089E+002, 7.1091486E-005
 6.6000000E+001, 3.6524030E+002, 8.2482881E-005
 6.7000000E+001, 3.6624030E+002, 9.5575810E-005
 6.8000000E+001, 3.6724082E+002, 1.1071324E-004
 6.9000000E+001, 3.6823853E+002, 1.2809968E-004
 7.0000000E+001, 3.6924104E+002, 1.4812479E-004
 7.1000000E+001, 3.7023952E+002, 1.7114336E-004
 7.2000000E+001, 3.7124089E+002, 1.9754192E-004
 7.3000000E+001, 3.7224030E+002, 2.2792741E-004
 7.4000000E+001, 3.7324030E+002, 2.6266312E-004
 7.5000000E+001, 3.7424082E+002, 3.0260787E-004
 7.6100000E+001, 3.7528963E+002, 3.5072811E-004
 7.7100000E+001, 3.7634082E+002, 4.0617692E-004
 7.8100000E+001, 3.7733853E+002, 4.6670209E-004
 7.9100000E+001, 3.7834104E+002, 5.3593989E-004
 8.0100000E+001, 3.7933952E+002, 6.1499181E-004
 8.1100000E+001, 3.8034089E+002, 7.0504652E-004
 8.2100000E+001, 3.8134029E+002, 8.0801520E-004
 8.3100000E+001, 3.8234030E+002, 9.2495223E-004
 8.4100000E+001, 3.8334082E+002, 1.0585484E-003
 8.5100000E+001, 3.8433852E+002, 1.2101900E-003
 8.6100000E+001, 3.8534104E+002, 1.3828106E-003
 8.7100000E+001, 3.8633951E+002, 1.5789408E-003
 8.8100000E+001, 3.8734089E+002, 1.8012922E-003
 8.9100000E+001, 3.8834029E+002, 2.0543118E-003
 9.0100000E+001, 3.8934029E+002, 2.3402905E-003
 9.1100000E+001, 3.9034082E+002, 2.6654699E-003
 9.2100000E+001, 3.9133852E+002, 3.0328452E-003
 9.3100000E+001, 3.9234103E+002, 3.4491036E-003
 9.4100000E+001, 3.9333951E+002, 3.9198733E-003
 9.5100000E+001, 3.9434088E+002, 4.4511419E-003
 9.6100000E+001, 3.9534028E+002, 5.0529416E-003
 9.7100000E+001, 3.9634006E+002, 5.7298553E-003
 9.8100000E+001, 3.9733990E+002, 6.4955829E-003
 9.9100000E+001, 3.9833678E+002, 7.3565329E-003
 1.0010000E+002, 3.9933845E+002, 8.3275981E-003
 1.0110000E+002, 4.0033606E+002, 9.4208392E-003
 1.0210000E+002, 4.0133663E+002, 1.0649139E-002
 1.0310000E+002, 4.0233518E+002, 1.2034240E-002
 1.0410000E+002, 4.0333435E+002, 1.3585823E-002
 1.0510000E+002, 4.0433399E+002, 1.5334433E-002
 1.0610000E+002, 4.0533085E+002, 1.7292611E-002
 1.0710000E+002, 4.0633250E+002, 1.9491976E-002
 1.0810000E+002, 4.0733011E+002, 2.1957756E-002
 1.0910000E+002, 4.0833068E+002, 2.4716714E-002
 1.1010000E+002, 4.0932922E+002, 2.7814930E-002
 1.1110000E+002, 4.1032841E+002, 3.1271457E-002
 1.1210000E+002, 4.1132802E+002, 3.5150819E-002
 1.1310000E+002, 4.1232494E+002, 3.9478022E-002
 1.1410000E+002, 4.1332662E+002, 4.4318375E-002
 1.1510000E+002, 4.1432426E+002, 4.9723175E-002
 1.1610000E+002, 4.1532473E+002, 5.5745388E-002
 1.1710000E+002, 4.1632328E+002, 6.2482051E-002
 1.1810000E+002, 4.1732251E+002, 6.9968180E-002
 1.1910000E+002, 4.1832209E+002, 7.8336218E-002
 1.2010000E+002, 4.1931894E+002, 8.7632633E-002
 1.2110000E+002, 4.2032058E+002, 9.7990646E-002
 1.2210000E+002, 4.2131819E+002, 1.0951123E-001
 1.2310000E+002, 4.2231871E+002, 1.2229839E-001
 1.2410000E+002, 4.2331719E+002, 1.3654389E-001
 1.2510000E+002, 4.2431643E+002, 1.5231253E-001
 1.2610000E+002, 4.2531596E+002, 1.6986889E-001
 1.2710000E+002, 4.2631283E+002, 1.8929641E-001
 1.2810000E+002, 4.2731440E+002, 2.1085331E-001
 1.2910000E+002, 4.2831198E+002, 2.3473442E-001
 1.3010000E+002, 4.2931248E+002, 2.6113424E-001
 1.3110000E+002, 4.3031091E+002, 2.9042402E-001
 1.3210000E+002, 4.3131014E+002, 3.2271285E-001
 1.3310000E+002, 4.3230960E+002, 3.5851100E-001
 1.3410000E+002, 4.3330643E+002, 3.9795811E-001
 1.3510000E+002, 4.3430795E+002, 4.4154024E-001
 1.3610000E+002, 4.3530547E+002, 4.8961094E-001
 1.3710000E+002, 4.3630592E+002, 5.4251569E-001
 1.3810000E+002, 4.3730430E+002, 6.0094599E-001
 1.3910000E+002, 4.3830352E+002, 6.6506245E-001
 1.4010000E+002, 4.3930283E+002, 7.3579968E-001
 1.4110000E+002, 4.4029958E+002, 8.1336945E-001
 1.4210000E+002, 4.4130100E+002, 8.9863716E-001
 1.4310000E+002, 4.4229843E+002, 9.9219647E-001
 1.4410000E+002, 4.4329878E+002, 1.0946072E+000
 1.4510000E+002, 4.4429703E+002, 1.2070787E+000
 1.4610000E+002, 4.4529616E+002, 1.3297733E+000
 1.4710000E+002, 4.4629531E+002, 1.4643104E+000
 1.4810000E+002, 4.4729193E+002, 1.6108983E+000
 1.4910000E+002, 4.4829318E+002, 1.7709509E+000
 1.5010000E+002, 4.4929047E+002, 1.9453325E+000
 1.5110000E+002, 4.5029068E+002, 2.1347886E+000
 1.5210000E+002, 4.5128869E+002, 2.3412001E+000
 1.5310000E+002, 4.5228764E+002, 2.5644871E+000
 1.5410000E+002, 4.5328654E+002, 2.8071611E+000
 1.5510000E+002, 4.5428294E+002, 3.0690507E+000
 1.5610000E+002, 4.5528395E+002, 3.3521006E+000
 1.5710000E+002, 4.5628098E+002, 3.6571421E+000
 1.5810000E+002, 4.5728094E+002, 3.9846673E+000
 1.5910000E+002, 4.5827866E+002, 4.3370596E+000
 1.6010000E+002, 4.5927736E+002, 4.7130435E+000
 1.6110000E+002, 4.6027593E+002, 5.1157488E+000
 1.6210000E+002, 4.6127204E+002, 5.5433936E+000
 1.6310000E+002, 4.6227278E+002, 5.9976512E+000
 1.6410000E+002, 4.6326945E+002, 6.4779407E+000
 1.6510000E+002, 4.6426911E+002, 6.9829870E+000
 1.6610000E+002, 4.6526650E+002, 7.5143027E+000
 1.6710000E+002, 4.6626493E+002, 8.0669651E+000
 1.6810000E+002, 4.6726319E+002, 8.6430143E+000
 1.6910000E+002, 4.6825905E+002, 9.2360720E+000
 1.7010000E+002, 4.6925956E+002, 9.8450257E+000
 1.7110000E+002, 4.7025605E+002, 1.0464768E+001
 1.7210000E+002, 4.7125558E+002, 1.1088820E+001
 1.7310000E+002, 4.7225292E+002, 1.1714717E+001
 1.7410000E+002, 4.7325138E+002, 1.2329761E+001
 1.7510000E+002, 4.7424973E+002, 1.2931829E+001
 1.7610000E+002, 4.7524576E+002, 1.3505980E+001
 1.7710000E+002, 4.7624656E+002, 1.4045395E+001
 1.7810000E+002, 4.7724343E+002, 1.4537667E+001
 1.7910000E+002, 4.7824352E+002, 1.4969283E+001
 1.8010000E+002, 4.7924148E+002, 1.5332600E+001
 1.8110000E+002, 4.8024081E+002, 1.5608380E+001
 1.8210000E+002, 4.8124012E+002, 1.5791731E+001
 1.8310000E+002, 4.8223729E+002, 1.5864383E+001
 1.8410000E+002, 4.8323940E+002, 1.5820210E+001
 1.8510000E+002, 4.8423773E+002, 1.5649353E+001
 1.8610000E+002, 4.8523944E+002, 1.5344411E+001
 1.8710000E+002, 4.8623914E+002, 1.4907360E+001
 1.8810000E+002, 4.8724026E+002, 1.4332668E+001
 1.8910000E+002, 4.8824138E+002, 1.3632584E+001
 1.9010000E+002, 4.8924040E+002, 1.2811109E+001
 1.9110000E+002, 4.9024432E+002, 1.1886325E+001
 1.9210000E+002, 4.9124434E+002, 1.0876078E+001
 1.9310000E+002, 4.9224760E+002, 9.8025031E+000
 1.9410000E+002, 4.9324860E+002, 8.6945798E+000
 1.9510000E+002, 4.9425080E+002, 7.5764506E+000
 1.9610000E+002, 4.9525262E+002, 6.4802541E+000
 1.9710000E+002, 4.9625202E+002, 5.4302007E+000
 1.9810000E+002, 4.9725596E+002, 4.4522297E+000
 1.9910000E+002, 4.9825565E+002, 3.5656420E+000
 2.0010000E+002, 4.9925817E+002, 2.7844451E+000
 2.0110000E+002, 5.0025811E+002, 2.1173925E+000
 2.0210000E+002, 5.0125901E+002, 1.5649577E+000
 2.0310000E+002, 5.0225931E+002, 1.1234823E+000
 2.0410000E+002, 5.0325712E+002, 7.8289755E-001
 2.0510000E+002, 5.0425941E+002, 5.3048944E-001
 2.0610000E+002, 5.0525748E+002, 3.5121708E-001
 2.0710000E+002, 5.0625850E+002, 2.2974810E-001
 2.0810000E+002, 5.0725704E+002, 1.5178638E-001
 2.0910000E+002, 5.0825682E+002, 1.0479733E-001
 2.1010000E+002, 5.0925609E+002, 7.8785736E-002
 2.1110000E+002, 5.1025311E+002, 6.6153801E-002
 2.1210000E+002, 5.1125474E+002, 6.1626189E-002
 2.1310000E+002, 5.1225232E+002, 6.1751216E-002
 2.1410000E+002, 5.1325303E+002, 6.4444652E-002
 2.1510000E+002, 5.1425131E+002, 6.8571382E-002
 2.1610000E+002, 5.1525098E+002, 7.3523953E-002
 2.1710000E+002, 5.1625010E+002, 7.9069891E-002
 2.1810000E+002, 5.1724705E+002, 8.5086537E-002
 2.1910000E+002, 5.1824864E+002, 9.1569527E-002
 2.2010000E+002, 5.1924618E+002, 9.8527569E-002
 2.2110000E+002, 5.2024687E+002, 1.0597640E-001
 2.2210000E+002, 5.2124511E+002, 1.1397635E-001
 2.2310000E+002, 5.2224483E+002, 1.2252298E-001
 2.2410000E+002, 5.2324385E+002, 1.3169855E-001
 2.2510000E+002, 5.2424076E+002, 1.4150341E-001
 2.2610000E+002, 5.2524232E+002, 1.5200503E-001
 2.2710000E+002, 5.2623980E+002, 1.6324215E-001
 2.2810000E+002, 5.2724047E+002, 1.7524598E-001
 2.2910000E+002, 5.2823865E+002, 1.8811255E-001
 2.3010000E+002, 5.2923837E+002, 2.0183299E-001
 2.3110000E+002, 5.3023730E+002, 2.1653506E-001
 2.3210000E+002, 5.3123415E+002, 2.3221682E-001
 2.3310000E+002, 5.3223567E+002, 2.4898175E-001
 2.3410000E+002, 5.3323309E+002, 2.6688846E-001
 2.3510000E+002, 5.3423377E+002, 2.8598320E-001
 2.3610000E+002, 5.3523183E+002, 3.0641008E-001
 2.3710000E+002, 5.3623150E+002, 3.2815480E-001
 2.3810000E+002, 5.3723032E+002, 3.5141283E-001
 2.3910000E+002, 5.3822709E+002, 3.7617713E-001
 2.4010000E+002, 5.3922853E+002, 4.0260442E-001
 2.4110000E+002, 5.4022585E+002, 4.3078169E-001
 2.4210000E+002, 5.4122647E+002, 4.6077588E-001
 2.4310000E+002, 5.4222440E+002, 4.9280535E-001
 2.4410000E+002, 5.4322402E+002, 5.2684287E-001
 2.4510000E+002, 5.4422268E+002, 5.6318444E-001
 2.4610000E+002, 5.4521933E+002, 6.0181459E-001
 2.4710000E+002, 5.4622071E+002, 6.4296908E-001
 2.4810000E+002, 5.4721785E+002, 6.8676805E-001
 2.4910000E+002, 5.4821834E+002, 7.3331384E-001
 2.5010000E+002, 5.4921609E+002, 7.8293267E-001
 2.5110000E+002, 5.5021560E+002, 8.3557483E-001
 2.5210000E+002, 5.5121405E+002, 8.9168329E-001
 2.5310000E+002, 5.5221053E+002, 9.5122635E-001
 2.5410000E+002, 5.5321173E+002, 1.0145528E+000
 2.5510000E+002, 5.5420867E+002, 1.0818359E+000
 2.5610000E+002, 5.5520897E+002, 1.1532204E+000
 2.5710000E+002, 5.5620648E+002, 1.2291890E+000
 2.5810000E+002, 5.5720581E+002, 1.3096574E+000
 2.5910000E+002, 5.5820402E+002, 1.3952837E+000
 2.6010000E+002, 5.5920021E+002, 1.4859922E+000
 2.6110000E+002, 5.6020113E+002, 1.5823076E+000
 2.6210000E+002, 5.6119779E+002, 1.6844834E+000
 2.6310000E+002, 5.6219788E+002, 1.7927114E+000
 2.6410000E+002, 5.6319504E+002, 1.9076914E+000
 2.6510000E+002, 5.6419407E+002, 2.0292847E+000
 2.6610000E+002, 5.6519189E+002, 2.1584578E+000
 2.6710000E+002, 5.6618769E+002, 2.2950768E+000
 2.6810000E+002, 5.6718824E+002, 2.4399036E+000
 2.6910000E+002, 5.6818445E+002, 2.5932812E+000
 2.7010000E+002, 5.6918408E+002, 2.7554866E+000
 2.7110000E+002, 5.7018080E+002, 2.9275459E+000
 2.7210000E+002, 5.7117937E+002, 3.1091877E+000
 2.7310000E+002, 5.7217661E+002, 3.3018392E+000
 2.7410000E+002, 5.7317187E+002, 3.5052728E+000
 2.7510000E+002, 5.7417187E+002, 3.7205755E+000
 2.7610000E+002, 5.7516747E+002, 3.9482191E+000
 2.7710000E+002, 5.7616651E+002, 4.1885750E+000
 2.7810000E+002, 5.7716254E+002, 4.4431095E+000
 2.7910000E+002, 5.7816048E+002, 4.7113861E+000
 2.8010000E+002, 5.7915696E+002, 4.9954473E+000
 2.8110000E+002, 5.8015144E+002, 5.2949177E+000
 2.8210000E+002, 5.8115066E+002, 5.6113381E+000
 2.8310000E+002, 5.8214546E+002, 5.9453645E+000
 2.8410000E+002, 5.8314364E+002, 6.2974068E+000
 2.8510000E+002, 5.8413871E+002, 6.6695953E+000
 2.8610000E+002, 5.8513573E+002, 7.0612303E+000
 2.8710000E+002, 5.8613114E+002, 7.4752345E+000
 2.8810000E+002, 5.8712462E+002, 7.9109619E+000
 2.8910000E+002, 5.8812276E+002, 8.3705293E+000
 2.9010000E+002, 5.8911638E+002, 8.8548290E+000
 2.9110000E+002, 5.9011339E+002, 9.3643590E+000
 2.9210000E+002, 5.9110716E+002, 9.9021030E+000
 2.9310000E+002, 5.9210292E+002, 1.0466959E+001
 2.9410000E+002, 5.9309689E+002, 1.1062948E+001
 2.9510000E+002, 5.9408889E+002, 1.1689137E+001
 2.9610000E+002, 5.9508551E+002, 1.2348313E+001
 2.9710000E+002, 5.9607750E+002, 1.3041717E+001
 2.9810000E+002, 5.9707288E+002, 1.3769911E+001
 2.9910000E+002, 5.9806489E+002, 1.4536981E+001
 3.0010000E+002, 5.9905887E+002, 1.5341237E+001
 3.0110000E+002, 6.0005097E+002, 1.6188220E+001
 3.0200000E+002, 6.0099098E+002, 1.7030958E+001
 3.0300000E+002, 6.0193666E+002, 1.7913413E+001
 3.0400000E+002, 6.0292708E+002, 1.8888998E+001
 3.0500000E+002, 6.0391953E+002, 1.9910361E+001
 3.0600000E+002, 6.0490986E+002, 2.0984339E+001
 3.0700000E+002, 6.0589808E+002, 2.2108908E+001
 3.0800000E+002, 6.0689099E+002, 2.3288736E+001
 3.0900000E+002, 6.0787892E+002, 2.4525250E+001
 3.1000000E+002, 6.0887023E+002, 2.5819117E+001
 3.1100000E+002, 6.0985783E+002, 2.7177041E+001
 3.1200000E+002, 6.1084745E+002, 2.8595427E+001
 3.1300000E+002, 6.1183471E+002, 3.0083367E+001
 3.1400000E+002, 6.1281985E+002, 3.1637707E+001
 3.1500000E+002, 6.1380952E+002, 3.3264516E+001
 3.1600000E+002, 6.1479408E+002, 3.4965207E+001
 3.1700000E+002, 6.1578197E+002, 3.6740311E+001
 3.1800000E+002, 6.1676596E+002, 3.8598486E+001
 3.1900000E+002, 6.1775192E+002, 4.0534475E+001
 3.2000000E+002, 6.1873543E+002, 4.2560159E+001
 3.2100000E+002, 6.1971658E+002, 4.4669825E+001
 3.2200000E+002, 6.2070221E+002, 4.6871526E+001
 3.2300000E+002, 6.2168256E+002, 4.9166802E+001
 3.2400000E+002, 6.2266617E+002, 5.1555918E+001
 3.2500000E+002, 6.2364571E+002, 5.4048882E+001
 3.2600000E+002, 6.2462712E+002, 5.6638109E+001
 3.2700000E+002, 6.2560592E+002, 5.9338473E+001
 3.2800000E+002, 6.2658219E+002, 6.2142126E+001
 3.2900000E+002, 6.2756297E+002, 6.5058460E+001
 3.3000000E+002, 6.2853827E+002, 6.8088060E+001
 3.3100000E+002, 6.2951672E+002, 7.1230751E+001
 3.3200000E+002, 6.3049105E+002, 7.4498446E+001
 3.3300000E+002, 6.3146712E+002, 7.7878798E+001
 3.3400000E+002, 6.3244030E+002, 8.1391895E+001
 3.3500000E+002, 6.3341111E+002, 8.5024452E+001
 3.3600000E+002, 6.3438616E+002, 8.8788793E+001
 3.3700000E+002, 6.3535571E+002, 9.2682605E+001
 3.3800000E+002, 6.3632838E+002, 9.6703742E+001
 3.3900000E+002, 6.3729662E+002, 1.0086827E+002
 3.4000000E+002, 6.3826687E+002, 1.0515669E+002
 3.4100000E+002, 6.3923405E+002, 1.0959388E+002
 3.4200000E+002, 6.4019884E+002, 1.1415911E+002
 3.4300000E+002, 6.4116770E+002, 1.1886634E+002
 3.4400000E+002, 6.4213124E+002, 1.2371402E+002
 3.4500000E+002, 6.4309795E+002, 1.2869128E+002
 3.4600000E+002, 6.4406014E+002, 1.3382084E+002
 3.4700000E+002, 6.4502433E+002, 1.3907151E+002
 3.4800000E+002, 6.4598555E+002, 1.4447587E+002
 3.4900000E+002, 6.4694443E+002, 1.5000205E+002
 3.5000000E+002, 6.4790759E+002, 1.5566805E+002
 3.5100000E+002, 6.4886538E+002, 1.6146396E+002
 3.5200000E+002, 6.4982651E+002, 1.6738000E+002
 3.5300000E+002, 6.5078344E+002, 1.7343272E+002
 3.5400000E+002, 6.5174222E+002, 1.7958685E+002
 3.5500000E+002, 6.5269872E+002, 1.8587821E+002
 3.5600000E+002, 6.5365277E+002, 1.9226157E+002
 3.5700000E+002, 6.5461176E+002, 1.9875824E+002
 3.5800000E+002, 6.5556549E+002, 2.0534607E+002
 3.5900000E+002, 6.5652261E+002, 2.1201216E+002
 3.6000000E+002, 6.5747656E+002, 2.1877992E+002
 3.6100000E+002, 6.5843222E+002, 2.2559284E+002
 3.6200000E+002, 6.5938649E+002, 2.3249370E+002
 3.6300000E+002, 6.6033873E+002, 2.3942614E+002
 3.6400000E+002, 6.6129650E+002, 2.4640441E+002
 3.6500000E+002, 6.6224951E+002, 2.5340718E+002
 3.6600000E+002, 6.6320662E+002, 2.6040017E+002
 3.6700000E+002, 6.6416109E+002, 2.6742251E+002
 3.6800000E+002, 6.6511820E+002, 2.7438678E+002
 3.6900000E+002, 6.6607467E+002, 2.8135622E+002
 3.7000000E+002, 6.6702996E+002, 2.8823763E+002
 3.7100000E+002, 6.6799144E+002, 2.9505841E+002
 3.7200000E+002, 6.6894957E+002, 3.0178310E+002
 3.7300000E+002, 6.6991271E+002, 3.0837526E+002
 3.7400000E+002, 6.7087412E+002, 3.1485422E+002
 3.7500000E+002, 6.7183924E+002, 3.2112666E+002
 3.7600000E+002, 6.7280491E+002, 3.2726131E+002
 3.7700000E+002, 6.7377060E+002, 3.3314342E+002
 3.7800000E+002, 6.7474430E+002, 3.3879795E+002
 3.7900000E+002, 6.7571535E+002, 3.4417872E+002
 3.8000000E+002, 6.7669251E+002, 3.4922763E+002
 3.8100000E+002, 6.7767003E+002, 3.5399764E+002
 3.8200000E+002, 6.7865220E+002, 3.5834191E+002
 3.8300000E+002, 6.7963758E+002, 3.6234826E+002
 3.8400000E+002, 6.8062329E+002, 3.6587400E+002
 3.8500000E+002, 6.8161915E+002, 3.6895956E+002
 3.8600000E+002, 6.8261356E+002, 3.7153073E+002
 3.8700000E+002, 6.8361700E+002, 3.7355322E+002
 3.8800000E+002, 6.8462131E+002, 3.7505779E+002
 3.8900000E+002, 6.8563131E+002, 3.7587745E+002
 3.9000000E+002, 6.8664722E+002, 3.7613572E+002
 3.9100000E+002, 6.8766453E+002, 3.7566776E+002
 3.9200000E+002, 6.8869411E+002, 3.7452433E+002
 3.9300000E+002, 6.8972285E+002, 3.7264450E+002
 3.9400000E+002, 6.9076219E+002, 3.6996390E+002
 3.9500000E+002, 6.9180406E+002, 3.6658150E+002
 3.9600000E+002, 6.9285169E+002, 3.6228302E+002
 3.9700000E+002, 6.9390779E+002, 3.5728695E+002
 3.9800000E+002, 6.9496393E+002, 3.5135873E+002
 3.9900000E+002, 6.9603473E+002, 3.4467717E+002
 4.0000000E+002, 6.9710261E+002, 3.3709323E+002
 4.0100000E+002, 6.9818395E+002, 3.2870258E+002
 4.0200000E+002, 6.9926415E+002, 3.1955417E+002
 4.0300000E+002, 7.0035118E+002, 3.0953764E+002
 4.0400000E+002, 7.0144631E+002, 2.9891457E+002
 4.0500000E+002, 7.0253780E+002, 2.8747612E+002
 4.0600000E+002, 7.0364407E+002, 2.7548747E+002
 4.0700000E+002, 7.0474307E+002, 2.6285213E+002
