s,[K],[mg],[W/g]
Time,"Temperature","Mass","Heat Flow"
 0.0000000E+000, 3.0015000E+002, 5.0000000E+000, 0.0000000E+000
 1.1000000E+000, 3.0019619E+002, 5.0000000E+000, 1.9685092E-001
 2.0000000E+000, 3.0034313E+002, 5.0000000E+000, 3.2672445E-001
 3.0000000E+000, 3.0050358E+002, 5.0000000E+000, 3.6945391E-001
 4.0000000E+000, 3.0066844E+002, 5.0000000E+000, 3.8244053E-001
 5.1000000E+000, 3.0084093E+002, 5.0000000E+000, 3.3283672E-001
 6.1000000E+000, 3.0101460E+002, 5.0000000E+000, 3.3611925E-001
 7.1000000E+000, 3.0117330E+002, 5.0000000E+000, 3.1464768E-001
 8.1000000E+000, 3.0134827E+002, 5.0000000E+000, 4.1190999E-001
 9.1000000E+000, 3.0151619E+002, 5.0000000E+000, 3.4707557E-001
 1.0100000E+001, 3.0168241E+002, 5.0000000E+000, 3.5522995E-001
 1.1100000E+001, 3.0184331E+002, 5.0000000E+000, 3.2372211E-001
 1.2100000E+001, 3.0201015E+002, 5.0000000E+000, 3.2904375E-001
 1.3100000E+001, 3.0218295E+002, 5.0000000E+000, 3.7229124E-001
 1.4100000E+001, 3.0234835E+002, 5.0000000E+000, 3.8287066E-001
 1.5100000E+001, 3.0251242E+002, 5.0000000E+000, 3.3692105E-001
 1.6100000E+001, 3.0267872E+002, 5.0000000E+000, 3.4468185E-001
 1.7100000E+001, 3.0284945E+002, 5.0000000E+000, 3.3222117E-001
 1.8100000E+001, 3.0301087E+002, 5.0000000E+000, 3.6353149E-001
 1.9000000E+001, 3.0317167E+002, 5.0000000E+000, 3.3847476E-001
 2.0000000E+001, 3.0332842E+002, 5.0000000E+000, 3.8255322E-001
 2.1000000E+001, 3.0350123E+002, 5.0000000E+000, 3.6060823E-001
 2.2000000E+001, 3.0366314E+002, 5.0000000E+000, 3.2453744E-001
 2.3000000E+001, 3.0383012E+002, 5.0000000E+000, 3.2916735E-001
 2.4000000E+001, 3.0400295E+002, 5.0000000E+000, 3.7230997E-001
 2.5000000E+001, 3.0416835E+002, 5.0000000E+000, 3.8287350E-001
 2.6000000E+001, 3.0433242E+002, 5.0000000E+000, 3.3692148E-001
 2.7000000E+001, 3.0449872E+002, 5.0000000E+000, 3.4468192E-001
 2.8000000E+001, 3.0466945E+002, 5.0000000E+000, 3.3222118E-001
 2.9000000E+001, 3.0483087E+002, 5.0000000E+000, 3.6353149E-001
 3.0000000E+001, 3.0500020E+002, 5.0000000E+000, 3.5616972E-001
 3.1000000E+001, 3.0516572E+002, 5.0000000E+000, 3.6748771E-001
 3.2000000E+001, 3.0533770E+002, 5.0000000E+000, 3.4931564E-001
 3.3000000E+001, 3.0549825E+002, 5.0000000E+000, 3.1944638E-001
 3.4000000E+001, 3.0566541E+002, 5.0000000E+000, 3.2328029E-001
 3.5000000E+001, 3.0583043E+002, 5.0000000E+000, 4.0205851E-001
 3.6000000E+001, 3.0600424E+002, 5.0000000E+000, 3.7424540E-001
 3.7000000E+001, 3.0616779E+002, 5.0000000E+000, 3.3068551E-001
 3.8000000E+001, 3.0633456E+002, 5.0000000E+000, 3.3627670E-001
 3.9000000E+001, 3.0649330E+002, 5.0000000E+000, 3.1467154E-001
 4.0000000E+001, 3.0666827E+002, 5.0000000E+000, 4.1191361E-001
 4.1000000E+001, 3.0683619E+002, 5.0000000E+000, 3.4707612E-001
 4.2000000E+001, 3.0700241E+002, 5.0000000E+000, 3.5523003E-001
 4.3000000E+001, 3.0716331E+002, 5.0000000E+000, 3.2372212E-001
 4.4000000E+001, 3.0733015E+002, 5.0000000E+000, 3.2904375E-001
 4.5000000E+001, 3.0750295E+002, 5.0000000E+000, 3.7229124E-001
 4.6000000E+001, 3.0766835E+002, 5.0000000E+000, 3.8287066E-001
 4.7000000E+001, 3.0783242E+002, 5.0000000E+000, 3.3692105E-001
 4.8000000E+001, 3.0799872E+002, 5.0000000E+000, 3.4468185E-001
 4.9000000E+001, 3.0816945E+002, 5.0000000E+000, 3.3222117E-001
 5.0000000E+001, 3.0833087E+002, 5.0000000E+000, 3.6353149E-001
 5.1000000E+001, 3.0850020E+002, 5.0000000E+000, 3.5616972E-001
 5.2000000E+001, 3.0866572E+002, 5.0000000E+000, 3.6748771E-001
 5.3000000E+001, 3.0883770E+002, 5.0000000E+000, 3.4931564E-001
 5.4000000E+001, 3.0899825E+002, 5.0000000E+000, 3.1944638E-001
 5.5000000E+001, 3.0916541E+002, 5.0000000E+000, 3.2328029E-001
 5.6000000E+001, 3.0933043E+002, 5.0000000E+000, 4.0205851E-001
 5.7000000E+001, 3.0950424E+002, 5.0000000E+000, 3.7424541E-001
 5.8000000E+001, 3.0966779E+002, 5.0000000E+000, 3.3068551E-001
 5.9000000E+001, 3.0983456E+002, 5.0000000E+000, 3.3627670E-001
