s,[K],[W/g]
Time,"Temperature","HRR"
 0.0000000E+000, 3.0015000E+002, 0.0000000E+000
 1.1000000E+000, 3.0044049E+002, 4.6573456E-016
 2.0000000E+000, 3.0125854E+002, 5.6461838E-016
 3.0000000E+000, 3.0217608E+002, 7.1056950E-016
 4.0000000E+000, 3.0316917E+002, 9.1060208E-016
 5.1000000E+000, 3.0421787E+002, 1.1832594E-015
 6.1000000E+000, 3.0526765E+002, 1.5324187E-015
 7.1000000E+000, 3.0626818E+002, 1.9596519E-015
 8.1000000E+000, 3.0726615E+002, 2.5007026E-015
 9.1000000E+000, 3.0826834E+002, 3.1868707E-015
 1.0100000E+001, 3.0926704E+002, 4.0549196E-015
 1.1100000E+001, 3.1026817E+002, 5.1496378E-015
 1.2100000E+001, 3.1126773E+002, 6.5337802E-015
 1.3100000E+001, 3.1226760E+002, 8.2715936E-015
 1.4100000E+001, 3.1326817E+002, 1.0463259E-014
 1.5100000E+001, 3.1426615E+002, 1.3209233E-014
 1.6100000E+001, 3.1526834E+002, 1.6655088E-014
 1.7100000E+001, 3.1626704E+002, 2.0968921E-014
 1.8100000E+001, 3.1726817E+002, 2.6353142E-014
 1.9000000E+001, 3.1821838E+002, 3.2703253E-014
 2.0000000E+001, 3.1916615E+002, 4.0548734E-014
 2.1000000E+001, 3.2016834E+002, 5.0767161E-014
 2.2000000E+001, 3.2116704E+002, 6.3471280E-014
 2.3000000E+001, 3.2216817E+002, 7.9219420E-014
 2.4000000E+001, 3.2316773E+002, 9.8794278E-014
 2.5000000E+001, 3.2416760E+002, 1.2295924E-013
 2.6000000E+001, 3.2516817E+002, 1.5292931E-013
 2.7000000E+001, 3.2616615E+002, 1.8986172E-013
 2.8000000E+001, 3.2716834E+002, 2.3545241E-013
 2.9000000E+001, 3.2816704E+002, 2.9160574E-013
 3.0000000E+001, 3.2916817E+002, 3.6057262E-013
 3.1000000E+001, 3.3016773E+002, 4.4551486E-013
 3.2000000E+001, 3.3116760E+002, 5.4942642E-013
 3.3000000E+001, 3.3216817E+002, 6.7714446E-013
 3.4000000E+001, 3.3316615E+002, 8.3313340E-013
 3.5000000E+001, 3.3416834E+002, 1.0239961E-012
 3.6000000E+001, 3.3516704E+002, 1.2570267E-012
 3.7000000E+001, 3.3616817E+002, 1.5407590E-012
 3.8000000E+001, 3.3716773E+002, 1.8872191E-012
 3.9000000E+001, 3.3816760E+002, 2.3074523E-012
 4.0000000E+001, 3.3916817E+002, 2.8196142E-012
 4.1000000E+001, 3.4016615E+002, 3.4399248E-012
 4.2000000E+001, 3.4116834E+002, 4.1926406E-012
 4.3000000E+001, 3.4216704E+002, 5.1041236E-012
 4.4000000E+001, 3.4316817E+002, 6.2049150E-012
 4.5000000E+001, 3.4416773E+002, 7.5382477E-012
 4.6000000E+001, 3.4516760E+002, 9.1425914E-012
 4.7000000E+001, 3.4616817E+002, 1.1082426E-011
 4.8000000E+001, 3.4716615E+002, 1.3413451E-011
 4.9000000E+001, 3.4816834E+002, 1.6220049E-011
 5.0000000E+001, 3.4916704E+002, 1.9592439E-011
 5.1000000E+001, 3.5016817E+002, 2.3634164E-011
 5.2000000E+001, 3.5116773E+002, 2.8492625E-011
 5.3000000E+001, 3.5216760E+002, 3.4294737E-011
 5.4000000E+001, 3.5316817E+002, 4.1257937E-011
 5.5000000E+001, 3.5416615E+002, 4.9563579E-011
 5.6000000E+001, 3.5516834E+002, 5.9490581E-011
 5.7000000E+001, 3.5616704E+002, 7.1332266E-011
 5.8000000E+001, 3.5716817E+002, 8.5422236E-011
 5.9000000E+001, 3.5816773E+002, 1.0223866E-010
 6.0000000E+001, 3.5916760E+002, 1.2217937E-010
 6.1000000E+001, 3.6016817E+002, 1.4594271E-010
 6.2000000E+001, 3.6116615E+002, 1.7409028E-010
 6.3000000E+001, 3.6216834E+002, 2.0750069E-010
 6.4000000E+001, 3.6316704E+002, 2.4708267E-010
 6.5000000E+001, 3.6416817E+002, 2.9386071E-010
 6.6000000E+001, 3.6516773E+002, 3.4931508E-010
 6.7000000E+001, 3.6616760E+002, 4.1463393E-010
 6.8000000E+001, 3.6716817E+002, 4.9195964E-010
 6.9000000E+001, 3.6816615E+002, 5.8295077E-010
 7.0000000E+001, 3.6916834E+002, 6.9025246E-010
 7.1000000E+001, 3.7016704E+002, 8.1655478E-010
 7.2000000E+001, 3.7116817E+002, 9.6486486E-010
 7.3000000E+001, 3.7216773E+002, 1.1395675E-009
 7.4000000E+001, 3.7316760E+002, 1.3440524E-009
 7.5000000E+001, 3.7416817E+002, 1.5846143E-009
 7.6100000E+001, 3.7521708E+002, 1.8815050E-009
 7.7100000E+001, 3.7626817E+002, 2.2316949E-009
 7.8100000E+001, 3.7726615E+002, 2.6231237E-009
 7.9100000E+001, 3.7826834E+002, 3.0810665E-009
 8.0100000E+001, 3.7926704E+002, 3.6158695E-009
 8.1100000E+001, 3.8026817E+002, 4.2389749E-009
 8.2100000E+001, 3.8126773E+002, 4.9672963E-009
 8.3100000E+001, 3.8226760E+002, 5.8132485E-009
 8.4100000E+001, 3.8326817E+002, 6.8008862E-009
 8.5100000E+001, 3.8426615E+002, 7.9471533E-009
 8.6100000E+001, 3.8526834E+002, 9.2805435E-009
 8.7100000E+001, 3.8626704E+002, 1.0828902E-008
 8.8100000E+001, 3.8726817E+002, 1.2622779E-008
 8.9100000E+001, 3.8826773E+002, 1.4707870E-008
 9.0100000E+001, 3.8926760E+002, 1.7116323E-008
 9.1100000E+001, 3.9026817E+002, 1.9912717E-008
 9.2100000E+001, 3.9126615E+002, 2.3140564E-008
 9.3100000E+001, 3.9226834E+002, 2.6875046E-008
 9.4100000E+001, 3.9326704E+002, 3.1188331E-008
 9.5100000E+001, 3.9426817E+002, 3.6158977E-008
 9.6100000E+001, 3.9526773E+002, 4.1906022E-008
 9.7100000E+001, 3.9626760E+002, 4.8509552E-008
 9.8100000E+001, 3.9726817E+002, 5.6136858E-008
 9.9100000E+001, 3.9826615E+002, 6.4895505E-008
 1.0010000E+002, 3.9926834E+002, 7.4976982E-008
 1.0110000E+002, 4.0026704E+002, 8.6561765E-008
 1.0210000E+002, 4.0126817E+002, 9.9844803E-008
 1.0310000E+002, 4.0226773E+002, 1.1512570E-007
 1.0410000E+002, 4.0326760E+002, 1.3259667E-007
 1.0510000E+002, 4.0426817E+002, 1.5267672E-007
 1.0610000E+002, 4.0526615E+002, 1.7562227E-007
 1.0710000E+002, 4.0626834E+002, 2.0190500E-007
 1.0810000E+002, 4.0726704E+002, 2.3196121E-007
 1.0910000E+002, 4.0826817E+002, 2.6625863E-007
 1.1010000E+002, 4.0926773E+002, 3.0552713E-007
 1.1110000E+002, 4.1026760E+002, 3.5021198E-007
 1.1210000E+002, 4.1126817E+002, 4.0132951E-007
 1.1310000E+002, 4.1226615E+002, 4.5947017E-007
 1.1410000E+002, 4.1326834E+002, 5.2575963E-007
 1.1510000E+002, 4.1426704E+002, 6.0121929E-007
 1.1610000E+002, 4.1526817E+002, 6.8693589E-007
 1.1710000E+002, 4.1626773E+002, 7.8463342E-007
 1.1810000E+002, 4.1726760E+002, 8.9530866E-007
 1.1910000E+002, 4.1826817E+002, 1.0213533E-006
 1.2010000E+002, 4.1926615E+002, 1.1640823E-006
 1.2110000E+002, 4.2026834E+002, 1.3261027E-006
 1.2210000E+002, 4.2126704E+002, 1.5097336E-006
 1.2310000E+002, 4.2226817E+002, 1.7174244E-006
 1.2410000E+002, 4.2326773E+002, 1.9531296E-006
 1.2510000E+002, 4.2426760E+002, 2.2190082E-006
 1.2610000E+002, 4.2526817E+002, 2.5205290E-006
 1.2710000E+002, 4.2626615E+002, 2.8605280E-006
 1.2810000E+002, 4.2726834E+002, 3.2448732E-006
 1.2910000E+002, 4.2826704E+002, 3.6786801E-006
 1.3010000E+002, 4.2926817E+002, 4.1673113E-006
 1.3110000E+002, 4.3026773E+002, 4.7195889E-006
 1.3210000E+002, 4.3126760E+002, 5.3400425E-006
 1.3310000E+002, 4.3226817E+002, 6.0408401E-006
 1.3410000E+002, 4.3326615E+002, 6.8279115E-006
 1.3510000E+002, 4.3426834E+002, 7.7141123E-006
 1.3610000E+002, 4.3526704E+002, 8.7104188E-006
 1.3710000E+002, 4.3626817E+002, 9.8282516E-006
 1.3810000E+002, 4.3726773E+002, 1.1086780E-005
 1.3910000E+002, 4.3826760E+002, 1.2495215E-005
 1.4010000E+002, 4.3926817E+002, 1.4079938E-005
 1.4110000E+002, 4.4026615E+002, 1.5852979E-005
 1.4210000E+002, 4.4126834E+002, 1.7841790E-005
 1.4310000E+002, 4.4226704E+002, 2.0069309E-005
 1.4410000E+002, 4.4326817E+002, 2.2559227E-005
 1.4510000E+002, 4.4426773E+002, 2.5352163E-005
 1.4610000E+002, 4.4526760E+002, 2.8466289E-005
 1.4710000E+002, 4.4626817E+002, 3.1957405E-005
 1.4810000E+002, 4.4726615E+002, 3.5849217E-005
 1.4910000E+002, 4.4826834E+002, 4.0198921E-005
 1.5010000E+002, 4.4926704E+002, 4.5053274E-005
 1.5110000E+002, 4.5026817E+002, 5.0460203E-005
 1.5210000E+002, 4.5126773E+002, 5.6503739E-005
 1.5310000E+002, 4.5226760E+002, 6.3218676E-005
 1.5410000E+002, 4.5326817E+002, 7.0720302E-005
 1.5510000E+002, 4.5426615E+002, 7.9054001E-005
 1.5610000E+002, 4.5526834E+002, 8.8336215E-005
 1.5710000E+002, 4.5626704E+002, 9.8659990E-005
 1.5810000E+002, 4.5726817E+002, 1.1011998E-004
 1.5910000E+002, 4.5826772E+002, 1.2288613E-004
 1.6010000E+002, 4.5926760E+002, 1.3702309E-004
 1.6110000E+002, 4.6026817E+002, 1.5276380E-004
 1.6210000E+002, 4.6126615E+002, 1.7019270E-004
 1.6310000E+002, 4.6226834E+002, 1.8954165E-004
 1.6410000E+002, 4.6326704E+002, 2.1099165E-004
 1.6510000E+002, 4.6426817E+002, 2.3472540E-004
 1.6610000E+002, 4.6526772E+002, 2.6107919E-004
 1.6710000E+002, 4.6626760E+002, 2.9016963E-004
 1.6810000E+002, 4.6726817E+002, 3.2245739E-004
 1.6910000E+002, 4.6826615E+002, 3.5809526E-004
 1.7010000E+002, 4.6926833E+002, 3.9753527E-004
 1.7110000E+002, 4.7026703E+002, 4.4112185E-004
 1.7210000E+002, 4.7126816E+002, 4.8920001E-004
 1.7310000E+002, 4.7226772E+002, 5.4242166E-004
 1.7410000E+002, 4.7326760E+002, 6.0099070E-004
 1.7510000E+002, 4.7426817E+002, 6.6579986E-004
 1.7610000E+002, 4.7526614E+002, 7.3711785E-004
 1.7710000E+002, 4.7626833E+002, 8.1580833E-004
 1.7810000E+002, 4.7726703E+002, 9.0251322E-004
 1.7910000E+002, 4.7826816E+002, 9.9787047E-004
 1.8010000E+002, 4.7926771E+002, 1.1031191E-003
 1.8110000E+002, 4.8026759E+002, 1.2186045E-003
 1.8210000E+002, 4.8126816E+002, 1.3460234E-003
 1.8310000E+002, 4.8226613E+002, 1.4858347E-003
 1.8410000E+002, 4.8326832E+002, 1.6396571E-003
 1.8510000E+002, 4.8426702E+002, 1.8086635E-003
 1.8610000E+002, 4.8526815E+002, 1.9940099E-003
 1.8710000E+002, 4.8626770E+002, 2.1980071E-003
 1.8810000E+002, 4.8726758E+002, 2.4212205E-003
 1.8910000E+002, 4.8826815E+002, 2.6668156E-003
 1.9010000E+002, 4.8926612E+002, 2.9355529E-003
 1.9110000E+002, 4.9026830E+002, 3.2304112E-003
 1.9210000E+002, 4.9126700E+002, 3.5534923E-003
 1.9310000E+002, 4.9226813E+002, 3.9068509E-003
 1.9410000E+002, 4.9326768E+002, 4.2947202E-003
 1.9510000E+002, 4.9426756E+002, 4.7179911E-003
 1.9610000E+002, 4.9526812E+002, 5.1824655E-003
 1.9710000E+002, 4.9626609E+002, 5.6893634E-003
 1.9810000E+002, 4.9726827E+002, 6.2440710E-003
 1.9910000E+002, 4.9826697E+002, 6.8502865E-003
 2.0010000E+002, 4.9926809E+002, 7.5115944E-003
 2.0110000E+002, 5.0026764E+002, 8.2356170E-003
 2.0210000E+002, 5.0126751E+002, 9.0236981E-003
 2.0310000E+002, 5.0226807E+002, 9.8862919E-003
 2.0410000E+002, 5.0326604E+002, 1.0825287E-002
 2.0510000E+002, 5.0426822E+002, 1.1850261E-002
 2.0610000E+002, 5.0526691E+002, 1.2967606E-002
 2.0710000E+002, 5.0626802E+002, 1.4183465E-002
 2.0810000E+002, 5.0726757E+002, 1.5511337E-002
 2.0910000E+002, 5.0826743E+002, 1.6953143E-002
 2.1010000E+002, 5.0926799E+002, 1.8527415E-002
 2.1110000E+002, 5.1026595E+002, 2.0236958E-002
 2.1210000E+002, 5.1126812E+002, 2.2098530E-002
 2.1310000E+002, 5.1226680E+002, 2.4122995E-002
 2.1410000E+002, 5.1326790E+002, 2.6320700E-002
 2.1510000E+002, 5.1426744E+002, 2.8715178E-002
 2.1610000E+002, 5.1526729E+002, 3.1308974E-002
 2.1710000E+002, 5.1626783E+002, 3.4134433E-002
 2.1810000E+002, 5.1726578E+002, 3.7195517E-002
 2.1910000E+002, 5.1826794E+002, 4.0521093E-002
 2.2010000E+002, 5.1926660E+002, 4.4129332E-002
 2.2110000E+002, 5.2026769E+002, 4.8037366E-002
 2.2210000E+002, 5.2126721E+002, 5.2285606E-002
 2.2310000E+002, 5.2226704E+002, 5.6877046E-002
 2.2410000E+002, 5.2326756E+002, 6.1867298E-002
 2.2510000E+002, 5.2426549E+002, 6.7261585E-002
 2.2610000E+002, 5.2526762E+002, 7.3108908E-002
 2.2710000E+002, 5.2626626E+002, 7.9439172E-002
 2.2810000E+002, 5.2726732E+002, 8.6280297E-002
 2.2910000E+002, 5.2826681E+002, 9.3700665E-002
 2.3010000E+002, 5.2926661E+002, 1.0170302E-001
 2.3110000E+002, 5.3026710E+002, 1.1038161E-001
 2.3210000E+002, 5.3126499E+002, 1.1974261E-001
 2.3310000E+002, 5.3226708E+002, 1.2986804E-001
 2.3410000E+002, 5.3326568E+002, 1.4080636E-001
 2.3510000E+002, 5.3426669E+002, 1.5260235E-001
 2.3610000E+002, 5.3526613E+002, 1.6537011E-001
 2.3710000E+002, 5.3626588E+002, 1.7911034E-001
 2.3810000E+002, 5.3726631E+002, 1.9398055E-001
 2.3910000E+002, 5.3826414E+002, 2.0998668E-001
 2.4010000E+002, 5.3926616E+002, 2.2726408E-001
 2.4110000E+002, 5.4026469E+002, 2.4589013E-001
 2.4210000E+002, 5.4126563E+002, 2.6593552E-001
 2.4310000E+002, 5.4226499E+002, 2.8758808E-001
 2.4410000E+002, 5.4326465E+002, 3.1084255E-001
 2.4510000E+002, 5.4426499E+002, 3.3595867E-001
 2.4610000E+002, 5.4526272E+002, 3.6293903E-001
 2.4710000E+002, 5.4626464E+002, 3.9200403E-001
 2.4810000E+002, 5.4726305E+002, 4.2327540E-001
 2.4910000E+002, 5.4826387E+002, 4.5686303E-001
 2.5010000E+002, 5.4926310E+002, 4.9307199E-001
 2.5110000E+002, 5.5026262E+002, 5.3188333E-001
 2.5210000E+002, 5.5126281E+002, 5.7371970E-001
 2.5310000E+002, 5.5226038E+002, 6.1857364E-001
 2.5410000E+002, 5.5326213E+002, 6.6679943E-001
 2.5510000E+002, 5.5426036E+002, 7.1858566E-001
 2.5610000E+002, 5.5526098E+002, 7.7410046E-001
 2.5710000E+002, 5.5626000E+002, 8.3383296E-001
 2.5810000E+002, 5.5725930E+002, 8.9773578E-001
 2.5910000E+002, 5.5825926E+002, 9.6648795E-001
 2.6010000E+002, 5.5925657E+002, 1.0400586E+000
 2.6110000E+002, 5.6025806E+002, 1.1190097E+000
 2.6210000E+002, 5.6125600E+002, 1.2036292E+000
 2.6310000E+002, 5.6225632E+002, 1.2941699E+000
 2.6410000E+002, 5.6325502E+002, 1.3914059E+000
 2.6510000E+002, 5.6425397E+002, 1.4952348E+000
 2.6610000E+002, 5.6525356E+002, 1.6067336E+000
 2.6710000E+002, 5.6625048E+002, 1.7258225E+000
 2.6810000E+002, 5.6725154E+002, 1.8533821E+000
 2.6910000E+002, 5.6824904E+002, 1.9898439E+000
 2.7010000E+002, 5.6924889E+002, 2.1355818E+000
 2.7110000E+002, 5.7024708E+002, 2.2918050E+000
 2.7210000E+002, 5.7124550E+002, 2.4583082E+000
 2.7310000E+002, 5.7224452E+002, 2.6367780E+000
 2.7410000E+002, 5.7324084E+002, 2.8270398E+000
 2.7510000E+002, 5.7424127E+002, 3.0304539E+000
 2.7610000E+002, 5.7523809E+002, 3.2476564E+000
 2.7710000E+002, 5.7623721E+002, 3.4791877E+000
 2.7810000E+002, 5.7723464E+002, 3.7269120E+000
 2.7910000E+002, 5.7823224E+002, 3.9904376E+000
 2.8010000E+002, 5.7923040E+002, 4.2723716E+000
 2.8110000E+002, 5.8022580E+002, 4.5723613E+000
 2.8210000E+002, 5.8122525E+002, 4.8924768E+000
 2.8310000E+002, 5.8222105E+002, 5.2336422E+000
 2.8410000E+002, 5.8321908E+002, 5.5966090E+000
 2.8510000E+002, 5.8421535E+002, 5.9842167E+000
 2.8610000E+002, 5.8521174E+002, 6.3957425E+000
 2.8710000E+002, 5.8620861E+002, 6.8351607E+000
 2.8810000E+002, 5.8720264E+002, 7.3017931E+000
 2.8910000E+002, 5.8820066E+002, 7.7987507E+000
 2.9010000E+002, 5.8919492E+002, 8.3273175E+000
 2.9110000E+002, 5.9019135E+002, 8.8885307E+000
 2.9210000E+002, 5.9118592E+002, 9.4866269E+000
 2.9310000E+002, 5.9218050E+002, 1.0120309E+001
 2.9410000E+002, 5.9317548E+002, 1.0795547E+001
 2.9510000E+002, 5.9416751E+002, 1.1511079E+001
 2.9610000E+002, 5.9516342E+002, 1.2271496E+001
 2.9710000E+002, 5.9615546E+002, 1.3078529E+001
 2.9810000E+002, 5.9714954E+002, 1.3933523E+001
 2.9910000E+002, 5.9814165E+002, 1.4842705E+001
 3.0010000E+002, 5.9913362E+002, 1.5803778E+001
 3.0110000E+002, 6.0012585E+002, 1.6825539E+001
 3.0200000E+002, 6.0106550E+002, 1.7850376E+001
 3.0300000E+002, 6.0200866E+002, 1.8932463E+001
 3.0400000E+002, 6.0299843E+002, 2.0139503E+001
 3.0500000E+002, 6.0398796E+002, 2.1413162E+001
 3.0600000E+002, 6.0497765E+002, 2.2764912E+001
 3.0700000E+002, 6.0596411E+002, 2.4191299E+001
 3.0800000E+002, 6.0695418E+002, 2.5700801E+001
 3.0900000E+002, 6.0794008E+002, 2.7295913E+001
 3.1000000E+002, 6.0892770E+002, 2.8978249E+001
 3.1100000E+002, 6.0991306E+002, 3.0759335E+001
 3.1200000E+002, 6.1089796E+002, 3.2633266E+001
 3.1300000E+002, 6.1188284E+002, 3.4616441E+001
 3.1400000E+002, 6.1286425E+002, 3.6702728E+001
 3.1500000E+002, 6.1384903E+002, 3.8903763E+001
 3.1600000E+002, 6.1482942E+002, 4.1222342E+001
 3.1700000E+002, 6.1581136E+002, 4.3659879E+001
 3.1800000E+002, 6.1679079E+002, 4.6232068E+001
 3.1900000E+002, 6.1776947E+002, 4.8928817E+001
 3.2000000E+002, 6.1874789E+002, 5.1772888E+001
 3.2100000E+002, 6.1972257E+002, 5.4753833E+001
 3.2200000E+002, 6.2070048E+002, 5.7887510E+001
 3.2300000E+002, 6.2167370E+002, 6.1175796E+001
 3.2400000E+002, 6.2264813E+002, 6.4618690E+001
 3.2500000E+002, 6.2361983E+002, 6.8237491E+001
 3.2600000E+002, 6.2459054E+002, 7.2015281E+001
 3.2700000E+002, 6.2556078E+002, 7.5982992E+001
 3.2800000E+002, 6.2652696E+002, 8.0122433E+001
 3.2900000E+002, 6.2749614E+002, 8.4454281E+001
 3.3000000E+002, 6.2846034E+002, 8.8978000E+001
 3.3100000E+002, 6.2942567E+002, 9.3691735E+001
 3.3200000E+002, 6.3038799E+002, 9.8622017E+001
 3.3300000E+002, 6.3134896E+002, 1.0374008E+002
 3.3400000E+002, 6.3230950E+002, 1.0908907E+002
 3.3500000E+002, 6.3326560E+002, 1.1463627E+002
 3.3600000E+002, 6.3422474E+002, 1.2040984E+002
 3.3700000E+002, 6.3517853E+002, 1.2640203E+002
 3.3800000E+002, 6.3613347E+002, 1.3260752E+002
 3.3900000E+002, 6.3708516E+002, 1.3905731E+002
 3.4000000E+002, 6.3803559E+002, 1.4570850E+002
 3.4100000E+002, 6.3898544E+002, 1.5261291E+002
 3.4200000E+002, 6.3993077E+002, 1.5972108E+002
 3.4300000E+002, 6.4087937E+002, 1.6706727E+002
 3.4400000E+002, 6.4182261E+002, 1.7463341E+002
 3.4500000E+002, 6.4276716E+002, 1.8240568E+002
 3.4600000E+002, 6.4370865E+002, 1.9042185E+002
 3.4700000E+002, 6.4464874E+002, 1.9861068E+002
 3.4800000E+002, 6.4558909E+002, 2.0704549E+002
 3.4900000E+002, 6.4652503E+002, 2.1564523E+002
 3.5000000E+002, 6.4746451E+002, 2.2444721E+002
 3.5100000E+002, 6.4839909E+002, 2.3342235E+002
 3.5200000E+002, 6.4933546E+002, 2.4254015E+002
 3.5300000E+002, 6.5026980E+002, 2.5185445E+002
 3.5400000E+002, 6.5120300E+002, 2.6124708E+002
 3.5500000E+002, 6.5213732E+002, 2.7081403E+002
 3.5600000E+002, 6.5306781E+002, 2.8043379E+002
 3.5700000E+002, 6.5400360E+002, 2.9016281E+002
 3.5800000E+002, 6.5493491E+002, 2.9993376E+002
 3.5900000E+002, 6.5586924E+002, 3.0970631E+002
 3.6000000E+002, 6.5680243E+002, 3.1953534E+002
 3.6100000E+002, 6.5773636E+002, 3.2927120E+002
 3.6200000E+002, 6.5867306E+002, 3.3902434E+002
 3.6300000E+002, 6.5960692E+002, 3.4861501E+002
 3.6400000E+002, 6.6054814E+002, 3.5811727E+002
 3.6500000E+002, 6.6148650E+002, 3.6743732E+002
 3.6600000E+002, 6.6243018E+002, 3.7650888E+002
 3.6700000E+002, 6.6337466E+002, 3.8540510E+002
 3.6800000E+002, 6.6432124E+002, 3.9388822E+002
 3.6900000E+002, 6.6527409E+002, 4.0214443E+002
 3.7000000E+002, 6.6622524E+002, 4.0988795E+002
 3.7100000E+002, 6.6718742E+002, 4.1724778E+002
 3.7200000E+002, 6.6814793E+002, 4.2404840E+002
 3.7300000E+002, 6.6911780E+002, 4.3025619E+002
 3.7400000E+002, 6.7009066E+002, 4.3592030E+002
 3.7500000E+002, 6.7106869E+002, 4.4075927E+002
 3.7600000E+002, 6.7205618E+002, 4.4499198E+002
 3.7700000E+002, 6.7304391E+002, 4.4824617E+002
 3.7800000E+002, 6.7404793E+002, 4.5073932E+002
 3.7900000E+002, 6.7505187E+002, 4.5219813E+002
 3.8000000E+002, 6.7606909E+002, 4.5261170E+002
 3.8100000E+002, 6.7709101E+002, 4.5203906E+002
 3.8200000E+002, 6.7812163E+002, 4.5016362E+002
 3.8300000E+002, 6.7916578E+002, 4.4730245E+002
 3.8400000E+002, 6.8021241E+002, 4.4299631E+002
 3.8500000E+002, 6.8127833E+002, 4.3752192E+002
 3.8600000E+002, 6.8234520E+002, 4.3061380E+002
 3.8700000E+002, 6.8342936E+002, 4.2233340E+002
 3.8800000E+002, 6.8451792E+002, 4.1276372E+002
 3.8900000E+002, 6.8561699E+002, 4.0162478E+002
 3.9000000E+002, 6.8672903E+002, 3.8934606E+002
 3.9100000E+002, 6.8784278E+002, 3.7550666E+002
 3.9200000E+002, 6.8897789E+002, 3.6058528E+002
 3.9300000E+002, 6.9010829E+002, 3.4425334E+002
 3.9400000E+002, 6.9125910E+002, 3.2690056E+002
 3.9500000E+002, 6.9240280E+002, 3.0855953E+002
 3.9600000E+002, 6.9355794E+002, 2.8927414E+002
 3.9700000E+002, 6.9471595E+002, 2.6949787E+002
 3.9800000E+002, 6.9586939E+002, 2.4908010E+002
 3.9900000E+002, 6.9703605E+002, 2.2857436E+002
 4.0000000E+002, 6.9818957E+002, 2.0786747E+002
 4.0100000E+002, 6.9935318E+002, 1.8747336E+002
 4.0200000E+002, 7.0049620E+002, 1.6748121E+002
 4.0300000E+002, 7.0164502E+002, 1.4813257E+002
 4.0400000E+002, 7.0277956E+002, 1.2976158E+002
 4.0500000E+002, 7.0389986E+002, 1.1239409E+002
 4.0600000E+002, 7.0502423E+002, 9.6325836E+001
 4.0700000E+002, 7.0612646E+002, 8.1533507E+001
