s,[K],[mg],[W/g]
Time,"Temperature","Mass","Heat Flow"
 0.0000000E+000, 3.0015000E+002, 5.0000000E+000, 0.0000000E+000
 1.1000000E+000, 3.0019233E+002, 5.0000000E+000, 2.1161418E-001
 2.0000000E+000, 3.0033336E+002, 5.0000000E+000, 3.6653083E-001
 3.0000000E+000, 3.0049192E+002, 5.0000000E+000, 4.1687875E-001
 4.0000000E+000, 3.0065624E+002, 5.0000000E+000, 4.3261959E-001
 5.1000000E+000, 3.0082900E+002, 5.0000000E+000, 3.8237512E-001
 6.1000000E+000, 3.0100255E+002, 5.0000000E+000, 3.8614952E-001
 7.1000000E+000, 3.0116186E+002, 5.0000000E+000, 3.6220866E-001
 8.1000000E+000, 3.0133565E+002, 5.0000000E+000, 4.6318918E-001
 9.1000000E+000, 3.0150403E+002, 5.0000000E+000, 3.9750258E-001
 1.0100000E+001, 3.0167011E+002, 5.0000000E+000, 4.0614845E-001
 1.1100000E+001, 3.0183161E+002, 5.0000000E+000, 3.7234005E-001
 1.2100000E+001, 3.0199822E+002, 5.0000000E+000, 3.7859070E-001
 1.3100000E+001, 3.0217069E+002, 5.0000000E+000, 4.2245782E-001
 1.4100000E+001, 3.0233601E+002, 5.0000000E+000, 4.3366619E-001
 1.5100000E+001, 3.0250049E+002, 5.0000000E+000, 3.8641797E-001
 1.6100000E+001, 3.0266655E+002, 5.0000000E+000, 3.9515326E-001
 1.7100000E+001, 3.0283727E+002, 5.0000000E+000, 3.8287028E-001
 1.8100000E+001, 3.0299906E+002, 5.0000000E+000, 4.1177669E-001
 1.9000000E+001, 3.0315970E+002, 5.0000000E+000, 3.8807022E-001
 2.0000000E+001, 3.0331613E+002, 5.0000000E+000, 4.3312329E-001
 2.1000000E+001, 3.0348863E+002, 5.0000000E+000, 4.1283063E-001
 2.2000000E+001, 3.0365133E+002, 5.0000000E+000, 3.7359358E-001
 2.3000000E+001, 3.0381817E+002, 5.0000000E+000, 3.7882585E-001
 2.4000000E+001, 3.0399068E+002, 5.0000000E+000, 4.2250193E-001
 2.5000000E+001, 3.0415601E+002, 5.0000000E+000, 4.3367446E-001
 2.6000000E+001, 3.0432049E+002, 5.0000000E+000, 3.8641952E-001
 2.7000000E+001, 3.0448655E+002, 5.0000000E+000, 3.9515355E-001
 2.8000000E+001, 3.0465727E+002, 5.0000000E+000, 3.8287034E-001
 2.9000000E+001, 3.0481906E+002, 5.0000000E+000, 4.1177670E-001
 3.0000000E+001, 3.0498812E+002, 5.0000000E+000, 4.0609199E-001
 3.1000000E+001, 3.0515342E+002, 5.0000000E+000, 4.1829970E-001
 3.2000000E+001, 3.0532522E+002, 5.0000000E+000, 4.0113404E-001
 3.3000000E+001, 3.0548658E+002, 5.0000000E+000, 3.6794323E-001
 3.4000000E+001, 3.0565360E+002, 5.0000000E+000, 3.7236923E-001
 3.5000000E+001, 3.0581824E+002, 5.0000000E+000, 4.5151929E-001
 3.6000000E+001, 3.0599156E+002, 5.0000000E+000, 4.2665793E-001
 3.7000000E+001, 3.0615585E+002, 5.0000000E+000, 3.8027323E-001
 3.8000000E+001, 3.0632248E+002, 5.0000000E+000, 3.8645864E-001
 3.9000000E+001, 3.0648184E+002, 5.0000000E+000, 3.6226665E-001
 4.0000000E+001, 3.0665565E+002, 5.0000000E+000, 4.6320006E-001
 4.1000000E+001, 3.0682403E+002, 5.0000000E+000, 3.9750462E-001
 4.2000000E+001, 3.0699011E+002, 5.0000000E+000, 4.0614883E-001
 4.3000000E+001, 3.0715161E+002, 5.0000000E+000, 3.7234012E-001
 4.4000000E+001, 3.0731822E+002, 5.0000000E+000, 3.7859071E-001
 4.5000000E+001, 3.0749069E+002, 5.0000000E+000, 4.2245782E-001
 4.6000000E+001, 3.0765601E+002, 5.0000000E+000, 4.3366619E-001
 4.7000000E+001, 3.0782049E+002, 5.0000000E+000, 3.8641797E-001
 4.8000000E+001, 3.0798655E+002, 5.0000000E+000, 3.9515326E-001
 4.9000000E+001, 3.0815727E+002, 5.0000000E+000, 3.8287028E-001
 5.0000000E+001, 3.0831906E+002, 5.0000000E+000, 4.1177669E-001
 5.1000000E+001, 3.0848812E+002, 5.0000000E+000, 4.0609199E-001
 5.2000000E+001, 3.0865342E+002, 5.0000000E+000, 4.1829970E-001
 5.3000000E+001, 3.0882522E+002, 5.0000000E+000, 4.0113404E-001
 5.4000000E+001, 3.0898658E+002, 5.0000000E+000, 3.6794323E-001
 5.5000000E+001, 3.0915360E+002, 5.0000000E+000, 3.7236923E-001
 5.6000000E+001, 3.0931824E+002, 5.0000000E+000, 4.5151929E-001
 5.7000000E+001, 3.0949156E+002, 5.0000000E+000, 4.2665793E-001
 5.8000000E+001, 3.0965585E+002, 5.0000000E+000, 3.8027323E-001
 5.9000000E+001, 3.0982248E+002, 5.0000000E+000, 3.8645864E-001
