s,C,m
Time,"HGL Temp","HGL Height"
 0.000E+00, 2.300E+01, 2.130E+00
 1.005E+01, 2.301E+01, 2.130E+00
 2.003E+01, 2.311E+01, 2.130E+00
 3.001E+01, 4.967E+01, 2.021E+00
 4.002E+01, 5.748E+01, 1.394E+00
 5.005E+01, 5.299E+01, 9.783E-01
 6.005E+01, 5.423E+01, 9.569E-01
 7.001E+01, 5.708E+01, 1.109E+00
 8.003E+01, 6.557E+01, 1.002E+00
 9.004E+01, 6.901E+01, 9.777E-01
 1.000E+02, 7.330E+01, 1.018E+00
 1.100E+02, 7.632E+01, 1.084E+00
 1.200E+02, 7.924E+01, 9.356E-01
 1.300E+02, 7.817E+01, 9.224E-01
 1.400E+02, 8.416E+01, 9.114E-01
 1.500E+02, 9.057E+01, 8.712E-01
 1.600E+02, 9.400E+01, 9.069E-01
 1.701E+02, 9.723E+01, 8.184E-01
 1.800E+02, 9.142E+01, 9.322E-01
 1.901E+02, 9.821E+01, 9.001E-01
 2.001E+02, 9.910E+01, 8.317E-01
 2.101E+02, 9.833E+01, 7.701E-01
 2.200E+02, 9.699E+01, 7.363E-01
 2.301E+02, 9.895E+01, 6.762E-01
 2.400E+02, 9.974E+01, 6.588E-01
 2.500E+02, 9.691E+01, 6.868E-01
 2.600E+02, 9.990E+01, 6.437E-01
 2.701E+02, 1.030E+02, 7.241E-01
 2.800E+02, 1.024E+02, 6.438E-01
 2.900E+02, 9.952E+01, 5.907E-01
 3.000E+02, 1.020E+02, 6.173E-01
 3.100E+02, 1.040E+02, 5.535E-01
 3.200E+02, 1.011E+02, 5.013E-01
 3.300E+02, 1.023E+02, 5.605E-01
 3.400E+02, 1.038E+02, 5.950E-01
 3.501E+02, 1.093E+02, 6.356E-01
 3.600E+02, 1.119E+02, 5.404E-01
 3.701E+02, 1.123E+02, 5.409E-01
 3.800E+02, 1.135E+02, 5.615E-01
 3.900E+02, 1.175E+02, 5.495E-01
 4.001E+02, 1.195E+02, 5.394E-01
 4.100E+02, 1.199E+02, 5.344E-01
 4.200E+02, 1.255E+02, 5.372E-01
 4.300E+02, 1.255E+02, 6.069E-01
 4.400E+02, 1.235E+02, 5.610E-01
 4.500E+02, 1.277E+02, 5.396E-01
 4.600E+02, 1.300E+02, 5.002E-01
 4.700E+02, 1.287E+02, 4.828E-01
 4.800E+02, 1.290E+02, 5.311E-01
 4.900E+02, 1.303E+02, 4.965E-01
 5.001E+02, 1.317E+02, 4.800E-01
 5.101E+02, 1.340E+02, 4.942E-01
 5.201E+02, 1.372E+02, 5.343E-01
 5.301E+02, 1.339E+02, 5.187E-01
 5.401E+02, 1.368E+02, 5.249E-01
 5.500E+02, 1.313E+02, 4.420E-01
 5.600E+02, 1.335E+02, 4.937E-01
 5.701E+02, 1.370E+02, 4.750E-01
 5.801E+02, 1.379E+02, 4.142E-01
 5.901E+02, 1.373E+02, 4.765E-01
 6.000E+02, 1.403E+02, 5.397E-01
 6.100E+02, 1.428E+02, 5.149E-01
 6.200E+02, 1.417E+02, 4.984E-01
 6.300E+02, 1.447E+02, 5.423E-01
 6.400E+02, 1.482E+02, 4.989E-01
 6.501E+02, 1.437E+02, 4.594E-01
 6.601E+02, 1.420E+02, 5.369E-01
 6.701E+02, 1.410E+02, 4.165E-01
 6.801E+02, 1.432E+02, 3.959E-01
 6.900E+02, 1.445E+02, 4.156E-01
 7.001E+02, 1.479E+02, 4.854E-01
 7.100E+02, 1.468E+02, 3.965E-01
 7.200E+02, 1.499E+02, 3.879E-01
