m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 3.409E+01, 2.000E-02, 2.370E+01,-7.010E-01
 6.860E-02, 3.410E+01, 6.865E-02, 2.319E+01,-7.118E-01
 1.172E-01, 3.515E+01, 1.173E-01, 2.310E+01,-7.063E-01
 1.658E-01, 3.657E+01, 1.659E-01, 2.311E+01,-7.043E-01
 2.144E-01, 3.782E+01, 2.146E-01, 2.312E+01,-7.014E-01
 2.630E-01, 3.891E+01, 2.632E-01, 2.313E+01,-7.077E-01
 3.116E-01, 3.970E+01, 3.119E-01, 2.314E+01,-7.017E-01
 3.602E-01, 4.061E+01, 3.605E-01, 2.315E+01,-6.923E-01
 4.088E-01, 4.183E+01, 4.092E-01, 2.315E+01,-6.882E-01
 4.574E-01, 4.326E+01, 4.578E-01, 2.316E+01,-6.785E-01
 5.060E-01, 4.491E+01, 5.065E-01, 2.316E+01,-6.656E-01
 5.547E-01, 4.643E+01, 5.551E-01, 2.317E+01,-6.622E-01
 6.033E-01, 4.833E+01, 6.038E-01, 2.317E+01,-6.409E-01
 6.519E-01, 5.122E+01, 6.524E-01, 2.317E+01,-6.163E-01
 7.005E-01, 5.517E+01, 7.011E-01, 2.318E+01,-6.060E-01
 7.491E-01, 5.976E+01, 7.497E-01, 2.320E+01,-5.820E-01
 7.977E-01, 6.405E+01, 7.984E-01, 2.328E+01,-5.565E-01
 8.463E-01, 6.872E+01, 8.470E-01, 2.379E+01,-5.266E-01
 8.949E-01, 7.384E+01, 8.957E-01, 2.560E+01,-4.827E-01
 9.435E-01, 8.045E+01, 9.443E-01, 3.230E+01,-3.777E-01
 9.921E-01, 8.475E+01, 9.930E-01, 4.721E+01,-9.373E-02
 1.041E+00, 8.814E+01, 1.042E+00, 6.220E+01, 2.570E-01
 1.089E+00, 9.160E+01, 1.090E+00, 7.364E+01, 4.434E-01
 1.138E+00, 9.530E+01, 1.139E+00, 8.304E+01, 6.087E-01
 1.187E+00, 9.771E+01, 1.188E+00, 8.839E+01, 6.846E-01
 1.235E+00, 9.956E+01, 1.236E+00, 9.165E+01, 7.480E-01
 1.284E+00, 1.003E+02, 1.285E+00, 9.415E+01, 8.048E-01
 1.332E+00, 1.006E+02, 1.334E+00, 9.622E+01, 8.565E-01
 1.381E+00, 1.018E+02, 1.382E+00, 9.854E+01, 9.237E-01
 1.430E+00, 1.039E+02, 1.431E+00, 1.016E+02, 9.864E-01
 1.478E+00, 1.053E+02, 1.479E+00, 1.030E+02, 1.060E+00
 1.527E+00, 1.067E+02, 1.528E+00, 1.043E+02, 1.149E+00
 1.575E+00, 1.076E+02, 1.577E+00, 1.056E+02, 1.241E+00
 1.624E+00, 1.087E+02, 1.625E+00, 1.068E+02, 1.330E+00
 1.673E+00, 1.094E+02, 1.674E+00, 1.080E+02, 1.450E+00
 1.721E+00, 1.098E+02, 1.723E+00, 1.092E+02, 1.655E+00
 1.770E+00, 1.101E+02, 1.771E+00, 1.106E+02, 1.783E+00
 1.818E+00, 1.103E+02, 1.820E+00, 1.111E+02, 1.246E+00
 1.867E+00, 1.101E+02,NaN,NaN,NaN
 1.916E+00, 1.102E+02,NaN,NaN,NaN
 1.964E+00, 1.107E+02,NaN,NaN,NaN
 2.013E+00, 1.113E+02,NaN,NaN,NaN
 2.061E+00, 1.119E+02,NaN,NaN,NaN
 2.110E+00, 1.107E+02,NaN,NaN,NaN
