m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 4.051E+01, 2.000E-02, 3.058E+01,-6.416E-01
 6.860E-02, 4.047E+01, 6.865E-02, 2.942E+01,-6.477E-01
 1.172E-01, 4.099E+01, 1.173E-01, 2.923E+01,-6.385E-01
 1.658E-01, 4.177E+01, 1.659E-01, 2.922E+01,-6.334E-01
 2.144E-01, 4.264E+01, 2.146E-01, 2.923E+01,-6.323E-01
 2.630E-01, 4.323E+01, 2.632E-01, 2.925E+01,-6.250E-01
 3.116E-01, 4.360E+01, 3.119E-01, 2.927E+01,-6.183E-01
 3.602E-01, 4.410E+01, 3.605E-01, 2.929E+01,-6.046E-01
 4.088E-01, 4.443E+01, 4.092E-01, 2.931E+01,-5.873E-01
 4.574E-01, 4.505E+01, 4.578E-01, 2.934E+01,-5.724E-01
 5.060E-01, 4.564E+01, 5.065E-01, 2.937E+01,-5.634E-01
 5.547E-01, 4.647E+01, 5.551E-01, 2.941E+01,-5.375E-01
 6.033E-01, 4.782E+01, 6.038E-01, 2.944E+01,-5.142E-01
 6.519E-01, 4.916E+01, 6.524E-01, 2.946E+01,-4.961E-01
 7.005E-01, 5.006E+01, 7.011E-01, 2.949E+01,-4.687E-01
 7.491E-01, 5.093E+01, 7.497E-01, 2.951E+01,-4.364E-01
 7.977E-01, 5.188E+01, 7.984E-01, 2.952E+01,-4.181E-01
 8.463E-01, 5.293E+01, 8.470E-01, 2.954E+01,-3.956E-01
 8.949E-01, 5.421E+01, 8.957E-01, 2.969E+01,-3.758E-01
 9.435E-01, 5.562E+01, 9.443E-01, 3.082E+01,-3.261E-01
 9.921E-01, 5.761E+01, 9.930E-01, 3.433E+01,-2.376E-01
 1.041E+00, 6.086E+01, 1.042E+00, 3.950E+01,-1.453E-01
 1.089E+00, 6.753E+01, 1.090E+00, 4.590E+01, 8.257E-02
 1.138E+00, 8.257E+01, 1.139E+00, 5.305E+01, 2.539E-01
 1.187E+00, 1.088E+02, 1.188E+00, 5.986E+01, 4.326E-01
 1.235E+00, 1.419E+02, 1.236E+00, 7.067E+01, 5.444E-01
 1.284E+00, 1.663E+02, 1.285E+00, 8.652E+01, 6.751E-01
 1.332E+00, 1.764E+02, 1.334E+00, 1.050E+02, 8.355E-01
 1.381E+00, 1.833E+02, 1.382E+00, 1.190E+02, 9.421E-01
 1.430E+00, 1.869E+02, 1.431E+00, 1.297E+02, 1.064E+00
 1.478E+00, 1.876E+02, 1.479E+00, 1.395E+02, 1.153E+00
 1.527E+00, 1.882E+02, 1.528E+00, 1.462E+02, 1.233E+00
 1.575E+00, 1.892E+02, 1.577E+00, 1.508E+02, 1.329E+00
 1.624E+00, 1.899E+02, 1.625E+00, 1.574E+02, 1.454E+00
 1.673E+00, 1.906E+02, 1.674E+00, 1.681E+02, 1.648E+00
 1.721E+00, 1.911E+02, 1.723E+00, 1.792E+02, 1.926E+00
 1.770E+00, 1.915E+02, 1.771E+00, 1.878E+02, 2.067E+00
 1.818E+00, 1.918E+02, 1.820E+00, 1.904E+02, 1.320E+00
 1.867E+00, 1.918E+02,NaN,NaN,NaN
 1.916E+00, 1.918E+02,NaN,NaN,NaN
 1.964E+00, 1.917E+02,NaN,NaN,NaN
 2.013E+00, 1.925E+02,NaN,NaN,NaN
 2.061E+00, 1.945E+02,NaN,NaN,NaN
 2.110E+00, 1.937E+02,NaN,NaN,NaN
