m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 3.715E+01, 2.000E-02, 1.715E+01,-8.143E-01
 6.860E-02, 3.438E+01, 6.865E-02, 1.461E+01,-8.190E-01
 1.172E-01, 3.605E+01, 1.173E-01, 1.427E+01,-8.208E-01
 1.658E-01, 3.888E+01, 1.659E-01, 1.426E+01,-8.146E-01
 2.144E-01, 4.154E+01, 2.146E-01, 1.427E+01,-8.099E-01
 2.630E-01, 4.385E+01, 2.632E-01, 1.429E+01,-8.091E-01
 3.116E-01, 4.544E+01, 3.119E-01, 1.431E+01,-8.043E-01
 3.602E-01, 4.721E+01, 3.605E-01, 1.433E+01,-7.867E-01
 4.088E-01, 4.926E+01, 4.092E-01, 1.434E+01,-7.654E-01
 4.574E-01, 5.103E+01, 4.578E-01, 1.435E+01,-7.418E-01
 5.060E-01, 5.249E+01, 5.065E-01, 1.437E+01,-7.213E-01
 5.547E-01, 5.399E+01, 5.551E-01, 1.440E+01,-6.986E-01
 6.033E-01, 5.526E+01, 6.038E-01, 1.444E+01,-6.617E-01
 6.519E-01, 5.661E+01, 6.524E-01, 1.447E+01,-6.311E-01
 7.005E-01, 5.812E+01, 7.011E-01, 1.448E+01,-6.067E-01
 7.491E-01, 5.982E+01, 7.497E-01, 1.451E+01,-5.790E-01
 7.977E-01, 6.169E+01, 7.984E-01, 1.473E+01,-5.468E-01
 8.463E-01, 6.395E+01, 8.470E-01, 1.622E+01,-5.008E-01
 8.949E-01, 6.712E+01, 8.957E-01, 2.094E+01,-4.366E-01
 9.435E-01, 7.127E+01, 9.443E-01, 3.104E+01,-2.614E-01
 9.921E-01, 7.867E+01, 9.930E-01, 4.351E+01,-2.126E-02
 1.041E+00, 8.996E+01, 1.042E+00, 5.726E+01, 3.487E-01
 1.089E+00, 1.093E+02, 1.090E+00, 7.104E+01, 5.980E-01
 1.138E+00, 1.359E+02, 1.139E+00, 9.439E+01, 7.881E-01
 1.187E+00, 1.695E+02, 1.188E+00, 1.205E+02, 9.043E-01
 1.235E+00, 1.944E+02, 1.236E+00, 1.448E+02, 1.090E+00
 1.284E+00, 2.095E+02, 1.285E+00, 1.662E+02, 1.210E+00
 1.332E+00, 2.251E+02, 1.334E+00, 1.832E+02, 1.356E+00
 1.381E+00, 2.460E+02, 1.382E+00, 2.004E+02, 1.473E+00
 1.430E+00, 2.626E+02, 1.431E+00, 2.163E+02, 1.617E+00
 1.478E+00, 2.709E+02, 1.479E+00, 2.304E+02, 1.726E+00
 1.527E+00, 2.772E+02, 1.528E+00, 2.431E+02, 1.903E+00
 1.575E+00, 2.829E+02, 1.577E+00, 2.537E+02, 2.041E+00
 1.624E+00, 2.884E+02, 1.625E+00, 2.619E+02, 2.248E+00
 1.673E+00, 2.926E+02, 1.674E+00, 2.680E+02, 2.440E+00
 1.721E+00, 2.961E+02, 1.723E+00, 2.707E+02, 2.639E+00
 1.770E+00, 2.972E+02, 1.771E+00, 2.748E+02, 2.927E+00
 1.818E+00, 2.988E+02, 1.820E+00, 2.771E+02, 2.465E+00
 1.867E+00, 3.013E+02,NaN,NaN,NaN
 1.916E+00, 3.030E+02,NaN,NaN,NaN
 1.964E+00, 3.049E+02,NaN,NaN,NaN
 2.013E+00, 3.065E+02,NaN,NaN,NaN
 2.061E+00, 3.067E+02,NaN,NaN,NaN
 2.110E+00, 3.021E+02,NaN,NaN,NaN
