m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 3.301E+01, 2.000E-02, 2.065E+01,-8.736E-01
 6.860E-02, 3.365E+01, 6.865E-02, 2.015E+01,-8.749E-01
 1.172E-01, 3.442E+01, 1.173E-01, 2.008E+01,-8.762E-01
 1.658E-01, 3.490E+01, 1.659E-01, 2.008E+01,-8.705E-01
 2.144E-01, 3.583E+01, 2.146E-01, 2.010E+01,-8.614E-01
 2.630E-01, 3.761E+01, 2.632E-01, 2.011E+01,-8.596E-01
 3.116E-01, 3.999E+01, 3.119E-01, 2.013E+01,-8.522E-01
 3.602E-01, 4.293E+01, 3.605E-01, 2.014E+01,-8.388E-01
 4.088E-01, 4.563E+01, 4.092E-01, 2.014E+01,-8.220E-01
 4.574E-01, 4.805E+01, 4.578E-01, 2.014E+01,-7.902E-01
 5.060E-01, 5.080E+01, 5.065E-01, 2.015E+01,-7.631E-01
 5.547E-01, 5.381E+01, 5.551E-01, 2.015E+01,-7.439E-01
 6.033E-01, 5.745E+01, 6.038E-01, 2.015E+01,-7.237E-01
 6.519E-01, 6.163E+01, 6.524E-01, 2.016E+01,-6.959E-01
 7.005E-01, 6.693E+01, 7.011E-01, 2.016E+01,-6.589E-01
 7.491E-01, 7.413E+01, 7.497E-01, 2.017E+01,-6.244E-01
 7.977E-01, 8.220E+01, 7.984E-01, 2.019E+01,-5.761E-01
 8.463E-01, 9.036E+01, 8.470E-01, 2.084E+01,-5.232E-01
 8.949E-01, 9.681E+01, 8.957E-01, 2.594E+01,-4.683E-01
 9.435E-01, 1.013E+02, 9.443E-01, 3.843E+01,-2.931E-01
 9.921E-01, 1.052E+02, 9.930E-01, 5.367E+01,-4.523E-02
 1.041E+00, 1.092E+02, 1.042E+00, 7.210E+01, 3.633E-01
 1.089E+00, 1.126E+02, 1.090E+00, 9.152E+01, 6.441E-01
 1.138E+00, 1.164E+02, 1.139E+00, 1.050E+02, 8.219E-01
 1.187E+00, 1.195E+02, 1.188E+00, 1.099E+02, 8.902E-01
 1.235E+00, 1.216E+02, 1.236E+00, 1.117E+02, 9.702E-01
 1.284E+00, 1.230E+02, 1.285E+00, 1.126E+02, 1.030E+00
 1.332E+00, 1.243E+02, 1.334E+00, 1.139E+02, 1.084E+00
 1.381E+00, 1.252E+02, 1.382E+00, 1.163E+02, 1.154E+00
 1.430E+00, 1.256E+02, 1.431E+00, 1.189E+02, 1.232E+00
 1.478E+00, 1.263E+02, 1.479E+00, 1.201E+02, 1.311E+00
 1.527E+00, 1.267E+02, 1.528E+00, 1.208E+02, 1.400E+00
 1.575E+00, 1.271E+02, 1.577E+00, 1.216E+02, 1.514E+00
 1.624E+00, 1.273E+02, 1.625E+00, 1.221E+02, 1.638E+00
 1.673E+00, 1.276E+02, 1.674E+00, 1.227E+02, 1.792E+00
 1.721E+00, 1.280E+02, 1.723E+00, 1.240E+02, 1.955E+00
 1.770E+00, 1.282E+02, 1.771E+00, 1.255E+02, 2.081E+00
 1.818E+00, 1.282E+02, 1.820E+00, 1.260E+02, 1.502E+00
 1.867E+00, 1.283E+02,NaN,NaN,NaN
 1.916E+00, 1.285E+02,NaN,NaN,NaN
 1.964E+00, 1.285E+02,NaN,NaN,NaN
 2.013E+00, 1.282E+02,NaN,NaN,NaN
 2.061E+00, 1.282E+02,NaN,NaN,NaN
 2.110E+00, 1.270E+02,NaN,NaN,NaN
