s,C,m
Time,"HGL Temp","HGL Height"
 0.000E+00, 2.300E+01, 2.024E+00
 1.005E+01, 2.300E+01, 1.165E+00
 2.003E+01, 2.304E+01, 1.281E-01
 3.003E+01, 5.672E+01, 1.849E+00
 4.004E+01, 5.831E+01, 1.361E+00
 5.001E+01, 5.532E+01, 1.035E+00
 6.003E+01, 6.198E+01, 1.010E+00
 7.000E+01, 6.434E+01, 9.793E-01
 8.005E+01, 6.338E+01, 1.116E+00
 9.002E+01, 6.752E+01, 1.169E+00
 1.000E+02, 7.566E+01, 1.006E+00
 1.100E+02, 8.285E+01, 9.661E-01
 1.200E+02, 8.372E+01, 1.071E+00
 1.301E+02, 8.897E+01, 1.091E+00
 1.400E+02, 8.499E+01, 8.986E-01
 1.500E+02, 8.994E+01, 9.015E-01
 1.600E+02, 9.239E+01, 1.074E+00
 1.700E+02, 9.372E+01, 1.108E+00
 1.800E+02, 9.375E+01, 9.334E-01
 1.901E+02, 9.270E+01, 8.833E-01
 2.000E+02, 9.336E+01, 8.811E-01
 2.100E+02, 9.328E+01, 8.551E-01
 2.200E+02, 9.040E+01, 8.905E-01
 2.301E+02, 8.482E+01, 8.732E-01
 2.400E+02, 8.662E+01, 7.977E-01
 2.501E+02, 8.587E+01, 7.699E-01
 2.600E+02, 8.762E+01, 7.499E-01
 2.700E+02, 8.867E+01, 7.029E-01
 2.800E+02, 8.849E+01, 7.359E-01
 2.900E+02, 8.773E+01, 8.295E-01
 3.001E+02, 8.815E+01, 8.623E-01
 3.101E+02, 8.882E+01, 8.040E-01
 3.201E+02, 8.798E+01, 6.238E-01
 3.300E+02, 8.785E+01, 5.429E-01
 3.400E+02, 9.054E+01, 6.339E-01
 3.500E+02, 9.390E+01, 7.124E-01
 3.600E+02, 9.294E+01, 6.855E-01
 3.700E+02, 9.231E+01, 6.943E-01
 3.800E+02, 8.960E+01, 7.520E-01
 3.901E+02, 9.064E+01, 7.184E-01
 4.000E+02, 9.255E+01, 6.090E-01
 4.100E+02, 9.010E+01, 5.508E-01
 4.201E+02, 9.300E+01, 6.202E-01
 4.300E+02, 9.302E+01, 6.566E-01
 4.401E+02, 9.349E+01, 6.621E-01
 4.501E+02, 9.486E+01, 6.629E-01
 4.600E+02, 9.538E+01, 6.174E-01
 4.701E+02, 9.540E+01, 6.848E-01
 4.800E+02, 9.236E+01, 7.384E-01
 4.900E+02, 9.042E+01, 6.849E-01
 5.001E+02, 9.264E+01, 6.143E-01
 5.101E+02, 9.464E+01, 5.978E-01
 5.201E+02, 9.533E+01, 5.964E-01
 5.300E+02, 9.338E+01, 6.012E-01
