m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 2.076E+01, 2.000E-02, 7.380E+00,-5.421E-01
 6.860E-02, 1.738E+01, 6.865E-02, 6.238E+00,-5.478E-01
 1.172E-01, 1.642E+01, 1.173E-01, 6.089E+00,-5.511E-01
 1.658E-01, 1.626E+01, 1.659E-01, 6.081E+00,-5.461E-01
 2.144E-01, 1.632E+01, 2.146E-01, 6.082E+00,-5.400E-01
 2.630E-01, 1.687E+01, 2.632E-01, 6.083E+00,-5.344E-01
 3.116E-01, 1.728E+01, 3.119E-01, 6.084E+00,-5.286E-01
 3.602E-01, 1.758E+01, 3.605E-01, 6.085E+00,-5.175E-01
 4.088E-01, 1.778E+01, 4.092E-01, 6.088E+00,-5.074E-01
 4.574E-01, 1.785E+01, 4.578E-01, 6.091E+00,-4.973E-01
 5.060E-01, 1.793E+01, 5.065E-01, 6.098E+00,-4.855E-01
 5.547E-01, 1.811E+01, 5.551E-01, 6.107E+00,-4.721E-01
 6.033E-01, 1.847E+01, 6.038E-01, 6.115E+00,-4.625E-01
 6.519E-01, 1.887E+01, 6.524E-01, 6.122E+00,-4.484E-01
 7.005E-01, 1.941E+01, 7.011E-01, 6.129E+00,-4.292E-01
 7.491E-01, 2.024E+01, 7.497E-01, 6.136E+00,-4.099E-01
 7.977E-01, 2.136E+01, 7.984E-01, 6.139E+00,-3.922E-01
 8.463E-01, 2.287E+01, 8.470E-01, 6.143E+00,-3.800E-01
 8.949E-01, 2.500E+01, 8.957E-01, 6.149E+00,-3.539E-01
 9.435E-01, 2.747E+01, 9.443E-01, 6.165E+00,-3.297E-01
 9.921E-01, 3.004E+01, 9.930E-01, 6.416E+00,-3.215E-01
 1.041E+00, 3.241E+01, 1.042E+00, 8.697E+00,-2.813E-01
 1.089E+00, 3.647E+01, 1.090E+00, 1.452E+01,-1.060E-01
 1.138E+00, 4.354E+01, 1.139E+00, 1.961E+01, 1.085E-01
 1.187E+00, 5.341E+01, 1.188E+00, 2.731E+01, 2.371E-01
 1.235E+00, 6.413E+01, 1.236E+00, 4.105E+01, 5.196E-01
 1.284E+00, 7.669E+01, 1.285E+00, 5.982E+01, 7.901E-01
 1.332E+00, 8.934E+01, 1.334E+00, 8.134E+01, 9.585E-01
 1.381E+00, 9.921E+01, 1.382E+00, 9.577E+01, 1.080E+00
 1.430E+00, 1.094E+02, 1.431E+00, 1.011E+02, 1.090E+00
 1.478E+00, 1.184E+02, 1.479E+00, 1.067E+02, 1.144E+00
 1.527E+00, 1.246E+02, 1.528E+00, 1.127E+02, 1.213E+00
 1.575E+00, 1.293E+02, 1.577E+00, 1.161E+02, 1.282E+00
 1.624E+00, 1.347E+02, 1.625E+00, 1.207E+02, 1.412E+00
 1.673E+00, 1.384E+02, 1.674E+00, 1.286E+02, 1.594E+00
 1.721E+00, 1.418E+02, 1.723E+00, 1.363E+02, 1.804E+00
 1.770E+00, 1.436E+02, 1.771E+00, 1.425E+02, 2.008E+00
 1.818E+00, 1.443E+02, 1.820E+00, 1.460E+02, 1.490E+00
 1.867E+00, 1.455E+02,NaN,NaN,NaN
 1.916E+00, 1.476E+02,NaN,NaN,NaN
 1.964E+00, 1.491E+02,NaN,NaN,NaN
 2.013E+00, 1.521E+02,NaN,NaN,NaN
 2.061E+00, 1.553E+02,NaN,NaN,NaN
 2.110E+00, 1.547E+02,NaN,NaN,NaN
