m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 7.639E+01, 2.000E-02, 2.300E+01, 0.000E+00
 6.860E-02, 7.830E+01, 6.865E-02, 2.300E+01, 0.000E+00
 1.172E-01, 8.156E+01, 1.173E-01, 2.300E+01, 0.000E+00
 1.658E-01, 8.358E+01, 1.659E-01, 2.300E+01, 0.000E+00
 2.144E-01, 8.560E+01, 2.146E-01, 2.300E+01, 0.000E+00
 2.630E-01, 8.819E+01, 2.632E-01, 2.300E+01, 0.000E+00
 3.116E-01, 9.485E+01, 3.119E-01, 2.300E+01, 0.000E+00
 3.602E-01, 1.020E+02, 3.605E-01, 2.300E+01, 0.000E+00
 4.088E-01, 1.067E+02, 4.092E-01, 2.300E+01, 0.000E+00
 4.574E-01, 1.118E+02, 4.578E-01, 2.300E+01, 0.000E+00
 5.060E-01, 1.187E+02, 5.065E-01, 2.300E+01, 0.000E+00
 5.547E-01, 1.332E+02, 5.551E-01, 2.300E+01, 0.000E+00
 6.033E-01, 1.449E+02, 6.038E-01, 2.300E+01, 0.000E+00
 6.519E-01, 1.512E+02, 6.524E-01, 2.300E+01, 0.000E+00
 7.005E-01, 1.558E+02, 7.011E-01, 2.300E+01, 0.000E+00
 7.491E-01, 1.609E+02, 7.497E-01, 2.300E+01, 0.000E+00
 7.977E-01, 1.656E+02, 7.984E-01, 2.300E+01, 0.000E+00
 8.463E-01, 1.687E+02, 8.470E-01, 2.300E+01, 0.000E+00
 8.949E-01, 1.713E+02, 8.957E-01, 2.300E+01, 0.000E+00
 9.435E-01, 1.735E+02, 9.443E-01, 2.340E+01,-1.121E+00
 9.921E-01, 1.753E+02, 9.930E-01, 2.320E+01,-1.240E+00
 1.041E+00, 1.762E+02, 1.042E+00, 2.320E+01,-1.001E+00
 1.089E+00, 1.772E+02, 1.090E+00, 2.322E+01,-8.462E-01
 1.138E+00, 1.782E+02, 1.139E+00, 2.325E+01,-7.417E-01
 1.187E+00, 1.794E+02, 1.188E+00, 2.328E+01,-6.540E-01
 1.235E+00, 1.805E+02, 1.236E+00, 2.363E+01,-5.735E-01
 1.284E+00, 1.813E+02, 1.285E+00, 2.896E+01,-4.807E-01
 1.332E+00, 1.820E+02, 1.334E+00, 5.224E+01,-3.107E-01
 1.381E+00, 1.825E+02, 1.382E+00, 8.901E+01, 1.599E-01
 1.430E+00, 1.826E+02, 1.431E+00, 1.238E+02, 6.197E-01
 1.478E+00, 1.827E+02, 1.479E+00, 1.504E+02, 9.904E-01
 1.527E+00, 1.830E+02, 1.528E+00, 1.667E+02, 1.133E+00
 1.575E+00, 1.833E+02, 1.577E+00, 1.743E+02, 1.217E+00
 1.624E+00, 1.836E+02, 1.625E+00, 1.769E+02, 1.321E+00
 1.673E+00, 1.839E+02, 1.674E+00, 1.779E+02, 1.454E+00
 1.721E+00, 1.843E+02, 1.723E+00, 1.789E+02, 1.622E+00
 1.770E+00, 1.846E+02, 1.771E+00, 1.799E+02, 1.852E+00
 1.818E+00, 1.845E+02, 1.820E+00, 1.795E+02, 1.589E+00
 1.867E+00, 1.843E+02,NaN,NaN,NaN
 1.916E+00, 1.847E+02,NaN,NaN,NaN
 1.964E+00, 1.856E+02,NaN,NaN,NaN
 2.013E+00, 1.863E+02,NaN,NaN,NaN
 2.061E+00, 1.859E+02,NaN,NaN,NaN
 2.110E+00, 1.801E+02,NaN,NaN,NaN
