m,C,m,C,m/s
Room_z,TC_Room,Door_z,TC_Door,BP_Door
 2.000E-02, 2.955E+01, 2.000E-02, 1.300E+01, 0.000E+00
 6.860E-02, 2.906E+01, 6.865E-02, 1.300E+01, 0.000E+00
 1.172E-01, 2.975E+01, 1.173E-01, 1.300E+01, 0.000E+00
 1.658E-01, 3.026E+01, 1.659E-01, 1.300E+01, 0.000E+00
 2.144E-01, 3.065E+01, 2.146E-01, 1.300E+01, 0.000E+00
 2.630E-01, 3.097E+01, 2.632E-01, 1.300E+01, 0.000E+00
 3.116E-01, 3.133E+01, 3.119E-01, 1.300E+01, 0.000E+00
 3.602E-01, 3.152E+01, 3.605E-01, 1.300E+01, 0.000E+00
 4.088E-01, 3.202E+01, 4.092E-01, 1.300E+01, 0.000E+00
 4.574E-01, 3.238E+01, 4.578E-01, 1.339E+01,-8.111E-01
 5.060E-01, 3.305E+01, 5.065E-01, 1.312E+01,-9.043E-01
 5.547E-01, 3.391E+01, 5.551E-01, 1.309E+01,-7.952E-01
 6.033E-01, 3.463E+01, 6.038E-01, 1.310E+01,-7.110E-01
 6.519E-01, 3.556E+01, 6.524E-01, 1.311E+01,-6.575E-01
 7.005E-01, 3.636E+01, 7.011E-01, 1.312E+01,-6.174E-01
 7.491E-01, 3.690E+01, 7.497E-01, 1.313E+01,-5.821E-01
 7.977E-01, 3.766E+01, 7.984E-01, 1.314E+01,-5.601E-01
 8.463E-01, 3.873E+01, 8.470E-01, 1.315E+01,-5.389E-01
 8.949E-01, 4.032E+01, 8.957E-01, 1.317E+01,-5.186E-01
 9.435E-01, 4.235E+01, 9.443E-01, 1.317E+01,-4.898E-01
 9.921E-01, 4.527E+01, 9.930E-01, 1.318E+01,-4.642E-01
 1.041E+00, 5.064E+01, 1.042E+00, 1.322E+01,-4.464E-01
 1.089E+00, 5.857E+01, 1.090E+00, 1.404E+01,-4.064E-01
 1.138E+00, 6.839E+01, 1.139E+00, 1.939E+01,-3.432E-01
 1.187E+00, 7.955E+01, 1.188E+00, 3.200E+01,-1.421E-01
 1.235E+00, 9.114E+01, 1.236E+00, 4.971E+01, 1.860E-01
 1.284E+00, 1.048E+02, 1.285E+00, 7.853E+01, 5.407E-01
 1.332E+00, 1.162E+02, 1.334E+00, 1.024E+02, 7.593E-01
 1.381E+00, 1.245E+02, 1.382E+00, 1.168E+02, 8.988E-01
 1.430E+00, 1.313E+02, 1.431E+00, 1.260E+02, 1.010E+00
 1.478E+00, 1.384E+02, 1.479E+00, 1.309E+02, 1.092E+00
 1.527E+00, 1.472E+02, 1.528E+00, 1.349E+02, 1.203E+00
 1.575E+00, 1.558E+02, 1.577E+00, 1.392E+02, 1.269E+00
 1.624E+00, 1.612E+02, 1.625E+00, 1.429E+02, 1.419E+00
 1.673E+00, 1.637E+02, 1.674E+00, 1.465E+02, 1.562E+00
 1.721E+00, 1.654E+02, 1.723E+00, 1.516E+02, 1.734E+00
 1.770E+00, 1.667E+02, 1.771E+00, 1.565E+02, 1.898E+00
 1.818E+00, 1.681E+02, 1.820E+00, 1.579E+02, 1.602E+00
 1.867E+00, 1.693E+02,NaN,NaN,NaN
 1.916E+00, 1.703E+02,NaN,NaN,NaN
 1.964E+00, 1.707E+02,NaN,NaN,NaN
 2.013E+00, 1.713E+02,NaN,NaN,NaN
 2.061E+00, 1.719E+02,NaN,NaN,NaN
 2.110E+00, 1.685E+02,NaN,NaN,NaN
